單字	粵拼	聲母_定	韻母_定	聲調_定	IPA	聲母_定	韻母_定	聲調_定	備註
串		c	yun	1		ʦʰ	yn	23	
舛		c	yun	2		ʦʰ	yn	45	
喘		c	yun	2		ʦʰ	yn	45	
揣		c	yun	2		ʦʰ	yn	45	
痊		c	yun	4		ʦʰ	yn	22	
詮		c	yun	4		ʦʰ	yn	22	
銓		c	yun	4		ʦʰ	yn	22	
拴		c	yun	4		ʦʰ	yn	22	
全		c	yun	4		ʦʰ	yn	22	
泉		c	yun	4		ʦʰ	yn	22	
傳		c	yun	4		ʦʰ	yn	22	傳播
打		d	aa	2		t	a	45	
帶		d	aai	1		t	ai	23	
戴		d	aai	1		t	ai	23	
歹		d	aai	2		t	ai	45	
帶		d	aai	5		t	ai	21	
大		d	aai	6		t	ai	32	
眈		d	aam	1		t	am	23	
耽		d	aam	1		t	am	23	
擔		d	aam	1		t	am	23	
膽		d	aam	2		t	am	45	
澹		d	aam	6		t	am	32	
淡		d	aam	6		t	am	32	冷淡
誕		d	aan	1		t	an	23	
丹		d	aan	1		t	an	23	
單		d	aan	1		t	an	23	單純
殫		d	aan	1		t	an	23	
旦		d	aan	1		t	an	23	
但		d	aan	6		t	an	32	
憚		d	aan	6		t	an	32	
彈		d	aan	6		t	an	32	彈丸
蛋		d	aan	6		t	an	32	
撢		d	aan	6		t	an	32	雞毛撢子
沓		d	aap	8		t	ap	32	
踏		d	aap	8		t	ap	32	
蹋		d	aap	8		t	ap	32	
拓		d	aap	8		t	ap	32	拓本
答		d	aap	7B		t	ap	23	
搭		d	aap	7B		t	ap	23	
達		d	aat	8		t	at	32	
刀		d	aau	1		t	au	23	
到		d	aau	1		t	au	23	
倒		d	aau	1		t	au	23	
叨		d	aau	1		t	au	23	嘮叨
闍		d	aau	1		t	au	23	
島		d	aau	2		t	au	45	
擣		d	aau	2		t	au	45	
倒		d	aau	2		t	au	45	
搗		d	aau	2		t	au	45	
導		d	aau	6		t	au	32	
蹈		d	aau	6		t	au	32	
悼		d	aau	6		t	au	32	
盜		d	aau	6		t	au	32	
道		d	aau	6		t	au	32	
稻		d	aau	6		t	au	32	
特		d	ak	8		t	ɐk	32	
得		d	ak	7A		t	ɐk	45	
德		d	ak	7A		t	ɐk	45	
得		d	ak	7B		t	ɐk	23	得知隨
砧		d	am	5		t	ɐm	21	砧板，白讀
敦		d	an	1		t	ɐn	23	
墩		d	an	1		t	ɐn	23	
噸		d	an	1		t	ɐn	23	
蹲		d	an	1		t	ɐn	23	
盹		d	an	6		t	ɐn	32	
沌		d	an	6		t	ɐn	32	
鈍		d	an	6		t	ɐn	32	
遁		d	an	6		t	ɐn	32	
頓		d	an	6		t	ɐn	32	安頓
燉		d	an	6		t	ɐn	32	
瞪		d	ang	1		t	ɐŋ	23	
登		d	ang	1		t	ɐŋ	23	
凳		d	ang	1		t	ɐŋ	23	
燈		d	ang	1		t	ɐŋ	23	
等		d	ang	2		t	ɐŋ	45	
蹬		d	ang	6		t	ɐŋ	32	
鄧		d	ang	6		t	ɐŋ	32	
凸		d	at	8		t	ɐt	32	
突		d	at	8		t	ɐt	32	
咄		d	at	7A		t	ɐt	45	
糾		d	au	2		t	ɐu	45	
低		d	ei	1		t	ei	23	
締		d	ei	1		t	ei	23	
帝		d	ei	1		t	ei	23	
諦		d	ei	1		t	ei	23	
蒂		d	ei	1		t	ei	23	
知		d	ei	1		t	ei	23	知道
抵		d	ei	2		t	ei	45	
底		d	ei	2		t	ei	45	
柢		d	ei	2		t	ei	45	
邸		d	ei	2		t	ei	45	
牴		d	ei	2		t	ei	45	
逮		d	ei	6		t	ei	32	
第		d	ei	6		t	ei	32	
弟		d	ei	6		t	ei	32	
遞		d	ei	6		t	ei	32	
隸		d	ei	6		t	ei	32	
地		d	ei	6		t	ei	32	
笛		d	ek	7A		t	ɛk	45	
滴		d	ek	7B		t	ɛk	23	滴水，白讀
丁		d	eng	1		t	ɛŋ	23	白讀
釘		d	eng	1		t	ɛŋ	23	釘子
盯		d	eng	1		t	ɛŋ	23	
叮		d	eng	1		t	ɛŋ	23	
頂		d	eng	2		t	ɛŋ	45	頭頂，白讀
鼎		d	eng	2		t	ɛŋ	45	白讀
釘		d	eng	5		t	ɛŋ	21	變調
定		d	eng	6		t	ɛŋ	32	落定，白讀
訂		d	eng	6		t	ɛŋ	32	落訂，白讀
爹		d	iaa	1		t	ia	23	
狄		d	ik	8		t	ɪk	32	
迪		d	ik	8		t	ɪk	32	
荻		d	ik	8		t	ɪk	32	
滌		d	ik	8		t	ɪk	32	
敵		d	ik	8		t	ɪk	32	
滴		d	ik	8		t	ɪk	32	
嘀		d	ik	8		t	ɪk	32	
的		d	ik	7A		t	ɪk	45	
店		d	im	1		t	im	23	
玷		d	im	1		t	im	23	
惦		d	im	1		t	im	23	
點		d	im	2		t	im	45	
踮		d	im	2		t	im	45	
墊		d	in	1		t	in	23	
顛		d	in	1		t	in	23	
巔		d	in	1		t	in	23	
癲		d	in	1		t	in	23	
唸		d	in	1		t	in	23	
典		d	in	2		t	in	45	
碘		d	in	2		t	in	45	
佃		d	in	6		t	in	32	佃農
甸		d	in	6		t	in	32	
奠		d	in	6		t	in	32	
電		d	in	6		t	in	32	
殿		d	in	6		t	in	32	
澱		d	in	6		t	in	32	
靛		d	in	6		t	in	32	
仃		d	ing	1		t	ɪŋ	23	
叮		d	ing	1		t	ɪŋ	23	
訂		d	ing	1		t	ɪŋ	23	
盯		d	ing	1		t	ɪŋ	23	
丁		d	ing	1		t	ɪŋ	23	
町		d	ing	1		t	ɪŋ	23	
頂		d	ing	2		t	ɪŋ	45	頂替
鼎		d	ing	2		t	ɪŋ	45	
町		d	ing	2		t	ɪŋ	45	町畦
定		d	ing	6		t	ɪŋ	32	安定
喋		d	ip	8		t	ip	32	
疊		d	ip	8		t	ip	32	
褶		d	ip	8		t	ip	32	
蝶		d	ip	8		t	ip	32	
碟		d	ip	8		t	ip	32	
迭		d	it	8		t	it	32	
秩		d	it	8		t	it	32	
跌		d	it	7B		t	it	23	
刁		d	iu	1		t	iu	23	
凋		d	iu	1		t	iu	23	
貂		d	iu	1		t	iu	23	
雕		d	iu	1		t	iu	23	
鵰		d	iu	1		t	iu	23	
弔		d	iu	1		t	iu	23	
釣		d	iu	1		t	iu	23	
叼		d	iu	1		t	iu	23	
吊		d	iu	1		t	iu	23	
丟		d	iu	1		t	iu	23	
調		d	iu	6		t	iu	32	調動
掉		d	iu	6		t	iu	32	
琢		d	iuuk	7B		t	iuk	23	
啄		d	iuuk	7B		t	iuk	23	
兜		d	ou	1		t	ou	23	
鬥		d	ou	1		t	ou	23	
都		d	ou	1		t	ou	23	
嘟		d	ou	1		t	ou	23	
抖		d	ou	2		t	ou	45	
陡		d	ou	2		t	ou	45	
蚪		d	ou	2		t	ou	45	
斗		d	ou	2		t	ou	45	
肚		d	ou	2		t	ou	45	
堵		d	ou	2		t	ou	45	
睹		d	ou	2		t	ou	45	
賭		d	ou	2		t	ou	45	
逗		d	ou	6		t	ou	32	
豆		d	ou	6		t	ou	32	
荳		d	ou	6		t	ou	32	
竇		d	ou	6		t	ou	32	
痘		d	ou	6		t	ou	32	
讀		d	ou	6		t	ou	32	句讀
鍍		d	ou	6		t	ou	32	
度		d	ou	6		t	ou	32	度量衡
渡		d	ou	6		t	ou	32	
杜		d	ou	6		t	ou	32	
妒		d	ou	6		t	ou	32	
多		d	u	1		t	u	23	
朵		d	u	2		t	u	45	
躲		d	u	2		t	u	45	
跺		d	u	2		t	u	45	
墮		d	u	6		t	u	32	
惰		d	u	6		t	u	32	
兌		d	ui	1		t	ui	23	
堆		d	ui	1		t	ui	23	
對		d	ui	1		t	ui	23	
堆		d	ui	5		t	ui	21	變調；沙堆，地名
代		d	ui	6		t	ui	32	
岱		d	ui	6		t	ui	32	
袋		d	ui	6		t	ui	32	
黛		d	ui	6		t	ui	32	
殆		d	ui	6		t	ui	32	
待		d	ui	6		t	ui	32	
怠		d	ui	6		t	ui	32	
隊		d	ui	6		t	ui	32	
毒		d	uk	8		t	ʊk	32	
獨		d	uk	8		t	ʊk	32	
瀆		d	uk	8		t	ʊk	32	
犢		d	uk	8		t	ʊk	32	
讀		d	uk	8		t	ʊk	32	朗讀
頓		d	uk	8		t	ʊk	32	冒頓
篤		d	uk	9		t	ʊk	21	
督		d	uk	7A		t	ʊk	45	
篤		d	uk	7A		t	ʊk	45	
端		d	un	1		t	un	23	
鍛		d	un	1		t	un	23	
短		d	un	2		t	un	45	
段		d	un	6		t	un	32	
緞		d	un	6		t	un	32	
斷		d	un	6		t	un	32	診斷
斷		d	un	6		t	un	32	恩斷義絕
冬		d	ung	1		t	ʊŋ	23	
東		d	ung	1		t	ʊŋ	23	
鶇		d	ung	1		t	ʊŋ	23	
凍		d	ung	1		t	ʊŋ	23	
咚		d	ung	1		t	ʊŋ	23	
董		d	ung	2		t	ʊŋ	45	
懂		d	ung	2		t	ʊŋ	45	
幢		d	ung	6		t	ʊŋ	32	一幢樓
洞		d	ung	6		t	ʊŋ	32	
動		d	ung	6		t	ʊŋ	32	
棟		d	ung	6		t	ʊŋ	32	
奪		d	ut	8		t	ut	32	
度		d	uuk	8		t	uk	32	量度
踱		d	uuk	8		t	uk	32	
當		d	uung	1		t	uŋ	23	當然
鐺		d	uung	1		t	uŋ	23	鐺鐺
當		d	uung	1		t	uŋ	23	適當
擋		d	uung	1		t	uŋ	23	摒擋
噹		d	uung	1		t	uŋ	23	
檔		d	uung	1		t	uŋ	23	拍檔
黨		d	uung	2		t	uŋ	45	
擋		d	uung	2		t	uŋ	45	阻擋
檔		d	uung	2		t	uŋ	45	檔案
宕		d	uung	6		t	uŋ	32	
蕩		d	uung	6		t	uŋ	32	
盪		d	uung	6		t	uŋ	32	
花		f	aa	1		f	a	23	
化		f	aa	1		f	a	23	
快		f	aai	1		f	ai	23	
塊		f	aai	1		f	ai	23	
傀		f	aai	1		f	ai	23	傀儡
筷		f	aai	1		f	ai	23	
販		f	aan	1		f	an	23	
番		f	aan	1		f	an	23	
翻		f	aan	1		f	an	23	
返		f	aan	2		f	an	45	
反		f	aan	2		f	an	45	
帆		f	aan	4		f	an	22	
凡		f	aan	4		f	an	22	
梵		f	aan	4		f	an	22	
蕃		f	aan	4		f	an	22	
藩		f	aan	4		f	an	22	
煩		f	aan	4		f	an	22	
樊		f	aan	4		f	an	22	
繁		f	aan	4		f	an	22	
犯		f	aan	6		f	an	32	
范		f	aan	6		f	an	32	
範		f	aan	6		f	an	32	
氾		f	aan	6		f	an	32	
泛		f	aan	6		f	an	32	
飯		f	aan	6		f	an	32	
瓣		f	aan	6		f	an	32	花瓣
法		f	aat	7A		f	at	45	
髮		f	aat	7A		f	at	45	
發		f	aat	7A		f	at	45	長發里，地名
法		f	aat	7B		f	at	23	
發		f	aat	7B		f	at	23	
砝		f	aat	7B		f	at	23	
霍		f	ak	7B		f	ɐk	23	
分		f	an	1		f	ɐn	23	分開
奮		f	an	1		f	ɐn	23	
糞		f	an	1		f	ɐn	23	
氛		f	an	1		f	ɐn	23	
芬		f	an	1		f	ɐn	23	
紛		f	an	1		f	ɐn	23	
勛		f	an	1		f	ɐn	23	
薰		f	an	1		f	ɐn	23	
燻		f	an	1		f	ɐn	23	
醺		f	an	1		f	ɐn	23	
訓		f	an	1		f	ɐn	23	
瞓		f	an	1		f	ɐn	23	睡覺
昏		f	an	1		f	ɐn	23	
婚		f	an	1		f	ɐn	23	
吩		f	an	1		f	ɐn	23	
粉		f	an	2		f	ɐn	45	
焚		f	an	4		f	ɐn	22	
墳		f	an	4		f	ɐn	22	
瞓		f	an	5		f	ɐn	21	眼瞓
份		f	an	6		f	ɐn	32	
奮		f	an	6		f	ɐn	32	
分		f	an	6		f	ɐn	32	本分
憤		f	an	6		f	ɐn	32	
忿		f	an	6		f	ɐn	32	
坊		f	ang	1		f	ɐŋ	23	街坊
放		f	ang	1		f	ɐŋ	23	
方		f	ang	1		f	ɐŋ	23	
肪		f	ang	1		f	ɐŋ	23	
芳		f	ang	1		f	ɐŋ	23	
況		f	ang	1		f	ɐŋ	23	
荒		f	ang	1		f	ɐŋ	23	
慌		f	ang	1		f	ɐŋ	23	
謊		f	ang	1		f	ɐŋ	23	
訪		f	ang	2		f	ɐŋ	45	
仿		f	ang	2		f	ɐŋ	45	仿佛
紡		f	ang	2		f	ɐŋ	45	
彷		f	ang	2		f	ɐŋ	45	
恍		f	ang	2		f	ɐŋ	45	
晃		f	ang	2		f	ɐŋ	45	
幌		f	ang	2		f	ɐŋ	45	
坊		f	ang	4		f	ɐŋ	22	堤坊
防		f	ang	4		f	ɐŋ	22	
房		f	ang	4		f	ɐŋ	22	
妨		f	ang	4		f	ɐŋ	22	
房		f	ang	5		f	ɐŋ	21	變調
乏		f	at	8		f	ɐt	32	
佛		f	at	8		f	ɐt	32	佛教
伐		f	at	8		f	ɐt	32	
筏		f	at	8		f	ɐt	32	
罰		f	at	8		f	ɐt	32	
芾		f	at	7A		f	ɐt	45	芾芾
弗		f	at	7A		f	ɐt	45	
拂		f	at	7A		f	ɐt	45	
彿		f	at	7A		f	ɐt	45	
忽		f	at	7A		f	ɐt	45	
惚		f	at	7A		f	ɐt	45	
囫		f	at	7A		f	ɐt	45	
佛		f	at	7A		f	ɐt	45	仿佛
廢		f	ei	1		f	ei	23	
肺		f	ei	1		f	ei	23	
費		f	ei	1		f	ei	23	
芾		f	ei	1		f	ei	23	蔽芾
沸		f	ei	1		f	ei	23	
揮		f	ei	1		f	ei	23	
暉		f	ei	1		f	ei	23	
輝		f	ei	1		f	ei	23	
徽		f	ei	1		f	ei	23	
非		f	ei	1		f	ei	23	
飛		f	ei	1		f	ei	23	
扉		f	ei	1		f	ei	23	
妃		f	ei	1		f	ei	23	
菲		f	ei	1		f	ei	23	
喙		f	ei	1		f	ei	23	
翡		f	ei	2		f	ei	45	
匪		f	ei	2		f	ei	45	
悱		f	ei	2		f	ei	45	
斐		f	ei	2		f	ei	45	
肥		f	ei	4		f	ei	22	
吠		f	ei	6		f	ei	32	
啡		f	iaa	1		f	ia	23	
否		f	ou	2		f	ou	45	否定
剖		f	ou	2		f	ou	45	
浮		f	ou	4		f	ou	22	
埠		f	ou	6		f	ou	32	商埠
科		f	u	1		f	u	23	
稞		f	u	1		f	u	23	
蝌		f	u	1		f	u	23	
課		f	u	1		f	u	23	
貨		f	u	1		f	u	23	
柯		f	u	1		f	u	23	
富		f	u	1		f	u	23	
婦		f	u	1		f	u	23	
副		f	u	1		f	u	23	
夫		f	u	1		f	u	23	農夫
膚		f	u	1		f	u	23	
賦		f	u	1		f	u	23	
孵		f	u	1		f	u	23	
敷		f	u	1		f	u	23	
俘		f	u	1		f	u	23	
枯		f	u	1		f	u	23	
庫		f	u	1		f	u	23	
呼		f	u	1		f	u	23	
咐		f	u	1		f	u	23	
骷		f	u	1		f	u	23	
褲		f	u	1		f	u	23	
夥		f	u	2		f	u	45	
顆		f	u	2		f	u	45	
火		f	u	2		f	u	45	
棵		f	u	2		f	u	45	
伙		f	u	2		f	u	45	
斧		f	u	2		f	u	45	
府		f	u	2		f	u	45	
俯		f	u	2		f	u	45	
撫		f	u	2		f	u	45	
唬		f	u	2		f	u	45	
苦		f	u	2		f	u	45	
虎		f	u	2		f	u	45	
琥		f	u	2		f	u	45	
夫		f	u	4		f	u	22	
扶		f	u	4		f	u	22	
芙		f	u	4		f	u	22	
苻		f	u	4		f	u	22	
符		f	u	4		f	u	22	
乎		f	u	4		f	u	22	
負		f	u	6		f	u	32	
付		f	u	6		f	u	32	
傅		f	u	6		f	u	32	傅粉施朱
父		f	u	6		f	u	32	
附		f	u	6		f	u	32	
駙		f	u	6		f	u	32	
輔		f	u	6		f	u	32	
腐		f	u	6		f	u	32	
赴		f	u	6		f	u	32	
仆		f	u	6		f	u	32	前仆後繼
戶		f	u	6		f	u	32	又音
灰		f	ui	1		f	ui	23	
晦		f	ui	1		f	ui	23	
誨		f	ui	1		f	ui	23	
悔		f	ui	1		f	ui	23	
恢		f	ui	1		f	ui	23	
魁		f	ui	1		f	ui	23	
服		f	uk	8		f	ʊk	32	
匐		f	uk	8		f	ʊk	32	
伏		f	uk	8		f	ʊk	32	
復		f	uk	8		f	ʊk	32	復原
斛		f	uk	8		f	ʊk	32	
袱		f	uk	8		f	ʊk	32	
幅		f	uk	7A		f	ʊk	45	
福		f	uk	7A		f	ʊk	45	
蝠		f	uk	7A		f	ʊk	45	
腹		f	uk	7A		f	ʊk	45	
馥		f	uk	7A		f	ʊk	45	
輻		f	uk	7A		f	ʊk	45	
複		f	uk	7A		f	ʊk	45	
覆		f	uk	7A		f	ʊk	45	
復		f	uk	7A		f	ʊk	45	回復
寬		f	un	1		f	un	23	
歡		f	un	1		f	un	23	
款		f	un	2		f	un	45	
垣		f	un	4		f	un	22	
風		f	ung	1		f	ʊŋ	23	
楓		f	ung	1		f	ʊŋ	23	
豐		f	ung	1		f	ʊŋ	23	
封		f	ung	1		f	ʊŋ	23	
丰		f	ung	1		f	ʊŋ	23	
烽		f	ung	1		f	ʊŋ	23	
鋒		f	ung	1		f	ʊŋ	23	
蜂		f	ung	1		f	ʊŋ	23	
峰		f	ung	1		f	ʊŋ	23	
瘋		f	ung	1		f	ʊŋ	23	
諷		f	ung	2		f	ʊŋ	45	
俸		f	ung	2		f	ʊŋ	45	
馮		f	ung	4		f	ʊŋ	22	姓馮
逢		f	ung	4		f	ʊŋ	22	
縫		f	ung	4		f	ʊŋ	22	
蓬		f	ung	4		f	ʊŋ	22	蓬江
風		f	ung	5		f	ʊŋ	21	變調
鳳		f	ung	6		f	ʊŋ	32	
奉		f	ung	6		f	ʊŋ	32	
闊		f	ut	7B		f	ut	23	
迦		g	aa	1		k	a	23	
枷		g	aa	1		k	a	23	
加		g	aa	1		k	a	23	
家		g	aa	1		k	a	23	家人
嘉		g	aa	1		k	a	23	
假		g	aa	1		k	a	23	假如
架		g	aa	1		k	a	23	
嫁		g	aa	1		k	a	23	
價		g	aa	1		k	a	23	
駕		g	aa	1		k	a	23	
傢		g	aa	1		k	a	23	
咖		g	aa	1		k	a	23	
伽		g	aa	1		k	a	23	瑜伽
茄		g	aa	2		k	a	45	
假		g	aa	2		k	a	45	放假
賈		g	aa	2		k	a	45	姓賈
架		g	aa	5		k	a	21	變調
佳		g	aai	1		k	ai	23	
解		g	aai	1		k	ai	23	解款
街		g	aai	1		k	ai	23	
皆		g	aai	1		k	ai	23	
階		g	aai	1		k	ai	23	
楷		g	aai	1		k	ai	23	楷書
偕		g	aai	1		k	ai	23	
尬		g	aai	1		k	ai	23	
介		g	aai	1		k	ai	23	
戒		g	aai	1		k	ai	23	
芥		g	aai	1		k	ai	23	
屆		g	aai	1		k	ai	23	
界		g	aai	1		k	ai	23	
誡		g	aai	1		k	ai	23	
個		g	aai	1		k	ai	23	
解		g	aai	2		k	ai	45	解決
街		g	aai	5		k	ai	21	
緘		g	aam	1		k	am	23	
監		g	aam	1		k	am	23	
鑑		g	aam	1		k	am	23	
橄		g	aam	1		k	am	23	
尷		g	aam	1		k	am	23	
艱		g	aan	1		k	an	23	
姦		g	aan	1		k	an	23	
澗		g	aan	1		k	an	23	
諫		g	aan	1		k	an	23	
奸		g	aan	1		k	an	23	
間		g	aan	1		k	an	23	空間
繭		g	aan	2		k	an	45	
鹼		g	aan	2		k	an	45	
揀		g	aan	2		k	an	45	
簡		g	aan	2		k	an	45	
澗		g	aan	2		k	an	45	地名，石澗
甲		g	aap	9		k	ap	21	
莢		g	aap	7B		k	ap	23	
頰		g	aap	7B		k	ap	23	
甲		g	aap	7B		k	ap	23	
鴿		g	aap	7B		k	ap	23	
蛤		g	aap	7B		k	ap	23	蛤拐
舺		g	aap	7B		k	ap	23	
嘎		g	aat	7B		k	at	23	
高		g	aau	1		k	au	23	
羔		g	aau	1		k	au	23	
膏		g	aau	1		k	au	23	
篙		g	aau	1		k	au	23	
告		g	aau	1		k	au	23	報告
糕		g	aau	1		k	au	23	
睪		g	aau	1		k	au	23	睪丸
睾		g	aau	1		k	au	23	
稿		g	aau	2		k	au	45	
格		g	ak	9		k	ɐk	21	
骼		g	ak	7B		k	ɐk	23	
革		g	ak	7B		k	ɐk	23	
隔		g	ak	7B		k	ɐk	23	
胳		g	ak	7B		k	ɐk	23	
格		g	ak	7B		k	ɐk	23	
今		g	am	1		k	ɐm	23	
金		g	am	1		k	ɐm	23	
禁		g	am	1		k	ɐm	23	禁止
甘		g	am	1		k	ɐm	23	
柑		g	am	1		k	ɐm	23	
錦		g	am	2		k	ɐm	45	
感		g	am	2		k	ɐm	45	
敢		g	am	2		k	ɐm	45	
今		g	am	4		k	ɐm	22	今日
斤		g	an	1		k	ɐn	23	
筋		g	an	1		k	ɐn	23	
巾		g	an	1		k	ɐn	23	
根		g	an	1		k	ɐn	23	
跟		g	an	1		k	ɐn	23	
觔		g	an	1		k	ɐn	23	
槿		g	an	2		k	ɐn	45	
謹		g	an	2		k	ɐn	45	
緊		g	an	2		k	ɐn	45	
僅		g	an	2		k	ɐn	45	
瑾		g	an	2		k	ɐn	45	
菫		g	an	2		k	ɐn	45	
近		g	an	6		k	ɐn	32	靠近
庚		g	ang	1		k	ɐŋ	23	
羹		g	ang	1		k	ɐŋ	23	
更		g	ang	1		k	ɐŋ	23	
耕		g	ang	1		k	ɐŋ	23	
逕		g	ang	1		k	ɐŋ	23	雲逕，地名
埂		g	ang	2		k	ɐŋ	45	
哽		g	ang	2		k	ɐŋ	45	
梗		g	ang	2		k	ɐŋ	45	
耿		g	ang	2		k	ɐŋ	45	
亙		g	ang	2		k	ɐŋ	45	
逕		g	ang	5		k	ɐŋ	21	逕口，地名
合		g	ap	8		k	ɐp	32	一合
汲		g	ap	8		k	ɐp	32	
急		g	ap	7A		k	ɐp	45	
蛤		g	ap	7A		k	ɐp	45	
吃		g	at	8		k	ɐt	32	口吃
桔		g	at	7A		k	ɐt	45	桔梗
橘		g	at	7A		k	ɐt	45	
吉		g	at	7A		k	ɐt	45	
鳩		g	au	1		k	ɐu	23	
究		g	au	1		k	ɐu	23	
疚		g	au	1		k	ɐu	23	
救		g	au	1		k	ɐu	23	
灸		g	au	1		k	ɐu	23	
咎		g	au	1		k	ɐu	23	
糾		g	au	2		k	ɐu	45	糾正
赳		g	au	2		k	ɐu	45	
九		g	au	2		k	ɐu	45	
久		g	au	2		k	ɐu	45	
玖		g	au	2		k	ɐu	45	
韭		g	au	2		k	ɐu	45	
舊		g	au	6		k	ɐu	32	
嘅		g	e	1		k	ɛ	23	
嘅		g	ea	1		k	ə	23	語流變讀
個		g	ea	1		k	ə	23	語流變讀
雞		g	ei	1		k	ei	23	
計		g	ei	1		k	ei	23	
髻		g	ei	1		k	ei	23	
繼		g	ei	1		k	ei	23	
鷄		g	ei	1		k	ei	23	
基		g	ei	1		k	ei	23	
箕		g	ei	1		k	ei	23	
記		g	ei	1		k	ei	23	
期		g	ei	1		k	ei	23	期年
姬		g	ei	1		k	ei	23	
奇		g	ei	1		k	ei	23	奇數
寄		g	ei	1		k	ei	23	
騎		g	ei	1		k	ei	23	鐵騎
犄		g	ei	1		k	ei	23	
肌		g	ei	1		k	ei	23	
飢		g	ei	1		k	ei	23	
几		g	ei	1		k	ei	23	
嘰		g	ei	1		k	ei	23	
機		g	ei	1		k	ei	23	
磯		g	ei	1		k	ei	23	
譏		g	ei	1		k	ei	23	
饑		g	ei	1		k	ei	23	
幾		g	ei	1		k	ei	23	幾乎
既		g	ei	1		k	ei	23	
己		g	ei	2		k	ei	45	
紀		g	ei	2		k	ei	45	
杞		g	ei	2		k	ei	45	
幾		g	ei	2		k	ei	45	幾個
雞		g	ei	5		k	ei	21	
鷄		g	ei	5		k	ei	21	
忌		g	ei	6		k	ei	32	
妓		g	ei	6		k	ei	32	
技		g	ei	6		k	ei	32	
敬		g	eng	1		k	ɛŋ	23	敬惜，白讀
鏡		g	eng	1		k	ɛŋ	23	
驚		g	eng	1		k	ɛŋ	23	害怕，白讀
頸		g	eng	2		k	ɛŋ	45	脖子
亟		g	ik	8		k	ɪk	32	亟需
極		g	ik	8		k	ɪk	32	
擊		g	ik	7A		k	ɪk	45	
激		g	ik	7A		k	ɪk	45	
棘		g	ik	7A		k	ɪk	45	
兼		g	im	1		k	im	23	
劍		g	im	1		k	im	23	
減		g	im	2		k	im	45	
撿		g	im	2		k	im	45	
檢		g	im	2		k	im	45	
瞼		g	im	2		k	im	45	
儉		g	im	6		k	im	32	
肩		g	in	1		k	in	23	
堅		g	in	1		k	in	23	
見		g	in	1		k	in	23	看見
建		g	in	1		k	in	23	
毽		g	in	1		k	in	23	
鍵		g	in	6		k	in	32	
件		g	in	6		k	in	32	
健		g	in	6		k	in	32	
涇		g	ing	1		k	ɪŋ	23	
經		g	ing	1		k	ɪŋ	23	
逕		g	ing	1		k	ɪŋ	23	
徑		g	ing	1		k	ɪŋ	23	
京		g	ing	1		k	ɪŋ	23	
荊		g	ing	1		k	ɪŋ	23	
驚		g	ing	1		k	ɪŋ	23	
敬		g	ing	1		k	ɪŋ	23	尊敬
兢		g	ing	1		k	ɪŋ	23	
莖		g	ing	1		k	ɪŋ	23	
憬		g	ing	2		k	ɪŋ	45	
竟		g	ing	2		k	ɪŋ	45	
景		g	ing	2		k	ɪŋ	45	
警		g	ing	2		k	ɪŋ	45	
境		g	ing	2		k	ɪŋ	45	
競		g	ing	6		k	ɪŋ	32	
勁		g	ing	6		k	ɪŋ	32	
夾		g	ip	9		k	ip	21	變調
夾		g	ip	7B		k	ip	23	
劫		g	ip	7B		k	ip	23	
杰		g	it	8		k	it	32	
傑		g	it	8		k	it	32	
橛		g	it	8		k	it	32	兩橛
潔		g	it	7A		k	it	45	
結		g	it	7B		k	it	23	
潔		g	it	7B		k	it	23	
拮		g	it	7B		k	it	23	
交		g	iu	1		k	iu	23	
郊		g	iu	1		k	iu	23	
蛟		g	iu	1		k	iu	23	
膠		g	iu	1		k	iu	23	
教		g	iu	1		k	iu	23	教室
窖		g	iu	1		k	iu	23	
較		g	iu	1		k	iu	23	
覺		g	iu	1		k	iu	23	睡覺
校		g	iu	1		k	iu	23	校對
跤		g	iu	1		k	iu	23	
澆		g	iu	1		k	iu	23	
叫		g	iu	1		k	iu	23	
嬌		g	iu	1		k	iu	23	
驕		g	iu	1		k	iu	23	
皎		g	iu	2		k	iu	45	
狡		g	iu	2		k	iu	45	
絞		g	iu	2		k	iu	45	
攪		g	iu	2		k	iu	45	
搞		g	iu	2		k	iu	45	
餃		g	iu	2		k	iu	45	
繳		g	iu	2		k	iu	45	
矯		g	iu	2		k	iu	45	
轎		g	iu	6		k	iu	32	
腳		g	iuuk	9		k	iuk	21	湯腳（湯渣）
腳		g	iuuk	7A		k	iuk	45	水腳（旅費）
腳		g	iuuk	7B		k	iuk	23	
姜		g	iuung	1		k	iuŋ	23	
僵		g	iuung	1		k	iuŋ	23	
薑		g	iuung	1		k	iuŋ	23	
疆		g	iuung	1		k	iuŋ	23	
韁		g	iuung	1		k	iuŋ	23	
羌		g	iuung	1		k	iuŋ	23	
強		g	iuung	6		k	iuŋ	32	倔強
搆		g	ou	1		k	ou	23	
垢		g	ou	1		k	ou	23	
夠		g	ou	1		k	ou	23	
勾		g	ou	1		k	ou	23	勾當
枸		g	ou	2		k	ou	45	
苟		g	ou	2		k	ou	45	
狗		g	ou	2		k	ou	45	
哥		g	u	1		k	u	23	
歌		g	u	1		k	u	23	
個		g	u	1		k	u	23	
沽		g	u	1		k	u	23	
孤		g	u	1		k	u	23	
姑		g	u	1		k	u	23	
辜		g	u	1		k	u	23	
固		g	u	1		k	u	23	
故		g	u	1		k	u	23	
錮		g	u	1		k	u	23	
鯝		g	u	1		k	u	23	
