單字	聲紐	呼	等	韻部	聲調	組	攝	江拼	聲母_定	韻母_定	聲調_定	IPA(寬)	聲母_定	韻母_定	聲調_定	IPA(嚴)	聲母_定	韻母_定	聲調_定	備註
各	見	開	一	唐	入	見	宕		g	ok	7		k	ɔk	23		k	ɔk	23	
擱	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A		g	ok	7		k	ɔk	23		k	ɔk	23	
咯									g	ok	7		k	ɔk	23		k	ɔk	23	咯咯笑
肝	見	開	一	寒	平	見	山		g	on	1		k	ɔn	23		k	ɔn	23	
竿	見	開	一	寒	平	見	山		g	on	1		k	ɔn	23		k	ɔn	23	
干	見	開	一	寒	平	見	山		g	on	1		k	ɔn	23		k	ɔn	23	
乾	見	開	一	寒	平	見	山		g	on	1		k	ɔn	23		k	ɔn	23	乾燥
杆	見	開	一	寒	去	見	山		g	on	1		k	ɔn	23		k	ɔn	23	
幹	見	開	一	寒	去	見	山		g	on	1		k	ɔn	23		k	ɔn	23	
桿	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A		g	on	1		k	ɔn	23		k	ɔn	23	
稈	見	開	一	寒	上	見	山		g	on	3		k	ɔn	35		k	ɔn	35	
趕	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A		g	on	3		k	ɔn	35		k	ɔn	35	
肛	見	開	二	江	平	見	江		g	ong	1		k	ɔŋ	23		k	ɔŋ	23	
江	見	開	二	江	平	見	江		g	ong	1		k	ɔŋ	23		k	ɔŋ	23	
扛	見	開	二	江	平	見	江		g	ong	1		k	ɔŋ	23		k	ɔŋ	23	
降	見	開	二	江	去	見	江		g	ong	1		k	ɔŋ	23		k	ɔŋ	23	降落
缸	匣	開	二	江	平	影	江		g	ong	1		k	ɔŋ	23		k	ɔŋ	23	
光	見	合	一	唐	平	見	宕		g	ong	1		k	ɔŋ	23		k	ɔŋ	23	
胱	見	合	一	唐	平	見	宕		g	ong	1		k	ɔŋ	23		k	ɔŋ	23	
岡	見	開	一	唐	平	見	宕		g	ong	1		k	ɔŋ	23		k	ɔŋ	23	
剛	見	開	一	唐	平	見	宕		g	ong	1		k	ɔŋ	23		k	ɔŋ	23	
崗	見	開	一	唐	平	見	宕		g	ong	1		k	ɔŋ	23		k	ɔŋ	23	
綱	見	開	一	唐	平	見	宕		g	ong	1		k	ɔŋ	23		k	ɔŋ	23	
鋼	見	開	一	唐	平	見	宕		g	ong	1		k	ɔŋ	23		k	ɔŋ	23	
槓	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A		g	ong	1		k	ɔŋ	23		k	ɔŋ	23	
獷	見	合	三	陽	上	見	宕		g	ong	3		k	ɔŋ	35		k	ɔŋ	35	
講	見	開	二	江	上	見	江		g	ong	3		k	ɔŋ	35		k	ɔŋ	35	
廣	見	合	一	唐	上	見	宕		g	ong	3		k	ɔŋ	35		k	ɔŋ	35	
葛	見	開	一	寒	入	見	山		g	ot	9		k	ɔt	21		k	ɔt	21	
割	見	開	一	寒	入	見	山		g	ot	7		k	ɔt	23		k	ɔt	23	
葛	見	開	一	寒	入	見	山		g	ot	7		k	ɔt	23		k	ɔt	23	
搆	見	開	一	侯	去	見	流		g	ou	1		k	ou	23		k	ou	23	
垢	見	開	一	侯	上	見	流		g	ou	1		k	ou	23		k	ou	23	
夠	溪	開	一	侯	平	見	流		g	ou	1		k	ou	23		k	ou	23	
勾									g	ou	1		k	ou	23		k	ou	23	勾當
枸	見	開	一	侯	平	見	流		g	ou	3		k	ou	35		k	ou	35	
苟	見	開	一	侯	上	見	流		g	ou	3		k	ou	35		k	ou	35	
狗	見	開	一	侯	上	見	流		g	ou	3		k	ou	35		k	ou	35	
沽	見	開	一	模	平	見	遇		g	u	1		k	u	23		k	u	23	
孤	見	開	一	模	平	見	遇		g	u	1		k	u	23		k	u	23	
姑	見	開	一	模	平	見	遇		g	u	1		k	u	23		k	u	23	
辜	見	開	一	模	平	見	遇		g	u	1		k	u	23		k	u	23	
固	見	開	一	模	去	見	遇		g	u	1		k	u	23		k	u	23	
故	見	開	一	模	去	見	遇		g	u	1		k	u	23		k	u	23	
錮	見	開	一	模	去	見	遇		g	u	1		k	u	23		k	u	23	
鯝	見	開	一	模	去	見	遇		g	u	1		k	u	23		k	u	23	
顧	見	開	一	模	去	見	遇		g	u	1		k	u	23		k	u	23	
估	見	開	一	模	上	見	遇		g	u	1		k	u	23		k	u	23	估衣
雇	匣	開	一	模	上	影	遇		g	u	1		k	u	23		k	u	23	
咕	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A		g	u	1		k	u	23		k	u	23	
菇	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A		g	u	1		k	u	23		k	u	23	
僱	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A		g	u	1		k	u	23		k	u	23	
家									g	u	1		k	u	23		k	u	23	曹大家
估	見	開	一	模	上	見	遇		g	u	3		k	u	35		k	u	35	估計
古	見	開	一	模	上	見	遇		g	u	3		k	u	35		k	u	35	
股	見	開	一	模	上	見	遇		g	u	3		k	u	35		k	u	35	
詁	見	開	一	模	上	見	遇		g	u	3		k	u	35		k	u	35	
鼓	見	開	一	模	上	見	遇		g	u	3		k	u	35		k	u	35	
賈	見	開	一	模	上	見	遇		g	u	3		k	u	35		k	u	35	商賈
居	見	開	三	之	平	見	止		g	ui	1		k	ui	23		k	uj	23	
車	見	開	三	魚	平	見	遇		g	ui	1		k	ui	23		k	uj	23	車馬炮
据	見	開	三	魚	平	見	遇		g	ui	1		k	ui	23		k	uj	23	
踞	見	開	三	魚	去	見	遇		g	ui	1		k	ui	23		k	uj	23	
據	見	開	三	魚	去	見	遇		g	ui	1		k	ui	23		k	uj	23	
鋸	見	開	三	魚	去	見	遇		g	ui	1		k	ui	23		k	uj	23	
瞿	見	合	三	虞	去	見	遇		g	ui	1		k	ui	23		k	uj	23	瞿然一驚
句	群	合	三	虞	平	見	遇		g	ui	1		k	ui	23		k	uj	23	
莒	見	開	三	魚	上	見	遇		g	ui	3		k	ui	35		k	uj	35	
舉	見	開	三	魚	上	見	遇		g	ui	3		k	ui	35		k	uj	35	
櫸	見	開	三	魚	上	見	遇		g	ui	3		k	ui	35		k	uj	35	
矩	見	合	三	虞	上	見	遇		g	ui	3		k	ui	35		k	uj	35	
遽	群	開	三	魚	去	見	遇		g	ui	4		k	ui	31		k	uj	31	
巨	群	開	三	魚	上	見	遇		g	ui	4		k	ui	31		k	uj	31	
炬	群	開	三	魚	上	見	遇		g	ui	4		k	ui	31		k	uj	31	
鉅	群	開	三	魚	上	見	遇		g	ui	4		k	ui	31		k	uj	31	
具	群	合	三	虞	去	見	遇		g	ui	4		k	ui	31		k	uj	31	
懼	群	合	三	虞	去	見	遇		g	ui	4		k	ui	31		k	uj	31	
局	群	開	三	鍾	入	見	通		g	uk	8		k	ʊk	31		k	ʊk	31	
掬	見	開	三	東	入	見	通		g	uk	6		k	ʊk	35		k	ʊk	35	
鞠	見	開	三	東	入	見	通		g	uk	6		k	ʊk	35		k	ʊk	35	
菊	見	開	三	東	入	見	通		g	uk	6		k	ʊk	35		k	ʊk	35	
谷	見	開	一	東	入	見	通		g	uk	6		k	ʊk	35		k	ʊk	35	山谷
穀	見	開	一	東	入	見	通		g	uk	6		k	ʊk	35		k	ʊk	35	
均	見	合	三	真A	平	見	臻		g	un	1		k	un	23		k	un	23	又音
鈞	見	合	三	真A	平	見	臻		g	un	1		k	un	23		k	un	23	又音
君	見	合	三	文	平	見	臻		g	un	1		k	un	23		k	un	23	又音
軍	見	合	三	文	平	見	臻		g	un	1		k	un	23		k	un	23	又音
棍	匣	合	一	魂	上	影	臻		g	un	1		k	un	23		k	un	23	又音
龜									g	un	1		k	un	23		k	un	23	又音
滾	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A		g	un	3		k	un	35		k	un	35	又音
郡	群	合	三	文	去	見	臻		g	un	4		k	un	31		k	un	31	又音
倔	群	合	三	文	入	見	臻		g	un	8		k	un	31		k	un	31	又音
掘	群	合	三	文	入	見	臻		g	un	8		k	un	31		k	un	31	又音
崛	群	合	三	文	入	見	臻		g	un	8		k	un	31		k	un	31	又音
骨	見	合	一	魂	入	見	臻		g	un	6		k	un	35		k	un	35	又音
滑	見	合	一	魂	入	見	臻		g	un	6		k	un	35		k	un	35	滑稽，又音
弓	見	開	三	東	平	見	通		g	ung	1		k	ʊŋ	23		k	ɔoŋ	23	
躬	見	開	三	東	平	見	通		g	ung	1		k	ʊŋ	23		k	ɔoŋ	23	
宮	見	開	三	東	平	見	通		g	ung	1		k	ʊŋ	23		k	ɔoŋ	23	
恭	見	開	三	鍾	平	見	通		g	ung	1		k	ʊŋ	23		k	ɔoŋ	23	
供	見	開	三	鍾	去	見	通		g	ung	1		k	ʊŋ	23		k	ɔoŋ	23	
工	見	開	一	東	平	見	通		g	ung	1		k	ʊŋ	23		k	ɔoŋ	23	
公	見	開	一	東	平	見	通		g	ung	1		k	ʊŋ	23		k	ɔoŋ	23	
功	見	開	一	東	平	見	通		g	ung	1		k	ʊŋ	23		k	ɔoŋ	23	
攻	見	開	一	東	平	見	通		g	ung	1		k	ʊŋ	23		k	ɔoŋ	23	
蚣	見	開	一	東	平	見	通		g	ung	1		k	ʊŋ	23		k	ɔoŋ	23	
貢	見	開	一	東	去	見	通		g	ung	1		k	ʊŋ	23		k	ɔoŋ	23	
紅									g	ung	1		k	ʊŋ	23		k	ɔoŋ	23	女紅
拱	見	開	三	鍾	上	見	通		g	ung	3		k	ʊŋ	35		k	ɔoŋ	35	
鞏	見	開	三	鍾	上	見	通		g	ung	3		k	ʊŋ	35		k	ɔoŋ	35	
共	見	開	三	鍾	平	見	通		g	ung	4		k	ʊŋ	31		k	ɔoŋ	31	
官	見	合	一	寒	平	見	山		g	uan	1		k	uan	23		k	ʊᴀn	23	
冠	見	合	一	寒	平	見	山		g	uan	1		k	uan	23		k	ʊᴀn	23	
倌	見	合	一	寒	平	見	山		g	uan	1		k	uan	23		k	ʊᴀn	23	
棺	見	合	一	寒	平	見	山		g	uan	1		k	uan	23		k	ʊᴀn	23	
觀	見	合	一	寒	平	見	山		g	uan	1		k	uan	23		k	ʊᴀn	23	
貫	見	合	一	寒	平	見	山		g	uan	1		k	uan	23		k	ʊᴀn	23	
灌	見	合	一	寒	去	見	山		g	uan	1		k	uan	23		k	ʊᴀn	23	
罐	見	合	一	寒	去	見	山		g	uan	1		k	uan	23		k	ʊᴀn	23	
鸛	見	合	一	寒	去	見	山		g	uan	1		k	uan	23		k	ʊᴀn	23	
館	見	合	一	寒	去	見	山		g	uan	3		k	uan	35		k	ʊᴀn	35	
管	見	合	一	寒	上	見	山		g	uan	3		k	uan	35		k	ʊᴀn	35	
瓜	見	合	二	麻	平	見	假		gu	a	1		kw	a	23		kʊ	ᴀ	23	
卦	見	合	二	佳	去	見	蟹		gu	a	1		kw	a	23		kʊ	ᴀ	23	
掛	見	合	二	佳	去	見	蟹		gu	a	1		kw	a	23		kʊ	ᴀ	23	
呱	見	開	一	模	平	見	遇		gu	a	1		kw	a	23		kʊ	ᴀ	23	
褂	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A		gu	a	1		kw	a	23		kʊ	ᴀ	23	
寡	見	合	二	麻	上	見	假		gu	a	3		kw	a	35		kʊ	ᴀ	35	
乖	見	合	二	皆	平	見	蟹		gu	ai	1		kw	ai	23		kʊ	ᴀj	23	
怪	見	合	二	皆	去	見	蟹		gu	ai	1		kw	ai	23		kʊ	ᴀj	23	
枴	見	合	二	佳	上	見	蟹		gu	ai	3		kw	ai	35		kʊ	ᴀj	35	
拐	群	開	二	佳	上	見	蟹		gu	ai	3		kw	ai	35		kʊ	ᴀj	35	
綸	見	合	二	山	平	見	山		gu	an	1		kw	an	23		kʊ	ᴀn	23	綸巾
關	見	合	二	刪	平	見	山		gu	an	1		kw	an	23		kʊ	ᴀn	23	
慣	見	合	二	刪	去	見	山		gu	an	1		kw	an	23		kʊ	ᴀn	23	
轟	曉	合	二	耕	平	影	梗		gu	ang	1		kw	aŋ	23		kʊ	ᴀŋ	23	
肱									gu	ang	1		kw	aŋ	23		kʊ	ᴀŋ	23	
梗	見	開	二	庚	上	見	梗		gu	ang	3		kw	aŋ	35		kʊ	ᴀŋ	35	
逛	見	合	三	陽	上	見	宕		gu	ang	4		kw	aŋ	31		kʊ	ᴀŋ	31	
均	見	合	三	真A	平	見	臻		gu	aen	1		kw	ɐn	23		kʊ	ɐn	23	
鈞	見	合	三	真A	平	見	臻		gu	aen	1		kw	ɐn	23		kʊ	ɐn	23	
君	見	合	三	文	平	見	臻		gu	aen	1		kw	ɐn	23		kʊ	ɐn	23	
軍	見	合	三	文	平	見	臻		gu	aen	1		kw	ɐn	23		kʊ	ɐn	23	
棍	匣	合	一	魂	上	影	臻		gu	aen	1		kw	ɐn	23		kʊ	ɐn	23	
龜									gu	aen	1		kw	ɐn	23		kʊ	ɐn	23	
滾	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A		gu	aen	3		kw	ɐn	35		kʊ	ɐn	35	
郡	群	合	三	文	去	見	臻		gu	aen	4		kw	ɐn	31		kʊ	ɐn	31	
倔	群	合	三	文	入	見	臻		gu	aet	8		kw	ɐt	31		kʊ	ɐt	31	
掘	群	合	三	文	入	見	臻		gu	aet	8		kw	ɐt	31		kʊ	ɐt	31	
崛	群	合	三	文	入	見	臻		gu	aet	8		kw	ɐt	31		kʊ	ɐt	31	
骨	見	合	一	魂	入	見	臻		gu	aet	6		kw	ɐt	35		kʊ	ɐt	35	
滑	見	合	一	魂	入	見	臻		gu	aet	6		kw	ɐt	35		kʊ	ɐt	35	滑稽
刮	見	合	二	刪	入	見	山		gu	et	7		kw	ɛt	23		kʊ	ɛt	23	
颳	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A		gu	et	7		kw	ɛt	23		kʊ	ɛt	23	
圭	見	合	四	齊	平	見	蟹		gu	i	1		kw	i	23		kʊ	i	23	
閨	見	合	四	齊	平	見	蟹		gu	i	1		kw	i	23		kʊ	i	23	
鮭	見	合	四	齊	平	見	蟹		gu	i	1		kw	i	23		kʊ	i	23	
桂	見	合	四	齊	去	見	蟹		gu	i	1		kw	i	23		kʊ	i	23	
鱖	見	合	三	祭B	去	見	蟹		gu	i	1		kw	i	23		kʊ	i	23	
季	見	合	三	脂A	去	見	止		gu	i	1		kw	i	23		kʊ	i	23	
癸	見	合	三	脂A	上	見	止		gu	i	1		kw	i	23		kʊ	i	23	
悸	群	合	三	脂A	去	見	止		gu	i	1		kw	i	23		kʊ	i	23	
龜	見	合	三	脂B	平	見	止		gu	i	1		kw	i	23		kʊ	i	23	
歸	見	合	三	微	平	見	止		gu	i	1		kw	i	23		kʊ	i	23	
貴	見	合	三	微	去	見	止		gu	i	1		kw	i	23		kʊ	i	23	
傀	見	合	一	灰	平	見	蟹		gu	i	1		kw	i	23		kʊ	i	23	傀偉
瑰	匣	合	一	灰	平	影	蟹		gu	i	1		kw	i	23		kʊ	i	23	
詭	見	合	三	支B	上	見	止		gu	i	3		kw	i	35		kʊ	i	35	
軌	見	合	三	脂B	上	見	止		gu	i	3		kw	i	35		kʊ	i	35	
晷	見	合	三	脂B	上	見	止		gu	i	3		kw	i	35		kʊ	i	35	
鬼	見	合	三	微	上	見	止		gu	i	3		kw	i	35		kʊ	i	35	
跪	溪	合	三	支B	上	見	止		gu	i	4		kw	i	31		kʊ	i	31	
櫃	群	合	三	脂B	去	見	止		gu	i	4		kw	i	31		kʊ	i	31	
匱	群	合	三	脂B	去	見	止		gu	i	4		kw	i	31		kʊ	i	31	
餽	群	合	三	脂B	去	見	止		gu	i	4		kw	i	31		kʊ	i	31	
饋	群	合	三	脂B	去	見	止		gu	i	4		kw	i	31		kʊ	i	31	
蝦	匣	開	二	麻	平	影	假		h	a	1		h	a	23		h	ᴀ	23	蝦蟆
哈	疑	開	一	覃	入	見	咸		h	a	1		h	a	23		h	ᴀ	23	
他	透	開	一	歌	平	端	果		h	a	1		h	a	23		h	ᴀ	23	
它	透	開	一	歌	平	端	果		h	a	1		h	a	23		h	ᴀ	23	
她	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A		h	a	1		h	a	23		h	ᴀ	23	
牠	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A		h	a	1		h	a	23		h	ᴀ	23	
祂	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A		h	a	1		h	a	23		h	ᴀ	23	
蛤									h	a	1		h	a	23		h	ᴀ	23	蛤蟆
遐	匣	開	二	麻	平	影	假		h	a	2		h	a	22		h	ᴀ	22	
瑕	匣	開	二	麻	平	影	假		h	a	2		h	a	22		h	ᴀ	22	
霞	匣	開	二	麻	平	影	假		h	a	2		h	a	22		h	ᴀ	22	
下	匣	開	二	麻	上	影	假		h	a	2		h	a	21		h	ᴀ	21	打一下
蝦									h	a	2		h	a	21		h	ᴀ	21	蝦米
暇	匣	開	二	麻	去	影	假		h	a	4		h	a	31		h	ᴀ	31	
下	匣	開	二	麻	去	影	假		h	a	4		h	a	31		h	ᴀ	31	下面
廈	匣	開	二	麻	上	影	假		h	a	4		h	a	31		h	ᴀ	31	
夏	匣	開	二	麻	上	影	假		h	a	4		h	a	31		h	ᴀ	31	
邂	匣	開	二	佳	去	影	蟹		h	ai	1		h	ai	23		h	ᴀj	23	
太	透	開	一	泰	去	端	蟹		h	ai	1		h	ai	23		h	ᴀj	23	
汰	透	開	一	泰	去	端	蟹		h	ai	1		h	ai	23		h	ᴀj	23	
泰	透	開	一	泰	去	端	蟹		h	ai	1		h	ai	23		h	ᴀj	23	
貸	透	開	一	咍	去	端	蟹		h	ai	1		h	ai	23		h	ᴀj	23	
態	透	開	一	咍	去	端	蟹		h	ai	1		h	ai	23		h	ᴀj	23	
蟹	匣	開	二	佳	上	影	蟹		h	ai	3		h	ai	35		h	ᴀj	35	
鞋	匣	開	二	佳	平	影	蟹		h	ai	2		h	ai	22		h	ᴀj	22	
骸	匣	開	二	皆	平	影	蟹		h	ai	2		h	ai	22		h	ᴀj	22	
諧	匣	開	二	皆	平	影	蟹		h	ai	2		h	ai	22		h	ᴀj	22	
孩	匣	開	一	咍	平	影	蟹		h	ai	2		h	ai	22		h	ᴀj	22	
蟹	匣	開	二	佳	上	影	蟹		h	ai	2		h	ai	21		h	ᴀj	21	
懈	見	開	二	佳	去	見	蟹		h	ai	4		h	ai	31		h	ᴀj	31	
解	匣	開	二	佳	去	影	蟹		h	ai	4		h	ai	31		h	ᴀj	31	姓解
械	匣	開	二	皆	去	影	蟹		h	ai	4		h	ai	31		h	ᴀj	31	
喀	溪	開	二	庚	入	見	梗		h	ak	6		h	ak	35		h	ᴀk	35	
客	溪	開	二	庚	入	見	梗		h	ak	6		h	ak	35		h	ᴀk	35	
赫	曉	開	二	庚	入	影	梗		h	ak	6		h	ak	35		h	ᴀk	35	
克	溪	開	一	登	入	見	曾		h	ak	6		h	ak	35		h	ᴀk	35	
刻	溪	開	一	登	入	見	曾		h	ak	6		h	ak	35		h	ᴀk	35	
剋	溪	開	一	登	入	見	曾		h	ak	6		h	ak	35		h	ᴀk	35	
黑	曉	開	一	登	入	影	曾		h	ak	6		h	ak	35		h	ᴀk	35	
嘿	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A		h	ak	6		h	ak	35		h	ᴀk	35	嘿嘿
可									h	ak	6		h	ak	35		h	ᴀk	35	可汗
嚇	曉	開	二	麻	去	影	假		h	ak	7		h	ak	23		h	ᴀk	23	
咯									h	ak	7		h	ak	23		h	ᴀk	23	咯血
貪	透	開	一	覃	平	端	咸		h	am	1		h	am	23		h	ᴀm	23	
探	透	開	一	覃	平	端	咸		h	am	1		h	am	23		h	ᴀm	23	
淡	定	開	一	談	上	端	咸		h	am	1		h	am	23		h	ᴀm	23	好淡
喊	曉	開	一	談	上	影	咸		h	am	1		h	am	23		h	ᴀm	23	
堪	溪	開	一	覃	平	見	咸		h	am	1		h	am	23		h	ᴀm	23	
龕	溪	開	一	覃	平	見	咸		h	am	1		h	am	23		h	ᴀm	23	
瞰	溪	開	一	談	去	見	咸		h	am	1		h	am	23		h	ᴀm	23	
憨	曉	開	一	談	平	影	咸		h	am	1		h	am	23		h	ᴀm	23	
崁	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A		h	am	1		h	am	23		h	ᴀm	23	
坎	溪	開	一	覃	上	見	咸		h	am	3		h	am	35		h	ᴀm	35	
砍	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A		h	am	3		h	am	35		h	ᴀm	35	
咸	匣	開	二	咸	平	影	咸		h	am	2		h	am	22		h	ᴀm	22	
銜	匣	開	二	銜	平	影	咸		h	am	2		h	am	22		h	ᴀm	22	
鹹	匣	開	二	咸	平	影	咸		h	am	2		h	am	22		h	ᴀm	22	
潭	定	開	一	覃	平	端	咸		h	am	2		h	am	22		h	ᴀm	22	
譚	定	開	一	覃	平	端	咸		h	am	2		h	am	22		h	ᴀm	22	
函	匣	開	一	覃	平	影	咸		h	am	2		h	am	22		h	ᴀm	22	
涵	匣	開	一	覃	平	影	咸		h	am	2		h	am	22		h	ᴀm	22	
痰	定	開	一	談	平	端	咸		h	am	2		h	am	22		h	ᴀm	22	
談	定	開	一	談	平	端	咸		h	am	2		h	am	22		h	ᴀm	22	
罈	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A		h	am	2		h	am	22		h	ᴀm	22	
含	匣	開	一	覃	平	影	咸		h	am	2		h	am	22		h	ᴀm	22	
酣	匣	開	一	談	平	影	咸		h	am	2		h	am	22		h	ᴀm	22	
餡	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A		h	am	2		h	am	21		h	ᴀm	21	
陷	匣	開	二	咸	去	影	咸		h	am	4		h	am	31		h	ᴀm	31	
憾	匣	開	一	覃	去	影	咸		h	am	4		h	am	31		h	ᴀm	31	
撼	匣	開	一	覃	上	影	咸		h	am	4		h	am	31		h	ᴀm	31	
攤	透	開	一	寒	平	端	山		h	an	1		h	an	23		h	ᴀn	23	
灘	透	開	一	寒	平	端	山		h	an	1		h	an	23		h	ᴀn	23	
嘆	透	開	一	寒	平	端	山		h	an	1		h	an	23		h	ᴀn	23	
炭	透	開	一	寒	去	端	山		h	an	1		h	an	23		h	ᴀn	23	
歎	透	開	一	寒	去	端	山		h	an	1		h	an	23		h	ᴀn	23	
癱	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A		h	an	1		h	an	23		h	ᴀn	23	
碳	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A		h	an	1		h	an	23		h	ᴀn	23	
毯	透	開	一	談	上	端	咸		h	an	3		h	an	35		h	ᴀn	35	
袒	定	開	一	寒	上	端	山		h	an	3		h	an	35		h	ᴀn	35	
坦	透	開	一	寒	上	端	山		h	an	3		h	an	35		h	ᴀn	35	
忐	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A		h	an	3		h	an	35		h	ᴀn	35	
閒	見	開	二	山	平	見	山		h	an	2		h	an	22		h	ᴀn	22	
彈	定	開	一	寒	平	端	山		h	an	2		h	an	22		h	ᴀn	22	彈劾
壇	定	開	一	寒	平	端	山		h	an	2		h	an	22		h	ᴀn	22	
檀	定	開	一	寒	平	端	山		h	an	2		h	an	22		h	ᴀn	22	
嫻	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A		h	an	2		h	an	22		h	ᴀn	22	
限	匣	開	二	山	上	影	山		h	an	4		h	an	31		h	ᴀn	31	
坑	溪	開	二	庚	平	見	梗		h	ang	1		h	aŋ	23		h	ᴀŋ	23	
亨	曉	開	二	庚	平	影	梗		h	ang	1		h	aŋ	23		h	ᴀŋ	23	
鏗	溪	開	二	耕	平	見	梗		h	ang	1		h	aŋ	23		h	ᴀŋ	23	
哼	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A		h	ang	1		h	aŋ	23		h	ᴀŋ	23	哼歌
肯	溪	開	一	登	上	見	曾		h	ang	3		h	aŋ	35		h	ᴀŋ	35	
啃	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A		h	ang	3		h	aŋ	35		h	ᴀŋ	35	
衡	匣	開	二	庚	平	影	梗		h	ang	2		h	aŋ	22		h	ᴀŋ	22	
行	匣	開	二	庚	平	影	梗		h	ang	2		h	aŋ	22		h	ᴀŋ	22	步行
藤	定	開	一	登	平	端	曾		h	ang	2		h	aŋ	22		h	ᴀŋ	22	
騰	定	開	一	登	平	端	曾		h	ang	2		h	aŋ	22		h	ᴀŋ	22	
恆	匣	開	一	登	平	影	曾		h	ang	2		h	aŋ	22		h	ᴀŋ	22	
疼	定	合	一	冬	平	端	通		h	ang	2		h	aŋ	22		h	ᴀŋ	22	疼痛
籐	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A		h	ang	2		h	aŋ	22		h	ᴀŋ	22	
行	匣	開	二	庚	去	影	梗		h	ang	4		h	aŋ	31		h	ᴀŋ	31	品行
杏	匣	開	二	庚	上	影	梗		h	ang	4		h	aŋ	31		h	ᴀŋ	31	
幸	匣	開	二	耕	上	影	梗		h	ang	4		h	aŋ	31		h	ᴀŋ	31	
倖	匣	開	二	耕	上	影	梗		h	ang	4		h	aŋ	31		h	ᴀŋ	31	
峽	匣	開	二	咸	入	影	咸		h	ap	8		h	ap	31		h	ᴀp	31	
狹	匣	開	二	咸	入	影	咸		h	ap	8		h	ap	31		h	ᴀp	31	
匣	匣	開	二	銜	入	影	咸		h	ap	8		h	ap	31		h	ᴀp	31	
磕	溪	開	一	泰	去	見	蟹		h	ap	8		h	ap	31		h	ᴀp	31	
合	匣	開	一	覃	入	影	咸		h	ap	8		h	ap	31		h	ᴀp	31	合格
盒	匣	開	一	覃	入	影	咸		h	ap	8		h	ap	31		h	ᴀp	31	
闔	匣	開	一	談	入	影	咸		h	ap	8		h	ap	31		h	ᴀp	31	
嗑	匣	開	一	談	入	影	咸		h	ap	6		h	ap	35		h	ᴀp	35	
掐	溪	開	二	咸	入	見	咸		h	ap	7		h	ap	23		h	ᴀp	23	
塔	透	開	一	談	入	端	咸		h	ap	7		h	ap	23		h	ᴀp	23	
榻	透	開	一	談	入	端	咸		h	ap	7		h	ap	23		h	ᴀp	23	
塌	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A		h	ap	7		h	ap	23		h	ᴀp	23	
叨	透	開	一	豪	平	端	效		h	au	1		h	au	23		h	ᴀw	23	叨擾
絛	透	開	一	豪	平	端	效		h	au	1		h	au	23		h	ᴀw	23	
滔	透	開	一	豪	平	端	效		h	au	1		h	au	23		h	ᴀw	23	
挑	透	開	一	豪	平	端	效		h	au	1		h	au	23		h	ᴀw	23	挑達
套	透	開	一	豪	上	端	效		h	au	1		h	au	23		h	ᴀw	23	
蒿	曉	開	一	豪	平	影	效		h	au	1		h	au	23		h	ᴀw	23	
好	曉	開	一	豪	去	影	效		h	au	1		h	au	23		h	ᴀw	23	好客
耗	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A		h	au	1		h	au	23		h	ᴀw	23	
考	溪	開	一	豪	上	見	效		h	au	3		h	au	35		h	ᴀw	35	
禱	端	開	一	豪	上	端	效		h	au	3		h	au	35		h	ᴀw	35	
討	透	開	一	豪	上	端	效		h	au	3		h	au	35		h	ᴀw	35	
好	曉	開	一	豪	上	影	效		h	au	3		h	au	35		h	ᴀw	35	友好
掏	定	開	一	豪	平	端	效		h	au	2		h	au	22		h	ᴀw	22	
濤	定	開	一	豪	平	端	效		h	au	2		h	au	22		h	ᴀw	22	
