單字	聲紐	呼	等	韻部	聲調	組	攝	江拼	聲母_定	韻母_定	聲調_定	IPA(寬)	聲母_定	韻母_定	聲調_定	IPA(嚴)	聲母_定	韻母_定	聲調_定
跌	定	開	四	先	入	端	山		d	it	6		t	it	23		t	it	23
刁	端	開	四	蕭	平	端	效		d	iu	1		t	iu	23		t	iw	23
凋	端	開	四	蕭	平	端	效		d	iu	1		t	iu	23		t	iw	23
貂	端	開	四	蕭	平	端	效		d	iu	1		t	iu	23		t	iw	23
雕	端	開	四	蕭	平	端	效		d	iu	1		t	iu	23		t	iw	23
鵰	端	開	四	蕭	平	端	效		d	iu	1		t	iu	23		t	iw	23
弔	端	開	四	蕭	去	端	效		d	iu	1		t	iu	23		t	iw	23
釣	端	開	四	蕭	去	端	效		d	iu	1		t	iu	23		t	iw	23
叼	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A		d	iu	1		t	iu	23		t	iw	23
吊	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A		d	iu	1		t	iu	23		t	iw	23
丟	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A		d	iu	1		t	iu	23		t	iw	23
調	定	開	四	蕭	去	端	效		d	iu	4		t	iu	32		t	iw	32
掉	定	開	四	蕭	上	端	效		d	iu	4		t	iu	32		t	iw	32
多	端	開	一	歌	平	端	果		d	o	1		t	ɔ	23		t	ɔ	23
朵	端	合	一	歌	上	端	果		d	o	3		t	ɔ	45		t	ɔ	45
躲	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A		d	o	3		t	ɔ	45		t	ɔ	45
跺	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A		d	o	3		t	ɔ	45		t	ɔ	45
墮	曉	合	三	支A	平	影	止		d	o	4		t	ɔ	32		t	ɔ	32
惰	定	合	一	歌	上	端	果		d	o	4		t	ɔ	32		t	ɔ	32
代	定	開	一	咍	去	端	蟹		d	oi	4		t	ɔi	32		t	ɔj	32
岱	定	開	一	咍	去	端	蟹		d	oi	4		t	ɔi	32		t	ɔj	32
袋	定	開	一	咍	去	端	蟹		d	oi	4		t	ɔi	32		t	ɔj	32
黛	定	開	一	咍	去	端	蟹		d	oi	4		t	ɔi	32		t	ɔj	32
殆	定	開	一	咍	上	端	蟹		d	oi	4		t	ɔi	32		t	ɔj	32
待	定	開	一	咍	上	端	蟹		d	oi	4		t	ɔi	32		t	ɔj	32
怠	定	開	一	咍	上	端	蟹		d	oi	4		t	ɔi	32		t	ɔj	32
度	定	開	一	唐	入	端	宕		d	ok	7		t	ɔk	32		t	ɔk	32
踱	定	開	一	唐	入	端	宕		d	ok	7		t	ɔk	32		t	ɔk	32
當	端	開	一	唐	平	端	宕		d	ong	1		t	ɔŋ	23		t	ɔŋ	23
鐺	端	開	一	唐	平	端	宕		d	ong	1		t	ɔŋ	23		t	ɔŋ	23
當	端	開	一	唐	去	端	宕		d	ong	1		t	ɔŋ	23		t	ɔŋ	23
擋	端	開	一	唐	去	端	宕		d	ong	1		t	ɔŋ	23		t	ɔŋ	23
噹	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A		d	ong	1		t	ɔŋ	23		t	ɔŋ	23
檔									d	ong	1		t	ɔŋ	23		t	ɔŋ	23
黨	端	開	一	唐	上	端	宕		d	ong	3		t	ɔŋ	45		t	ɔŋ	45
擋									d	ong	3		t	ɔŋ	45		t	ɔŋ	45
檔									d	ong	3		t	ɔŋ	45		t	ɔŋ	45
宕	定	開	一	唐	去	端	宕		d	ong	4		t	ɔŋ	32		t	ɔŋ	32
蕩	定	開	一	唐	上	端	宕		d	ong	4		t	ɔŋ	32		t	ɔŋ	32
盪	透	開	一	唐	平	端	宕		d	ong	4		t	ɔŋ	32		t	ɔŋ	32
都	端	開	一	模	平	端	遇		d	ou	1		t	ou	23		t	ow	23
刀	端	開	一	豪	平	端	效		d	ou	1		t	ou	23		t	ow	23
到	端	開	一	豪	去	端	效		d	ou	1		t	ou	23		t	ow	23
倒	端	開	一	豪	去	端	效		d	ou	1		t	ou	23		t	ow	23
嘟	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A		d	ou	1		t	ou	23		t	ow	23
叨									d	ou	1		t	ou	23		t	ow	23
闍									d	ou	1		t	ou	23		t	ow	23
肚	定	開	一	模	上	端	遇		d	ou	3		t	ou	45		t	ow	45
堵	端	開	一	模	上	端	遇		d	ou	3		t	ou	45		t	ow	45
睹	端	開	一	模	上	端	遇		d	ou	3		t	ou	45		t	ow	45
賭	端	開	一	模	上	端	遇		d	ou	3		t	ou	45		t	ow	45
島	端	開	一	豪	上	端	效		d	ou	3		t	ou	45		t	ow	45
擣	端	開	一	豪	上	端	效		d	ou	3		t	ou	45		t	ow	45
倒	端	開	一	豪	上	端	效		d	ou	3		t	ou	45		t	ow	45
搗	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A		d	ou	3		t	ou	45		t	ow	45
鍍	定	開	一	模	平	端	遇		d	ou	4		t	ou	32		t	ow	32
度	定	開	一	模	去	端	遇		d	ou	4		t	ou	32		t	ow	32
渡	定	開	一	模	去	端	遇		d	ou	4		t	ou	32		t	ow	32
杜	定	開	一	模	上	端	遇		d	ou	4		t	ou	32		t	ow	32
妒	端	開	一	模	去	端	遇		d	ou	4		t	ou	32		t	ow	32
導	定	開	一	豪	去	端	效		d	ou	4		t	ou	32		t	ow	32
蹈	定	開	一	豪	去	端	效		d	ou	4		t	ou	32		t	ow	32
悼	定	開	一	豪	去	端	效		d	ou	4		t	ou	32		t	ow	32
盜	定	開	一	豪	去	端	效		d	ou	4		t	ou	32		t	ow	32
道	定	開	一	豪	上	端	效		d	ou	4		t	ou	32		t	ow	32
稻	定	開	一	豪	上	端	效		d	ou	4		t	ou	32		t	ow	32
兌	定	合	一	泰	去	端	蟹		d	ui	1		t	ui	23		t	uj	23
堆	端	合	一	灰	平	端	蟹		d	ui	1		t	ui	23		t	uj	23
對	端	合	一	灰	去	端	蟹		d	ui	1		t	ui	23		t	uj	23
隊	定	合	一	灰	去	端	蟹		d	ui	4		t	ui	32		t	uj	32
毒	定	合	一	冬	入	端	通		d	uk	7		t	ʊk	32		t	ɔok	32
獨	定	開	一	東	入	端	通		d	uk	7		t	ʊk	32		t	ɔok	32
瀆	定	開	一	東	入	端	通		d	uk	7		t	ʊk	32		t	ɔok	32
犢	定	開	一	東	入	端	通		d	uk	7		t	ʊk	32		t	ɔok	32
讀	定	開	一	東	入	端	通		d	uk	7		t	ʊk	32		t	ɔok	32
頓									d	uk	7		t	ʊk	32		t	ɔok	32
篤	端	合	一	冬	入	端	通		d	uk	8		t	ʊk	21		t	ɔok	21
督	端	合	一	冬	入	端	通		d	uk	5		t	ʊk	45		t	ɔok	45
篤	端	合	一	冬	入	端	通		d	uk	5		t	ʊk	45		t	ɔok	45
冬	端	合	一	冬	平	端	通		d	ung	1		t	ʊŋ	23		t	ɔoŋ	23
東	端	開	一	東	平	端	通		d	ung	1		t	ʊŋ	23		t	ɔoŋ	23
鶇	端	開	一	東	平	端	通		d	ung	1		t	ʊŋ	23		t	ɔoŋ	23
凍	端	開	一	東	平	端	通		d	ung	1		t	ʊŋ	23		t	ɔoŋ	23
咚	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A		d	ung	1		t	ʊŋ	23		t	ɔoŋ	23
董	端	開	一	東	上	端	通		d	ung	3		t	ʊŋ	45		t	ɔoŋ	45
懂	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A		d	ung	3		t	ʊŋ	45		t	ɔoŋ	45
幢	澄	開	二	江	去	知	江		d	ung	4		t	ʊŋ	32		t	ɔoŋ	32
洞	定	開	一	東	平	端	通		d	ung	4		t	ʊŋ	32		t	ɔoŋ	32
動	定	開	一	東	上	端	通		d	ung	4		t	ʊŋ	32		t	ɔoŋ	32
棟	端	開	一	東	去	端	通		d	ung	4		t	ʊŋ	32		t	ɔoŋ	32
花	曉	合	二	麻	平	影	假		f	a	1		f	a	23		f	ᴀ	23
化	曉	合	二	麻	去	影	假		f	a	1		f	a	23		f	ᴀ	23
快	溪	合	二	夬	去	見	蟹		f	ai	1		f	ai	23		f	ᴀj	23
塊	溪	合	一	灰	去	見	蟹		f	ai	1		f	ai	23		f	ᴀj	23
傀	溪	合	一	灰	上	見	蟹		f	ai	1		f	ai	23		f	ᴀj	23
筷	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A		f	ai	1		f	ai	23		f	ᴀj	23
販	幫	合	三	元	去	幫	山		f	an	1		f	an	23		f	ᴀn	23
番	並	合	三	元	平	幫	山		f	an	1		f	an	23		f	ᴀn	23
翻	滂	合	三	元	平	幫	山		f	an	1		f	an	23		f	ᴀn	23
返	幫	合	三	元	上	幫	山		f	an	3		f	an	45		f	ᴀn	45
反	滂	合	三	元	平	幫	山		f	an	3		f	an	45		f	ᴀn	45
帆	並	合	三	凡	平	幫	咸		f	an	2		f	an	21		f	ᴀn	21
凡	並	合	三	凡	平	幫	咸		f	an	2		f	an	21		f	ᴀn	21
梵	並	合	三	東	平	幫	通		f	an	2		f	an	21		f	ᴀn	21
蕃	並	合	三	元	平	幫	山		f	an	2		f	an	21		f	ᴀn	21
藩	並	合	三	元	平	幫	山		f	an	2		f	an	21		f	ᴀn	21
煩	並	合	三	元	平	幫	山		f	an	2		f	an	21		f	ᴀn	21
樊	並	合	三	元	平	幫	山		f	an	2		f	an	21		f	ᴀn	21
繁	並	合	三	元	平	幫	山		f	an	2		f	an	21		f	ᴀn	21
犯	並	合	三	凡	上	幫	咸		f	an	4		f	an	32		f	ᴀn	32
范	並	合	三	凡	上	幫	咸		f	an	4		f	an	32		f	ᴀn	32
範	並	合	三	凡	上	幫	咸		f	an	4		f	an	32		f	ᴀn	32
氾	滂	合	三	凡	去	幫	咸		f	an	4		f	an	32		f	ᴀn	32
泛	滂	合	三	凡	去	幫	咸		f	an	4		f	an	32		f	ᴀn	32
飯	並	合	三	元	上	幫	山		f	an	4		f	an	32		f	ᴀn	32
瓣	並	開	二	山	去	幫	山		f	an	4		f	an	32		f	ᴀn	32
法	幫	合	三	凡	入	幫	咸		f	at	5		f	at	45		f	ᴀt	45
髮	幫	合	三	元	入	幫	山		f	at	5		f	at	45		f	ᴀt	45
發	幫	合	三	元	入	幫	山		f	at	5		f	at	45		f	ᴀt	45
法	幫	合	三	凡	入	幫	咸		f	at	6		f	at	23		f	ᴀt	23
發	幫	合	三	元	入	幫	山		f	at	6		f	at	23		f	ᴀt	23
砝	見	開	一	談	入	見	咸		f	at	6		f	at	23		f	ᴀt	23
廢	幫	合	三	廢	去	幫	蟹		f	aei	1		f	ɐi	23		f	ɐi	23
肺	滂	合	三	廢	去	幫	蟹		f	aei	1		f	ɐi	23		f	ɐi	23
費	幫	開	三	脂B	去	幫	止		f	aei	1		f	ɐi	23		f	ɐi	23
芾	幫	合	三	微	去	幫	止		f	aei	1		f	ɐi	23		f	ɐi	23
沸	幫	合	三	微	去	幫	止		f	aei	1		f	ɐi	23		f	ɐi	23
揮	曉	合	三	微	平	影	止		f	aei	1		f	ɐi	23		f	ɐi	23
暉	曉	合	三	微	平	影	止		f	aei	1		f	ɐi	23		f	ɐi	23
輝	曉	合	三	微	平	影	止		f	aei	1		f	ɐi	23		f	ɐi	23
徽	曉	合	三	微	平	影	止		f	aei	1		f	ɐi	23		f	ɐi	23
吠	並	合	三	廢	去	幫	蟹		f	aei	4		f	ɐi	32		f	ɐi	32
分	幫	合	三	文	平	幫	臻		f	aen	1		f	ɐn	23		f	ɐn	23
奮	幫	合	三	文	去	幫	臻		f	aen	1		f	ɐn	23		f	ɐn	23
糞	幫	合	三	文	去	幫	臻		f	aen	1		f	ɐn	23		f	ɐn	23
氛	並	合	三	文	平	幫	臻		f	aen	1		f	ɐn	23		f	ɐn	23
芬	滂	合	三	文	平	幫	臻		f	aen	1		f	ɐn	23		f	ɐn	23
紛	滂	合	三	文	平	幫	臻		f	aen	1		f	ɐn	23		f	ɐn	23
勛	曉	合	三	文	平	影	臻		f	aen	1		f	ɐn	23		f	ɐn	23
薰	曉	合	三	文	平	影	臻		f	aen	1		f	ɐn	23		f	ɐn	23
燻	曉	合	三	文	平	影	臻		f	aen	1		f	ɐn	23		f	ɐn	23
醺	曉	合	三	文	平	影	臻		f	aen	1		f	ɐn	23		f	ɐn	23
訓	曉	合	三	文	去	影	臻		f	aen	1		f	ɐn	23		f	ɐn	23
昏	曉	合	一	魂	平	影	臻		f	aen	1		f	ɐn	23		f	ɐn	23
婚	曉	合	一	魂	平	影	臻		f	aen	1		f	ɐn	23		f	ɐn	23
吩	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A		f	aen	1		f	ɐn	23		f	ɐn	23
粉	幫	合	三	文	上	幫	臻		f	aen	3		f	ɐn	45		f	ɐn	45
焚	並	合	三	文	平	幫	臻		f	aen	2		f	ɐn	21		f	ɐn	21
墳	並	合	三	文	平	幫	臻		f	aen	2		f	ɐn	21		f	ɐn	21
份	幫	開	三	真B	平	幫	臻		f	aen	4		f	ɐn	32		f	ɐn	32
奮	幫	合	三	文	去	幫	臻		f	aen	4		f	ɐn	32		f	ɐn	32
分	並	合	三	文	去	幫	臻		f	aen	4		f	ɐn	32		f	ɐn	32
憤	並	合	三	文	上	幫	臻		f	aen	4		f	ɐn	32		f	ɐn	32
忿	滂	合	三	文	上	幫	臻		f	aen	4		f	ɐn	32		f	ɐn	32
乏	並	合	三	凡	入	幫	咸		f	aet	7		f	ɐt	32		f	ɐt	32
佛	並	合	三	文	入	幫	臻		f	aet	7		f	ɐt	32		f	ɐt	32
伐	並	合	三	元	入	幫	山		f	aet	7		f	ɐt	32		f	ɐt	32
筏	並	合	三	元	入	幫	山		f	aet	7		f	ɐt	32		f	ɐt	32
罰	並	合	三	元	入	幫	山		f	aet	7		f	ɐt	32		f	ɐt	32
芾	幫	合	三	文	入	幫	臻		f	aet	5		f	ɐt	45		f	ɐt	45
弗	幫	合	三	文	入	幫	臻		f	aet	5		f	ɐt	45		f	ɐt	45
拂	滂	合	三	文	入	幫	臻		f	aet	5		f	ɐt	45		f	ɐt	45
彿	滂	合	三	文	入	幫	臻		f	aet	5		f	ɐt	45		f	ɐt	45
忽	曉	合	一	魂	入	影	臻		f	aet	5		f	ɐt	45		f	ɐt	45
惚	曉	合	一	魂	入	影	臻		f	aet	5		f	ɐt	45		f	ɐt	45
囫	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A		f	aet	5		f	ɐt	45		f	ɐt	45
佛									f	aet	5		f	ɐt	45		f	ɐt	45
否	幫	合	三	尤	上	幫	流		f	aeu	3		f	ɐu	45		f	ɐu	45
剖	滂	合	三	虞	上	幫	遇		f	aeu	3		f	ɐu	45		f	ɐu	45
浮	並	合	三	尤	平	幫	流		f	aeu	2		f	ɐu	21		f	ɐu	21
埠	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A		f	aeu	4		f	ɐu	32		f	ɐu	32
啡	滂	合	一	灰	上	幫	蟹		f	e	1		f	ɛ	23		f	ɛ	23
非	幫	合	三	微	平	幫	止		f	ei	1		f	ei	23		f	ej	23
飛	幫	合	三	微	平	幫	止		f	ei	1		f	ei	23		f	ej	23
扉	幫	合	三	微	平	幫	止		f	ei	1		f	ei	23		f	ej	23
妃	滂	合	三	微	平	幫	止		f	ei	1		f	ei	23		f	ej	23
菲	滂	合	三	微	平	幫	止		f	ei	1		f	ei	23		f	ej	23
翡	並	合	三	微	去	幫	止		f	ei	3		f	ei	45		f	ej	45
匪	幫	合	三	微	上	幫	止		f	ei	3		f	ei	45		f	ej	45
悱	滂	合	三	微	上	幫	止		f	ei	3		f	ei	45		f	ej	45
斐	滂	合	三	微	上	幫	止		f	ei	3		f	ei	45		f	ej	45
肥	並	合	三	微	平	幫	止		f	ei	2		f	ei	21		f	ej	21
科	溪	合	一	歌	平	見	果		f	o	1		f	ɔ	23		f	ɔ	23
稞	溪	合	一	歌	平	見	果		f	o	1		f	ɔ	23		f	ɔ	23
蝌	溪	合	一	歌	平	見	果		f	o	1		f	ɔ	23		f	ɔ	23
課	溪	合	一	歌	平	見	果		f	o	1		f	ɔ	23		f	ɔ	23
貨	曉	合	一	歌	去	影	果		f	o	1		f	ɔ	23		f	ɔ	23
柯	見	開	一	歌	平	見	果		f	o	1		f	ɔ	23		f	ɔ	23
夥	匣	合	二	佳	上	影	蟹		f	o	3		f	ɔ	45		f	ɔ	45
顆	溪	合	一	歌	上	見	果		f	o	3		f	ɔ	45		f	ɔ	45
火	曉	合	一	歌	上	影	果		f	o	3		f	ɔ	45		f	ɔ	45
棵	匣	合	一	寒	上	影	山		f	o	3		f	ɔ	45		f	ɔ	45
伙	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A		f	o	3		f	ɔ	45		f	ɔ	45
霍	曉	合	一	唐	入	影	宕		f	ok	6		f	ɔk	23		f	ɔk	23
坊	幫	合	三	陽	平	幫	宕		f	ong	1		f	ɔŋ	23		f	ɔŋ	23
放	幫	合	三	陽	上	幫	宕		f	ong	1		f	ɔŋ	23		f	ɔŋ	23
方	並	合	三	陽	平	幫	宕		f	ong	1		f	ɔŋ	23		f	ɔŋ	23
肪	並	合	三	陽	平	幫	宕		f	ong	1		f	ɔŋ	23		f	ɔŋ	23
芳	滂	合	三	陽	平	幫	宕		f	ong	1		f	ɔŋ	23		f	ɔŋ	23
況	曉	合	三	陽	去	影	宕		f	ong	1		f	ɔŋ	23		f	ɔŋ	23
荒	曉	合	一	唐	平	影	宕		f	ong	1		f	ɔŋ	23		f	ɔŋ	23
慌	曉	合	一	唐	上	影	宕		f	ong	1		f	ɔŋ	23		f	ɔŋ	23
謊	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A		f	ong	1		f	ɔŋ	23		f	ɔŋ	23
訪	滂	合	三	陽	去	幫	宕		f	ong	3		f	ɔŋ	45		f	ɔŋ	45
仿	滂	合	三	陽	上	幫	宕		f	ong	3		f	ɔŋ	45		f	ɔŋ	45
紡	滂	合	三	陽	上	幫	宕		f	ong	3		f	ɔŋ	45		f	ɔŋ	45
彷	滂	合	三	陽	上	幫	宕		f	ong	3		f	ɔŋ	45		f	ɔŋ	45
恍	見	合	一	唐	平	見	宕		f	ong	3		f	ɔŋ	45		f	ɔŋ	45
晃	匣	合	一	唐	上	影	宕		f	ong	3		f	ɔŋ	45		f	ɔŋ	45
幌									f	ong	3		f	ɔŋ	45		f	ɔŋ	45
坊	並	合	三	陽	平	幫	宕		f	ong	2		f	ɔŋ	21		f	ɔŋ	21
防	並	合	三	陽	平	幫	宕		f	ong	2		f	ɔŋ	21		f	ɔŋ	21
房	並	合	三	陽	平	幫	宕		f	ong	2		f	ɔŋ	21		f	ɔŋ	21
妨	滂	合	三	陽	平	幫	宕		f	ong	2		f	ɔŋ	21		f	ɔŋ	21
富	幫	合	三	尤	去	幫	流		f	u	1		f	u	23		f	u	23
婦	並	合	三	尤	上	幫	流		f	u	1		f	u	23		f	u	23
副	滂	合	三	尤	去	幫	流		f	u	1		f	u	23		f	u	23
夫	幫	合	三	虞	平	幫	遇		f	u	1		f	u	23		f	u	23
膚	幫	合	三	虞	平	幫	遇		f	u	1		f	u	23		f	u	23
賦	幫	合	三	虞	去	幫	遇		f	u	1		f	u	23		f	u	23
孵	滂	合	三	虞	平	幫	遇		f	u	1		f	u	23		f	u	23
敷	滂	合	三	虞	平	幫	遇		f	u	1		f	u	23		f	u	23
俘	滂	合	三	虞	平	幫	遇		f	u	1		f	u	23		f	u	23
枯	溪	開	一	模	平	見	遇		f	u	1		f	u	23		f	u	23
庫	溪	開	一	模	去	見	遇		f	u	1		f	u	23		f	u	23
呼	曉	開	一	模	平	影	遇		f	u	1		f	u	23		f	u	23
咐	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A		f	u	1		f	u	23		f	u	23
骷	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A		f	u	1		f	u	23		f	u	23
褲	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A		f	u	1		f	u	23		f	u	23
斧	幫	合	三	虞	上	幫	遇		f	u	3		f	u	45		f	u	45
府	幫	合	三	虞	上	幫	遇		f	u	3		f	u	45		f	u	45
俯	幫	合	三	虞	上	幫	遇		f	u	3		f	u	45		f	u	45
撫	滂	合	三	虞	上	幫	遇		f	u	3		f	u	45		f	u	45
唬	曉	開	二	麻	去	影	假		f	u	3		f	u	45		f	u	45
苦	溪	開	一	模	上	見	遇		f	u	3		f	u	45		f	u	45
虎	曉	開	一	模	上	影	遇		f	u	3		f	u	45		f	u	45
琥	曉	開	一	模	上	影	遇		f	u	3		f	u	45		f	u	45
夫	並	合	三	虞	平	幫	遇		f	u	2		f	u	21		f	u	21
扶	並	合	三	虞	平	幫	遇		f	u	2		f	u	21		f	u	21
芙	並	合	三	虞	平	幫	遇		f	u	2		f	u	21		f	u	21
苻	並	合	三	虞	平	幫	遇		f	u	2		f	u	21		f	u	21
符	並	合	三	虞	平	幫	遇		f	u	2		f	u	21		f	u	21
乎	匣	開	一	模	平	影	遇		f	u	2		f	u	21		f	u	21
負	並	合	三	尤	上	幫	流		f	u	4		f	u	32		f	u	32
付	幫	合	三	虞	去	幫	遇		f	u	4		f	u	32		f	u	32
傅	幫	合	三	虞	去	幫	遇		f	u	4		f	u	32		f	u	32
父	幫	合	三	虞	上	幫	遇		f	u	4		f	u	32		f	u	32
附	並	合	三	虞	去	幫	遇		f	u	4		f	u	32		f	u	32
駙	並	合	三	虞	去	幫	遇		f	u	4		f	u	32		f	u	32
輔	並	合	三	虞	上	幫	遇		f	u	4		f	u	32		f	u	32
腐	並	合	三	虞	上	幫	遇		f	u	4		f	u	32		f	u	32
赴	滂	合	三	虞	去	幫	遇		f	u	4		f	u	32		f	u	32
仆	滂	合	三	虞	去	幫	遇		f	u	4		f	u	32		f	u	32
戶	匣	開	一	模	上	影	遇		f	u	4		f	u	32		f	u	32
灰	曉	合	一	灰	平	影	蟹		f	ui	1		f	ui	23		f	uj	23
晦	曉	合	一	灰	去	影	蟹		f	ui	1		f	ui	23		f	uj	23
誨	曉	合	一	灰	去	影	蟹		f	ui	1		f	ui	23		f	uj	23
悔	曉	合	一	灰	上	影	蟹		f	ui	1		f	ui	23		f	uj	23
喙	曉	合	三	廢	去	影	蟹		f	ui	1		f	ui	23		f	uj	23
恢	溪	合	一	灰	平	見	蟹		f	ui	1		f	ui	23		f	uj	23
魁	溪	合	一	灰	平	見	蟹		f	ui	1		f	ui	23		f	uj	23
服	並	合	三	東	入	幫	通		f	uk	7		f	ʊk	32		f	ɔok	32
匐	並	合	三	東	入	幫	通		f	uk	7		f	ʊk	32		f	ɔok	32
伏	並	合	三	尤	去	幫	流		f	uk	7		f	ʊk	32		f	ɔok	32
復	並	合	三	尤	去	幫	流		f	uk	7		f	ʊk	32		f	ɔok	32
斛	匣	開	一	東	入	影	通		f	uk	7		f	ʊk	32		f	ɔok	32
袱	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A		f	uk	7		f	ʊk	32		f	ɔok	32
幅	幫	合	三	東	入	幫	通		f	uk	5		f	ʊk	45		f	ɔok	45
福	幫	合	三	東	入	幫	通		f	uk	5		f	ʊk	45		f	ɔok	45
蝠	幫	合	三	東	入	幫	通		f	uk	5		f	ʊk	45		f	ɔok	45
腹	幫	合	三	東	入	幫	通		f	uk	5		f	ʊk	45		f	ɔok	45
馥	並	合	三	東	入	幫	通		f	uk	5		f	ʊk	45		f	ɔok	45
輻	幫	合	三	尤	去	幫	流		f	uk	5		f	ʊk	45		f	ɔok	45
複	並	合	三	尤	去	幫	流		f	uk	5		f	ʊk	45		f	ɔok	45
覆	滂	合	三	尤	去	幫	流		f	uk	5		f	ʊk	45		f	ɔok	45
復									f	uk	5		f	ʊk	45		f	ɔok	45
寬	溪	合	一	寒	平	見	山		f	un	1		f	un	23		f	un	23
歡	曉	合	一	寒	平	影	山		f	un	1		f	un	23		f	un	23
款	溪	合	一	寒	上	見	山		f	un	3		f	un	45		f	un	45
垣	云	合	三	元	平	影	山		f	un	2		f	un	21		f	un	21
風	幫	合	三	東	平	幫	通		f	ung	1		f	ʊŋ	23		f	ɔoŋ	23
楓	幫	合	三	東	平	幫	通		f	ung	1		f	ʊŋ	23		f	ɔoŋ	23
豐	滂	合	三	東	平	幫	通		f	ung	1		f	ʊŋ	23		f	ɔoŋ	23
封	幫	合	三	鍾	平	幫	通		f	ung	1		f	ʊŋ	23		f	ɔoŋ	23
丰	滂	合	三	鍾	平	幫	通		f	ung	1		f	ʊŋ	23		f	ɔoŋ	23
烽	滂	合	三	鍾	平	幫	通		f	ung	1		f	ʊŋ	23		f	ɔoŋ	23
鋒	滂	合	三	鍾	平	幫	通		f	ung	1		f	ʊŋ	23		f	ɔoŋ	23
蜂	並	開	一	東	平	幫	通		f	ung	1		f	ʊŋ	23		f	ɔoŋ	23
峰	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A		f	ung	1		f	ʊŋ	23		f	ɔoŋ	23
瘋	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A		f	ung	1		f	ʊŋ	23		f	ɔoŋ	23
諷	幫	合	三	東	去	幫	通		f	ung	3		f	ʊŋ	45		f	ɔoŋ	45
俸	幫	開	一	東	上	幫	通		f	ung	3		f	ʊŋ	45		f	ɔoŋ	45
馮	並	合	三	東	平	幫	通		f	ung	2		f	ʊŋ	21		f	ɔoŋ	21
逢	並	合	三	鍾	平	幫	通		f	ung	2		f	ʊŋ	21		f	ɔoŋ	21
縫	並	合	三	鍾	去	幫	通		f	ung	2		f	ʊŋ	21		f	ɔoŋ	21
蓬	並	開	一	東	平	幫	通		f	ung	2		f	ʊŋ	21		f	ɔoŋ	21
鳳	並	合	三	東	去	幫	通		f	ung	4		f	ʊŋ	32		f	ɔoŋ	32
奉	並	合	三	鍾	上	幫	通		f	ung	4		f	ʊŋ	32		f	ɔoŋ	32
闊	溪	合	一	寒	入	見	山		f	ut	6		f	ut	23		f	ut	23
迦	見	開	三	歌	平	見	果		g	a	1		k	a	23		k	ᴀ	23
枷	群	開	三	歌	平	見	果		g	a	1		k	a	23		k	ᴀ	23
加	見	開	二	麻	平	見	假		g	a	1		k	a	23		k	ᴀ	23
家	見	開	二	麻	平	見	假		g	a	1		k	a	23		k	ᴀ	23
嘉	見	開	二	麻	平	見	假		g	a	1		k	a	23		k	ᴀ	23
假	見	開	二	麻	去	見	假		g	a	1		k	a	23		k	ᴀ	23
架	見	開	二	麻	去	見	假		g	a	1		k	a	23		k	ᴀ	23
嫁	見	開	二	麻	去	見	假		g	a	1		k	a	23		k	ᴀ	23
價	見	開	二	麻	去	見	假		g	a	1		k	a	23		k	ᴀ	23
駕	見	開	二	麻	去	見	假		g	a	1		k	a	23		k	ᴀ	23
傢	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A		g	a	1		k	a	23		k	ᴀ	23
咖	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A		g	a	1		k	a	23		k	ᴀ	23
伽									g	a	1		k	a	23		k	ᴀ	23
茄	見	開	二	麻	平	見	假		g	a	3		k	a	45		k	ᴀ	45
假	見	開	二	麻	上	見	假		g	a	3		k	a	45		k	ᴀ	45
賈	見	開	二	麻	上	見	假		g	a	3		k	a	45		k	ᴀ	45
佳	見	開	二	佳	平	見	蟹		g	ai	1		k	ai	23		k	ᴀj	23
解	見	開	二	佳	去	見	蟹		g	ai	1		k	ai	23		k	ᴀj	23
街	見	開	三	佳	平	見	蟹		g	ai	1		k	ai	23		k	ᴀj	23
