读音	字目	备注	声调符号	
am44	庵			
am53	暗			
tiam31	點			
tiam53	店			
tiam53	墊			
tʰiam44	添			
tʰiam13	甜			
liam13	廉			
liam13	鐮			
liam13	簾			
liam53	殮			
tsiam44	尖			
tsiam31	蘸			
tsʰiam44	籤			
tsʰiam44	簽			
tsʰiam31	暫			
tsʰiam31	漸			
siam13	殲			
siam13	潛			
kiam44	兼			
kiam31	檢			
kiam53	劍			
kʰiam44	謙			
kʰiam13	鉗			
kʰiam13	檻			
kʰiam31	儉			
kʰiam53	嵌			
kʰiam53	欠			
ŋiam44	冉			
ŋiam44	拈			
ŋiam13	黏			
ŋiam13	閻			
ŋiam13	嚴			
ŋiam13	釅			
ŋiam13	鯰			
ŋiam31	染			
ŋiam31	驗			
ŋiam31	儼			
ŋiam31	念			
iam44	閹			
iam13	炎			
iam13	鹽			
iam13	簷			
iam31	掩			
iam31	豔			
iam31	焰			
iam31	掞	撒(泥土)		
iam53	厭			
tsem44	砧			
tsem31	□	~印里(蓋印章)		
tsem53	□	雞罩子		
sem44	森			
sem44	蔘			
sem53	□	~鼻(擤鼻涕)		
hem44	喊			
em44	揞			
kiem13	□	蓋的動作		
lim13	林			
lim13	淋			
lim13	臨			
tsim53	浸			
tsʰim44	侵			
tsʰim13	尋			
tsʰim31	寢			
sim44	心			
kim44	今			
kim44	金			
kim31	錦			
kim53	禁			
kim53	撳			
kʰim44	襟			
kʰim44	欽			
kʰim13	琴			
kʰim13	禽			
kʰim13	擒			
ŋim13	壬			
ŋim13	吟			
ŋim31	任			
im44	音			
im44	陰			
im13	淫			
im31	飲			
tʃɿm44	針			
tʃɿm44	斟			
tʃɿm31	枕			
tʃʰɿm44	深			
tʃʰɿm13	沉			
ʃɿm31	沈			
ʃɿm31	審			
ʃɿm31	嬸			
ʃɿm31	甚			
pan44	班			
pan44	斑			
pan44	頒			
pan44	扳			
pan44	攀			
pan44	般			
pan44	搬			
pan31	板			
pan31	版			
pan31	叛			
pan53	半			
pan53	絆			
pʰan44	潘			
pʰan44	拌	甩打		
pʰan13	盤			
pʰan31	扮			
pʰan31	盼			
pʰan31	瓣			
pʰan31	辦			
pʰan31	伴			
pʰan31	拌			
pʰan53	判			
pʰan53	胖	肥~		
man44	滿			
man13	蠻			
man13	瞞			
man13	饅			
man31	慢			
man31	幔			
man31	蔓			
man31	□	身上的垢		
fan44	潘			
fan44	番			
fan13	桓			
fan13	還	~原		
fan13	環			
fan13	煩			
fan13	繁			
fan31	反			
fan31	飯			
fan53	販			
van44	豌			
van44	彎			
van44	灣			
van44	晚			
van13	完			
van13	還			
van13	歸			
van13	還			
van31	挽			
van31	萬			
tan44	丹			
tan44	單			
tan31	誕			
tan31	旦			
tan31	但			
tan53	坦			
tʰan44	灘			
tʰan44	攤			
tʰan13	檀			
tʰan13	壇			
tʰan13	彈	~琴,子~		
tʰan31	毯			
tʰan31	蛋			
tʰan53	炭			
nan13	難	~易		
nan31	難	患~		
lan44	懶			
lan13	蘭			
lan13	攔			
lan13	欄			
lan13	鸞			
lan31	爛			
tsan13	泉			
tsan31	賺			
tsan31	綻			
tsan31	盞			
tsʰan13	殘			
tsʰan31	燦			
tsʰan31	鏟			
tsʰan31	棧			
san44	珊			
san44	山			
san44	刪			
san44	疝			
san31	散			
san31	傘			
san31	產			
san53	散	分~		
kan44	間			
kan44	奸			
kan44	關			
kan31	簡			
kan31	柬			
kan31	揀			
kan31	諫			
kan31	澗			
kan31	繭			
kan31	筧			
kan53	間	離~		
kan53	慣			
kʰan44	刊			
kʰan31	款			
ŋan13	顏			
ŋan13	研			
ŋan13	頑			
ŋan31	岸			
ŋan31	眼			
ŋan31	雁			
ŋan31	諺			
ŋan31	玩	古~		
han13	閑			
han13	還	~有		
han31	限			
han31	莧			
han31	蜆			
pen44	辮			
pen44	崩			
pen44	冰			
pen31	貶			
pen31	蝙			
pen31	扁			
pen31	匾			
pen53	遍			
pʰen44	編			
pʰen13	朋			
pʰen31	辨			
pʰen31	辯			
pʰen31	騙			
pʰen31	便	方~		
pʰen31	片			
men44	閩			
men44	敏			
men44	皿			
men13	萌			
men13	盟			
men31	娩			
men31	面			
men31	麵			
men31	憫			
men31	孟			
fen13	弘			
fen13	衡			
fen13	宏			
ten44	顛			
ten44	登			
ten44	燈			
ten44	丁	人~		
ten31	等			
ten53	凳			
tʰen13	騰			
tʰen13	藤			
tʰen31	鄧			
nen53	𢆡	奶汁,乳房		
nen53	□	墊腳尖		
nen13	能			
nen13	寧			
nen31	撚			
len44	臉			
len13	連			
len13	聯			
len13	蓮			
len31	練			
len31	鍊			
len31	楝			
len31	戀			
tsen44	煎			
tsen44	曾			
tsen44	增			
tsen44	僧			
tsen53	贈			
tsen53	甑	飯~(炊飯用木桶)		
tsʰen13	全			
tsʰen13	曾	~經		
tsʰen13	層			
tsʰen31	淺			
tsʰen31	踐			
tsʰen31	賤			
tsʰen31	餞			
sen44	鮮			
sen44	宣			
sen44	喧			
sen44	楦			
sen13	旋			
sen31	癬			
sen31	羨			
sen31	選			
sen31	省			
sen53	線			
tʃen44	顫			
tʃen31	展			
tʃen53	戰			
tʃʰen13	纏			
ʃen44	膳			
ʃen44	軒			
ʃen44	掀			
ʃen44	鱔			
ʃen13	賢			
ʃen13	弦			
ʃen13	玄			
ʃen13	懸			
ʃen13	眩			
ʃen13	痕			
ʃen31	善			
ʃen31	顯			
ʃen31	現			
ʃen31	䘆			
ʃen53	扇			
ʃen53	憲			
ʃen53	獻			
hen44	很			
hen31	恨			
hen31	杏			
hen31	幸			
en44	恩			
en31	□	~腰(往後彎腰)		
pien44	鞭			
pien44	邊			
pien53	變			
pʰien44	偏			
pʰien13	便	~宜		
mien44	免			
mien13	綿			
mien13	棉			
mien31	緬			
tien31	典			
tʰien44	天			
tʰien13	田			
tʰien13	填			
tʰien31	電			
tʰien31	殿			
tʰien31	奠			
tʰien31	佃			
tsien44	箋			
tsien31	剪			
tsien53	箭			
tsien53	薦			
tsʰien44	遷			
tsʰien44	千			
tsʰien13	錢			
tsʰien13	前			
sien44	先			
kien44	艱			
kien44	肩			
kien44	堅			
kien44	絹			
kien44	捐			
kien44	跟			
kien44	根			
kien44	轟			
kien31	捲			
kien31	卷			
kien31	倦			
kien31	更	~加		
kien31	耿			
kien53	建			
kien53	見			
kʰien44	牽			
kʰien44	圈			
kʰien13	乾	~坤		
kʰien13	虔			
kʰien13	拳			
kʰien13	權			
kʰien13	顴			
kʰien31	遣			
kʰien31	件			
kʰien31	鍵			
kʰien31	健			
kʰien31	腱			
kʰien31	券			
kʰien31	犬			
kʰien31	懇			
kʰien31	墾			
kʰien31	肯			
kʰien53	勸			
kʰien53	絭	牛鼻~(牛鼻環)		
ŋien13	言			
ŋien13	年			
ŋien13	元			
ŋien13	原			
ŋien13	源			
ŋien31	願			
ien44	焉			
ien44	演			
ien44	煙			
ien44	燕	~京		
ien44	冤			
ien44	援			
ien44	淵			
ien44	姻			
ien44	湮			
ien13	涎			
ien13	然			
ien13	燃			
ien13	延			
ien13	筵			
ien13	圓			
ien13	員			
ien13	緣			
ien13	沿			
ien13	鉛			
ien13	袁			
ien13	轅			
ien13	園			
ien31	遠			
ien31	縣			
ien53	堰			
ien53	硯			
ien53	燕	~子		
ien53	嚥			
ien53	宴			
ien53	院			
ien53	怨			
pin44	彬			
pin44	賓			
pin44	檳			
pin31	稟			
pin31	並			
pin53	殯			
pin53	鬢			
pʰin44	拼			
pʰin13	貧			
pʰin13	頻			
pʰin13	屏			
pʰin13	萍			
pʰin31	品			
pʰin53	聘			
min13	民			
min13	鳴			
tin31	頂			
tin31	鼎			
tʰin44	汀			
tʰin13	亭			
tʰin13	停			
tʰin13	廷			
tʰin13	庭			
tʰin13	蜓			
tʰin31	挺			
tʰin31	錠			
tʰin31	定			
nin31	吝			
lin44	鱗			
lin13	憐			
lin13	鄰			
lin13	磷			
lin13	楞			
lin13	陵			
lin13	凌			
lin13	菱			
lin13	靈			
lin31 	令			
lin31 	□	男性生殖器		
tsin44	津			
tsin44	臻			
tsin44	精			
tsin44	晶			
tsin44	睛			
tsin31	晉			
tsin31	靖			
tsin53	進			
tsʰin44	親			
tsʰin44	清			
tsʰin13	秦			
tsʰin13	情			
tsʰin31	儘			
tsʰin31	靜			
sin44	辛			
sin44	新			
sin44	薪			
sin44	星			
sin31	訊			
sin31	迅			
sin53	信			
sin53	性			
kin44	根			
kin44	巾			
kin44	斤			
kin44	筋			
kin44	莖			
kin44	京			
kin44	荊			
kin44	鯨			
kin44	經			
kin31	緊			
kin31	境			
kin31	景			
kin31	警			
kin31	敬			
kin31	竟			
kin53	勁			
kʰin44	卿			
kʰin44	馨			
kʰin44	傾			
kʰin44	□	禽類消化器官		
kʰin31	競			
kʰin31	頃			
kʰin53	慶			
ŋin13	人			
ŋin31	認			
in44	因			
in44	寅			
in44	殷			
in44	暈			
in44	應	~該		
in44	鷹			
in44	鶯			
in44	鸚			
in44	櫻			
in44	英			
in44	嬰			
in44	纓			
in13	仁			
in13	扔			
in13	仍			
in13	蠅			
in13	盈			
in13	螢			
in13	滎			
in31	引			
in31	尹			
in31	剩			
in31	穎			
in53	印			
in53	應	~對		
in53	孕			
tʃɿn44	珍			
tʃɿn44	榛			
tʃɿn44	真			
tʃɿn44	診			
tʃɿn44	疹			
tʃɿn44	徵			
tʃɿn44	蒸			
tʃɿn44	貞			
tʃɿn44	偵			
tʃɿn44	征			
tʃɿn31	鎮			
tʃɿn31	振			
tʃɿn31	震			
tʃɿn31	懲			
tʃɿn31	拯			
tʃɿn31	整			
tʃɿn53	證			
tʃɿn53	症			
tʃɿn53	正			
tʃɿn53	政			
tʃʰɿn44	稱	~呼		
tʃʰɿn13	陳			
tʃʰɿn13	塵			
tʃʰɿn13	澄			
tʃʰɿn13	呈			
tʃʰɿn13	程			
tʃʰɿn13	成			
tʃʰɿn13	誠			
tʃʰɿn31	陣			
tʃʰɿn31	逞			
tʃʰɿn53	趁			
tʃʰɿn53	秤			
ʃɿn44	身			
ʃɿn44	申			
ʃɿn44	伸			
ʃɿn44	升			
ʃɿn44	興	~旺		
ʃɿn44	馨			
ʃɿn13	神			
ʃɿn13	娠			
ʃɿn13	辰			
ʃɿn13	晨			
ʃɿn13	繩			
ʃɿn13	承			
ʃɿn13	丞			
ʃɿn13	形			
ʃɿn13	型			
ʃɿn13	刑			
ʃɿn31	葚			
ʃɿn31	腎			
ʃɿn31	慎			
ʃɿn53	釁			
ʃɿn53	勝	~敗		
ʃɿn53	興	高~		
ʃɿn53	聖			
ʃɿn53	盛			
fon31	緩			
fon31	喚			
fon31	煥			
fon31	宦			
von13	完	~日(整天)		
von31	皖			
von31	剜			
von31	碗			
von31	換			
von31	宛			
ton44	端			
ton31	短			
ton31	斷	~水(攔水)		
ton53	斷	判~		
tʰon44	斷	~掉		
tʰon13	團			
tʰon13	糰			
tʰon31	鍛			
tʰon31	段			
tʰon31	緞			
non44	暖			
lon31	卵			
lon31	亂			
tson44	鑽	動詞		
tson53	鑽	木工用具		
tsʰon44	餐			
tsʰon44	閂			
tsʰon31	纂			
tsʰon31	撰			
tsʰon31	篆			
tsʰon31	吮			
tsʰon53	竄			
tsʰon53	篡			
son44	酸			
son44	栓			
son53	算			
son53	蒜			
tʃon44	專			
tʃon44	磚			
tʃon31	轉			
tʃʰon44	川			
tʃʰon44	穿			
tʃʰon13	傳	~達		
tʃʰon31	喘			
tʃʰon53	傳	~記		
tʃʰon53	串			
ʃon13	船			
kon44	干			
kon44	肝			
kon44	竿			
kon44	乾			
kon44	桿			
kon44	官			
kon44	棺			
kon44	觀	參~		
kon44	冠	衣~		
kon31	稈			
kon31	趕			
kon31	管			
kon31	館			
kon53	幹			
kon53	貫			
kon53	灌			
kon53	罐			
kon53	冠	~軍		
kʰon44	酣			
kʰon44	寬			
kʰon44	歡			
kʰon53	看			
hon44	旱			
hon13	寒			
hon13	韓			
hon31	罕			
hon31	汗			
hon31	銲			
hon31	翰			
hon53	汉			
on44	安			
on44	鞍			
on53	按			
on53	案			
ŋion44	軟			
ŋion31	阮			
pun44	奔			
pun44	兵			
pun31	本			
pun31	秉			
pun53	笨			
pun53	糞			
pun53	迸			
pun53	畚			
pʰun44	拚			
pʰun44	□	厚		
pʰun13	盆			
pʰun13	平			
pʰun13	評			
pʰun53	噴			
mun44	蚊			
mun13	眠			
mun13	門			
mun13	明			
mun31	悶			
mun53	問			
fun44	昏			
fun44	婚			
fun44	分			
fun44	芬			
fun44	紛			
fun44	葷			
fun13	魂			
fun13	焚			
fun13	墳			
fun31	混			
fun31	粉			
fun31	憤			
fun31	奮			
fun31	份			
vun44	溫			
vun44	瘟			
vun13	渾			
vun13	文			
vun13	紋			
vun13	聞			
vun13	汶			
vun31	穩			
vun53	□	用力甩		
tun44	敦			
tun44	墩			
tun44	蹲			
tun31	頓			
tʰun44	吞			
tʰun13	屯			
tʰun13	豚			
tʰun13	臀			
tʰun13	囤			
tʰun31	鈍			
tʰun31	遁			
tʰun31	盾			
nun31	嫩			
lun13	論	~語		
lun13	倫			
lun13	淪			
lun13	輪			
lun31	論	議~		
tsun44	尊			
tsun44	遵			
tsun53	俊			
tsʰun44	村			
tsʰun13	存			
tsʰun13	蹲			
tsʰun53	寸			
sun44	孫			
sun13	荀			
sun13	旬			
sun13	循			
sun13	巡			
sun13	殉			
sun31	損			
sun31	筍			
sun31	榫			
sun53	遜			
tʃun31	準			
tʃun31	准			
tʃʰun44	椿			
tʃʰun44	伸			
tʃʰun31	蠢			
ʃun44	欣			
ʃun44	熏			
ʃun44	勳			
ʃun44	薰			
ʃun13	脣			
ʃun13	純			
ʃun13	醇			
ʃun31	順			
ʃun53	舜			
ʃun53	訓			
kun53	棍			
kʰun44	昆			
kʰun44	崑			
kʰun44	坤			
kʰun44	菌			
kʰun31	滾			
kʰun31	綑			
kʰun53	困			
ŋun13	齦			
kiun44	均			
kiun44	鈞			
kiun44	君			
kiun44	軍			
kiun31	僅			
kiun31	謹			
kiun31	窘			
kiun31	郡			
kʰiun44	近			
kʰiun13	勤			
kʰiun13	芹			
kʰiun13	羣			
kʰiun13	裙			
kʰiun13	瓊			
ŋiun44	忍			
ŋiun13	銀			
ŋiun31	刃			
ŋiun31	靭			
iun44	允			
iun44	永			
iun13	勻			
iun13	云			
iun13	雲			
iun31	隱			
iun31	潤			
iun31	閏			
iun31	韻			
iun31	運			
iun31	泳			
iun31	詠			
iun53	熨			
paŋ44	邦			
paŋ44	□	手拉的動作		
pʰaŋ44	蚌			
pʰaŋ13	彭			
pʰaŋ13	膨			
pʰaŋ13	棚			
pʰaŋ53	胖			
maŋ44	莽			
maŋ44	蟒			
maŋ44	猛			
maŋ13	龐			
maŋ13	盲			
maŋ13	吂	尚未		
vaŋ13	簧			
vaŋ13	橫			
taŋ44	丁			
taŋ44	釘			
taŋ44	疔			
taŋ31	頂			
taŋ53	訂			
tʰaŋ13	埕			
tʰaŋ53	聽			
naŋ31	躟	腳踩		
laŋ44	冷			
laŋ13	零			
laŋ13	伶			
laŋ31	另			
tsaŋ44	爭			
tsaŋ44	箏			
tsaŋ44	睜			
tsʰaŋ53	襯			
tsʰaŋ53	撐			
saŋ44	生			
saŋ44	甥			
tʃaŋ44	正	~月		
tʃaŋ31	整			
tʃʰaŋ13	橙			
tʃʰaŋ13	晟	光照		
tʃʰaŋ31	鄭			
ʃaŋ44	聲			
ʃaŋ13	城			
kaŋ44	更	五~		
kaŋ44	庚			
kaŋ44	羹			
kaŋ44	耕			
kaŋ44	梗	桌~(桌子橫撐)		
kaŋ31	哽			
kaŋ31	埂			
kaŋ31	梗			
kaŋ53	徑			
ŋaŋ31	硬			
haŋ44	夯			
haŋ44	坑			
haŋ44	亨			
haŋ13	行	~為,品~		
piaŋ31	丙			
piaŋ31	餅			
piaŋ53	柄			
piaŋ53	□	隱藏		
pʰiaŋ13	坪			
pʰiaŋ13	瓶			
pʰiaŋ31	病			
miaŋ13	名			
miaŋ13	銘			
miaŋ31	命			
tʰiaŋ44	廳			
liaŋ44	領	衣~		
liaŋ44	嶺			
liaŋ31	領	~導		
tsiaŋ44	腈	~肉(瘦肉)		
tsiaŋ31	井			
tsʰiaŋ44	青			
tsʰiaŋ13	晴			
tsʰiaŋ31	請			
tsʰiaŋ31	淨			
siaŋ44	腥			
siaŋ31	醒			
siaŋ53	姓			
kiaŋ44	驚			
kiaŋ31	頸			
kiaŋ53	鏡			
kʰiaŋ44	輕			
kʰiaŋ13	擎			
kʰiaŋ31	儉	節儉		
kʰiaŋ53	勁	能幹		
ŋiaŋ13	迎			
iaŋ13	贏			
iaŋ13	營			
iaŋ31	影			
iaŋ31	映			
tsɿŋ44	宗			
tsɿŋ44	綜			
tsɿŋ31	總			
tsʰɿŋ44	窗			
tsʰɿŋ44	聰			
tsʰɿŋ44	怱			
tsʰɿŋ44	葱			
tsʰɿŋ44	囱			
tsʰɿŋ13	崇			
sɿŋ44	雙			
sɿŋ44	鬆			
sɿŋ44	嵩			
sɿŋ53	送			
sɿŋ53	宋			
poŋ44	幫			
poŋ31	榜			
poŋ31	謗			
poŋ31	綁			
poŋ53	胖			
pʰoŋ13	滂			
pʰoŋ13	旁			
pʰoŋ13	螃			
pʰoŋ13	傍			
pʰoŋ13	□	蚊蟲叮咬腫塊		
moŋ13	忙			
moŋ13	芒			
moŋ13	茫			
moŋ13	亡			
moŋ13	忘			
moŋ13	虻			
moŋ31	妄			
moŋ31	望			
foŋ44	荒			
foŋ44	慌			
foŋ44	謊			
foŋ44	方			
foŋ44	芳			
foŋ13	皇			
foŋ13	蝗			
foŋ13	肪			
foŋ13	妨			
foŋ13	房			
foŋ13	防			
foŋ31	晃			
foŋ31	紡			
foŋ31	仿			
foŋ31	彷			
foŋ31	訪			
foŋ53	放			
voŋ44	往			
voŋ13	黃			
voŋ13	王			
voŋ31	枉			
voŋ31	旺			
voŋ53	汪			
toŋ44	當	~時		
toŋ31	黨			
toŋ31	擋			
toŋ53	當	典~		
tʰoŋ44	湯			
tʰoŋ13	堂			
tʰoŋ13	棠			
tʰoŋ13	螳			
tʰoŋ13	唐			
tʰoŋ13	糖			
tʰoŋ13	塘			
tʰoŋ31	倘			
tʰoŋ31	躺			
tʰoŋ31	蕩			
tʰoŋ53	燙			
tʰoŋ53	□	~壁(粉牆)		
noŋ13	囊			
noŋ13	瓤			
noŋ53	浪	~忒里(浪費)		
loŋ13	郎			
loŋ13	廊			
loŋ13	狼			
loŋ31	朗			
loŋ31	浪			
tsoŋ44	贓			
tsoŋ44	髒			
tsoŋ44	莊			
tsoŋ44	裝			
tsoŋ53	葬			
tsoŋ53	壯			
tsʰoŋ44	倉			
tsʰoŋ44	蒼			
tsʰoŋ44	瘡			
tsʰoŋ13	藏	隱~,西~		
tsʰoŋ13	牀			
tsʰoŋ31	臟			
tsʰoŋ31	闖			
tsʰoŋ31	狀			
tsʰoŋ31	撞			
tsʰoŋ53	創			
soŋ44	桑			
soŋ44	喪	婚~		
soŋ44	嗓			
soŋ44	霜			
soŋ44	孀			
soŋ31	喪	~失		
soŋ31	爽			
tʃoŋ44	張			
tʃoŋ44	章			
tʃoŋ44	樟			
tʃoŋ31	長	生~		
tʃoŋ31	丈	一~		
tʃoŋ31	掌			
tʃoŋ53	漲			
tʃoŋ53	帳			
tʃoŋ53	賬			
tʃoŋ53	脹			
tʃoŋ53	仗			
tʃoŋ53	障			
tʃoŋ53	瘴			
tʃʰoŋ44	丈	姑~		
tʃʰoŋ44	昌			
tʃʰoŋ44	菖			
tʃʰoŋ13	長	~短		
tʃʰoŋ13	腸			
tʃʰoŋ13	場			
tʃʰoŋ31	杖			
tʃʰoŋ31	暢			
tʃʰoŋ31	廠			
tʃʰoŋ53	唱			
tʃʰoŋ53	倡			
ʃoŋ44	商			
ʃoŋ44	傷			
ʃoŋ44	上	~山		
ʃoŋ44	香			
ʃoŋ44	鄉			
ʃoŋ13	常			
ʃoŋ13	嘗			
ʃoŋ13	裳			
ʃoŋ13	償			
ʃoŋ13	恆			
ʃoŋ31	賞			
ʃoŋ31	餉			
ʃoŋ31	尚			
ʃoŋ31	上	~面		
ʃoŋ31	享			
ʃoŋ31	響			
ʃoŋ53	向			
koŋ44	崗			
koŋ44	剛			
koŋ44	綱			
koŋ44	缸			
koŋ44	光			
koŋ44	江			
koŋ44	扛			
koŋ31	廣			
koŋ31	講			
koŋ31	港			
koŋ53	鋼			
koŋ53	降			
kʰoŋ44	康			
kʰoŋ13	狂			
kʰoŋ13	逛			
kʰoŋ31	慷			
kʰoŋ31	曠			
kʰoŋ53	抗			
kʰoŋ53	炕			
kʰoŋ53	況			
kʰoŋ53	礦			
ŋoŋ44	昂			
ŋoŋ31	憨			
hoŋ44	糠			
hoŋ13	行			
hoŋ13	航			
hoŋ13	杭			
hoŋ31	項			
hoŋ31	巷			
hoŋ53	亢	~床(起床)		
oŋ44	骯			
mioŋ13	芒	~草		
mioŋ31	網			
lioŋ44	兩	斤~		
lioŋ13	良			
lioŋ13	涼			
lioŋ13	量	~長短		
lioŋ13	糧			
lioŋ13	梁			
lioŋ13	粱			
lioŋ13	輛			
lioŋ31	兩	~個		
lioŋ31	亮			
lioŋ31	諒			
lioŋ31	量	數~		
tsioŋ44	將	~來		
tsioŋ44	漿			
tsioŋ31	蔣			
tsioŋ31	獎			
tsioŋ31	槳			
tsioŋ53	醬			
tsioŋ53	將	大~		
tsʰioŋ44	槍			
tsʰioŋ31	搶			
sioŋ44	相	互~		
sioŋ44	箱			
sioŋ44	廂			
sioŋ44	湘			
sioŋ44	襄			
sioŋ44	鑲			
sioŋ13	牆			
sioŋ13	詳			
sioŋ13	祥			
sioŋ31	想			
sioŋ31	象			
sioŋ31	匠			
sioŋ53	像			
sioŋ53	橡			
sioŋ53	相	~貌		
kioŋ44	僵			
kioŋ44	薑			
kioŋ44	姜			
kioŋ44	羌			
kioŋ31	強			
kioŋ31	勉~			
kʰioŋ44	疆			
kʰioŋ44	繮			
kʰioŋ44	匡			
kʰioŋ44	筐			
kʰioŋ44	眶			
kʰioŋ44	腔			
kʰioŋ13	強			
ŋioŋ44	娘			
ŋioŋ31	釀			
ŋioŋ31	讓			
ŋioŋ31	仰			
ioŋ44	央			
ioŋ44	秧			
ioŋ44	殃			
ioŋ44	養			
ioŋ44	癢			
ioŋ13	羊			
ioŋ13	洋			
ioŋ13	楊			
ioŋ13	陽			
ioŋ13	揚			
ioŋ13	瘍			
ioŋ31	壤			
ioŋ31	攘			
ioŋ31	樣			
puŋ31	棒			
puŋ31	捧			
pʰuŋ44	烹			
pʰuŋ13	憑			
pʰuŋ13	篷			
pʰuŋ13	蓬			
pʰuŋ13	馮			
pʰuŋ13	逢			
pʰuŋ13	縫	~衣服		
pʰuŋ31	奉			
pʰuŋ31	俸			
pʰuŋ53	縫	一條~		
muŋ44	蒙			
muŋ31	夢			
fuŋ44	鬨			
fuŋ44	風			
fuŋ44	楓			
fuŋ44	瘋			
fuŋ44	豐			
fuŋ44	封			
fuŋ44	峯			
fuŋ44	蜂			
fuŋ44	鋒			
fuŋ13	烘			
fuŋ13	紅			
fuŋ13	洪			
fuŋ13	鴻			
fuŋ13	虹			
fuŋ31	諷			
fuŋ31	鳳			
vuŋ44	翁			
vuŋ44	壅	覆蓋的動作		
vuŋ53	甕			
tuŋ44	東			
tuŋ44	冬			
tuŋ31	董			
tuŋ31	懂			
tuŋ53	棟			
tʰuŋ44	通			
tʰuŋ44				
tʰuŋ13	疼			
tʰuŋ13	同			
tʰuŋ13	銅			
tʰuŋ13	桐			
tʰuŋ13	筒			
tʰuŋ13	童			
tʰuŋ13	瞳			
tʰuŋ31	桶			
tʰuŋ31	捅			
tʰuŋ31	動			
tʰuŋ31	洞			
tʰuŋ31	統			
tʰuŋ53	痛			
nuŋ13	農			
nuŋ13	膿			
nuŋ13	儂			
luŋ44	籠			
luŋ44	聾			
luŋ44	攏			
luŋ44	壠			
luŋ13	隆			
luŋ13	窿			
luŋ13	礱			
luŋ31	弄			
luŋ31	隴			
tsʰuŋ13	叢			
tʃuŋ44	中	當~		
tʃuŋ44	忠			
tʃuŋ44	終			
tʃuŋ44	鐘			
tʃuŋ44	鍾			
tʃuŋ44	盅			
tʃuŋ44	舂			
tʃuŋ13	冢			
tʃuŋ13	種	~類		
tʃuŋ13	腫			
tʃuŋ53	中	射~		
tʃuŋ53	眾			
tʃuŋ53	種	~樹		
tʃʰuŋ44	充			
tʃʰuŋ44	重			
tʃʰuŋ44	輕	~衝		
tʃʰuŋ13	蟲			
tʃʰuŋ13	重	~復		
tʃʰuŋ31	仲			
tʃʰuŋ31	寵			
tʃʰuŋ53	銃			
tʃʰuŋ53	重	~要		
ʃuŋ44	兄			
ʃuŋ44	胸			
ʃuŋ44	凶			
ʃuŋ44	兇			
ʃuŋ13	雄			
kuŋ44	公			
kuŋ44	蚣			
kuŋ44	工			
kuŋ44	功			
kuŋ44	攻			
kuŋ31	汞			
kuŋ53	貢			
kʰuŋ44	空			
kʰuŋ31	孔			
kʰuŋ31	恐			
kʰuŋ53	控			
liuŋ13	龍			
tsiuŋ44	蹤			
tsiuŋ31	縱	放~		
tsiuŋ31	慫			
tsʰiuŋ13	從			
tsʰiuŋ13	松			
siuŋ31	誦			
siuŋ31	頌			
siuŋ31	訟			
kiuŋ44	弓			
kiuŋ44	躬			
kiuŋ44	宮			
kiuŋ44	恭			
kiuŋ44	供			
kiuŋ31	拱			
kiuŋ31	鞏			
kʰiuŋ13	窮			
kʰiuŋ31	共			
ŋiuŋ13	濃			
iuŋ44	冗			
iuŋ44	雍			
iuŋ44	癰			
iuŋ13	榮			
iuŋ13	戎			
iuŋ13	絨			
iuŋ13	熊			
iuŋ13	融			
iuŋ13	茸			
iuŋ13	容			
iuŋ13	蓉			
iuŋ13	鎔			
iuŋ13	庸			
iuŋ31	勇			
iuŋ31	用			
iuŋ53	擁			
m13	毋	不		
ŋ13	吳			
ŋ13	蜈			
ŋ13	梧			
ŋ31	五			
ŋ31	伍			
ŋ31	午			
ŋ31	女			
ŋ31	娛			
fap2	法			
tap2	答			
tap2	搭			
tʰap2	塔			
tʰap2	榻			
tʰap2	塌			
tʰap4	踏			
nap4	納			
lap2	□	一~碗(一疊碗)		
lap4	蠟			
lap4	□	跨越		
tsʰap2	插			
tsʰap2	閘			
tsʰap4	雜			
tʃap2	摺			
ʃap2	涉			
ʃap2	䀹	閉眼		
ʃap4	峽			
ʃap4	脅			
ʃap4	協			
kap2	合			
kap2	鴿			
kap2	甲			
kap2	胛			
kap2	匣			
kʰap2	蛤			
kʰap2	恰			
kʰap4	磕			
ap2	□	接近下巴的部位		
hap4	合	~作		
hap4	盒			
ap2	鴨			
ap2	押			
ap2	壓			
tiap2	貼			
tiap4	疊			
tiap4	碟			
tiap4	牒			
tiap4	蝶			
tiap4	諜			
tʰiap2	帖			
liap4	臘			
liap4	獵			
tsiap2	接			
tsʰiap2	妾			
tʃʰiap4	捷			
siap2 	楔			
kiap2	劫			
kiap4	挾			
kiap4	唊			
kʰiap2	洽			
kʰiap2	怯			
kʰiap4	夾			
kʰiap4	狹			
ŋiap2	囁			
ŋiap2	鑷			
ŋiap2	攝			
ŋiap2	苶			
ŋiap2	眨	眨眼		
ŋiap4	業			
iap2	腌			
iap4	葉			
iap4	頁			
nep2	□	肥胖		
sep2	澀			
tsiep2	□	用五隻手指抓的量或動作		
lip2	笠			
lip2	粒			
lip4	立			
sip4	集			
sip4	輯			
sip4	習			
sip4	襲			
sip4	夕			
kip2	急			
kip2	級			
kip2	給	供~		
kʰip2	吸			
kʰip4	及			
ŋip4	入			
tʃɿp2	汁			
ʃɿp2	濕			
ʃɿp2	泣			
ʃɿp4	十			
pat2	八			
pat2	缽			
pat2	撥			
