繁体	简体	声母	韵母	聲調	拼音无调	拼音	IPA	备注		
駱	骆	l	oq	8	loq	loq8	lɔʔ²¹¹			
尖	尖	z	ing	1	zing	zing1	tsiŋ³⁵			
尖	尖	z	ing	1h	zing	zing1h	tsiŋ⁵⁵			
奸	奸	g	aeng	1h	gaeng	gaeng1h	kæŋ⁵⁵			
奸	奸	g	aeng	1h	gaeng	gaeng1h	kæŋ⁵⁵			
肩	肩	g	aang	1h	gaang	gaang1h	kaŋ⁵⁵	文读。		
肩	肩	g	iaang	1h	giaang	giaang1h	kiaŋ⁵⁵	白读。		
姦	奸	g	aeng	1	gaeng	gaeng1	kæŋ³⁵			
姦	奸	g	aeng	1h	gaeng	gaeng1h	kæŋ⁵⁵			
兼	兼	g	ing	1h	ging	ging1h	kiŋ⁵⁵			
堅	坚	g	ing	1h	ging	ging1h	kiŋ⁵⁵			
犍	犍	g	iong	1	giong	giong1	kiɔŋ³⁵			
牋	笺	z	ing	1h	zing	zing1h	tsiŋ⁵⁵			
搛	搛	k	ing	2	king	king2	kʰiŋ²¹			
煎	煎	z	ing	1	zing	zing1	tsiŋ³⁵			
煎	煎	z	ing	1h	zing	zing1h	tsiŋ⁵⁵			
監	监	g	aang	1	gaang	gaang1	kaŋ³⁵			
監	监	g	aang	1h	gaang	gaang1h	kaŋ⁵⁵			
箋	笺	z	ing	1h	zing	zing1h	tsiŋ⁵⁵			
艱	艰	g	aeng	1h	gaeng	gaeng1h	kæŋ⁵⁵			
櫼	櫼	c	aang	1	caang	caang1	tsʰaŋ³⁵			
殲	歼	c	ing	1h	cing	cing1h	tsʰiŋ⁵⁵			
柬	柬	g	aeng	3	gaeng	gaeng3	kæŋ¹¹			
剪	剪	z	ing	3	zing	zing3	tsiŋ¹¹			
揀	拣	g	aeng	3	gaeng	gaeng3	kæŋ¹¹			
減	减	g	aang	3	gaang	gaang3	kaŋ¹¹			
儉	俭	g	ing	6	ging	ging6	kiŋ³²			
檢	检	g	ing	3	ging	ging3	kiŋ¹¹			
襉	襉	g	aeng	3	gaeng	gaeng3	kæŋ¹¹			
繭	茧	g	aang	3	gaang	gaang3	kaŋ¹¹			
簡	简	g	aeng	3	gaeng	gaeng3	kæŋ¹¹			
鹹	咸	h	aang	2	haang	haang2	haŋ²¹			
鐗	鐗	g	aeng	1h	gaeng	gaeng1h	kæŋ⁵⁵			
鹻	鹻	g	aang	3	gaang	gaang3	kaŋ¹¹			
件	件	g	ing	6	ging	ging6	kiŋ³²			
見	见	g	ing	5	ging	ging5	kiŋ²⁴			
見	见	h	in	6	hin	hin6	hin³²			
建	建	g	iong	5	giong	giong5	kiɔŋ²⁴			
健	健	g	iong	5	giong	giong5	kiɔŋ²⁴			
揵	揵	k	iong	2	kiong	kiong2	kʰiɔŋ²¹			
楗	楗	g	ing	5	ging	ging5	kiŋ²⁴			
腱	腱	g	ong	5	gong	gong5	kɔŋ²⁴			
漸	渐	z	ing	6	zing	zing6	tsiŋ³²			
賤	贱	z	ing	5	zing	zing5	tsiŋ²⁴			
踐	践	c	ing	3	cing	cing3	tsʰiŋ¹¹			
箭	箭	z	ing	5	zing	zing5	tsiŋ²⁴			
薦	荐	z	ing	5	zing	zing5	tsiŋ²⁴			
鍵	键	g	ing	5	ging	ging5	kiŋ²⁴			
劔	劔	g	ing	5	ging	ging5	kiŋ²⁴			
劍	剑	g	ing	5	ging	ging5	kiŋ²⁴			
餞	饯	z	ing	5	zing	zing5	tsiŋ²⁴			
諫	谏	g	aeng	2	gaeng	gaeng2	kæŋ²¹			
濺	溅	z	ing	6	zing	zing6	tsiŋ³²			
艦	舰	l	aang	6	laang	laang6	laŋ³²			
鑒	鉴	g	aang	5	gaang	gaang5	kaŋ²⁴			
鑑	鉴	g	aang	5	gaang	gaang5	kaŋ²⁴			
江	江	g	ong	1	gong	gong1	kɔŋ³⁵			
江	江	g	ong	1h	gong	gong1h	kɔŋ⁵⁵			
姜	姜	g	iong	1	giong	giong1	kiɔŋ³⁵			
姜	姜	g	iong	1h	giong	giong1h	kiɔŋ⁵⁵			
豇	豇	g	ong	1h	gong	gong1h	kɔŋ⁵⁵			
將	将	z	iong	5	ziong	ziong5	tsiɔŋ²⁴	大~。		
將	将	z	iong	1h	ziong	ziong1h	tsiɔŋ⁵⁵	~来。		
僵	僵	g	iong	1	giong	giong1	kiɔŋ³⁵			
僵	僵	g	iong	1h	giong	giong1h	kiɔŋ⁵⁵			
漿	浆	z	iong	2	ziong	ziong2	tsiɔŋ²¹			
薑	姜	g	iong	1	giong	giong1	kiɔŋ³⁵			
薑	姜	g	iong	1h	giong	giong1h	kiɔŋ⁵⁵			
強	强	k	iong	3	kiong	kiong3	kʰiɔŋ¹¹	勉~。		
強	强	k	iong	2	kiong	kiong2	kʰiɔŋ²¹	~弱、倔~。		
礓	礓	g	iong	1	giong	giong1	kiɔŋ³⁵			
礓	礓	g	iong	1h	giong	giong1h	kiɔŋ⁵⁵			
疆	疆	g	iong	1	giong	giong1	kiɔŋ³⁵			
疆	疆	g	iong	1h	giong	giong1h	kiɔŋ⁵⁵			
繮	缰	g	iong	1h	giong	giong1h	kiɔŋ⁵⁵			
蔣	蒋	z	iong	3	ziong	ziong3	tsiɔŋ¹¹			
槳	桨	z	iong	3	ziong	ziong3	tsiɔŋ¹¹			
獎	奖	z	iong	3	ziong	ziong3	tsiɔŋ¹¹			
講	讲	g	ong	3	gong	gong3	kɔŋ¹¹			
匠	匠	z	iong	5	ziong	ziong5	tsiɔŋ²⁴			
降	降	g	ong	5	gong	gong5	kɔŋ²⁴	下~。		
降	降	h	ong	2	hong	hong2	hɔŋ²¹	投~。		
畺	畺	g	iong	1	giong	giong1	kiɔŋ³⁵			
畺	畺	g	iong	1h	giong	giong1h	kiɔŋ⁵⁵			
醬	酱	z	iong	5	ziong	ziong5	tsiɔŋ²⁴			
交	交	g	aau	1h	gaau	gaau1h	kau⁵⁵			
郊	郊	g	aau	1h	gaau	gaau1h	kau⁵⁵			
茮	茮	z	iu	1h	ziu	ziu1h	tsiu⁵⁵			
椒	椒	z	iu	1h	ziu	ziu1h	tsiu⁵⁵			
焦	焦	z	iu	1h	ziu	ziu1h	tsiu⁵⁵			
蕉	蕉	z	iu	1h	ziu	ziu1h	tsiu⁵⁵			
膠	胶	g	aau	1h	gaau	gaau1h	kau⁵⁵			
澆	浇	j	iu	2	jiu	jiu2	jiu²¹			
嬌	娇	g	iu	1	giu	giu1	kiu³⁵			
嬌	娇	g	iu	1h	giu	giu1h	kiu⁵⁵			
驕	骄	g	iu	1	giu	giu1	kiu³⁵			
驕	骄	g	iu	1h	giu	giu1h	kiu⁵⁵			
嚼	嚼	z	io	1	zio	zio1	tsiɔ³⁵			
角	角	g	o	1	go	go1	kɔ³⁵			
狡	狡	g	aau	3	gaau	gaau3	kau¹¹			
脚	脚	g	io	1	gio	gio1	kiɔ³⁵			
絞	绞	g	aau	3	gaau	gaau3	kau¹¹			
腳	脚	g	io	1	gio	gio1	kiɔ³⁵			
勦	剿	z	iu	3	ziu	ziu3	tsiu¹¹			
鉸	铰	g	aau	3	gaau	gaau3	kau¹¹			
矯	矫	k	iu	3	kiu	kiu3	kʰiu¹¹			
繳	缴	g	iu	3	giu	giu3	kiu¹¹			
攪	搅	g	aau	3	gaau	gaau3	kau¹¹			
叫	叫	g	iu	5	giu	giu5	kiu²⁴			
教	教	g	aau	1	gaau	gaau1	kau³⁵	~书。		
教	教	g	aau	5	gaau	gaau5	kau²⁴	~育。		
窖	窖	g	aau	5	gaau	gaau5	kau²⁴			
較	较	g	aau	5	gaau	gaau5	kau²⁴			
酵	酵	h	aau	1h	haau	haau1h	hau⁵⁵			
噍	噍	z	iu	6	ziu	ziu6	tsiu³²			
轎	轿	k	iu	2	kiu	kiu2	kʰiu²¹			
醮	醮	z	iu	5	ziu	ziu5	tsiu²⁴			
皆	皆	g	aai	1h	gaai	gaai1h	kai⁵⁵			
接	接	z	ie	1	zie	zie1	tsie³⁵			
階	阶	g	aai	1h	gaai	gaai1h	kai⁵⁵			
堦	阶	g	aai	1h	gaai	gaai1h	kai⁵⁵			
揭	揭	k	ie	1	kie	kie1	kʰie³⁵			
街	街	g	aai	1	gaai	gaai1	kai³⁵			
街	街	g	aai	1h	gaai	gaai1h	kai⁵⁵			
稭	秸	g	aai	1h	gaai	gaai1h	kai⁵⁵			
劫	劫	g	ie	1	gie	gie1	kie³⁵			
捷	捷	z	ie	1	zie	zie1	tsie³⁵			
傑	杰	g	ie	1	gie	gie1	kie³⁵			
結	结	g	ie	1	gie	gie1	kie³⁵			
節	节	z	ie	1	zie	zie1	tsie³⁵			
潔	洁	g	ie	1	gie	gie1	kie³⁵			
姐	姐	z	iaa	3	ziaa	ziaa3	tsia¹¹			
解	解	g	aai	3	gaai	gaai3	kai¹¹			
介	介	g	aai	5	gaai	gaai5	kai²⁴			
戒	戒	g	aai	5	gaai	gaai5	kai²⁴			
芥	芥	g	aai	5	gaai	gaai5	kai²⁴			
届	届	g	aai	5	gaai	gaai5	kai²⁴			
界	界	g	aai	5	gaai	gaai5	kai²⁴			
疥	疥	g	aai	5	gaai	gaai5	kai²⁴			
借	借	z	iaa	5	ziaa	ziaa5	tsia²⁴			
褯	褯	z	iaa	1h	ziaa	ziaa1h	tsia⁵⁵	~子。		
巾	巾	g	ang	1	gang	gang1	kɐŋ³⁵			
巾	巾	g	ang	1h	gang	gang1h	kɐŋ⁵⁵			
斤	斤	g	ang	1	gang	gang1	kɐŋ³⁵			
斤	斤	g	ang	1h	gang	gang1h	kɐŋ⁵⁵			
今	今	g	ang	1h	gang	gang1h	kɐŋ⁵⁵			
金	金	g	ang	1h	gang	gang1h	kɐŋ⁵⁵			
津	津	z	ang	1h	zang	zang1h	tsɐŋ⁵⁵			
筋	筋	g	ang	1h	gang	gang1h	kɐŋ⁵⁵			
襟	襟	k	ang	1h	kang	kang1h	kʰɐŋ⁵⁵			
僅	仅	g	ang	3	gang	gang3	kɐŋ¹¹			
緊	紧	g	ang	3	gang	gang3	kɐŋ¹¹			
錦	锦	g	ang	3	gang	gang3	kɐŋ¹¹			
謹	谨	g	ang	3	gang	gang3	kɐŋ¹¹			
劤	劤	g	eng	5	geng	geng5	keŋ²⁴			
近	近	g	ang	6	gang	gang6	kɐŋ³²			
妗	妗	k	ang	6	kang	kang6	kʰɐŋ³²			
勁	劲	g	eng	5	geng	geng5	keŋ²⁴			
晉	晋	z	ang	5	zang	zang5	tsɐŋ²⁴			
浸	浸	z	ang	5	zang	zang5	tsɐŋ²⁴			
進	进	z	ang	5	zang	zang5	tsɐŋ²⁴			
禁	禁	g	ang	2	gang	gang2	kɐŋ²¹	~不住。		
禁	禁	g	ang	6	gang	gang6	kɐŋ³²	~止。		
盡	尽	z	ang	6	zang	zang6	tsɐŋ³²			
濅	濅	z	ang	5	zang	zang5	tsɐŋ²⁴			
京	京	g	eng	1h	geng	geng1h	keŋ⁵⁵			
荊	荆	g	eng	1h	geng	geng1h	keŋ⁵⁵			
莖	茎	g	eng	1	geng	geng1	keŋ³⁵			
晶	晶	z	eng	1h	zeng	zeng1h	tseŋ⁵⁵			
睛	睛	z	eng	1h	zeng	zeng1h	tseŋ⁵⁵			
粳	粳	g	aeng	1h	gaeng	gaeng1h	kæŋ⁵⁵			
經	经	g	eng	1	geng	geng1	keŋ³⁵			
經	经	g	eng	1h	geng	geng1h	keŋ⁵⁵			
精	精	z	eng	1h	zeng	zeng1h	tseŋ⁵⁵			
鯨	鲸	k	eng	2	keng	keng2	kʰeŋ²¹			
驚	惊	g	eng	1h	geng	geng1h	keŋ⁵⁵	文读。		
驚	惊	g	iaang	1	giaang	giaang1	kiaŋ³⁵	白读。		
驚	惊	g	iaang	1h	giaang	giaang1h	kiaŋ⁵⁵	白读。		
丼	丼	z	iaang	3	ziaang	ziaang3	tsiaŋ¹¹			
景	景	g	eng	3	geng	geng3	keŋ¹¹			
儆	儆	g	eng	3	geng	geng3	keŋ¹¹			
頸	颈	g	iaang	3	giaang	giaang3	kiaŋ¹¹			
警	警	g	eng	3	geng	geng3	keŋ¹¹			
陘	陉	j	eng	2	jeng	jeng2	jeŋ²¹			
徑	径	g	eng	5	geng	geng5	keŋ²⁴			
竟	竟	g	eng	5	geng	geng5	keŋ²⁴			
淨	净	z	eng	6	zeng	zeng6	tseŋ³²			
敬	敬	g	eng	5	geng	geng5	keŋ²⁴			
靖	靖	z	eng	6	zeng	zeng6	tseŋ³²			
境	境	g	eng	3	geng	geng3	keŋ¹¹			
靜	静	z	eng	6	zeng	zeng6	tseŋ³²			
瀞	瀞	z	eng	6	zeng	zeng6	tseŋ³²			
鏡	镜	g	iaang	5	giaang	giaang5	kiaŋ²⁴			
競	竞	g	eng	5	geng	geng5	keŋ²⁴			
迥	迥	w	ui	3	wui	wui3	wui¹¹			
窘	窘	gw	ang	5	gwang	gwang5	kʷɐŋ²⁴			
僒	僒	gw	ang	5	gwang	gwang5	kʷɐŋ²⁴			
糾	纠	d	au	2	dau	dau2	tɐu²¹	~缠。		
究	究	g	au	5	gau	gau5	kɐu²⁴			
糾	纠	g	au	3	gau	gau3	kɐu¹¹	~正。		
揫	揫	c	au	1h	cau	cau1h	tsʰɐu⁵⁵	一把~住。		
鳩	鸠	g	au	1h	gau	gau1h	kɐu⁵⁵			
鬮	阄	k	au	1h	kau	kau1h	kʰɐu⁵⁵			
九	九	g	au	3	gau	gau3	kɐu¹¹			
久	久	g	au	3	gau	gau3	kɐu¹¹			
灸	灸	g	au	5	gau	gau5	kɐu²⁴			
韭	韭	g	au	3	gau	gau3	kɐu¹¹			
酒	酒	z	au	3	zau	zau3	tsɐu¹¹			
臼	臼	k	au	5	kau	kau5	kʰɐu²⁴			
咎	咎	g	au	3	gau	gau3	kɐu¹¹			
柩	柩	g	au	6	gau	gau6	kɐu³²			
救	救	g	au	5	gau	gau5	kɐu²⁴			
就	就	z	au	6	zau	zau6	tsɐu³²			
舅	舅	k	au	5	kau	kau5	kʰɐu²⁴			
舊	旧	g	au	6	gau	gau6	kɐu³²			
匶	匶	g	au	6	gau	gau6	kɐu³²			
拘	拘	k	ui	1h	kui	kui1h	kʰui⁵⁵			
居	居	g	ui	1h	gui	gui1h	kui⁵⁵			
掬	掬	g	uq	7	guq	guq7	kʊʔ⁵⁵	一捧。		
駒	驹	k	ui	1h	kui	kui1h	kʰui⁵⁵			
局	局	g	uq	8	guq	guq8	kʊʔ²¹¹			
菊	菊	g	uq	7	guq	guq7	kʊʔ⁵⁵			
橘	橘	g	uq	7	guq	guq7	kʊʔ⁵⁵			
矩	矩	g	ui	3	gui	gui3	kui¹¹			
舉	举	g	ui	3	gui	gui3	kui¹¹			
巨	巨	g	ui	6	gui	gui6	kui³²			
句	句	g	ui	5	gui	gui5	kui²⁴			
勾	勾	ng	au	1h	ngau	ngau1h	ŋɐu⁵⁵			
句	句	ng	au	1h	ngau	ngau1h	ŋɐu⁵⁵			
拒	拒	k	ui	5	kui	kui5	kʰui²⁴			
具	拒	g	ui	5	gui	gui5	kui²⁴			
俱	俱	g	ui	2	gui	gui2	kui²¹			
距	距	k	ui	5	kui	kui5	kʰui²⁴			
聚	聚	z	ui	3	zui	zui3	tsui¹¹			
劇	剧	g	iaaq	8	giaaq	giaaq8	kiaʔ²¹¹			
據	据	g	ui	5	gui	gui5	kui²⁴			
鋸	锯	g	ui	5	gui	gui5	kui²⁴			
㘌	㘌	g	iaaq	8	giaaq	giaaq8	kiaʔ²¹¹			
懼	惧	g	ui	5	gui	gui5	kui²⁴			
捐	捐	g	iong	1h	giong	giong1h	kiɔŋ⁵⁵			
卷	卷	g	iong	3	giong	giong3	kiɔŋ¹¹			
捲	卷	g	iong	3	giong	giong3	kiɔŋ¹¹			
倦	倦	g	iong	6	giong	giong6	kiɔŋ³²			
眷	眷	g	iong	5	giong	giong5	kiɔŋ²⁴			
睠	睠	g	iong	5	giong	giong5	kiɔŋ²⁴			
絹	绢	g	iong	1h	giong	giong1h	kiɔŋ⁵⁵			
氒	氒	k	io	1	kio	kio1	kʰiɔ³⁵			
決	决	k	ioq	1	kioq	kioq1	kʰiɔʔ³⁵			
掘	掘	gw	aq	8	gwaq	gwaq8	kʷɐʔ²¹¹			
訣	诀	k	ioq	1	kioq	kioq1	kʰiɔʔ³⁵			
厥	厥	k	io	1	kio	kio1	kʰiɔ³⁵			
絕	绝	z	ioq	8	zioq	zioq8	tsiɔʔ²¹¹			
璚	璚	k	eng	2	keng	keng2	kʰeŋ²¹			
憠	憠	k	io	1	kio	kio1	kʰiɔ³⁵	脾气~。		
爵	爵	z	io	1	zio	zio1	tsiɔ³⁵			
覺	觉	g	aau	5	gaau	gaau5	kau²⁴	睡~。		
覺	觉	g	o	1	go	go1	kɔ³⁵	知~。		
倔	倔	w	aq	7	waq	waq7	wɐʔ⁵⁵			
均	均	gw	ang	1h	gwang	gwang1h	kʷɐŋ⁵⁵			
君	君	gw	ang	1	gwang	gwang1	kʷɐŋ³⁵			
君	君	gw	ang	1h	gwang	gwang1h	kʷɐŋ⁵⁵			
軍	军	gw	ang	1	gwang	gwang1	kʷɐŋ³⁵			
軍	军	gw	ang	1h	gwang	gwang1h	kʷɐŋ⁵⁵			
菌	菌	gw	ang	3	gwang	gwang3	kʷɐŋ¹¹			
鈞	钧	gw	ang	1h	gwang	gwang1h	kʷɐŋ⁵⁵			
俊	俊	z	ang	5	zang	zang5	tsɐŋ²⁴			
郡	郡	gw	ang	5	gwang	gwang5	kʷɐŋ²⁴			
儁	儁	z	ang	5	zang	zang5	tsɐŋ²⁴			
揩	揩	g	aai	1h	gaai	gaai1h	kai⁵⁵			
開	开	h	ui	1	hui	hui1	hui³⁵			
開	开	h	ui	1h	hui	hui1h	hui⁵⁵			
凱	凯	k	ui	3	kui	kui3	kʰui¹¹			
慨	慨	k	ui	5	kui	kui5	kʰui²⁴			
楷	楷	g	aai	1h	gaai	gaai1h	kai⁵⁵			
愷	恺	k	uii	3	kuii	kuii3	kʰuii¹¹			
刊	刊	h	ong	2	hong	hong2	hɔŋ²¹			
勘	勘	h	ang	1h	hang	hang1h	hɐŋ⁵⁵			
堪	堪	h	aang	1h	haang	haang1h	haŋ⁵⁵			
龕	龛	h	ang	1h	hang	hang1h	hɐŋ⁵⁵			
坎	坎	h	ang	3	hang	hang3	hɐŋ¹¹			
砍	砍	h	ang	3	hang	hang3	hɐŋ¹¹			
看	看	f	un	5	fun	fun5	fun²⁴			
康	康	h	ong	1h	hong	hong1h	hɔŋ⁵⁵			
慷	慷	h	ong	1	hong	hong1	hɔŋ³⁵			
穅	穅	h	ong	1	hong	hong1	hɔŋ³⁵			
穅	穅	h	ong	1h	hong	hong1h	hɔŋ⁵⁵			
糠	糠	h	ong	1	hong	hong1	hɔŋ³⁵			
糠	糠	h	ong	1h	hong	hong1h	hɔŋ⁵⁵			
扛	扛	g	ong	1	gong	gong1	kɔŋ³⁵			
扛	扛	g	ong	1h	gong	gong1h	kɔŋ⁵⁵			
抗	抗	k	ong	5	kong	kong5	kʰɔŋ²⁴			
忼	忼	h	ong	1	hong	hong1	hɔŋ³⁵			
炕	炕	k	ong	5	kong	kong5	kʰɔŋ²⁴			
考	考	h	aau	3	haau	haau3	hau¹¹			
攷	考	h	aau	3	haau	haau3	hau¹¹			
犒	犒	k	aau	5	kaau	kaau5	kʰau²⁴			
靠	靠	k	aau	5	kaau	kaau5	kʰau²⁴			
科	科	f	o	1h	fo	fo1h	fɔ⁵⁵			
磕	磕	k	ui	1	kui	kui1	kʰui³⁵			
顆	颗	n	o	3	no	no3	nɔ¹¹			
咳	咳	k	aq	7	kaq	kaq7	kʰɐʔ⁵⁵			
可	可	h	o	3	ho	ho3	hɔ¹¹			
渴	渴	h	o	1	ho	ho1	hɔ³⁵			
克	克	h	aaq	7	haaq	haaq7	haʔ⁵⁵			
刻	刻	h	aaq	7	haaq	haaq7	haʔ⁵⁵			
客	客	h	ae	1	hae	hae1	hæ³⁵			
課	课	f	o	5	fo	fo5	fɔ²⁴			
肎	肎	h	ang	3	hang	hang3	hɐŋ¹¹			
肯	肯	h	ang	3	hang	hang3	hɐŋ¹¹			
墾	垦	h	ang	3	hang	hang3	hɐŋ¹¹			
懇	恳	h	ang	3	hang	hang3	hɐŋ¹¹			
阬	坑	h	aeng	1	haeng	haeng1	hæŋ³⁵			
阬	坑	h	aeng	1h	haeng	haeng1h	hæŋ⁵⁵			
坑	坑	h	aeng	1	haeng	haeng1	hæŋ³⁵			
坑	坑	h	aeng	1h	haeng	haeng1h	hæŋ⁵⁵			
空	空	h	ung	1	hung	hung1	hʊŋ³⁵			
空	空	h	ung	1h	hung	hung1h	hʊŋ⁵⁵			
孔	孔	k	ung	3	kung	kung3	kʰʊŋ¹¹			
恐	恐	h	ung	3	hung	hung3	hʊŋ¹¹			
控	控	h	ung	6	hung	hung6	hʊŋ³²			
摳	抠	ng	au	1h	ngau	ngau1h	ŋɐu⁵⁵			
口	口	h	au	3	hau	hau3	hɐu¹¹			
叩	叩	k	au	5	kau	kau5	kʰɐu²⁴			
扣	扣	k	au	5	kau	kau5	kʰɐu²⁴			
寇	寇	k	au	5	kau	kau5	kʰɐu²⁴			
枯	枯	f	u	1	fu	fu1	fu³⁵			
枯	枯	f	u	1h	fu	fu1h	fu⁵⁵			
哭	哭	h	uq	7	huq	huq7	hʊʔ⁵⁵			
窟	窟	w	aq	7	waq	waq7	wɐʔ⁵⁵			
苦	苦	f	u	3	fu	fu3	fu¹¹			
庫	库	f	u	5	fu	fu5	fu²⁴			
袴	袴	f	u	5	fu	fu5	fu²⁴			
絝	绔	f	u	5	fu	fu5	fu²⁴			
酷	酷	h	ou	6	hou	hou6	hou³²			
誇	夸	kw	aa	1h	kwaa	kwaa1h	kʷʰa⁵⁵			
垮	垮	kw	aa	1h	kwaa	kwaa1h	kʷʰa⁵⁵			
跨	跨	kw	aa	1h	kwaa	kwaa1h	kʷʰa⁵⁵			
蒯	蒯	gw	aai	3	gwaai	gwaai3	kʷai¹¹			
凷	凷	f	aai	5	faai	faai5	fai²⁴			
快	快	f	aai	5	faai	faai5	fai²⁴			
塊	块	f	aai	5	faai	faai5	fai²⁴			
筷	筷	f	aai	5	faai	faai5	fai²⁴			
墤	墤	f	aai	5	faai	faai5	fai²⁴			
寬	宽	f	un	1	fun	fun1	fun³⁵			
寬	宽	f	un	1h	fun	fun1h	fun⁵⁵			
欵	欵	f	un	3	fun	fun3	fun¹¹			
款	款	f	un	3	fun	fun3	fun¹¹			
歀	歀	f	un	3	fun	fun3	fun¹¹			
匡	匡	h	ong	1h	hong	hong1h	hɔŋ⁵⁵			
筐	筐	h	ong	1h	hong	hong1h	hɔŋ⁵⁵			
狂	狂	kw	ong	2	kwong	kwong2	kʷʰɔŋ²¹			
况	况	f	ong	5	fong	fong5	fɔŋ²⁴			
況	况	f	ong	5	fong	fong5	fɔŋ²⁴			
眶	眶	h	ong	1h	hong	hong1h	hɔŋ⁵⁵			
曠	旷	kw	ong	5	kwong	kwong5	kʷʰɔŋ²⁴			
爌	爌	kw	ong	5	kwong	kwong5	kʷʰɔŋ²⁴			
礦	矿	kw	ong	5	kwong	kwong5	kʷʰɔŋ²⁴			
鑛	矿	kw	ong	5	kwong	kwong5	kʷʰɔŋ²⁴			
盔	盔	f	ui	1	fui	fui1	fui³⁵			
盔	盔	f	ui	1h	fui	fui1h	fui⁵⁵			
窺	窥	kw	ai	1h	kwai	kwai1h	kʷʰɐi⁵⁵			
虧	亏	kw	ai	1h	kwai	kwai1h	kʷʰɐi⁵⁵			
闚	窥	kw	ai	1h	kwai	kwai1h	kʷʰɐi⁵⁵			
奎	奎	f	ui	1h	fui	fui1h	fui⁵⁵			
奎	奎	kw	ai	1h	kwai	kwai1h	kʷʰɐi⁵⁵			
逵	逵	kw	ai	2	kwai	kwai2	kʷʰɐi²¹			
葵	葵	kw	ai	2	kwai	kwai2	kʷʰɐi²¹			
魁	魁	f	ui	1	fui	fui1	fui³⁵			
魁	魁	f	ui	1h	fui	fui1h	fui⁵⁵			
傀	傀	k	ui	5	kui	kui5	kʰui²⁴			
愧	愧	kw	ai	5	kwai	kwai5	kʷʰɐi²⁴			
媿	媿	kw	ai	5	kwai	kwai5	kʷʰɐi²⁴			
聭	聭	kw	ai	5	kwai	kwai5	kʷʰɐi²⁴			
潰	溃	k	ui	5	kui	kui5	kʰui²⁴			
謉	謉	kw	ai	5	kwai	kwai5	kʷʰɐi²⁴			
坤	坤	kw	ang	1	kwang	kwang1	kʷʰɐŋ³⁵			
坤	坤	kw	ang	1h	kwang	kwang1h	kʷʰɐŋ⁵⁵			
昆	昆	kw	ang	1h	kwang	kwang1h	kʷʰɐŋ⁵⁵			
崐	昆	kw	ang	1h	kwang	kwang1h	kʷʰɐŋ⁵⁵			
琨	琨	kw	ang	1h	kwang	kwang1h	kʷʰɐŋ⁵⁵			
困	困	kw	ang	5	kwang	kwang5	kʷʰɐŋ²⁴			
括	括	k	o	1	ko	ko1	kʰɔ³⁵			
廓	廓	k	o	1	ko	ko1	kʰɔ³⁵			
擴	扩	k	ong	5	kong	kong5	kʰɔŋ²⁴			
闊	阔	f	o	1	fo	fo1	fɔ³⁵			
拉	拉	l	aai	1	laai	laai1	lai³⁵			
拉	拉	l	aai	1h	laai	laai1h	lai⁵⁵			
瘌	瘌	l	aeq	8	laeq	laeq8	læʔ²¹¹			
臘	腊	l	aaq	8	laaq	laaq8	laʔ²¹¹			
蠟	蜡	l	aaq	8	laaq	laaq8	laʔ²¹¹			
鑞	镴	l	aaq	8	laaq	laaq8	laʔ²¹¹			
來	来	l	ui	2	lui	lui2	lui²¹			
賴	赖	l	aai	6	laai	laai6	lai³²			
癩	癞	l	aai	6	laai	laai6	lai³²			
藍	蓝	l	aang	2	laang	laang2	laŋ²¹			
攔	拦	l	aeng	2	laeng	laeng2	læŋ²¹			
蘭	兰	l	aeng	2	laeng	laeng2	læŋ²¹			
籃	篮	l	aang	2	laang	laang2	laŋ²¹			
欄	栏	l	aeng	2	laeng	laeng2	læŋ²¹			
懶	懒	l	aeng	5	laeng	laeng5	læŋ²⁴			
嬾	懒	l	aeng	5	laeng	laeng5	læŋ²⁴			
覽	览	l	aang	3	laang	laang3	laŋ¹¹			
攬	揽	l	aang	3	laang	laang3	laŋ¹¹			
欖	榄	l	aang	3	laang	laang3	laŋ¹¹			
纜	缆	l	aang	6	laang	laang6	laŋ³²			
濫	滥	l	aang	6	laang	laang6	laŋ³²			
爛	烂	l	aeng	6	laeng	laeng6	læŋ³²			
爤	爤	l	aeng	6	laeng	laeng6	læŋ³²			
郎	郎	l	ong	2	long	long2	lɔŋ²¹			
狼	狼	l	ong	2	long	long2	lɔŋ²¹			
廊	廊	l	ong	2	long	long2	lɔŋ²¹			
朗	朗	l	ong	3	long	long3	lɔŋ¹¹			
朖	朖	l	ong	3	long	long3	lɔŋ¹¹			
誏	誏	l	ong	3	long	long3	lɔŋ¹¹			
浪	浪	l	ong	5	long	long5	lɔŋ²⁴			
撈	捞	l	aau	1h	laau	laau1h	lau⁵⁵	打~。		
撈	捞	l	aau	2	laau	laau2	lau²¹	~钱。		
牢	牢	l	ou	2	lou	lou2	lou²¹			
窂	窂	l	ou	2	lou	lou2	lou²¹			
勞	劳	l	ou	2	lou	lou2	lou²¹			
嘮	唠	l	ou	2	lou	lou2	lou²¹			
老	老	l	ou	3	lou	lou3	lou¹¹			
烙	烙	l	oq	8	loq	loq8	lɔʔ²¹¹			
酪	酪	l	oq	8	loq	loq8	lɔʔ²¹¹			
澇	涝	l	ou	2	lou	lou2	lou²¹			
勒	勒	l	aq	8	laq	laq8	lɐʔ²¹¹			
了	了	l	iu	2	liu	liu2	liu²¹			
