ID	汉字	注释	拼音	声母	韵母	声调
841	太		thai3	th	ai	3
842	大	文读	tai6	t	ai	6
843	大	白读	tua7	t	ua	7
846	奈		nai6	n	ai	6
847	賴	文读	lai6	l	ai	6
	賴	姓，文读	nai6	n	ai	6
848	賴	白读	lua7	l	ua	7
849	賴	图赖，撒娇、耍小孩子脾气	thai2	th	ai	2
850	癩		lai6	l	ai	6
851	癩	癞瘑	thai2	th	ai	2
852	蔡		tshuann3	tsh	uann	3
853	蓋	白读	khainn3	kh	ainn	3
854	蓋	文读	kai3	k	ai	3
855	蓋	白读	kua3	k	ua	3
856	蓋		khap4	kh	ap	4
857	蓋		khop4	kh	op	4
858	蓋	盖被子	kah4	k	ah	4
859	蓋		kham3	kh	am	3
860	丐		kai3	k	ai	3
861	艾	文读	ngai6	ng	ai	6
862	艾	文读	ainn3		ainn	3
863	艾		hiann7	h	iann	7
864	害		hai7	h	ai	7
865	藹		ai2		ai	2
866	靄		ai2		ai	2
867	拜		pai3	p	ai	3
868	拜	拜拜	pai1	p	ai	1
869	排		pai5	p	ai	5
870	排	排场	phai5	ph	ai	5
871	埋		mai5	m	ai	5
872	齋		tse1	ts	e	1
873	風	风俗	hiong1	h	iong	1
874	豺		tshai5	tsh	ai	5
875	皆		kai1	k	ai	1
876	偕		kai1	k	ai	1
877	偕		hai5	h	ai	5
878	稭		kiak4	k	iak	4
879	稭		kai1	k	ai	1
880	街		koi1	k	oi	1
881	階		kai1	k	ai	1
882	戒		kai3	k	ai	3
883	芥	文读	kai3	k	ai	3
884	尬		kai3	k	ai	3
885	界		kai3	k	ai	3
886	介		kai3	k	ai	3
887	疥		koi3	k	oi	3
888	疥		kai3	k	ai	3
889	届		kai3	k	ai	3
890	揩		khai1	kh	ai	1
891	楷		khai2	kh	ai	2
892	諧		kai1	k	ai	1
893	諧		khai1	kh	ai	1
894	諧		hai5	h	ai	5
895	駭		hai6	h	ai	6
896	械		hai6	h	ai	6
897	械		hai5	h	ai	5
898	挨		ai1		ai	1
899	挨		oi1		oi	1
900	挨		ngai5	ng	ai	5
901	擺		pai2	p	ai	2
902	派		phai3	ph	ai	3
903	牌		pai5	p	ai	5
904	罷		pa6	p	a	6
905	稗		phoi7	ph	oi	7
906	稗	又	phainn7	ph	ainn	7
907	買		boi2	b	oi	2
908	賣		boi7	b	oi	7
909	奶		ni6	n	i	6
910	奶		ne6	n	e	6
911	奶		nai2	n	ai	2
912	奶	陈店音，奶奶	ni2	n	i	2
913	債		tse3	ts	e	3
914	釵		tshe1	tsh	e	1
915	釵		thoi1	th	oi	1
916	差	差别	tsha1	tsh	a	1
917	差	出差	tshe1	tsh	e	1
919	柴	训读	tsha5	tsh	a	5
920	篩	白读	thai1	th	ai	1
921	篩	文读	sai1	s	ai	1
923	曬	文读	sai3	s	ai	3
924	佳		kia1	k	ia	1
926	解	解开	koi2	k	oi	2
927	解	解押	koi3	k	oi	3
928	解	姓	kai2	k	ai	2
929	解	解元	kai3	k	ai	3
930	解	劝解	kainn3	k	ainn	3
931	解	解甲归田	hai6	h	ai	6
932	解	会的本字	oi6		oi	6
933	涯		ngai5	ng	ai	5
934	崖		ngai5	ng	ai	5
935	鞋		oi5		oi	5
936	蟹		hoi6	h	oi	6
944	懈		hai6	h	ai	6
945	矮		oi2		oi	2
946	隘		ai2		ai	2
947	敗		pai7	p	ai	7
948	邁		mai6	m	ai	6
949	寨		tse7	ts	e	7
950	蔽	根据海门音鉴定为阴去	pi3	p	i	3
951	斃		pi7	p	i	7
952	敝	根据海门音鉴定为阴去	pi3	p	i	3
953	幣	根据海门音鉴定为阴去	pi3	p	i	3
954	弊		pi7	p	i	7
955	厲		li6	l	i	6
956	勵		li6	l	i	6
957	例		li7	l	i	7
958	祭		tsi3	ts	i	3
959	祭	音变	tsɿ3	ts	ɿ	3
960	際		tsi3	ts	i	3
961	穄		tsi3	ts	i	3
962	滯		thi3	th	i	3
963	制		tsi3	ts	i	3
964	製		tsi3	ts	i	3
965	勢		si3	s	i	3
966	勢	惯势、倚势	sinn3	s	inn	3
967	勢	行势kiann5-tsua7，走势、趋势的意思，本字未必是“势”	tsua7	ts	ua	7
968	世	白读	si3	s	i	3
969	世	观世音，老派文读	su3	s	u	3
970	世	接着、接下来，白读	sua3	s	ua	3
971	誓		si7	s	i	7
972	誓	咒誓，白读	tsua7	ts	ua	7
973	逝		si7	s	i	7
974	逝	次	tsua7	ts	ua	7
975	藝	白读	goi7	g	oi	7
976	藝	文读	ngi6	ng	i	6
977	囈		goi7	g	oi	7
978	囈		ngi3	ng	i	3
979	刈		ngi6	ng	i	6
980	閉		pi6	p	i	6
981	閉	闭路	pi3	p	i	3
982	箅		pi3	p	i	3
983	批		phoi1	ph	oi	1
984	陛		pi6	p	i	6
985	迷		mi5	m	i	5
986	米		bi2	b	i	2
987	謎		mi6	m	i	6
988	堤		toi1	t	oi	1
989	低		ti1	t	i	1
990	底	白读	toi2	t	oi	2
991	底	文读	ti2	t	i	2
992	抵	白读	toi2	t	oi	2
993	抵	文读	ti2	t	i	2
994	帝		ti3	t	i	3
995	梯		thui1	th	ui	1
996	體	文读	thi2	th	i	2
997	體	白读	thoi2	th	oi	2
998	替	文读	thi3	th	i	3
999	替	白读，此音训给了“代”字	thoi3	th	oi	3
1000	涕		thi3	th	i	3
1001	剃		thi3	th	i	3
1002	提		thi5	th	i	5
1003	題		toi5	t	oi	5
1004	蹄		toi5	t	oi	5
1005	啼		thi5	th	i	5
1006	弟		ti6	t	i	6
1007	第	白读	toi6	t	oi	6
1008	第	门第，文读	ti6	t	i	6
1010	遞		ti7	t	i	7
1011	泥		ni5	n	i	5
1012	泥	滞泥	ni6	n	i	6
1013	犁	白读	loi5	l	oi	5
1014	犁	文读	li5	l	i	5
1015	黎	白读	loi5	l	oi	5
1016	黎	文读	li5	l	i	5
1017	禮	白读	loi2	l	oi	2
1018	禮	文读	li2	l	i	2
1019	禮	无体无礼，白读	loi6	l	oi	6
1020	禮	无体无礼，井都文读	li6	l	i	6
1021	麗		li6	l	i	6
1022	麗		li5	l	i	5
1023	麗	高丽菜	le5	l	e	5
1024	隸	直隶	li6	l	i	6
1025	隸	奴隶	li7	l	i	7
1026	隸	隶书	loi6	l	oi	6
1027	擠		tsinn3	ts	inn	3
1028	濟		tsi3	ts	i	3
1029	濟	多，替字	tsoi7	ts	oi	7
1030	妻		tshi1	tsh	i	1
1031	凄		tshi1	tsh	i	1
1032	砌		kih4	k	ih	4
1033	齊	白读	tsoi5	ts	oi	5
1034	齊	文读	tshi5	tsh	i	5
1035	齊	整齐	tsoih8	ts	oih	8
1036	臍	脐带	tsai5	ts	ai	5
1037	臍	肚脐	tsainn5	ts	ainn	5
1038	薺		tshi5	tsh	i	5
1039	薺	荠葱	tsinn5	ts	inn	5
1040	西	白读	sai1	s	ai	1
1041	西	文读	si1	s	i	1
1042	棲		tshi1	tsh	i	1
1043	犀	犀牛，白读	sai1	s	ai	1
1044	犀	犀利，文读	si1	s	i	1
1045	洗	白读	soi2	s	oi	2
1046	洗	姓，文读	siang2	s	iang	2
1047	細		soi3	s	oi	3
1048	婿		sai3	s	ai	3
1049	雞		koi1	k	oi	1
1050	稽		ki1	k	i	1
1051	計	白读	koi3	k	oi	3
1052	計	文读	ki3	k	i	3
1053	繼		ki3	k	i	3
1054	繋		hi6	h	i	6
1055	溪		khoi1	kh	oi	1
1056	啟		khi2	kh	i	2
1057	契		khoi3	kh	oi	3
1058	倪	姓，白读	goi7	g	oi	7
1059	倪	文读	ngi5	ng	i	5
1060	詣		ngi6	ng	i	6
1061	兮		hi1	h	i	1
1062	奚		hi5	h	i	5
1063	系		hi6	h	i	6
1064	繫		hi6	h	i	6
1065	係		hi6	h	i	6
1066	縊		i3		i	3
1067	瞖		i3		i	3
1068	杯		pfue1	pf	ue	1
1069	輩		pfue3	pf	ue	3
1070	背	背后	pfue3	pf	ue	3
1071	背	背诵	pfue6	pf	ue	6
1072	背	背书包	pi3	p	i	3
1073	坯		pfhue1	pfh	ue	1
1074	胚		pfhue1	pfh	ue	1
1075	配		pfhue3	pfh	ue	3
1076	培		pfhue5	pfh	ue	5
1077	陪		pfhue5	pfh	ue	5
1078	賠		pfue5	pf	ue	5
1079	倍		pfue6	pf	ue	6
1080	佩		pfue6	pf	ue	6
1081	媒		bvue5	bv	ue	5
1082	枚		bvue5	bv	ue	5
1083	玫		bvung5	bv	ung	5
1084	梅		bvue5	bv	ue	5
1085	每		mue2	m	ue	2
1086	昧		mue6	m	ue	6
1087	妹		mue7	m	ue	7
1088	堆		tui1	t	ui	1
1089	對		tui3	t	ui	3
1090	推		tshui1	tsh	ui	1
1091	推	推荐	thui1	th	ui	1
1092	推	推辞	tho1	th	o	1
1093	推		thu1	th	u	1
1094	腿		thui2	th	ui	2
1095	退		tho3	th	o	3
1096	頽		thue5	th	ue	5
1097	隊		tui7	t	ui	7
1098	餒		nue2	n	ue	2
1099	内		lai6	l	ai	6
1100	内	入内，入新宅	lai7	l	ai	7
1101	雷		lui5	l	ui	5
1102	儡		lui2	l	ui	2
1103	催		tshui1	tsh	ui	1
1104	崔		tshui1	tsh	ui	1
1105	罪		tsue6	ts	ue	6
1106	碎		tshui3	tsh	ui	3
1107	瑰		kui3	k	ui	3
1108	盔		khue1	kh	ue	1
1109	魁		khue1	kh	ue	1
1110	詼		khue1	kh	ue	1
1111	恢		hue1	h	ue	1
1112	恢		khue1	kh	ue	1
1113	傀		kui2	k	ui	2
1114	塊	白读	ko3	k	o	3
1115	塊	一块钱，老派文读	khuai3	kh	uai	3
1116	塊		to3	t	o	3
1117	桅		ui5		ui	5
1118	灰	文读	hui1	h	ui	1
1119	灰	白读	hue1	h	ue	1
1120	灰	训读	hu1	h	u	1
1121	悔		hue3	h	ue	3
1122	賄		hue3	h	ue	3
1123	賄		iu6		iu	6
1124	晦		hue3	h	ue	3
1125	回		hue5	h	ue	5
1126	匯		hue6	h	ue	6
1127	潰		khui6	kh	ui	6
1128	兑		tue6	t	ue	6
1129	最		tsue3	ts	ue	3
1130	劊	峡山音	kuai3	k	uai	3
1131	會	文读	hue6	h	ue	6
1132	會	会计	kue3	k	ue	3
1133	會	白读	oi6		oi	6
1134	外		gua7	g	ua	7
1138	繪	峡山音	hue6	h	ue	6
1139	繪	陈店音	kuai3	k	uai	3
1140	繪	普宁东练腔音	kue3	k	ue	3
1141	乖		kuai1	k	uai	1
1142	怪	文读	kuai3	k	uai	3
1143	怪	白读	kue3	k	ue	3
1144	蒯		khuai3	kh	uai	3
1148	淮		huai5	h	uai	5
1149	懷		huai5	h	uai	5
1150	槐		huai5	h	uai	5
1151	壞		huai6	h	uai	6
1152	拐		kuai2	k	uai	2
1153	掛		khua3	kh	ua	3
1154	掛	交挂	kua3	k	ua	3
1155	掛	挂纸	kue3	k	ue	3
1156	卦		kue3	k	ue	3
1157	歪	训读	tshua2	tsh	ua	2
1158	歪	文读	uai1		uai	1
1159	畫		ue7		ue	7
1161	快	文读	khuai3	kh	uai	3
1162	快	白读	khue3	kh	ue	3
1163	筷		khuai6	kh	uai	6
1164	話		ue7		ue	7
1165	脆		tshui3	tsh	ui	3
1166	脆	干脆	tshui2	tsh	ui	2
1167	脆	干脆	tsui2	ts	ui	2
1168	脆	干脆	tshiu2	tsh	iu	2
1169	歲	白读	hue3	h	ue	3
1170	歲	文读	sue3	s	ue	3
1171	彗		hui6	h	ui	6
1172	綴	白读	tue3	t	ue	3
1173	綴	文读	tshuak4	tsh	uak	4
1174	贅		tsue3	ts	ue	3
1175	税		sue3	s	ue	3
1176	説		sueh4	s	ueh	4
1177	鱖		kue3	k	ue	3
1178	鱖		khuak4	kh	uak	4
1179	衛		ue6		ue	6
1180	鋭		dzue6	dz	ue	6
1181	廢		hui3	h	ui	3
1182	肺		hui3	h	ui	3
1183	吠		pfui7	pf	ui	7
1184	穢		ue3		ue	3
1185	圭		kui1	k	ui	1
1186	閨		kui1	k	ui	1
1187	桂		kui3	k	ui	3
1188	奎		kui5	k	ui	5
1189	携		hi6	h	i	6
1190	慧		hui6	h	ui	6
1191	惠		hui6	h	ui	6
1192	卑	尊卑，白读	pi1	p	i	1
1193	碑		pi1	p	i	1
1194	裨		pi1	p	i	1
1195	彼		pi2	p	i	2
1196	俾		pi2	p	i	2
1197	臂		pi3	p	i	3
1198	披		phi1	ph	i	1
1199	譬		phinn3	ph	inn	3
1200	皮	白读	pfhue5	pfh	ue	5
1201	皮	文读	phi5	ph	i	5
1202	疲		phi5	ph	i	5
1203	脾	脾胃	pi5	p	i	5
1204	脾	脾气	phi5	ph	i	5
1205	被	被子	pfhue	pfh	ue	6
1206	被	被动	pi6	p	i	6
1207	婢		pi6	p	i	6
1208	避		pi7	p	i	7
1209	糜	文读	mi5	m	i	5
1210	糜	粥，白读	mue5	m	ue	5
1211	彌	弥补	ni2	n	i	2
1212	彌	阿弥陀佛	ni5	n	i	5
1213	彌	弥勒佛	mi5	m	i	5
1214	靡		mui2	m	ui	2
1215	靡		mi2	m	i	2
1216	籬		li5	l	i	5
1217	離		li5	l	i	5
1218	離	离远	li6	l	i	6
1219	離	毋离，不尽、不及	li7	l	i	7
1220	璃		li5	l	i	5
1224	荔	文读	li6	l	i	6
1225	荔	白读	nai7	n	ai	7
1226	荔	荔湾区	lai7	l	ai	7
1227	荔	荔湾区，又读，怀疑是读成“茄”	kia1	k	ia	1
1228	紫		tsi2	ts	i	2
1229	紫	紫菜	tsinn2	ts	inn	2
1230	雌		tshu5	tsh	u	5
1231	此	文读	tshu2	tsh	u	2
1232	此	替字	tsi2	ts	i	2
1233	刺		tshi3	tsh	i	3
1234	刺		tshiah4	tsh	iah	4
1235	疵		tshu5	tsh	u	5
1236	斯		su1	s	u	1
1237	撕		su1	s	u	1
1238	厮		su1	s	u	1
1239	璽		dzu2	dz	u	2
1240	徙	白读	sua2	s	ua	2
1241	徙	文读	si2	s	i	2
1242	賜		su3	s	u	3
1243	知	白读	tsai1	ts	ai	1
1244	知	文读	ti1	t	i	1
1245	知	知识	ti3	t	i	3
1246	智		ti3	t	i	3
1247	池	白读	ti5	t	i	5
1248	池	文读	tshi5	tsh	i	5
1249	馳		tshi5	tsh	i	5
1252	支		ki1	k	i	1
1253	支		tsi1	ts	i	1
1254	支		tsinn1	ts	inn	1
1255	枝		ki1	k	i	1
1256	肢		ki1	k	i	1
1257	只	只要	tsi2	ts	i	2
1258	只	白读	tsiah4	ts	iah	4
1259	只	文读	tsiap4	ts	iap	4
1260	紙		tsua2	ts	ua	2
1261	侈		tshi2	tsh	i	2
1262	施		si1	s	i	1
1263	施	施孤	sih4	s	ih	4
1264	豕		si2	s	i	2
1265	翅		tshi3	tsh	i	3
1266	翅		thi3	th	i	3
1267	匙		si5	s	i	5
1268	是		si6	s	i	6
1269	氏		si6	s	i	6
1270	豉		si7	s	i	7
1271	兒	文读	dzi5	dz	i	5
1272	兒	白读	ni5	n	i	5
1273	兒	白读	nih4	n	ih	4
1274	爾		dzu2	dz	u	2
1275	羈		ki1	k	i	1
1276	寄		kia3	k	ia	3
1277	企	文读	khi2	kh	i	2
1278	企	白读	khia6	kh	ia	6
1279	奇	奇怪	khi5	kh	i	5
1280	奇	奇数	khia1	kh	ia	1
1281	騎		khia5	kh	ia	5
1282	岐		khi5	kh	i	5
1283	岐		ki5	k	i	5
1284	岐		kia6	k	ia	6
1285	技		ki6	k	i	6
1286	妓		ki6	k	i	6
1287	宜		ngi5	ng	i	5
1288	宜	便宜，pang5-gi5，白读	gi5	g	i	5
1289	宜	便宜，pang5-i5，白读	i5		i	5
1290	儀		ngi5	ng	i	5
1291	蟻	文读	ngi2	ng	i	2
1292	蟻	白读	hia6	h	ia	6
1293	義		ngi6	ng	i	6
1294	議		ngi2	ng	i	2
1295	誼		ngi3	ng	i	3
1296	犧		hi1	h	i	1
1297	戲		hi3	h	i	3
1298	椅		inn2		inn	2
1299	移		inn5		inn	5
1300	移		i5		i	5
1301	易	文读	i6		i	6
1302	易	白读	koi7	k	oi	7
1303	易	交易	ek8		ek	8
1304	易	易经	iah8		iah	8
1305	悲		pfui1	pf	ui	1
1306	斟	白读	tsam1	ts	am	1
1307	鄙		phi2	ph	i	2
1308	比		pi2	p	i	2
1309	庇		pi3	p	i	3
1310	痹		pi3	p	i	3
1311	泌		pi3	p	i	3
1312	秘		pi3	p	i	3
1313	轡		pi3	p	i	3
1314	丕		phi1	ph	i	1
1315	屁	白读	pfhui3	pfh	ui	3
1316	屁	文读	phi3	ph	i	3
1317	琵		pi5	p	i	5
1318	牝		phiang2	ph	iang	2
1319	備	准备	pi7	p	i	7
1320	備	设备	pi6	p	i	6
1321	鼻		phinn7	ph	inn	7
1322	篦	俗读	ping3	p	ing	3
1323	篦	文读	pi3	p	i	3
1324	眉		bai5	b	ai	5
1325	楣		bai5	b	ai	5
1326	霉		bvue5	bv	ue	5
1327	美		mi2	m	i	2
1328	媚		mi6	m	i	6
1329	寐		mue6	m	ue	6
1330	地		ti7	t	i	7
1331	地	替字	to3	t	o	3
1332	尼		ni5	n	i	5
1333	呢		ne1	n	e	1
1334	呢		ni5	n	i	5
1335	呢		ni1	n	i	1
1336	膩	文读	ni6	n	i	6
1337	膩	白读	dzi7	dz	i	7
1338	梨		lai5	l	ai	5
1339	履		li2	l	i	2
1340	利	文读	li7	l	i	7
1341	利	文读	li6	l	i	6
1342	利	白读	lai7	l	ai	7
1343	利	利是包	lai5	l	ai	5
1344	痢		li6	l	i	6
1345	咨		tsu1	ts	u	1
1346	資		tsu1	ts	u	1
1347	姿		tsu1	ts	u	1
1348	姊		tsi2	ts	i	2
1349	姊	姐的本字	tse2	ts	e	2
1350	次		tshu3	tsh	u	3
1351	瓷		tshu5	tsh	u	5
1352	糍		tshu5	tsh	u	5
1353	自		tsu6	ts	u	6
1354	私	文读	su1	s	u	1
1355	私	家私，白读	si1	s	i	1
1356	私	走私，白读	sai1	s	ai	1
1357	死		si2	s	i	2
1358	死	音变	sɿ2	s	ɿ	2
1359	四		si3	s	i	3
1360	肆		su3	s	u	3
1361	肆	四	si3	s	i	3
1362	致		ti3	t	i	3
1363	遲		tshi5	tsh	i	5
1364	遲	凌迟	ti5	t	i	5
1365	遲	凌迟	tinn5	t	inn	5
1366	雉		ti6	t	i	6
1367	稚		tsinn2	ts	inn	2
1368	稚		ti3	t	i	3
1369	師	文读	su1	s	u	1
1370	師	白读	sai1	s	ai	1
1371	獅		sai1	s	ai	1
1372	脂		tsinn1	ts	inn	1
1373	指	指令	tsi2	ts	i	2
1374	指	指向	ki2	k	i	2
1375	指	手指	tsainn2	ts	ainn	2
1376	旨		tsi2	ts	i	2
1377	至		tsi3	ts	i	3
1378	鴟		tshi1	tsh	i	1
1379	示		si7	s	i	7
1380	尸		si1	s	i	1
1381	鈰		tshi6	tsh	i	6
1382	矢		si2	s	i	2
1383	屎		sai2	s	ai	2
1384	嗜		si7	s	i	7
1385	視		si6	s	i	6
1386	視		si7	s	i	7
1387	二		dzi6	dz	i	6
1388	二		dzi7	dz	i	7
1389	二	训读	no6	n	o	6
1390	貳		dzi6	dz	i	6
1391	貳		dzi7	dz	i	7
1392	貳	训读	no6	n	o	6
1393	肌		ki1	k	i	1
1394	飢		ki1	k	i	1
1395	几		ki2	k	i	2
1396	几		ki1	k	i	1
1397	几		kui2	k	ui	2
1398	几	“几何”合音	kua2	k	ua	2
1399	冀		ki3	k	i	3
1400	器		khi3	kh	i	3
1401	棄		khi3	kh	i	3
1402	祈		khi5	kh	i	5
1403	鰭	文读	khi5	kh	i	5
1404	鰭		ki5	k	i	5
1405	鰭	白读	tshi1	tsh	i	1
1406	耆		khi5	kh	i	5
1407	伊		i1		i	1
1408	懿		i6		i	6
1409	夷		i5		i	5
1410	姨	文读	i5		i	5
1411	姨	母亲，白读	ai5		ai	5
1412	肄		i3		i	3
1413	你		lu2	l	u	2
1414	厘		li5	l	i	5
1415	李		li2	l	i	2
1416	理		li2	l	i	2
1417	里	文读	li2	l	i	2
1418	里	白读	lai6	l	ai	6
1419	里	白读	loi2	l	oi	2
1420	里	入里，入宅，白读	lai7	l	ai	7
1421	裏	文读	li2	l	i	2
1422	裏	白读	lai6	l	ai	6
1423	裏	白读	loi2	l	oi	2
1424	裏	入里，入宅，白读	lai7	l	ai	7
1425	鯉		li2	l	i	2
1426	吏		li7	l	i	7
1427	兹		tsu1	ts	u	1
1428	滋		tsu1	ts	u	1
1429	子	文读	tsu2	ts	u	2
1430	子	白读	tsi2	ts	i	2
1431	梓		tsu2	ts	u	2
1432	磁		tshu5	tsh	u	5
1433	慈		tshu5	tsh	u	5
1434	字		dzi7	dz	i	7
1435	司	白读	si1	s	i	1
1436	司	文读	su1	s	u	1
1437	絲		si1	s	i	1
1438	思	文读	su1	s	u	1
1439	思	文读	su3	s	u	3
1440	思	白读	si1	s	i	1
1441	伺		su6	s	u	6
1442	辭	白读	si5	s	i	5
1443	辭	楚辞，文读	su5	s	u	5
1444	詞		su5	s	u	5
1445	祠		su5	s	u	5
1446	巳		tsi6	ts	i	6
1447	祀		su6	s	u	6
1448	似		su6	s	u	6
1449	寺		tsi7	ts	i	7
	寺	老派音	dzi7	dz	i	7
1450	嗣		su6	s	u	6
1451	飼	白读	tshi7	tsh	i	7
1452	飼	文读	su6	s	u	6
1453	置		ti3	t	i	3
1454	痴		tshi1	tsh	i	1
1455	耻		tshi2	tsh	i	2
1456	持		thi5	th	i	5
1457	峙		su6	s	u	6
1458	痔		thi6	th	i	6
1459	治		ti7	t	i	7
1460	治	宰	thai5	th	ai	5
1461	輜		tsu1	ts	u	1
1462	廁		tshe3	tsh	e	3
1463	俟		su6	s	u	6
1464	士		su6	s	u	6
1465	事		su7	s	u	7
1466	事		tai7	t	ai	7
1467	史		su2	s	u	2
1468	使		sai2	s	ai	2
1469	使		sai3	s	ai	3
1470	駛		sai2	s	ai	2
1471	芝		tsu1	ts	u	1
1472	之		tsu1	ts	u	1
1473	址		tsi2	ts	i	2
1474	止		tsi2	ts	i	2
1475	趾		tsi2	ts	i	2
1476	趾		tsainn2	ts	ainn	2
1477	志		tsi3	ts	i	3
1478	誌		tsi3	ts	i	3
1479	痣		ki3	k	i	3
1480	嗤		tshi1	tsh	i	1
1481	齒	白读	khi2	kh	i	2
1482	齒	文读	tshi2	tsh	i	2
1483	詩		si1	s	i	1
1484	始		si2	s	i	2
1485	試		tshi3	tsh	i	3
1486	時	白读	si5	s	i	5
1487	時	文读	su5	s	u	5
1488	鰣		si5	s	i	5
1489	市		tshi6	tsh	i	6
1490	恃		si6	s	i	6
1491	侍	白读	si6	s	i	6
1492	侍	文读	su6	s	u	6
1493	而		dzu5	dz	u	5
1494	耳	文读	dzu2	dz	u	2
1495	耳	白读	hinn6	h	inn	6
1496	餌		dzi7	dz	i	7
1497	基		ki1	k	i	1
1498	姬		ki1	k	i	1
1499	己		ki2	k	i	2
1500	己	家己，替字	ki7	k	i	7
1501	紀		ki3	k	i	3
1502	記		ki3	k	i	3
1503	欺		khi1	kh	i	1
1504	起		khi2	kh	i	2
1505	杞		khi2	kh	i	2
1506	棋		ki5	k	i	5
1507	其		khi5	kh	i	5
1508	其	的	kai5	k	ai	5
1509	旗		ki5	k	i	5
1510	期		khi5	kh	i	5
1511	忌		ki6	k	i	6
1512	疑		gi5	g	i	5
1513	擬	模拟	ni2	n	i	2
1514	擬	拟人	ngi2	ng	i	2
1515	嘻		hi1	h	i	1
1516	嬉		hi1	h	i	1
1517	禧		hi1	h	i	1
1518	熙		hi1	h	i	1
1519	喜		hi2	h	i	2
1520	醫		ui1		ui	1
1521	意		i3		i	3
1522	矣		i7		i	7
1523	怡		i5		i	5
1524	怡		ngi5	ng	i	5
1525	貽		i5		i	5
1526	已		inn2		inn	2
1527	以		inn2		inn	2
1528	異	疑似阳上变调错乱	i3		i	3
	異	根据海门音鉴定为阳上	i6		i	6
1529	機		ki1	k	i	1
1530	鉿		hah4	h	ah	4
1531	譏		ki1	k	i	1
1532	饑		ki1	k	i	1
1533	幾		ki2	k	i	2
1534	幾		ki1	k	i	1
1535	幾		kui2	k	ui	2
1536	幾	几何合音	kua2	k	ua	2
1537	既		ki3	k	i	3
1538	豈		kha2	kh	a	2
1539	豈		khah4	kh	ah	4
1540	氣	文读	khi3	kh	i	3
1541	氣	白读	khui3	kh	ui	3
1542	汽	文读	khi3	kh	i	3
1543	汽	白读	khui3	kh	ui	3
1545	沂		ngi5	ng	i	5
1546	毅		ngi6	ng	i	6
1547	希		hi1	h	i	1
1548	稀		hi1	h	i	1
1549	依		hi1	h	i	1
1550	衣	文读	i1		i	1
1551	衣	白读	ui1		ui	1
1552	累		lui2	l	ui	2
1553	累		lui6	l	ui	6
1554	累		lui7	l	ui	7
1555	嘴		tshui3	tsh	ui	3
1556	髓		tshue2	tsh	ue	2
1557	隨		sui5	s	ui	5
1558	揣		tshui2	tsh	ui	2
1559	揣	找，替字	tshue7	tsh	ue	7
1560	吹		tshue1	tsh	ue	1
1561	炊		tshue1	tsh	ue	1
1562	垂		sui5	s	ui	5
1563	垂	本字蕤	sui1	s	ui	1
1564	垂		sue5	s	ue	5
1565	睡		sui6	s	ui	6
1566	厝		tshu3	tsh	u	3
1567	瑞		sui7	s	ui	7
1568	蕊		lui2	l	ui	2
1569	規		kui1	k	ui	1
1570	詭		khui2	kh	ui	2
1571	虧		khui1	kh	ui	1
1572	窺		kui1	k	ui	1
1573	跪		kui6	k	ui	6
1574	危		ngui5	ng	ui	5
1575	危	音变	mui5	m	ui	5
1576	偽		ngui6	ng	ui	6
1577	偽	陈店音	ui5		ui	5
1578	麾		hui1	h	ui	1
1579	毁		huinn2	h	uinn	2
1580	委		ui2		ui	2
1581	喂		ui3		ui	3
1582	喂	呼唤	ue3		ue	3
1583	喂	呼唤	uei3		uei	3
1584	喂	呼唤	uai3		uai	3
1585	為		ui5		ui	5
1586	為		ui7		ui	7
1589	壘		lui2	l	ui	2
1590	類		lui6	l	ui	6
1591	淚		lui6	l	ui	6
1592	醉		tsui3	ts	ui	3
1593	翠		tshui3	tsh	ui	3
1594	悴		tsui6	ts	ui	6
1595	綏		sui1	s	ui	1
1596	雖		sui5	s	ui	5
1597	粹		tsui6	ts	ui	6
1598	遂		sui5	s	ui	5
1599	隧		sui5	s	ui	5
1600	穗		sui7	s	ui	7
1601	追		tui1	t	ui	1
1602	槌		thui5	th	ui	5
1603	錘		tui5	t	ui	5
1604	錘		thui5	th	ui	5
1605	墜		tui7	t	ui	7
1606	墜		thui7	th	ui	7
1607	衰		sue1	s	ue	1
1608	摔		sek4	s	ek	4
1609	摔		suk4	s	uk	4
1610	摔		siak4	s	iak	4
1611	帥		sue3	s	ue	3
1612	帥	训读，本字“水”	sui2	s	ui	2
1613	率	率先	suk4	s	uk	4
1614	率	效率	luk8	l	uk	8
1615	錐		tsui1	ts	ui	1
1616	水		tsui2	ts	ui	2
1617	水		sui2	s	ui	2
1618	誰		sui5	s	ui	5
1619	龜		ku1	k	u	1
1620	龜		kui1	k	ui	1
1621	龜	龟裂	kung1	k	ung	1
1622	龜	本字“勼”	kiu1	k	iu	1
1623	軌		kui2	k	ui	2
1624	癸		kui3	k	ui	3
1625	晷		kui2	k	ui	2
1626	愧	文读	kui6	k	ui	6
1627	愧	文读	khui6	kh	ui	6
1628	愧	无愧，白读	kue3	k	ue	3
1629	季	白读	khui3	kh	ui	3
1630	季	姓，文读	ki3	k	i	3
1631	葵		khui5	kh	ui	5
1632	逵		khui5	kh	ui	5
1633	夔		khui5	kh	ui	5
1634	揆		khui5	kh	ui	5
1635	櫃		kui7	k	ui	7
1636	帷		dzui5	dz	ui	5
1637	位		ui7		ui	7
1638	維		dzui5	dz	ui	5
1639	惟		dzui5	dz	ui	5
