							#調值 [1]22 [2]55 [3]53 [4]24 [5]11 [6]33
5490	鉛	∅	iøn	55	陽平		
5491	鈆	∅	iøn	55	陽平		
5496	緣	∅	iøn	55	陽平		
5524	船	s	øn	55	陽平		
5525	舩	s	øn	55	陽平		
5526	鞭	p	eŋ	22	陰平		
5529	編	pʰ	eŋ	22	陰平	不符合該方言古今對應規律。	
5553	專	ts	øn	22	陰平		
5554	甎	ts	øn	22	陰平		
5573	員	∅	iøn	55	陽平		
5574	圜	∅	ʋeŋ	55	陽平		
5575	圓	∅	ʋeŋ	55	陽平		
5585	乾	kʰ	eŋ	55	陽平	乾坤。	
5604	權	kʰ	øn	55	陽平		
5605	拳	kʰ	øn	55	陽平		
5628	傳	tsʰ	øn	55	陽平	傳達。	
5634	棬	kʰ	øn	22	陰平		
5650	蕭	ɕ	iᴀu	22	陰平		
5668	挑	tʰ	iᴀu	22	陰平		
5680	刁	t	iᴀu	22	陰平		
5700	條	t	iᴀu	55	陽平		
5711	調	t	iᴀu	55	陽平	調和。	
5730	聊	l	iᴀu	55	陽平		
5772	堯	∅	iᴀu	55	陽平		
5795	消	ɕ	iᴀu	22	陰平		
5814	超	tɕʰ	iᴀu	22	陰平		
5820	朝	t	iᴀu	22	陰平	今朝。	
5821	𦩻	t	iᴀu	22	陰平	今朝。	
5826	朝	tɕʰ	iᴀu	55	陽平	朝代。	
5827	潮	tɕʰ	iᴀu	55	陽平		
5828	嚻	h	iᴀu	22	陰平		
5853	驕	k	iᴀu	22	陰平		
5862	焦	tɕ	iᴀu	22	陰平		
5863	𤓪	tɕ	iᴀu	22	陰平		
5869	椒	tɕ	iᴀu	22	陰平		
5870	茮	tɕ	iᴀu	22	陰平		
5879	饒	∅	iᴀu	55	陽平		
5885	燒	ɕ	iᴀu	22	陰平		
5893	窯	∅	iᴀu	55	陽平		
5894	窰	∅	iᴀu	55	陽平		
5901	搖	∅	iᴀu	55	陽平		
5923	韶	ɕ	iᴀu	55	陽平	韶關。	
5924	㲈	ɕ	iᴀu	55	陽平	韶關。	
5933	昭	tɕ	iᴀu	22	陰平		
5936	招	tɕ	iᴀu	22	陰平		
5941	標	p	iᴀu	22	陰平		
5962	瓢	p	iᴀu	55	陽平		
5973	苗	m	iᴀu	55	陽平		
5978	要	∅	iᴀu	22	陰平	要求。	
5989	喬	kʰ	iᴀu	55	陽平		
5990	橋	kʰ	iᴀu	55	陽平		
6012	妖	∅	iᴀu	22	陰平		
6035	飄	pʰ	iᴀu	22	陰平		
6052	燎	l	iᴀu	55	陽平		
6058	肴	ŋ	ɔ	55	陽平	不符合該方言古今對應規律。	
6059	餚	ŋ	ɔ	55	陽平	不符合該方言古今對應規律。	
6077	交	k	ɔ	22	陰平		
6081	膠	k	ɔ	22	陰平	膠布。	
6100	巢	tsʰ	ɔ	55	陽平		
6136	貓	m	iᴀu	22	陰平		
6159	包	p	ɔ	22	陰平		
6169	泡	pʰ	ɔ	11	陰去	水泡。不符合該方言古今對應規律。	
6200	抄	tsʰ	ɔ	22	陰平		
6238	豪	h	ɔ	55	陽平		
6240	毫	h	ɔ	55	陽平		
6251	高	k	ɔ	22	陰平		
6272	勞	l	ɔ	55	陽平		
6274	牢	l	ɔ	55	陽平		
6275	窂	l	ɔ	55	陽平		
6281	撈	l	ɔ	55	陽平		
6301	毛	m	ɔ	55	陽平		
6339	刀	t	ɔ	22	陰平		
6350	臊	s	ɔ	22	陰平	臊氣。	
6359	袍	p	ɔ	55	陽平		
6360	袌	p	ɔ	55	陽平		
6366	陶	t	ɔ	55	陽平		
6370	桃	t	ɔ	55	陽平		
6373	逃	t	ɔ	55	陽平		
6391	糟	ts	ɔ	22	陰平		
6392	𦵩	ts	ɔ	22	陰平		
6393	醩	ts	ɔ	22	陰平		
6405	熬	ŋ	ɔ	55	陽平		
6425	曹	tsʰ	ɔ	55	陽平		
6426	𣍘	tsʰ	ɔ	55	陽平		
6452	操	tsʰ	ɔ	22	陰平	體操。	
6460	歌	k	ᴀu	22	陰平		
6461	謌	k	ᴀu	22	陰平		
6469	哥	k	ɔ	33	陽去	不符合該方言古今對應規律。	
6469	哥	k	ᴀu	22	陰平		
6473	搓	tsʰ	ᴀu	55	陽平		
6478	多	t	ᴀu	22	陰平		
6490	駝	t	ᴀu	55	陽平		
6491	駞	t	ᴀu	55	陽平		
6496	陀	t	ᴀu	55	陽平		
6505	馱	t	ᴀu	55	陽平	馱背。	
6537	鵝	ŋ	ᴀu	55	陽平		
6538	俄	ŋ	ᴀu	55	陽平		
6540	蛾	ŋ	ᴀu	55	陽平		
6547	拕	tʰ	ᴀu	22	陰平		
6552	羅	l	ᴀu	55	陽平		
6554	籮	l	ᴀu	55	陽平		
6560	鑼	l	ᴀu	55	陽平		
6571	何	h	ᴀu	55	陽平		
6572	河	h	ᴀu	55	陽平		
6573	荷	h	ᴀu	55	陽平	荷花。	
6617	蓑	s	ᴀu	22	陰平		
6624	婆	p	ᴀu	55	陽平		
6640	魔	m	ᴀu	55	陽平		
6642	磨	m	ᴀu	55	陽平	磨刀。	
6671	螺	l	ᴀu	55	陽平		
6672	蠃	l	ᴀu	55	陽平		
6678	腡	l	ᴀu	55	陽平		
6682	波	p	ᴀu	22	陰平		
6689	坡	p	ᴀu	22	陰平	不符合該方言古今對應規律。	
6691	玻	p	ᴀu	22	陰平	不符合該方言古今對應規律。	
6692	和	∅	ʋᴀu	55	陽平	和氣。	
6695	禾	∅	ʋᴀu	55	陽平		
6701	科	kʰ	ʋᴀu	22	陰平		
6722	鞾	kʰ	œ	22	陰平	不符合該方言古今對應規律。	
6723	靴	kʰ	œ	22	陰平	不符合該方言古今對應規律。	
6731	茄	kʰ	ɔi	55	陽平	茄子。	
6744	麻	m	ᴀu	55	陽平		
6752	車	tsʰ	ᴀ	22	陰平		
6755	賖	s	ᴀ	22	陰平		
6770	遮	ts	ᴀ	22	陰平		
6786	蛇	s	ᴀ	55	陽平		
6787	虵	s	ᴀ	55	陽平		
6789	華	∅	ʋᴀu	55	陽平	中華。	
6798	划	∅	ʋᴀ	33	陽去	划船。不符合該方言古今對應規律。	
6799	瓜	k	ʋᴀu	22	陰平		
6806	華	f	ᴀu	22	陰平		
6807	花	f	ᴀu	22	陰平		
6810	誇	kʰ	ʋᴀu	22	陰平		
6818	拏	n	ᴀu	22	陰平		
6828	家	k	ᴀu	22	陰平		
6829	加	k	ᴀu	22	陰平		
6856	霞	h	ᴀu	55	陽平		
6879	巴	p	ᴀu	22	陰平		
6887	叉	tsʰ	ᴀu	22	陰平		
6889	差	tsʰ	ᴀu	22	陰平	差別。	
6898	沙	s	ᴀu	22	陰平		
6899	砂	s	ᴀu	22	陰平		
6903	紗	s	ᴀu	22	陰平		
6907	牙	ŋ	ᴀu	55	陽平		
6909	芽	ŋ	ᴀu	55	陽平		
6922	渣	ts	ᴀu	22	陰平		
6930	𣘻	tsʰ	ᴀu	55	陽平		
6931	茶	tsʰ	ᴀu	55	陽平		
6942	斜	tsʰ	ᴀ	11	陰去	不符合該方言古今對應規律。	
6943	邪	tsʰ	ᴀ	55	陽平		
6953	蛙	∅	ʋᴀu	22	陰平		
6961	爬	p	ᴀu	55	陽平		
6999	陽	∅	iei	55	陽平		
7001	楊	∅	iei	55	陽平		
7005	羊	∅	iei	55	陽平		
7009	詳	tsʰ	ei	55	陽平		
7011	洋	∅	iei	55	陽平		
7034	祥	tsʰ	ei	55	陽平		
7038	良	l	ei	55	陽平		
7041	粮	l	ei	55	陽平		
7042	糧	l	ei	55	陽平		
7043	涼	l	ei	55	陽平		
7044	凉	l	ei	55	陽平		
7046	量	l	ei	55	陽平	丈量。	
7056	香	h	ei	22	陰平		
7059	鄉	h	ei	22	陰平		
7061	商	s	ei	22	陰平		
7063	傷	s	ei	22	陰平		
7080	房	f	o	55	陽平		
7081	防	f	o	55	陽平		
7087	章	ts	ei	22	陰平		
7089	樟	ts	ei	22	陰平		
7102	昌	tsʰ	ei	22	陰平		
7114	薑	k	ei	22	陰平	生薑。	
7115	䕬	k	ei	22	陰平	生薑。	
7116	畺	k	ei	22	陰平		
7117	疆	k	ei	22	陰平		
7126	姜	k	ei	22	陰平	姓姜。	
7129	長	tsʰ	ei	55	陽平	長短。	
7131	腸	tsʰ	ei	55	陽平		
7132	場	tsʰ	ei	55	陽平		
7137	張	ts	ei	22	陰平		
7158	方	f	o	22	陰平		
7174	相	s	ei	22	陰平	互相。	
7182	箱	s	ei	22	陰平		
7184	將	ts	ei	22	陰平	將來。	
7185	漿	ts	ei	22	陰平		
7190	創	tsʰ	o	22	陰平		
7191	瘡	tsʰ	o	22	陰平		
7192	𠛂	tsʰ	o	22	陰平		
7193	亡	m	o	55	陽平		
7206	娘	ȵ	i	55	陽平		
7209	牀	tsʰ	o	55	陽平		
7210	床	tsʰ	o	55	陽平		
7212	莊	ts	o	22	陰平		
7213	㽵	ts	o	22	陰平		
7215	裝	ts	o	22	陰平		
7217	常	s	ei	55	陽平		
7220	甞	s	ei	55	陽平		
7221	嘗	s	ei	55	陽平		
7224	償	s	ei	55	陽平		
7227	霜	s	o	22	陰平		
7234	牆	tsʰ	ei	55	陽平		
7235	廧	tsʰ	ei	55	陽平		
7236	墻	tsʰ	ei	55	陽平		
7246	槍	tsʰ	ei	22	陰平		
7256	匡	kʰ	o	22	陰平		
7258	筐	kʰ	o	22	陰平		
7269	王	∅	ʋo	55	陽平		
7273	央	∅	ei	22	陰平		
7278	秧	∅	ei	22	陰平		
7282	強	kʰ	ei	55	陽平	強大。	
7289	芳	f	o	22	陰平		
7290	妨	f	o	53	陰上	不符合該方言古今對應規律。	
7292	狂	kʰ	o	55	陽平		
7297	唐	t	o	55	陽平		
7298	啺	t	o	55	陽平		
7299	𥏬	t	o	55	陽平		
7301	糖	t	o	55	陽平		
7302	糛	t	o	55	陽平		
7303	堂	t	o	55	陽平		
7304	坣	t	o	55	陽平		
7316	塘	t	o	55	陽平		
7337	郎	l	o	55	陽平		
7341	廊	l	o	55	陽平		
7353	狼	l	o	55	陽平		
7367	當	t	o	22	陰平	應當。	
7378	倉	tsʰ	o	22	陰平		
7387	剛	k	o	22	陰平		
7388	㓻	k	o	22	陰平		
7392	綱	k	o	22	陰平		
7401	桑	s	o	22	陰平		
7402	桒	s	o	22	陰平		
7407	康	kʰ	o	22	陰平		
7408	穅	h	o	22	陰平		
7409	糠	h	o	22	陰平		
7421	荒	f	o	22	陰平		
7435	黃	∅	ʋo	55	陽平		
7436	皇	∅	ʋo	55	陽平		
7467	光	k	ʋo	22	陰平		
7468	灮	k	ʋo	22	陰平		
7481	湯	tʰ	o	22	陰平		
7499	汪	∅	ʋo	22	陰平		
7515	航	h	o	55	陽平		
7518	行	h	o	55	陽平	銀行。	
7526	杭	h	o	55	陽平		
7538	忙	m	o	55	陽平		
7539	朚	m	o	55	陽平		
7562	旁	p	o	55	陽平	不符合該方言古今對應規律。	
7571	昂	ŋ	o	55	陽平		
7575	藏	tsʰ	o	55	陽平	躲藏。	
7577	幫	p	o	22	陰平		
7578	縍	p	o	22	陰平		
7582	庚	k	ᴀ	22	陰平		
7584	更	k	ᴀ	22	陰平	五更。	
7587	稉	k	ᴀ	22	陰平		
7588	粳	k	ᴀ	22	陰平		
7594	阬	h	ᴀ	22	陰平		
7595	坑	h	ᴀ	22	陰平		
7596	硎	h	ᴀ	22	陰平		
7600	盲	m	ᴀ	55	陽平		
7608	橫	∅	ʋᴀ	55	陽平	橫直。	
7641	彭	p	ᴀ	55	陽平		
7662	橕	tsʰ	ᴀ	22	陰平		
7663	樘	tsʰ	ᴀ	22	陰平		
7680	英	∅	ᴀ	22	陰平		
7689	平	p	ᴀ	55	陽平		
7690	評	p	ᴀ	55	陽平		
7694	坪	p	ᴀ	55	陽平		
7697	驚	k	ᴀ	22	陰平		
7698	京	k	ᴀ	22	陰平		
7704	明	m	ᴀ	55	陽平		
7705	盟	m	ᴀ	55	陽平		
7706	𥁰	m	ᴀ	55	陽平		
7708	鳴	m	ᴀ	55	陽平		
7718	榮	∅	ie	55	陽平		
7724	兵	p	ᴀ	22	陰平		
7725	兄	f	ᴀ	22	陰平		
7726	卿	h	ᴀ	22	陰平		
7727	生	s	ᴀ	22	陰平		
7729	牲	s	ᴀ	22	陰平		
7733	甥	s	ᴀ	22	陰平		
7737	擎	kʰ	ᴀ	55	陽平		
7742	䲔	kʰ	ᴀ	55	陽平		
7743	鯨	kʰ	ᴀ	55	陽平		
7748	迎	∅	ieŋ	55	陽平		
7749	行	h	ᴀ	55	陽平	行為。	
7750	衡	h	ᴀn	55	陽平		
7765	耕	k	ᴀ	22	陰平		
7785	萌	m	ᴀ	55	陽平		
7795	宏	h	ɛ	55	陽平		
7829	鸚	∅	ᴀ	22	陰平		
7864	轟	k	ʋᴀn	22	陰平	不符合該方言古今對應規律。	
7865	輷	k	ʋᴀn	22	陰平	不符合該方言古今對應規律。	
7879	橙	tsʰ	ᴀ	55	陽平		
7896	棚	p	ᴀ	55	陽平		
7902	爭	ts	ᴀ	22	陰平		
7909	清	tsʰ	ᴀ	22	陰平		
7911	情	tsʰ	ᴀ	55	陽平		
7912	晴	tsʰ	ᴀ	55	陽平		
7916	精	ts	ᴀ	22	陰平		
7921	晶	ts	ᴀ	22	陰平		
7924	睛	ts	ᴀ	22	陰平		
7931	盈	∅	ieŋ	55	陽平		
7937	贏	∅	iᴀ	55	陽平		
7943	營	∅	iᴀ	55	陽平		
7949	嬰	∅	ᴀ	22	陰平		
7956	貞	ts	ᴀn	22	陰平		
7963	偵	ts	ᴀn	22	陰平		
7970	成	s	ᴀ	55	陽平		
7971	𢦩	s	ᴀ	55	陽平		
7972	城	s	ᴀ	55	陽平		
7973	誠	s	ᴀ	55	陽平		
7980	呈	tsʰ	ᴀ	55	陽平		
7981	程	tsʰ	ᴀ	55	陽平		
7987	聲	s	ᴀ	22	陰平		
7988	征	ts	ᴀ	22	陰平	長征。	
7995	正	ts	ᴀ	22	陰平	正月。	
8001	輕	h	ᴀ	22	陰平		
8004	名	m	ᴀ	55	陽平		
8012	傾	kʰ	ᴀ	22	陰平		
8020	瓊	kʰ	ᴀ	55	陽平		
8021	璚	kʰ	ᴀ	55	陽平		
8046	青	tsʰ	ᴀ	22	陰平		
8051	經	k	ᴀ	22	陰平		
8056	刑	h	ᴀ	55	陽平		
8057	形	h	ᴀ	55	陽平		
8063	型	h	ᴀ	55	陽平		
8072	庭	t	ᴀ	55	陽平		
8073	停	t	ᴀ	55	陽平		
8078	亭	t	ᴀ	55	陽平		
8090	廷	t	ᴀ	55	陽平		
8093	丁	t	ᴀ	22	陰平		
8094	釘	t	ᴀ	22	陰平	鐵釘。	
8104	星	s	ᴀ	22	陰平		
8105	曐	s	ᴀ	22	陰平		
8106	腥	s	ᴀ	22	陰平		
8124	靈	l	ᴀ	55	陽平		
8125	霛	l	ᴀ	55	陽平		
8126	𩆈	l	ᴀ	55	陽平		
8136	鈴	l	ᴀ	55	陽平		
8163	零	l	ᴀ	55	陽平		
8211	寧	l	ᴀ	55	陽平	安寧。	
8224	聽	tʰ	ᴀ	22	陰平	聽見。	
8225	廳	tʰ	ᴀ	22	陰平		
8236	銘	m	ᴀ	55	陽平		
8249	瓶	p	ᴀ	55	陽平		
8250	缾	p	ᴀ	55	陽平		
8253	屏	p	ᴀ	55	陽平		
8257	萍	p	ᴀ	55	陽平		
8258	蓱	p	ᴀ	55	陽平		
8266	螢	∅	ieŋ	55	陽平		
8278	蒸	ts	ᴀ	22	陰平		
8279	䒱	ts	ᴀ	22	陰平		
8280	烝	ts	ᴀ	22	陰平		
8285	承	s	ᴀ	55	陽平		
8288	澂	tsʰ	ᴀn	55	陽平	澄海。	
8289	澄	tsʰ	ᴀn	55	陽平	澄海。	
8292	懲	tsʰ	ᴀn	55	陽平		
8293	陵	l	ᴀ	55	陽平		
8297	凌	l	ᴀ	55	陽平		
8299	蔆	l	ᴀ	55	陽平		
8300	菱	l	ᴀ	55	陽平		
8301	䔖	l	ᴀ	55	陽平		
8312	應	∅	ᴀ	22	陰平	應該。	
8314	鷹	∅	ᴀ	22	陰平		
8317	憑	p	ᴀ	55	陽平		
8320	冫	p	ᴀ	22	陰平		
8321	冰	p	ᴀ	22	陰平		
8323	蠅	∅	iᴀ	55	陽平		
8324	繩	s	ᴀ	55	陽平		
8328	乘	s	ᴀ	55	陽平		
8329	椉	s	ᴀ	55	陽平		
8330	𠅞	s	ᴀ	55	陽平		
8336	升	s	ᴀ	22	陰平		
8337	昇	s	ᴀ	22	陰平		
8341	仍	∅	ieŋ	55	陽平		
8351	徵	ts	ᴀ	22	陰平	徵兵。	
8362	興	h	ᴀ	22	陰平	興旺。	
8365	稱	tsʰ	ᴀ	22	陰平	稱呼。	
8377	登	t	ᴀ	22	陰平		
8379	燈	t	ei	22	陰平		
8391	僧	ts	ᴀ	22	陰平		
8394	崩	p	ᴀ	22	陰平		
8395	增	ts	ᴀ	22	陰平		
8398	曾	ts	ᴀ	22	陰平	姓曾。	
8411	層	tsʰ	ɛ	55	陽平		
8412	曾	tsʰ	ᴀn	55	陽平	曾經。	
8414	朋	p	ᴀ	55	陽平		
8420	弘	h	ɛ	55	陽平	不符合該方言古今對應規律。	
8430	能	n	ᴀ	55	陽平		
8431	騰	t	ei	55	陽平		
8436	藤	t	ei	55	陽平		
8443	恆	h	ᴀn	55	陽平		
8444	𢛢	h	ᴀn	55	陽平		
8455	尤	∅	iu	55	陽平		
8462	郵	∅	iu	55	陽平		
8465	優	∅	iu	22	陰平		
8481	劉	l	iu	55	陽平		
8482	留	l	iu	55	陽平		
8491	流	l	iu	55	陽平		
8492	㳅	l	iu	55	陽平		
8525	秋	tɕʰ	iu	22	陰平		
8526	秌	tɕʰ	iu	22	陰平		
8542	猷	∅	iu	55	陽平		
8543	猶	∅	iu	55	陽平		
8545	油	∅	iu	55	陽平		
8546	由	∅	iu	55	陽平		
8588	牛	ȵ	iu	55	陽平		
8612	修	ɕ	iu	22	陰平		
8618	抽	tɕʰ	iu	22	陰平		
8619	𢭆	tɕʰ	iu	22	陰平		
8620	㨨	tɕʰ	iu	22	陰平		
8631	周	tɕ	iu	22	陰平		
8632	州	tɕ	iu	22	陰平		
8641	讎	tɕʰ	iu	55	陽平	報仇。	
8645	酬	tɕʰ	iu	55	陽平		
8652	柔	∅	iu	55	陽平		
8668	收	ɕ	iu	22	陰平		
8669	丘	∅	iu	22	陰平		
8670	丠	∅	iu	22	陰平		
8698	搜	s	ᴀu	22	陰平		
8721	鄒	ts	ᴀu	22	陰平		
8722	鄹	ts	ᴀu	22	陰平		
8736	愁	ɕ	iu	55	陽平		
8738	休	∅	iu	22	陰平		
8766	綢	tɕʰ	iu	55	陽平		
8771	籌	tɕʰ	iu	55	陽平		
8801	求	kʰ	iu	55	陽平		
8802	𡨃	kʰ	iu	55	陽平		
8807	球	kʰ	iu	55	陽平		
8840	浮	f	ᴀu	55	陽平		
8864	謀	m	ᴀu	55	陽平		
8870	矛	m	ɔ	55	陽平		
8871	𢦵	m	ɔ	55	陽平		
8889	侯	h	ᴀu	55	陽平		
8890	矦	h	ᴀu	55	陽平		
8891	𥎦	h	ᴀu	55	陽平		
8897	猴	h	ᴀu	55	陽平		
8902	喉	h	ᴀu	55	陽平		
8915	歐	∅	ᴀu	22	陰平		
8933	樓	l	ᴀu	55	陽平		
8985	偷	tʰ	ᴀu	22	陰平		
8989	頭	t	iu	55	陽平		
8991	投	t	iu	55	陽平		
9005	鉤	k	ᴀu	22	陰平		
9019	句	ŋ	ᴀu	22	陰平	不符合該方言古今對應規律。	
9023	兜	t	ᴀu	22	陰平		
9061	彪	p	iᴀu	22	陰平		
9084	侵	tsʰ	ᴀn	22	陰平		
9085	𢔀	tsʰ	ᴀn	22	陰平		
9091	尋	tsʰ	ᴀn	55	陽平		
9092	𢒫	tsʰ	ᴀn	55	陽平		
9107	林	l	ᴀn	55	陽平		
9110	臨	l	ᴀn	55	陽平		
9123	針	ts	ᴀn	22	陰平		
9124	鍼	ts	ᴀn	22	陰平		
9131	沈	tsʰ	ᴀn	55	陽平		
9132	沉	tsʰ	ᴀn	55	陽平		
9152	任	∅	iᴀn	33	陽去	責任。	
9155	壬	∅	iᴀn	33	陽去	不符合該方言古今對應規律。	
9159	深	s	ᴀn	22	陰平		
9176	心	s	ᴀn	22	陰平		
9204	琴	kʰ	ᴀn	55	陽平		
9205	㩒	kʰ	ᴀn	55	陽平		
9206	捦	kʰ	ᴀn	55	陽平		
9207	擒	kʰ	ᴀn	55	陽平		
9209	禽	kʰ	ᴀn	55	陽平		
9231	吟	∅	iᴀn	55	陽平		
9232	訡	∅	iᴀn	55	陽平		
9233	䪩	∅	iᴀn	55	陽平		
9245	金	k	ᴀn	22	陰平		
9246	今	k	ᴀn	22	陰平		
9255	音	∅	ᴀn	22	陰平		
9256	陰	∅	ᴀn	22	陰平		
9263	森	s	ᴀn	22	陰平		
9286	嵾	s	ᴀn	22	陰平	人參。	
9287	參	s	ᴀn	22	陰平	人參。	
9295	潭	t	ɔŋ	55	陽平		
9300	譚	t	ɔŋ	55	陽平		
9315	參	tsʰ	ɔŋ	22	陰平	參加。	
9320	南	n	ɔŋ	55	陽平		
9321	男	n	ɔŋ	55	陽平		
9339	含	h	ᴀn	55	陽平		
9345	函	h	ɔŋ	55	陽平		
9367	蠶	tsʰ	ɔŋ	55	陽平		
9381	貪	tʰ	ɔŋ	22	陰平		
9383	耽	t	ɔŋ	22	陰平		
9421	談	t	ɔŋ	55	陽平		
9426	痰	t	ɔŋ	55	陽平		
9432	甘	k	ɔŋ	22	陰平		
9433	柑	k	ɔŋ	22	陰平		
9439	擔	t	ɔŋ	22	陰平	擔任。	
9444	三	s	ɔŋ	22	陰平		
9445	參	s	ɔŋ	22	陰平		
9446	弎	s	ɔŋ	22	陰平		
9449	藍	l	ɔŋ	55	陽平		
9453	籃	l	ɔŋ	55	陽平		
9490	鹽	∅	ieŋ	55	陽平		
9491	𥂁	∅	ieŋ	55	陽平		
9493	閻	∅	ieŋ	55	陽平		
9496	檐	∅	ieŋ	55	陽平		
9497	簷	∅	ieŋ	55	陽平		
9498	櫩	∅	ieŋ	55	陽平		
9505	廉	l	eŋ	55	陽平		
9506	鐮	l	eŋ	55	陽平		
9507	鎌	l	eŋ	55	陽平		
9548	㡨	tsʰ	eŋ	22	陰平		
9590	沾	ts	eŋ	22	陰平		
9603	尖	ts	eŋ	22	陰平		
9616	潛	tsʰ	eŋ	55	陽平		
9625	箝	k	eŋ	55	陽平		
9626	鉗	k	eŋ	55	陽平		
9658	添	tʰ	eŋ	22	陰平		
9670	甜	t	eŋ	55	陽平		
9682	謙	h	eŋ	22	陰平		
9684	兼	k	eŋ	22	陰平		
9691	嫌	h	eŋ	55	陽平		
9695	拈	n	eŋ	22	陰平		
9704	鹹	h	ɔŋ	55	陽平		
9705	醎	h	ɔŋ	55	陽平		
9724	檆	s	ᴀu	22	陰平	不符合該方言古今對應規律。	
9725	杉	s	ᴀu	22	陰平	不符合該方言古今對應規律。	
9726	櫼	s	ᴀu	22	陰平	不符合該方言古今對應規律。	
9777	銜	h	ᴀn	55	陽平		
9788	巖	ŋ	ɔŋ	55	陽平		
9789	礹	ŋ	ɔŋ	55	陽平		
9792	衫	s	ɔŋ	22	陰平		
9800	監	k	ɔŋ	22	陰平	監獄。	
9807	嚴	ŋ	eŋ	55	陽平		
9818	凡	f	ɔŋ	55	陽平		
9819	帆	f	ɔŋ	55	陽平		
9827	董	t	ɛ	53	陰上		
9830	𢤦	t	ɛ	53	陰上		
9841	孔	kʰ	e	53	陰上		
9847	桶	tʰ	ɛ	53	陰上		
9850	緫	ts	ɛ	53	陰上		
9851	揔	ts	ɛ	53	陰上		
9852	𢝰	ts	ɛ	53	陰上		
9889	攏	l	ɛ	53	陰上		
9895	動	t	ɛ	33	陽去		
9896	𨔝	t	ɛ	33	陽去		
9908	種	ts	e	53	陰上	種類。	
9919	擁	∅	ie	24	陽上	不符合該方言古今對應規律。	
9920	𢶜	∅	ie	24	陽上	不符合該方言古今對應規律。	
9934	重	tsʰ	e	24	陽上	輕重。	
9940	奉	f	ɛ	33	陽去		
9942	捧	p	ɛ	53	陰上	不符合該方言古今對應規律。	
9943	勇	∅	ie	24	陽上		
9944	恿	∅	ie	24	陽上		
9958	恐	f	ɛ	53	陰上		
9958	恐	kʰ	e	53	陰上		
9959	𢖶	f	ɛ	53	陰上		
9959	𢖶	kʰ	e	53	陰上		
10007	講	k	o	53	陰上		
10008	港	k	ʋo	53	陰上		
10016	蚌	p	o	24	陽上		
10017	蜯	p	o	24	陽上		
10022	項	h	o	33	陽去		
10028	紙	tɕ	i	53	陰上		
10029	帋	tɕ	i	53	陰上		
10030	只	tɕ	i	53	陰上	只有。	
10044	是	ɕ	i	33	陽去		
10045	氏	ɕ	i	33	陽去		
10062	彼	p	ᴀi	53	陰上		
10067	被	p	ᴀi	24	陽上	被子。	
10069	毀	f	ᴀi	53	陰上		
10079	委	∅	ʋᴀi	53	陰上		
10110	絫	l	ɔi	33	陽去	積累。不符合該方言古今對應規律。	
10111	累	l	ɔi	33	陽去	積累。不符合該方言古今對應規律。	
10116	技	kʰ	ᴀi	55	陽平	不符合該方言古今對應規律。	
10117	妓	k	ᴀi	11	陰去	不符合該方言古今對應規律。	
10124	椅	∅	ᴀi	53	陰上		
10162	觜	ts	ɔi	53	陰上		
10163	㭰	ts	ɔi	53	陰上		
10168	此	tɕʰ	i	53	陰上		
10227	爾	ŋ	i	24	陽上		
10242	婢	p	ᴀi	24	陽上		
10262	紫	tɕ	i	53	陰上		
10312	跪	kʰ	ʋᴀi	53	陰上		
10319	企	kʰ	ᴀi	24	陽上	企業。不符合該方言古今對應規律。	
10325	指	tɕ	i	53	陰上		
10335	美	m	ᴀi	24	陽上		
10365	比	p	ᴀi	53	陰上		
10372	軌	k	ʋᴀi	53	陰上		
10390	𦳊	ɕ	i	53	陰上		
10391	屎	ɕ	i	53	陰上		
10395	死	s	ᴀi	53	陰上		
10398	水	ɕ	y	53	陰上		
10424	否	f	ᴀu	53	陰上		
10441	唯	∅	ʋᴀi	55	陽平		
10468	止	tɕ	i	53	陰上		
10478	市	ɕ	i	33	陽去		
10484	喜	h	ᴀi	53	陰上		
10488	己	k	ᴀi	53	陰上		
10491	以	∅	i	24	陽上		
10492	㠯	∅	i	24	陽上		
10493	已	∅	i	24	陽上		
10498	似	tsʰ	ᴀi	24	陽上		
10499	佀	tsʰ	ᴀi	24	陽上		
10500	祀	ɕ	i	33	陽去		
10500	祀	tɕʰ	i	33	陽去		
10501	𥘰	tɕʰ	i	33	陽去		
10501	𥘰	ɕ	i	33	陽去		
10502	禩	ɕ	i	33	陽去		
10502	禩	tɕʰ	i	33	陽去		
10513	史	ɕ	i	53	陰上		
10514	使	ɕ	i	53	陰上		
10514	使	s	ᴀ	53	陰上		
10517	耳	ȵ	i	24	陽上		
10522	里	l	ᴀi	24	陽上	五里。	
10526	李	l	ᴀi	24	陽上		
10528	理	l	ᴀi	24	陽上		
10539	始	tɕʰ	i	53	陰上		
10549	起	h	ᴀi	53	陰上		
10555	士	ɕ	i	33	陽去		
10556	仕	ɕ	i	33	陽去		
10557	𣐈	ɕ	i	33	陽去		
10567	子	tɕ	i	53	陰上		
10583	齒	tɕʰ	i	53	陰上		
10583	齒	tɕ	i	53	陰上		
10585	恥	tɕʰ	i	53	陰上		
10598	伱	ȵ	i	24	陽上		
10600	尾	m	ᴀi	24	陽上		
10617	幾	k	ᴀi	53	陰上	幾個。	
10627	匪	f	ᴀi	53	陰上		
10638	偉	∅	ʋᴀi	53	陰上		
10648	鬼	k	ʋᴀi	53	陰上		
10669	語	∅	y	24	陽上		
10681	呂	l	ɔi	24	陽上		
