例字	中古音	電白龍山	羅定	雷州	吳川蘭石	說明：蘭石東話 陰平 33 家多初開 陽平 22 牙河圖魚 陰上 31 左把假女 陽上 42 午謝異硬 陰去 44 化廢放布 陰入 5 發括得績 陽入 2 活越賊局 升降調 453 之爸血百				
戲	止開三去置曉	hi44	hi31	hi21	kʰi44					
犧	止開三平支曉	hi33	hi45	hi24	——					
椅	止開三上紙影	i31	ia451	i41	i31					
移	止開三平支以	ji22	i22	ji22	ji22					
易容～	止開三去置以	ji42	i443	ji453	i42					
悲	止開三平脂幫	pui33	pei45	pui24	ɓɛi33					
比	止開三上旨幫	pi31	pi451	pi41	ɓi31					
備	止開三去至並	pi42	pei443	pi33	ɓi42					
鼻	止開三去至並	pʰi33	pʰi443	pʰi24/pi453（文）	pʰi33					
眉	止開三平脂明	mui22	ɓi22	bai22	ɓi22/mi22					
糜	止開三平支明	——	moi24	——	moi22					
黴	止開三平脂明	pʰɔk5	ɓye24	buɛ22	moi22					
美	止開三上旨明	liaŋ44 （訓“靚”）	lieŋ31（訓“靚”）	mui41/hiɛŋ41（訓）	mi31					
地	止開三去至定	ti42	tɐi443	ti33	ɗi42					
梨	止開三平脂來	li22	li24	li22	li22					
利	止開三去至來	li42	lai443	lai24/li33（文）	lai22/li42					
資	止開三平脂精	ɬu33	tsi45	tsu24	tsi33					
次	止開三去自清	tsʰi44	tʰoŋ443	tsʰu21	si44					
瓷	止開三平脂從	tsʰi22	tsʰi24	tsʰu22	si22					
自	止開三去至從	ɬu42	ti31	tsu33	tsi33					
私	止開三平脂心	ɬi33	si45	su24	ɬi33					
死	止開三上旨心	ɬi31	si451	si41/su41（文）	ɬi31					
四	止開三去至贈	ɬi31	si31	si21	ɬi44					
遲	止開三平脂澄	ti22	ɓui451	ti22/tsʰi22（文）	ɗi22					
師	止開三平脂生	ɬi33	su45	su24	ɬi22					
指	止開三上旨章	tsi31	tsi451	ki41（白）/tsi41	tsi31					
示	止開三去至船	ɬu44	si443	si33	si22					
屍	止開三平脂書	ɬi33	si45	si24/su24（文）	ɬi33					
屎	止開三上旨書	ɬai31	sai451	sai41/si41（文）	ɬai31					
二	止開三去至日	ji33	no443（訓“兩”）	no33（訓“兩”）/lu453	ji22/ȵi22					
器	止開三去至溪	kʰi44	hi31	i453/kʰi21	kʰi44					
伊	止開三平脂影	i33	i45	i24	i33					
姨	止開三平脂以	ji53	i24	i22	ji22					
李	止開三上止來	li31	li451	li41	li31					
裏～面	止開三上止來	lai42	li451	li41	lai33					
子	止開三上止精	kia31（訓“囝”）	kia451（訓“囝”）	kia41（訓“囝”）/tsu41	tsi31					
囝		kia31	kia451	kia41						
慈	止開三平之從	tsʰi22	tsʰi22	tsʰu22	——					
字	止開三去志從	tsu33	ji443	tsu24	tsy33					
絲	止開三平之心	ɬi33	si45	si24	ɬi33					
磁	止開三平之從	tsʰi22	tsʰi24	tsʰu22	——					
辭	止開三平之邪	tsʰi22	tsʰi24	tsʰu22	si22					
祠	止開三平之邪	tsʰi22	tsi24	tsʰu22	tsi22					
飼	止開三去志邪	tsʰi22	tsi24	tsʰi24/tsu453（文）	si22					
癡	止開三平之徹	tsʰi53	ji22	tsʰi453	——					
治	止開三去志從	tsi42	tsi443／tʰai45（殺）	tsi33	tʰai33/tsi42					
恥	止開三上止徹	tsʰi31	tsʰi451	tsʰi41						
士	止開三上止崇	ɬu42	si443	su33	si42					
柿	止開三上止崇	ɬiap5（訓）	tsʰi24	si453	ɬi42					
事	止開三去志崇	ɬu42	su443	su453	ɬi42					
使	止開三上止生	ɬai31	sai451	sai41/su41（文）	ɬai31					
之	止開三平之章	ɬu33	tsi45	tsu24	tsi453					
止	止開三上止章	tsi31	tsi451	tsi41	——					
志	止開三去志章	tsi44	tsi31	tsi21	tsi44					
痣	止開三去志章	ki44	tsi31	ki21/tsi453（文）	ki44					
齒	止開三上止昌	tsʰi31	tsʰi451	kʰi41/tsʰu41（文）	kɛ22（訓“牙”）					
詩	止開三平之書	ɬi33	si45	si24/su24（文）	ɬi33					
始	止開三上止書	ɬi31	tsʰi451	su41	si31					
試	止開三去志書	tsi44	si24	tsʰi21/si21（文）	ɬi44/si44					
時	止開三平之禪	ɬi22	si22	si22/su22（文）	ɬi22					
市	止開三上止禪	ɬi42	tsʰi443	tsʰi453	ɬi42					
而	止開三平之日	lu22	——	lu22	——					
耳	止開三上止日	hi42	hi443	lu22（文）/ hi33	hi42					
基	止開三平之見	ki33	ki55	kio453/kʰi24	ki33					
欺	止開三平之溪	kʰa33	hi45	kʰi24	kʰa33					
起	止開三上止溪	kʰi31	kʰi451	kʰi41	kʰi31					
旗	止開三平之群	ki22	kʰi24	ki22	ki22					
記	止開三去志見	ki44	ki31	ki21	ki44					
疑	止開三平之疑	ji22	ji22	ŋi22	ȵi22					
喜	止開三上止曉	hi31	kʰi451	hi41	hi31/kʰi31					
醫	止開三平之影	i33	i45	i24	i33					
意	止開三去志影	i44	i31	i21	i44					
以	止開三上止以	ji31	i24	zi41	jy31					
機	止開三平微見	ki33	ki45	ki24	ki33					
幾～個	止開三上尾見	kui31	kui451	ki41	kui31					
氣	止開三去未溪	kʰi44	kʰui31	kʰi21	kʰui44（白）/kʰi44					
衣	止開三平微影	i33	i45	i24	i33					
隨	止合三平支邪	tsʰui22	tsʰui21	tsʰui22	sui22					
吹	止合三平支昌	pun22（訓）	pun45（訓）	tsʰui24/puŋ22（訓）	sui33					
規	止合三平支見	kui33	kʰui45	kui24	kʰui453					
虧	止合三平支溪	kʰui33	kʰui45	kʰui24	kʰuɐi33					
跪	止合三上紙群	kui42	kui443	kui33	kui42					
毀	止合三上紙曉	hui31	ui451	hui41	hui31					
委	止合三上紙影	ui31	ui451	ui41	wɐi31					
類	止合三去至來	lui42	lui451	lui453	lui42					
淚	止合三去至來	lui42	lui24	lui453	——					
醉	止合三去至精	tsui44	tsui31	tsui21	tui44					
追	止合三平脂知	lui53/tsui453	ik5	tsui24	tui33					
錘	止合三平脂澄	tʰui22	tʰui24	tʰui22/sui22（文）	tʰui22					
瑞	止合三去置禪	jiui42	——	sui33	ɬui42					
帥	止合三去至生	ɬuk5	sui31	suai21	ɬui44					
水	止合三上旨書	tsui31	tsui451	tsui41	tui31					
龜	止合三平脂見	kui33	kui45	ku24	kui33					
季	止合三去至見	kui44	kui31	kui33/ki453（文）	kui44					
葵	止合三平脂群	kʰui22	kʰui24	kʰui22	kʰui22					
櫃	止合三去至群	kui42	kui443	kui21	kui42					
位	止合三去至雲	ui33	ui443	ui33	ui33					
飛	止合三平微非	pɔi33	pye45	puɛ24/bi24（文）	ɓoi33					
匪	止合三上尾非	hui31	fi451	bi22	fɛi31					
費	止合三去未敷	hui44	hui31	bi21	fi44					
肥	止合三平微奉	pui22	pui24	pui22/pʰui22	ɓoi22					
尾	止合三止尾微	ɓɔi31	ɓye451	buɛ41/mi41（文）	ɓoi31/pʰoi31					
味	止合三去未微	mi33	ɓi443	bi24	ɓi33/pʰi33					
歸	止合三平微見	kui33	tui451	kui24	kui33					
鬼	止合三上尾見	kui31	kui451	kui41	kui31					
貴	止合三去未見	kui44	kui31	kui21	kui44					
魏	止合三去未疑	ŋai22	ŋai443	ŋui33	——					
威	止合三平疑影	ui33	ui45	ui24	wɐi453					
圍	止合三平微雲	ui22	ui24	ui22	wui22					
偉	止合三上尾雲	ui31	ui451	ui33	wɐi31					
胃	止合三去未雲	ui42	ui443	ui33	wɐi33					
寶	效開一上皓幫	pɔ31	po451	po41	ɓɔ31					
報	效開一去號幫	pɔ44	po31	po21	ɓɔ44					
袍	效開一平豪並	pau22	pʰou24	pau22	ɓau31					
抱	效開一上皓並	pʰɔ42	pʰo443	pʰo33	pʰɔ42					
暴	效開一去號並	pau42	pau31	pau33	ɓau44					
毛	效開一平豪明	moŋ22	ɓo24	mo22/mau22（文）	moŋ22/mou22					
帽	效開一去號明	lɔi42（訓“笠”）	ɓo443	mau33	lɛi42（訓“笠”）					
笠		lɔi42			lɛi42					
刀	效開一平豪端	tɔ33	to45	to24	ɗɔ 33					
到	效開一去號端	tau44	kau31	kau21/tau21（文）	ɗau44					
討	效開一上皓透	tʰɔ31	tʰou451	tʰo41/tʰau41（文）	tʰou31					
套	效開一去號透	tʰɔ44	tʰau31	tʰau21	tʰou44					
桃	效開一平豪定	tʰɔ22	tʰau24	tʰo22	tʰɔ22					
道	效開一上皓定	tau42	tau443	tau33	ɗou42					
稻	效開一上皓定	tiu42	tau443	tiu33	ɗiu42					
腦	效開一上皓泥	nau31	ɗiu451	nau33	nou31					
牢	效開一平豪來	lau22	lou24	lo22	——					
撈	效開一平豪來	lau33	lau45	lau453	lau453					
老	效開一上皓來	lau31（文）/lau42	lau443	lau41	lau42/lou31（文）					
糟	效開一平豪精	tsau33	tsau45	tsau24	tau33					
早	效開一上皓精	tsa31	tsa451	tsa41	ta31					
灶	效開一去號精	tsau44	tsau31	tsau21	tau44					
操體～	效開一平豪清	tsʰau33	tsʰou45	tsʰau24	sou33					
草	效開一上皓清	tsʰau31	tsʰau451	tsʰau41	sau31					
曹	效開一平豪從	tsʰau22	tsʰou21	tsʰau22	sou22					
造	效開一上豪從	tsau42	tsou443	tsau33	tɔ31					
騷	效開一平豪心	ɬau33	sau45	tsau22/sou453	ɬou33					
掃～地	效開一上皓心	ɬau44	sau31	sau21	ɬau44					
嫂	效開一上皓心	ɬɔ31	so451	so41	ɬɔ31					
掃～帚	效開一去號心	ɬau44	sau31	sau21	ɬau44					
高	效開一平豪見	kuai22（訓“懸”）	kuon22（訓“懸”）	kuai22（訓“懸”）/kau24	kou453					
懸		kuai22（白）	kuon22（白）	kuai22（白）						
稿	效開一上皓見	kɔ31	kau451	ko41/kau41（文）	kɔ31					
告	效開一去號見	kau44	kou31	ko21	kɔ44					
考	效開一上皓溪	kʰau31	kʰo451	kʰau41	hau31					
靠	效開一去號溪	kʰau44	kʰau31	kʰau21	kʰau44					
熬	效開一平豪疑	——	ŋai443（訓“捱”）	ŋau22	——					
傲	效開一去號疑	ŋau42	ŋou24	ŋau33	ŋou42					
好～壞	效開一上皓曉	hɔ31	ho451	ho41	hɔ31					
號～數	效開一去號匣	hɔ33	ho443	hau33	hɔ33					
奧	效開一上皓影	ɔ44	au31	au21	ou44					
包	效開一平肴幫	pau33	pau45	pau24	ɓau33					
飽	效開二上巧幫	pa31	pa451	pa41	ɓa31					
豹	效開二去效幫	pau44	pau31	pa21	ɓa44					
炮	效開二去效滂	pʰau44	pʰau31	pʰau21	pʰau44					
跑	效開二平肴並	pʰau31	tsau451（訓“走”	pʰau22	pʰau31					
鬧	效開二去效泥	nau42	nau443	nau33	nau42					
罩	效開二去效知	tsa44	ta31	tsau21	ta44					
抄	效開二平肴初	tsʰau33	tsʰau45	tsʰau24	sau33					
炒	效開二上巧初	tsʰa31	tsʰa451	tsʰa41	sa31					
巢	效開二平肴崇	tau44（訓）	siu443（訓）	tsʰau22/siu24（訓）	——					
交	效開二平肴見	kiau33	kau45	kiau24	kau33					
攪	效開二上巧見	ka31	kieu451	kiau41	ka31					
搞	效開二上巧見	ka31	ka451	kau41	ka31					
教～育	效開二去效見	ka44	ka31	kiau21（文）/ka21	ka44					
骹	效開二平肴溪	kʰa33	kʰa45	kʰa24	kʰa33					
咬	效開二上巧疑	ka42	ka31	ka33	ka42					
孝	效開二去效曉	hiɛu44	hau31	ha21	ha44					
效	效開二去效匣	hiɛu42	hau31	hiau33	hau42					
標	效開三平宵幫	piɛu33	pyo45	pʰiau24	ɓiɔ33					
表	效開三上小幫	piɛu31	pieu451	pio41	ɓiɔ31					
飄	效開三平宵滂	pʰiɛu33	pʰyo45	pʰiau24	pʰiɔ33					
嫖	效開三平宵並	pʰiɛu22	pʰiau24	pʰiau22	pʰiɔ22					
苗	效開三平宵明	wiɛu22	ɓyo22	miau22	pʰiɔ22					
秒	效開三上小明	miɛu31	ɓiau451	miau41	miau31					
廟	效開三去笑明	wiɛu33	ɓyo443	miau33	pʰiɔ22					
妙	效開三去笑明	miɛu42	ɓiau451	miau33	——					
椒	效開三平宵精	tsiɛu33	tsyo45	tsiau24	tsɔ33					
消	效開三平宵心	ɬiɛu33	siau45	siau24	ɬiau33					
小	效開三上小心	ɬiɛu31	tsyo451	siau41	ɬiau31					
笑	效開三去笑心	tsʰiɛu44	tsʰyo31	tsʰio41	siɔ44					
朝今～	效開三平宵知	tsiɛu33	tsa451	tsiau24	——					
超	效開三平宵徹	tsʰiɛu33	tsʰieu45	tsʰiau24	siu453					
潮	效開三平宵澄	tsʰiɛu22	tsʰieu24	tsʰiau22	siu22					
趙	效開三上小澄	tsiɛu42	tsieu443	tsiau33	tsiu22					
招	效開三平宵章	tsiɛu33	tsyo45	tsiau24	tsɔ33					
照	效開三去笑章	tsiɛu44	tsyo31	tsiau21	tsɔ44					
燒	效開三平宵書	ɬiɛu33	hia24（訓“燃”）	siau24/sio24	ɬiɔ33					
少多～	效開三上小書	tsiɛu31	tsyo451	tsio41	tsɔ31					
紹	效開三上小禪	ɬiɛu42	siau443	siau33	siu42					
饒	效開三平宵日	——	——	iau22	——					
驕	效開三平宵見	kiɛu33	kieu45	kiau24	kiu453					
橋	效開三平宵群	kiɛu22	kyo24	kio22	kiɔ22					
轎	效開三去笑群	kiɛu33	kyo443	kio24	kiɔ22					
腰	效開三平宵影	iɛu33	yo45	io24	iɔ33					
要需～	效開三去笑影	iɛu44	yo451	iau21/ai21	iɔ33					
搖	效開三平宵以	iɛu22	yo24	iau22/io22	iɔ22/ŋau22					
窯	效開三平宵以	iɛu22	ka31	io22	liau22					
舀	效開三上小以	——	yo451	tʰam24	——					
耀	效開三去笑以	iɛu42	iau443	iau453	——					
鳥陰莖	效開四上篠端	tsiɛu31	lan443（訓）	liɛ22	ɗiu453					
釣	效開四去嘯端	tiɛu44	tiau31	tio21	ɗiɔ44					
挑	效開四平蕭透	tʰiɛu33	tʰyo45	tʰio24	tʰiu33					
跳	效開四去嘯透	tiɛu22	tʰiau31	tio22	ɗiɔ22					
條	效開四平蕭定	tiɛu22	tiau24	tiau22	ɗiau22					
調音～	效開四去嘯定	tiɛu42	tiau443	tʰiau22	——					
尿	效開四去嘯來	iɛu33	yo443	niau453/jio24	iɔ33/nɛu42					
了	效開四上篠來	liɛu31	lieu451	liau41/liau22	liau31					
料	效開四去嘯來	liɛu31	liau443	liau24	liau33					
簫	效開四平蕭心	ɬiɛu22	siau45	siau24	ɬiau33					
繳	效開四上篠見	kiɛu31	kieu451	kiau41	kiau31					
叫	效開四去嘯見	kiɛu44	hiam31	hiam22/kiau453	ɛu453					
曉	效開四上篠曉	hiɛu31	hieu451	hiau41	hiu31					
畝	流開一上厚明	mau31	ɓau451	mɛu33	mau31					
母	流開一上厚明	mu31	wo451	bo41	mai31					
兜	流開一平侯端	tau53	tau45	tau41/tɛu41	ɗou453					
鬥一～	流開一上厚端	tau31	tau31	tau41	ɗau31					
鬥～爭	流開一去候端	tau44	tau31	tɛu41	ɗau44					
偷	流開一平侯透	tʰau33	tʰau45	tʰau24	tʰau33					
透	流開一去候透	tʰau44	tʰau31	tʰau21	tʰou44					
頭	流開一平侯定	tʰau22	tʰau24	tʰau22	tʰau22					
豆	流開一去候定	tau33	tau443	tau24/tɛu453	ɗau33					
樓	流開一平侯來	lau22	lau24	lau22	lau22					
簍	流開一上厚來	——	——	lui453	——					
漏	流開一去候來	lau44	lau443	lau24	lau33					
走	流開一上厚精	tsau31	tsau451	tsau41	tau31					
溝	流開一平侯見	kau33	kau45	kau24	kau33					
狗	流開一上厚見	kau31	kau451	kau41	kau31					
夠	流開一上候見	kau44	kau31	kau41	kou44					
口	流開一上厚溪	kʰau31	kʰau451	kʰau41	kau31					
扣	流開一去候溪	kʰau53	kʰau31	kʰɛu453	kʰou44					
藕	流開一上厚疑	ŋau31	ŋau443	ŋau41	ŋau31					
喉	流開一平侯匣	au22	au24	au22	au22					
猴	流開一平侯匣	hau22	au24	hau22/ kau41	——					
後前～	流開一上厚匣	au42	au22	au33	au42					
厚	流開一上厚匣	hau42（文）/kau42	kau443	kau33	kau42/hou42（文）					
嘔	流開一上厚影	au44	au451	au41	au44					
漚	流開一去候影	au44	au31	au453	au44					
富	流開三去宥非	hu44	hu31	hu21	fu44					
浮	流開三平尤奉	pʰu22	pʰu24	pʰu22/bɛu22	pʰy22					
婦	流開三上有奉	hu42	wou451	hu453	fu42					
謀	流開三平尤明	mau22	ɓau22	mɛu22	mou22					
矛	流開三平尤明	mau22	ɓau22	mau22	mau22					
紐	流開三上有泥	nau31	liu451	niu33	nɛu42					
流	流開三平尤來	lau22	lau24	lau22	lau22					
劉	流開三平尤來	lau22	lau24	lau22	lau22					
留	流開三平尤來	lau22	lau24	lau22	lau22					
柳	流開三上有來	lɛu31	lau451	liu33	lau31					
酒	流開三上有精	tsiu31	tsiu451	tsiu41	tsiu31					
秋	流開三平尤清	tsʰiu33	tsʰiu45	tsʰiu24	siu33					
就	流開三去宥從	tsiu42	tsiu443	tsiu33	tou42					
修	流開三平尤心	ɬiu33	siu45	siu24	ɬiu33					
繡	流開三去宥心	ɬiu44	sou31	siu21	ɬou44					
袖	流開三去宥邪	ɬiu53/ui31（訓“䘼”）	tsiu443	tsʰiu21/ui453（訓“䘼”）	siu33					
䘼		ui31		ui453						
晝	流開三去宥知	tsʰiu33	——	tsiu453	ɗau44					
抽	流開三平尤徹	tsʰiu33	tsʰiu45	tsʰiu24	sou33					
綢	流開三平尤澄	tsʰiu22	tsʰou24	tiu22	sou22					
皺	流開三去宥莊	niɛu44	niau31	niau33	niɛu44					
愁	流開三平尤崇	ɬau22	tsʰe451	tsʰɛu22	ɬou22					
搜	流開三平尤生	tsʰieu33	tsʰiu55	sɛu41	tʰa33					
瘦	流開三去宥生	ɬaŋ31（訓“㾪”）	san451（訓“㾪”）	saŋ41（訓“㾪”）	ɬaŋ33（訓“㾪”）					
㾪		ɬaŋ31	san451	saŋ41	ɬaŋ33					
周	流開三平尤章	tsiu33	ciu45	tsiu24	tsiu33					
州	流開三平尤章	tsiu33	tsiu45	tsiu24	tsiu33					
帚	流開三上有章	tsiu31	tsau451	tsʰiu41	siu31					
咒	流開三去宥章	tsiu44	tsau31	tsiu21	tou5					
臭	流開三去宥昌	tsʰiɛu44	tsʰau31	tsʰiau21	sou44					
收	流開三平尤書	ɬiu33	siu45	siu24	ɬiu33					
手	流開三上有書	tsʰiu31	tsʰiu451	tsʰiu41	siu31					
守	流開三上有書	ɬiu31	tsiu451	siu41	ɬiu31					
仇	流開三平尤禪	tsʰiu22	tsʰiu24	tsʰiu22	ɬou22					
受	流開三上有禪	ɬiu42	siu443	siu33	ɬou42					
壽	流開三去宥禪	ɬiu42	siu443	siu33	ɬou42					
鬮	流開三平侯見	kʰɛu453	——	kʰau24/kiu453	kʰou33					
九	流開三上有見	kau31	kau451	kau41	kau31					
久	流開三上有見	ku31	ku451	ku41	ku31					
救	流開三去宥見	kiu44	kiu31	kiu21	kiu44					
丘	流開三平尤溪	kʰiu33	iu45	kʰu24/kʰiu24（文）	fu33/kʰiu33					
球	流開三平尤群	kʰiu22	kʰiu24	kʰiu22	kʰou22					
舅	流開三上有群	ku42	ku443	ku33	ky42					
舊	流開三去宥群	ku33	ku443	ku24	ky33					
牛	流開三平尤曉	ku22	wu24	bu22/niu22（文）	ky22					
休	流開三平尤曉	hiu33	iu45	hiu24	hou453					
憂	流開三平尤影	iɛu33	iu45	iu24	iɐu33					
有	流開三上有雲	u42	u443	iu453	y31					
右	流開三去宥雲	iu42	iu24	iu33	jiou42					
油	流開三平尤以	iu22	iu24	iu22	iu22					
彪	流開三平幽幫	piɛu33	pye45	piau24	ɓiu453					
糾	流開三上黝見	kiɛu31	tau451	kiu41	ɗou31					
幼	流開三去幼影	iu44	iu31	iu22	iu44					
答	鹹開一入合端	ta53	ta451	tap5	ɗa453					
搭	鹹開一入合端	ta53	ta451	ta453/tap5（文）	ɗa453					
貪	鹹開一平覃透	tʰam33	tʰam45	tʰam24	tʰam33					
探	鹹開一去勘透	tʰam44	tʰam31	tʰam21	tʰam44					
踏	鹹開一入合透	ta42	ta443	ta33	ɗa42					
潭	鹹開一平覃定	tʰam22	tʰam24	tʰam22	tʰam22					
男	鹹開一平覃泥	nam22	nam24	nam22	nam22					
納	鹹開一入合泥	nap2	na443	nap5	nap2					
參～加	鹹開一平覃清	tsʰam33	tsʰam45	tsʰam24	sam33					
蠶	鹹開一平覃從	tsʰam22	tsʰam24	tsʰam22	sam22					
三	鹹開一平談心	ɬa33	sa45	sa24						
雜	鹹開一入合從	tsap2	tsap2	tsap2	tap2					
感	鹹開一上感見	kam31	kim451	kam41	kam31					
鴿	鹹開一入合見	kap5	kap5	kap5	kap5					
含	鹹開一平覃匣	ham22	kam24	ham22	kam22					
合	鹹開一入合匣	hap2	hap2	hap2	ap2					
暗	鹹開一去勘影	am44	am31	am21/im24	am44					
擔擔～	鹹開一平談端	tam33	ta31	ta24	ɗa33					
膽	鹹開一上敢端	ta31	ta451	ta41	ɗa31					
擔挑～	鹹開一去闞端	ta33	ta45	ta21	ɗa44					
塌	鹹開一入盍透	tʰa33	tʰap5	tʰap5	tʰap5					
塔	鹹開一入合透	tʰa53	tʰap5	tʰa453	tʰa453					
痰	鹹開一平談定	tʰam22	tʰam22	tam33	tʰam22					
淡	鹹開一上敢定	tam42/tsia31（訓）	tsia451（訓）	tam33/ tsia41（訓）	tʰam42					
籃	鹹開一平談來	lam22	na24	na22	na22/lam22					
臘	鹹開一入盍來	la42	la443	liap5	la42					
蠟	鹹開一入盍來	la42	la443	liap5/la33	la42					
甘	鹹開一平談見	kam33	kim45	kam24	kɐm33					
柑	鹹開一平談見	kam33	kim45	kam24（文）/ka24	kɐm33					
敢	鹹開一上敢見	ka31/kam31（文）	ka451	ka41	ka31					
喊	鹹開一上敢曉	ham44	hiam443	ham22	ham44					
站車～	鹹開二去陷澄	tsam42	tsam31	tsʰam33	tam44					
賺	鹹開二去陷澄	tsaŋ42	tʰan31	tsuaŋ33	taŋ42					
斬	鹹開二上兼莊	tsam31	tsam31	tsam41	tam31					
插	鹹開二入洽初	tsʰa53	tsʰa451	tsʰa453	sa453					
杉	鹹開二平鹹生	tsʰam44	tsʰam451	siam24/sam24	sam33					
減	鹹開二上敢見	kam31	kiem451	kiam41	kam31					
鹹	鹹開二平鹹匣	kiam22	kiam24	kiam22/ham22（文）	kiam22					
狹	鹹開二入洽匣	kʰiap2	hap2	oi33/hiap5（文）	kʰiap5					
衫	鹹開二平銜生	ɬa33	sa451	sa24	sa33					
甲	鹹開二入狎見	ka53	ka451	ka453	ka453					
銜	鹹開二平銜匣	hiŋ22/ka42	ka21	kam22	kam22					
艦	鹹開二上檻匣	lam33	lam24	lam453	lam33					
鴨	鹹開二入狎影	a53	a451	a453/ap5	a453					
壓	鹹開二入狎影	ak5	at2	a453	ak5					
貶	鹹開三上琰幫	——	pien451	piɛŋ41	——					
粘～性	鹹開三平鹽泥	tsiam33	li24	tsiam24/nak5（訓）	tsɛm33					
鐮	鹹開三平鹽來	liam22	liam24	siap5	liam22					
獵	鹹開三入葉來	lik2	liap2	liap2	lip2					
尖	鹹開三平鹽精	tsiam53	tsiam45	tsiam24	tsɐm453					
接	鹹開三入葉精	tsi53	tsi451	tsiap5	tsi453					
簽	鹹開三平鹽清	tsiam33	tsʰiam45	tsʰiam24	sɐm33					
占～領	鹹開三入葉章	tsiam44	tsiam31	tsiam24	tsɐm44					
閃	鹹開三上琰書	ɬiam31	siam451	siam453	ɬiam31					
染	鹹開三上琰日	im31	ni451	jiam41	ȵi42					
檢	鹹開三上琰見	kiam31	kiam451	kiam41	kiam31					
鉗	鹹開三平鹽群	kʰiam22	kʰiam24	kʰiam22	kʰiam22					
驗	鹹開三去豔疑	niam42	niem443	niam33	ȵim42					
險	鹹開三上琰曉	hiam31	hiem451	hiam33	hiam31					
厭	鹹開三去豔影	iam44	iam31	iam21	iam44					
鹽	鹹開三平鹽以	iam22	iam24	jiam22	iam22					
簷	鹹開三平鹽以	im22	iem24	siam22	jiam22					
葉	鹹開三入葉以	hiɛu42	hyo443	jiap2	hiɔ42/jip2					
劍	鹹開三去釅見	kiam44	kiam31	kiam21	kiam44					
欠	鹹開三去釅溪	kʰiam44	kʰiam31	kʰiam21	hiam44					
嚴	鹹開三平嚴疑	ŋiam22	niam443	niam22	jim22					
業	鹹開三入業疑	ŋiap2	jiep2	niap5	ȵip2					
點	鹹開四上忝端	tiam31	tiam451	tiam41	ɗiam31					
店	鹹開四去端	tiam44	tiam31	tiam21	ɗiam44					
跌	鹹開四入帖端	pua42	tiet5	pua33/tiap5	ɗap2/ɗak2					
蝶	鹹開四入帖定	tiap2	tiap2	tiap5	ɗip2					
添	鹹開四平添透	tʰiam33/tʰim453（文）	tʰi45	tʰiam24	kʰiam33					
貼	鹹開四入帖透	tʰiap5	tʰiap5	nak5	kʰiap5					
帖	鹹開四入帖透	tʰiap5	tʰiap5	tʰiap5	kʰiap5					
甜	鹹開四平添定	tiam22	ti24	tiam22	ɗiam22					
疊	鹹開四入帖定	tʰiap2	tiet2	tʰa33	kʰiap5					
拈	鹹開四平添泥	——	li45	tsiam24	niam453					
念	鹹開四去㮇泥	niam33	niam443	niam24	niam44					
兼	鹹開四平添見	kiam33	kiam45	kʰiam24	kiam33					
謙	鹹開四平添溪	kʰiam33	hiam45	kʰiam24	hiam33					
嫌	鹹開四平添匣	hiam22	iam24	hiam22	hiam22					
協	鹹開四入帖匣	hiap2	hiap5	hiap5	hip2					
凡	鹹合三平凡奉	huaŋ22	huon443	baŋ22	faŋ22					
犯	鹹合三平凡奉	huaŋ42	huon443	baŋ33	faŋ42					
乏	鹹合三入乏奉	huak2	huot5	bak5	fak2					
法	鹹合三入乏非	huak5	huot5	bak5	fak5					
泛	鹹合三去梵敷	huaŋ42	huon443	baŋ21	faŋ44					
品	深開三上寢滂	pʰiŋ31	pin451	piɛŋ41	pʰən31					
林	深開三平侵來	lim22	lim24	lim22	lɐm22					
笠	深開三入緝來	lip2/lip5	lap5	lip5/ loi33（白）	——					
粒	深開三入緝來	liap2	liap2	liap2/lip5（文）	liap2					
浸	深開三去沁精	tsim44	tsim31	tsim21	tsim44					
集	深開三入緝從	tsip2	tsap2	tsik5	tɐp2					
心	深開三平侵心	ɬim33	sim45	sim24	ɬim33					
尋	深開三入侵邪	tsʰim22	tsʰye443	tsʰim22	ɬun22					
習	深開三入緝邪	tsʰip2	tsap2	tsip5	tɐp2					
沉	深開三平侵澄	tʰiam22	tiam24	tʰiam22/tsʰim2 2（文）	kʰiam22					
參人～	深開三平侵生	tsʰam33	tsʰam45	sɛm24	sam33					
森	深開三平侵生	tsʰim33	sim45	sɛm22/sim22（文）	——					
針	深開三平侵章	tsiam33	tsiam45	tsiam24	tsɐm33					
汁	深開三入緝章	tsiap5	tsiap5	tsiap5	tsɐp5					
深	深開三平侵書	tsʰim33	tsʰim45	tsʰim24	sim33					
沈	深開三上寢書	ɬim31	——	sim41						
濕	深開三入緝書	ɬip5	tam22	tam22	ɬɐp5					
十	深開三入緝禪	tsap2	tsap2	tsap2/sip5	tap2					
任責～	深開三去沁日	im42	nim443	jim453	ȵiɐm42					
入	深開三入緝日	ip2	jip2	jip2/jip5	jip2					
金	深開三平侵見	kim33	kim45	kim24	kim33					
錦	深開三上寢見	kim31	kim451	kim33	kɐm31					
禁～止	深開三去沁見	kim44	kim31	kim21	kim44					
急	深開三入緝見	kip5	kip5	kʰip5	kip5					
級	深開三入緝見	kʰip5	kʰip5	kʰip5	kʰɐp5					
琴	深開三平侵群	kʰiŋ22	kʰim24	kʰim22	kʰɐm22					
及	深開三入緝群	kip2	kiap2	kip5	kʰɛp2					
