繁体字	简体字	国际音标	吴语拼音	备注		调类	调值							
合	合	ɦᴇʔ23	gheq8			8	23	gh	eq	ɦ	ᴇʔ		gheq8	ɦᴇʔ23
合	合	kᴇʔ5	keq7	~算；~伙。共同：~买一本书。容积单位，十合为一市升。		7	5	k	eq	k	ᴇʔ		keq7	kᴇʔ5
盒	盒	ɦᴇʔ23	gheq8			8	23	gh	eq	ɦ	ᴇʔ		gheq8	ɦᴇʔ23
儋	儋	tæ53	tae1			1	53	t	ae	t	æ		tae1	tæ53
擔	担	tæ53	tae1	~任。		1	53	t	ae	t	æ		tae1	tæ53
擔	担	tæ423	tae5	挑~。		5	423	t	ae	t	æ		tae5	tæ423
膽	胆	tæ44	tae3			3	44	t	ae	t	æ		tae3	tæ44
毯	毯	tʰæ44	thae3			3	44	th	ae	tʰ	æ		thae3	tʰæ44
談	谈	dæ24	dae2			2	24	d	ae	d	æ		dae2	dæ24
痰	痰	dæ24	dae2			2	24	d	ae	d	æ		dae2	dæ24
澹	澹	dæ31	dae4			4	31	d	ae	d	æ		dae4	dæ31
淡	淡	dæ31	dae4			4	31	d	ae	d	æ		dae4	dæ31
藍	蓝	læ24	lae2			2	24	l	ae	l	æ		lae2	læ24
籃	篮	læ24	lae2			2	24	l	ae	l	æ		lae2	læ24
覽	览	læ31	lae4			4	31	l	ae	l	æ		lae4	læ31
攬	揽	læ31	lae4			4	31	l	ae	l	æ		lae4	læ31
欖	榄	læ31	lae4			4	31	l	ae	l	æ		lae4	læ31
濫	滥	læ213	lae6			6	213	l	ae	l	æ		lae6	læ213
纜	缆	læ213	lae6			6	213	l	ae	l	æ		lae6	læ213
暫	暂	dzæ213	dzae6			6	213	dz	ae	dz	æ		dzae6	dzæ213
三	三	sæ53	sae1			1	53	s	ae	s	æ		sae1	sæ53
甘	甘	kᴇ̃53	ken1			1	53	k	en	k	ᴇ̃		ken1	kᴇ̃53
柑	柑	kᴇ̃53	ken1			1	53	k	en	k	ᴇ̃		ken1	kᴇ̃53
敢	敢	kᴇ̃44	ken3			3	44	k	en	k	ᴇ̃		ken3	kᴇ̃44
喊	喊	hæ44	hae3			3	44	h	ae	h	æ		hae3	hæ44
塔	塔	tʰaʔ5	thaeq7			7	5	th	aeq	tʰ	aʔ		thaeq7	tʰaʔ5
臘	腊	laʔ23	laeq8			8	23	l	aeq	l	aʔ		laeq8	laʔ23
蠟	蜡	laʔ23	laeq8			8	23	l	aeq	l	aʔ		laeq8	laʔ23
磕	磕	kʰᴇʔ5	kheq7			7	5	kh	eq	kʰ	ᴇʔ		kheq7	kʰᴇʔ5
站	站	dzæ213	dzae6	车~。		6	213	dz	ae	dz	æ		dzae6	dzæ213
賺	赚	dzæ213	dzae6			6	213	dz	ae	dz	æ		dzae6	dzæ213
斬	斩	tsæ44	tsae3			3	44	ts	ae	ts	æ		tsae3	tsæ44
蘸	蘸	tsæ423	tsae5			5	423	ts	ae	ts	æ		tsae5	tsæ423
饞	馋	zæ24	zae2			2	24	z	ae	z	æ		zae2	zæ24
杉	杉	sæ53	sae1			1	53	s	ae	s	æ		sae1	sæ53
減	减	kæ44	kae3			3	44	k	ae	k	æ		kae3	kæ44
鹼	碱	kæ44	kae3			3	44	k	ae	k	æ		kae3	kæ44
鹹	咸	ɦæ24	ghae2	~味。		2	24	gh	ae	ɦ	æ		ghae2	ɦæ24
咸	咸	ɦæ24	ghae2	【白读】~阳（陕西地名）。		2	24	gh	ae	ɦ	æ		ghae2	ɦæ24
咸	咸	ɦie24	ye2	【文读】~丰（清朝年号）。		2	24	y	e	ɦ	ie		ye2	ɦie24
餡	馅	ɦæ31	ghae4	【白读】		4	31	gh	ae	ɦ	æ		ghae4	ɦæ31
餡	馅	ɦie31	ye4	【文读】		4	31	y	e	ɦ	ie		ye4	ɦie31
插	插	tsʰaʔ5	tshaeq7			7	5	tsh	aeq	tsʰ	aʔ		tshaeq7	tsʰaʔ5
閘	闸	zaʔ23	zaeq8			8	23	z	aeq	z	aʔ		zaeq8	zaʔ23
炸	炸	zaʔ23	zaeq8			8	23	z	aeq	z	aʔ		zaeq8	zaʔ23
夾	夹	kaʔ5	kaeq7			7	5	k	aeq	k	aʔ		kaeq7	kaʔ5
掐	掐	kʰaʔ5	khaeq7			7	5	kh	aeq	kʰ	aʔ		khaeq7	kʰaʔ5
狹	狭	ɦaʔ23	ghaeq8			8	23	gh	aeq	ɦ	aʔ		ghaeq8	ɦaʔ23
峽	峡	ɦiaʔ23	yaeq8	【文读】三~。		8	23	y	aeq	ɦ	iaʔ		yaeq8	ɦiaʔ23
攙	搀	tsʰæ53	tshae1			1	53	tsh	ae	tsʰ	æ		tshae1	tsʰæ53
衫	衫	sæ53	sae1			1	53	s	ae	s	æ		sae1	sæ53
監	监	kæ53	kae1			1	53	k	ae	k	æ		kae1	kæ53
鑑	鉴	kæ423	kae5	【白读】		5	423	k	ae	k	æ		kae5	kæ423
鑑	鉴	tɕie423	cie5	【文读】		5	423	c	ie	tɕ	ie		cie5	tɕie423
岩	岩	ŋæ24	ngae2			2	24	ng	ae	ŋ	æ		ngae2	ŋæ24
癌	癌	ŋæ24	ngae2			2	24	ng	ae	ŋ	æ		ngae2	ŋæ24
銜	衔	ɦæ24	ghae2	含在嘴里。		2	24	gh	ae	ɦ	æ		ghae2	ɦæ24
銜	衔	ŋæ24	ngae2	~头（头衔）。		2	24	ng	ae	ŋ	æ		ngae2	ŋæ24
艦	舰	kʰæ44	khae3			3	44	kh	ae	kʰ	æ		khae3	kʰæ44
甲	甲	kaʔ5	kaeq7	【白读】盔~；~板。		7	5	k	aeq	k	aʔ		kaeq7	kaʔ5
甲	甲	tɕiaʔ5	ciaeq7	【文读】天干名：~乙丙丁；~基睾丸酮。		7	5	c	iaeq	tɕ	iaʔ		ciaeq7	tɕiaʔ5
鴨	鸭	aʔ5	aeq7			7	5		aeq		aʔ		aeq7	aʔ5
押	押	aʔ5	aeq7			7	5		aeq		aʔ		aeq7	aʔ5
壓	压	aʔ5	aeq7			7	5		aeq		aʔ		aeq7	aʔ5
貶	贬	pie44	pie3			3	44	p	ie	p	ie		pie3	pie44
黏	黏	ȵie53	gnie1			1	53	gn	ie	ȵ	ie		gnie1	ȵie53
鐮	镰	lie24	lie2			2	24	l	ie	l	ie		lie2	lie24
斂	敛	lie31	lie4			4	31	l	ie	l	ie		lie4	lie31
尖	尖	tsie53	tsie1			1	53	ts	ie	ts	ie		tsie1	tsie53
殲	歼	tsie53	tsie1			1	53	ts	ie	ts	ie		tsie1	tsie53
簽	签	tsʰie53	tshie1			1	53	tsh	ie	tsʰ	ie		tshie1	tsʰie53
塹	堑	tsʰie423	tshie5			5	423	tsh	ie	tsʰ	ie		tshie5	tsʰie423
潛	潜	dzie24	dzie2			2	24	dz	ie	dz	ie		dzie2	dzie24
漸	渐	dzie31	dzie4			4	31	dz	ie	dz	ie		dzie4	dzie31
詹	沾	tʂᴇ53	cei1			1	53	c	ei	tʂ	ᴇ		cei1	tʂᴇ53
瞻	沾	tʂᴇ53	cei1			1	53	c	ei	tʂ	ᴇ		cei1	tʂᴇ53
沾	沾	tʂᴇ53	cei1			1	53	c	ei	tʂ	ᴇ		cei1	tʂᴇ53
占	占	tʂᴇ53	cei1	~卜。		1	53	c	ei	tʂ	ᴇ		cei1	tʂᴇ53
占	占	tʂᴇ423	cei5	~领。		5	423	c	ei	tʂ	ᴇ		cei5	tʂᴇ423
占	占	tsie423	tsie5	~便宜。		5	423	ts	ie	ts	ie		tsie5	tsie423
陝	陕	ʂᴇ44	shei3			3	44	sh	ei	ʂ	ᴇ		shei3	ʂᴇ44
閃	闪	ʂᴇ44	shei3			3	44	sh	ei	ʂ	ᴇ		shei3	ʂᴇ44
閃	闪	ɕie44	shie3	霍~（闪电）。		3	44	sh	ie	ɕ	ie		shie3	ɕie44
染	染	ȵie31	gnie4	【白读】		4	31	gn	ie	ȵ	ie		gnie4	ȵie31
染	染	ʐᴇ31	zhei4	【文读】		4	31	zh	ei	ʐ	ᴇ		zhei4	ʐᴇ31
檢	检	tɕie44	cie3			3	44	c	ie	tɕ	ie		cie3	tɕie44
臉	脸	lie31	lie4			4	31	l	ie	l	ie		lie4	lie31
鉗	钳	dʑie24	jie2			2	24	j	ie	dʑ	ie		jie2	dʑie24
儉	俭	dʑie31	jie4			4	31	j	ie	dʑ	ie		jie4	dʑie31
驗	验	ȵie213	gnie6			6	213	gn	ie	ȵ	ie		gnie6	ȵie213
險	险	ɕie44	shie3			3	44	sh	ie	ɕ	ie		shie3	ɕie44
淹	淹	ie53	ie1			1	53		ie		ie		ie1	ie53
醃	腌	ie53	ie1			1	53		ie		ie		ie1	ie53
閹	阉	ie53	ie1			1	53		ie		ie		ie1	ie53
掩	掩	ie44	ie3			3	44		ie		ie		ie3	ie44
厭	厌	ie423	ie5			5	423		ie		ie		ie5	ie423
炎	炎	ɦie24	ye2			2	24	y	e	ɦ	ie		ye2	ɦie24
鹽	盐	ɦie24	ye2			2	24	y	e	ɦ	ie		ye2	ɦie24
閻	阎	ȵie24	gnie2			2	24	gn	ie	ȵ	ie		gnie2	ȵie24
艷	艳	ɦie213	ye6			6	213	y	e	ɦ	ie		ye6	ɦie213
焰	焰	ɦie213	ye6			6	213	y	e	ɦ	ie		ye6	ɦie213
聶	聂	ȵiɪʔ23	gniq8			8	23	gn	iq	ȵ	iɪʔ		gniq8	ȵiɪʔ23
獵	猎	laʔ23	laeq8			8	23	l	aeq	l	aʔ		laeq8	laʔ23
接	接	tsiɪʔ5	tsiq7			7	5	ts	iq	ts	iɪʔ		tsiq7	tsiɪʔ5
妾	妾	tsʰiɪʔ5	tshiq7			7	5	tsh	iq	tsʰ	iɪʔ		tshiq7	tsʰiɪʔ5
捷	捷	dziɪʔ23	dziq8			8	23	dz	iq	dz	iɪʔ		dziq8	dziɪʔ23
折	折	tʂᴇʔ5	ceq7			7	5	c	eq	tʂ	ᴇʔ		ceq7	tʂᴇʔ5
攝	摄	ʂᴇʔ5	sheq7			7	5	sh	eq	ʂ	ᴇʔ		sheq7	ʂᴇʔ5
涉	涉	ʐᴇʔ23	zheq8			8	23	zh	eq	ʐ	ᴇʔ		zheq8	ʐᴇʔ23
葉	叶	ɦiɪʔ23	yiq8	树~。		8	23	y	iq	ɦ	iɪʔ		yiq8	ɦiɪʔ23
叶	叶	ɦiaʔ23	yaeq8	~韵。		8	23	y	aeq	ɦ	iaʔ		yaeq8	ɦiaʔ23
劍	剑	tɕie423	cie5			5	423	c	ie	tɕ	ie		cie5	tɕie423
欠	欠	tɕʰie423	chie5			5	423	ch	ie	tɕʰ	ie		chie5	tɕʰie423
嚴	严	ȵie24	gnie2			2	24	gn	ie	ȵ	ie		gnie2	ȵie24
業	业	ȵie23	gnie8			8	23	gn	ie	ȵ	ie		gnie8	ȵie23
點	点	tie44	tie3			3	44	t	ie	t	ie		tie3	tie44
店	店	tie423	tie5			5	423	t	ie	t	ie		tie5	tie423
添	添	tʰie53	thie1			1	53	th	ie	tʰ	ie		thie1	tʰie53
舔	舔	tʰie44	thie3			3	44	th	ie	tʰ	ie		thie3	tʰie44
甜	甜	die24	die2			2	24	d	ie	d	ie		die2	die24
拈	拈	ȵie53	gnie1			1	53	gn	ie	ȵ	ie		gnie1	ȵie53
念	念	ȵiæ213	gniae6			6	213	gn	iae	ȵ	iæ		gniae6	ȵiæ213
兼	兼	tɕie53	cie1			1	53	c	ie	tɕ	ie		cie1	tɕie53
謙	谦	tɕʰie53	chie1			1	53	ch	ie	tɕʰ	ie		chie1	tɕʰie53
歉	歉	tɕʰie423	chie5			5	423	ch	ie	tɕʰ	ie		chie5	tɕʰie423
貼	贴	tʰiɪʔ5	thiq7			7	5	th	iq	tʰ	iɪʔ		thiq7	tʰiɪʔ5
帖	帖	tʰiɪʔ5	thiq7			7	5	th	iq	tʰ	iɪʔ		thiq7	tʰiɪʔ5
疊	叠	diɪʔ23	diq8			8	23	d	iq	d	iɪʔ		diq8	diɪʔ23
蝶	蝶	diɪʔ23	diq8			8	23	d	iq	d	iɪʔ		diq8	diɪʔ23
碟	碟	diɪʔ23	diq8			8	23	d	iq	d	iɪʔ		diq8	diɪʔ23
諜	谍	diɪʔ23	diq8			8	23	d	iq	d	iɪʔ		diq8	diɪʔ23
協	协	ɦiaʔ23	yaeq8			8	23	y	aeq	ɦ	iaʔ		yaeq8	ɦiaʔ23
俠	侠	ɦiaʔ23	yaeq8			8	23	y	aeq	ɦ	iaʔ		yaeq8	ɦiaʔ23
泛	泛	fæ423	fae5			5	423	f	ae	f	æ		fae5	fæ423
帆	帆	væ24	vae2			2	24	v	ae	v	æ		vae2	væ24
凡	凡	væ24	vae2			2	24	v	ae	v	æ		vae2	væ24
凣	凣	væ24	vae2			2	24	v	ae	v	æ		vae2	væ24
犯	犯	væ31	vae4			4	31	v	ae	v	æ		vae4	væ31
範	范	væ31	vae4			4	31	v	ae	v	æ		vae4	væ31
法	法	faʔ5	faeq7			7	5	f	aeq	f	aʔ		faeq7	faʔ5
乏	乏	vaʔ23	vaeq8			8	23	v	aeq	v	aʔ		vaeq8	vaʔ23
品	品	pʰiŋ44	phin3			3	44	ph	in	pʰ	iŋ		phin3	pʰiŋ44
臨	临	liŋ24	lin2			2	24	l	in	l	iŋ		lin2	liŋ24
臨	临	lᴇ̃24	len2	~顿路。		2	24	l	en	l	ᴇ̃		len2	lᴇ̃24
林	林	liŋ24	lin2			2	24	l	in	l	iŋ		lin2	liŋ24
淋	淋	liŋ24	lin2			2	24	l	in	l	iŋ		lin2	liŋ24
浸	浸	tsiŋ423	tsin5			5	423	ts	in	ts	iŋ		tsin5	tsiŋ423
侵	侵	tsʰiŋ53	tshin1			1	53	tsh	in	tsʰ	iŋ		tshin1	tsʰiŋ53
心	心	siŋ53	sin1			1	53	s	in	s	iŋ		sin1	siŋ53
尋	寻	ziŋ24	zin2			2	24	z	in	z	iŋ		zin2	ziŋ24
沉	沉	dʐᴇ̃24	jen2			2	24	j	en	dʐ	ᴇ̃		jen2	dʐᴇ̃24
森	森	sᴇ̃53	sen1			1	53	s	en	s	ᴇ̃		sen1	sᴇ̃53
蔘	参	sᴇ̃53	sen1	人~。		1	53	s	en	s	ᴇ̃		sen1	sᴇ̃53
參	参	tsʰᴇ̃53	tshen1	~差。		1	53	tsh	en	tsʰ	ᴇ̃		tshen1	tsʰᴇ̃53
針	针	tʂᴇ̃53	cen1			1	53	c	en	tʂ	ᴇ̃		cen1	tʂᴇ̃53
斟	斟	tʂᴇ̃53	cen1			1	53	c	en	tʂ	ᴇ̃		cen1	tʂᴇ̃53
枕	枕	tʂᴇ̃44	cen3	~头。		3	44	c	en	tʂ	ᴇ̃		cen3	tʂᴇ̃44
審	审	ʂᴇ̃44	shen3			3	44	sh	en	ʂ	ᴇ̃		shen3	ʂᴇ̃44
嬸	婶	ʂᴇ̃44	shen3			3	44	sh	en	ʂ	ᴇ̃		shen3	ʂᴇ̃44
沈	沈	ʂᴇ̃44	shen3			3	44	sh	en	ʂ	ᴇ̃		shen3	ʂᴇ̃44
甚	甚	ʐᴇ̃213	zhen6			6	213	zh	en	ʐ	ᴇ̃		zhen6	ʐᴇ̃213
任	任	ȵiŋ24	gnin2	【白读】姓。~阳（江苏常熟地名）。		2	24	gn	in	ȵ	iŋ		gnin2	ȵiŋ24
任	任	ʐᴇ̃24	zhen2	【文读】~务。		2	24	zh	en	ʐ	ᴇ̃		zhen2	ʐᴇ̃24
今	今	tɕiŋ53	cin1			1	53	c	in	tɕ	iŋ		cin1	tɕiŋ53
金	金	tɕiŋ53	cin1			1	53	c	in	tɕ	iŋ		cin1	tɕiŋ53
禁	禁	tɕiŋ423	cin5	~止。		5	423	c	in	tɕ	iŋ		cin5	tɕiŋ423
禁	禁	tɕiŋ53	cin1	~不住。		1	53	c	in	tɕ	iŋ		cin1	tɕiŋ53
錦	锦	tɕiŋ44	cin3			3	44	c	in	tɕ	iŋ		cin3	tɕiŋ44
欽	钦	tɕʰiŋ53	chin1			1	53	ch	in	tɕʰ	iŋ		chin1	tɕʰiŋ53
琴	琴	dʑiŋ24	jin2			2	24	j	in	dʑ	iŋ		jin2	dʑiŋ24
禽	禽	dʑiŋ24	jin2			2	24	j	in	dʑ	iŋ		jin2	dʑiŋ24
擒	擒	dʑiŋ24	jin2			2	24	j	in	dʑ	iŋ		jin2	dʑiŋ24
吟	吟	ȵiŋ24	gnin2			2	24	gn	in	ȵ	iŋ		gnin2	ȵiŋ24
音	音	iŋ53	in1			1	53		in		iŋ		in1	iŋ53
陰	阴	iŋ53	in1			1	53		in		iŋ		in1	iŋ53
飲	饮	iŋ44	in3			3	44		in		iŋ		in3	iŋ44
淫	淫	ɦiŋ24	yin2			2	24	y	in	ɦ	iŋ		yin2	ɦiŋ24
立	立	liɪʔ23	liq8			8	23	l	iq	l	iɪʔ		liq8	liɪʔ23
粒	粒	liɪʔ23	liq8			8	23	l	iq	l	iɪʔ		liq8	liɪʔ23
笠	笠	liɪʔ23	liq8			8	23	l	iq	l	iɪʔ		liq8	liɪʔ23
集	集	dziɪʔ23	dziq8			8	23	dz	iq	dz	iɪʔ		dziq8	dziɪʔ23
輯	辑	tsʰiɪʔ5	tshiq7			7	5	tsh	iq	tsʰ	iɪʔ		tshiq7	tsʰiɪʔ5
習	习	dziɪʔ23	dziq8			8	23	dz	iq	dz	iɪʔ		dziq8	dziɪʔ23
襲	袭	dziɪʔ23	dziq8			8	23	dz	iq	dz	iɪʔ		dziq8	dziɪʔ23
澀	涩	sᴇʔ5	seq7			7	5	s	eq	s	ᴇʔ		seq7	sᴇʔ5
汁	汁	tʂᴇʔ5	ceq7			7	5	c	eq	tʂ	ᴇʔ		ceq7	tʂᴇʔ5
執	执	tʂᴇʔ5	ceq7			7	5	c	eq	tʂ	ᴇʔ		ceq7	tʂᴇʔ5
濕	湿	ʂᴇʔ5	sheq7			7	5	sh	eq	ʂ	ᴇʔ		sheq7	ʂᴇʔ5
十	十	ʐᴇʔ23	zheq8			8	23	zh	eq	ʐ	ᴇʔ		zheq8	ʐᴇʔ23
拾	拾	ʐᴇʔ23	zheq8			8	23	zh	eq	ʐ	ᴇʔ		zheq8	ʐᴇʔ23
拾	拾	ziɪʔ23	ziq8	捡：~起来。		8	23	z	iq	z	iɪʔ		ziq8	ziɪʔ23
入	入	ʐᴇʔ23	zheq8	【文读】		8	23	zh	eq	ʐ	ᴇʔ		zheq8	ʐᴇʔ23
入	入	ȵiɪʔ23	gniq8	【白读】		8	23	gn	iq	ȵ	iɪʔ		gniq8	ȵiɪʔ23
急	急	tɕiɪʔ5	ciq7			7	5	c	iq	tɕ	iɪʔ		ciq7	tɕiɪʔ5
級	级	tɕiɪʔ5	ciq7			7	5	c	iq	tɕ	iɪʔ		ciq7	tɕiɪʔ5
給	给	tɕiɪʔ5	ciq7			7	5	c	iq	tɕ	iɪʔ		ciq7	tɕiɪʔ5
泣	泣	tɕʰiɪʔ5	chiq7			7	5	ch	iq	tɕʰ	iɪʔ		chiq7	tɕʰiɪʔ5
及	及	dʑiɪʔ23	jiq8			8	23	j	iq	dʑ	iɪʔ		jiq8	dʑiɪʔ23
吸	吸	ɕiɪʔ5	shiq7			7	5	sh	iq	ɕ	iɪʔ		shiq7	ɕiɪʔ5
囡	囡	nɤ31	noe4			4	31	n	oe	n	ɤ		noe4	nɤ31
囡	囡	nɤ53	noe1	~~（对孩子的昵称）。		1	53	n	oe	n	ɤ		noe1	nɤ53
丹	丹	tæ53	tae1			1	53	t	ae	t	æ		tae1	tæ53
單	单	tæ53	tae1			1	53	t	ae	t	æ		tae1	tæ53
單	单	ʐᴇ24	zhei2	~于。		2	24	zh	ei	ʐ	ᴇ		zhei2	ʐᴇ24
單	单	ʐᴇ31	zhei4	姓。		4	31	zh	ei	ʐ	ᴇ		zhei4	ʐᴇ31
旦	旦	tæ423	tae5			5	423	t	ae	t	æ		tae5	tæ423
灘	滩	tʰæ53	thae1			1	53	th	ae	tʰ	æ		thae1	tʰæ53
攤	摊	tʰæ53	thae1	【文读】		1	53	th	ae	tʰ	æ		thae1	tʰæ53
攤	摊	tʰɤ53	thoe1	【白读】~鸡蛋；~面糊。		1	53	th	oe	tʰ	ɤ		thoe1	tʰɤ53
癱	瘫	tʰæ53	thae1	【文读】		1	53	th	ae	tʰ	æ		thae1	tʰæ53
癱	瘫	tʰɤ53	thoe1	【白读】~子。		1	53	th	oe	tʰ	ɤ		thoe1	tʰɤ53
坦	坦	tʰæ44	thae3			3	44	th	ae	tʰ	æ		thae3	tʰæ44
炭	炭	tʰæ423	thae5			5	423	th	ae	tʰ	æ		thae5	tʰæ423
嘆	叹	tʰæ423	thae5			5	423	th	ae	tʰ	æ		thae5	tʰæ423
彈	弹	dæ213	dae6			6	213	d	ae	d	æ		dae6	dæ213
但	但	dæ213	dae6			6	213	d	ae	d	æ		dae6	dæ213
蛋	蛋	dæ31	dae4			4	31	d	ae	d	æ		dae4	dæ31
難	难	næ24	nae2			2	24	n	ae	n	æ		nae2	næ24
蘭	兰	læ24	lae2			2	24	l	ae	l	æ		lae2	læ24
攔	拦	læ24	lae2	【文读】		2	24	l	ae	l	æ		lae2	læ24
攔	拦	lɤ24	loe2	【白读】		2	24	l	oe	l	ɤ		loe2	lɤ24
碳	碳	tʰæ423	thae5			5	423	th	ae	tʰ	æ		thae5	tʰæ423
欄	栏	læ24	lae2			2	24	l	ae	l	æ		lae2	læ24
懶	懒	læ31	lae4			4	31	l	ae	l	æ		lae4	læ31
爛	烂	læ213	lae6			6	213	l	ae	l	æ		lae6	læ213
贊	赞	tsæ423	tsae5			5	423	ts	ae	ts	æ		tsae5	tsæ423
灒	灒	tsæ423	tsae5			5	423	ts	ae	ts	æ		tsae5	tsæ423
餐	餐	tsʰɤ53	tshoe1			1	53	tsh	oe	tsʰ	ɤ		tshoe1	tsʰɤ53
撣	掸	tɤ44	toe3			3	44	t	oe	t	ɤ		toe3	tɤ44
殘	残	dzæ24	dzae2			2	24	dz	ae	dz	æ		dzae2	dzæ24
散	散	sæ423	sae5			5	423	s	ae	s	æ		sae5	sæ423
散	散	sæ44	sae3			3	44	s	ae	s	æ		sae3	sæ44
傘	伞	sæ44	sae3			3	44	s	ae	s	æ		sae3	sæ44
干	干	kɤ53	koe1	~戈；~犯；~涉；~预；~将（剑名，人名）；~巷（上海金山地名）。		1	53	k	oe	k	ɤ		koe1	kɤ53
乾	干	kɤ53	koe1	~燥；~旱；~净；豆腐~。		1	53	k	oe	k	ɤ		koe1	kɤ53
幹	干	kɤ423	koe5	树~；躯~；~将（能干的或者敢干的人）；才~；实~。		5	423	k	oe	k	ɤ		koe5	kɤ423
竿	竿	kɤ53	koe1			1	53	k	oe	k	ɤ		koe1	kɤ53
桿	杆	kɤ53	koe1	旗~。		1	53	k	oe	k	ɤ		koe1	kɤ53
肝	肝	kɤ53	koe1			1	53	k	oe	k	ɤ		koe1	kɤ53
姦	奸	kæ53	kae1	捉~。		1	53	k	ae	k	æ		kae1	kæ53
奸	奸	kæ53	kae1	~细。		1	53	k	ae	k	æ		kae1	kæ53
趕	赶	kɤ44	koe3			3	44	k	oe	k	ɤ		koe3	kɤ44
看	看	kʰɤ423	khoe5			5	423	kh	oe	kʰ	ɤ		khoe5	kʰɤ423
看	看	kʰɤ53	khoe1			1	53	kh	oe	kʰ	ɤ		khoe1	kʰɤ53
刊	刊	kʰɤ53	khoe1			1	53	kh	oe	kʰ	ɤ		khoe1	kʰɤ53
岸	岸	ŋᴇ̃213	ngen6			6	213	ng	en	ŋ	ᴇ̃		ngen6	ŋᴇ̃213
漢	汉	hɤ423	hoe5			5	423	h	oe	h	ɤ		hoe5	hɤ423
寒	寒	ɦɤ24	ghoe2			2	24	gh	oe	ɦ	ɤ		ghoe2	ɦɤ24
韓	韩	ɦɤ24	ghoe2			2	24	gh	oe	ɦ	ɤ		ghoe2	ɦɤ24
旱	旱	ɦɤ31	ghoe4			4	31	gh	oe	ɦ	ɤ		ghoe4	ɦɤ31
汗	汗	ɦɤ213	ghoe6			6	213	gh	oe	ɦ	ɤ		ghoe6	ɦɤ213
安	安	ɤ53	oe1			1	53		oe		ɤ		oe1	ɤ53
安	安	hɤ53	hoe1	诸~浜（上海长宁地名）。		1	53	h	oe	h	ɤ		hoe1	hɤ53
鞍	鞍	ɤ53	oe1			1	53		oe		ɤ		oe1	ɤ53
按	按	ɤ423	oe5			5	423		oe		ɤ		oe5	ɤ423
案	案	ɤ423	oe5			5	423		oe		ɤ		oe5	ɤ423
獺	獭	tʰaʔ5	thaeq7			7	5	th	aeq	tʰ	aʔ		thaeq7	tʰaʔ5
達	达	daʔ23	daeq8			8	23	d	aeq	d	aʔ		daeq8	daʔ23
辣	辣	laʔ23	laeq8			8	23	l	aeq	l	aʔ		laeq8	laʔ23
擦	擦	tsʰaʔ5	tshaeq7			7	5	tsh	aeq	tsʰ	aʔ		tshaeq7	tsʰaʔ5
薩	萨	saʔ5	saeq7			7	5	s	aeq	s	aʔ		saeq7	saʔ5
撒	撒	saʔ5	saeq7	【文读】		7	5	s	aeq	s	aʔ		saeq7	saʔ5
撒	撒	soʔ5	soq7	【白读】散，松散，散架。		7	5	s	oq	s	oʔ		soq7	soʔ5
割	割	koʔ5	koq7			7	5	k	oq	k	oʔ		koq7	koʔ5
葛	葛	koʔ5	koq7			7	5	k	oq	k	oʔ		koq7	koʔ5
渴	渴	kʰᴇʔ5	kheq7			7	5	kh	eq	kʰ	ᴇʔ		kheq7	kʰᴇʔ5
喝	喝	hᴇʔ5	heq7	吆~；~彩。		7	5	h	eq	h	ᴇʔ		heq7	hᴇʔ5
瞌	瞌	kʰᴇʔ5	kheq7			7	5	kh	eq	kʰ	ᴇʔ		kheq7	kʰᴇʔ5
扮	扮	pæ423	pae5			5	423	p	ae	p	æ		pae5	pæ423
盼	盼	pʰæ423	phae5			5	423	ph	ae	pʰ	æ		phae5	pʰæ423
辦	办	bæ213	bae6			6	213	b	ae	b	æ		bae6	bæ213
瓣	瓣	bæ213	bae6			6	213	b	ae	b	æ		bae6	bæ213
盞	盏	tsæ44	tsae3			3	44	ts	ae	ts	æ		tsae3	tsæ44
鏟	铲	tsʰæ44	tshae3			3	44	tsh	ae	tsʰ	æ		tshae3	tsʰæ44
棧	栈	dzæ213	dzae6			6	213	dz	ae	dz	æ		dzae6	dzæ213
山	山	sæ53	sae1			1	53	s	ae	s	æ		sae1	sæ53
汕	汕	sæ423	sae5			5	423	s	ae	s	æ		sae5	sæ423
讪	讪	sæ423	sae5			5	423	s	ae	s	æ		sae5	sæ423
產	产	su44	su3	【白读】~母。		3	44	s	u	s	u		su3	su44
產	产	tsʰæ44	tshae3	【文读】		3	44	tsh	ae	tsʰ	æ		tshae3	tsʰæ44
間	间	kæ53	kae1	【白读】房~。		1	53	k	ae	k	æ		kae1	kæ53
間	间	tɕie53	cie1	【文读】空~。		1	53	c	ie	tɕ	ie		cie1	tɕie53
間	间	kæ44	kae3	【白读】间隔。		3	44	k	ae	k	æ		kae3	kæ44
間	间	tɕie44	cie3	【文读】~断。		3	44	c	ie	tɕ	ie		cie3	tɕie44
澗	涧	kæ44	kae3	【白读】		3	44	k	ae	k	æ		kae3	kæ44
澗	涧	tɕie44	cie3	【文读】		3	44	c	ie	tɕ	ie		cie3	tɕie44
艱	艰	tɕie53	cie1	【文读】		1	53	c	ie	tɕ	ie		cie1	tɕie53
簡	简	tɕie44	cie3	【文读】		3	44	c	ie	tɕ	ie		cie3	tɕie44
柬	柬	tɕie44	cie3	【文读】		3	44	c	ie	tɕ	ie		cie3	tɕie44
揀	拣	kæ44	kae3			3	44	k	ae	k	æ		kae3	kæ44
眼	眼	ŋæ31	ngae4			4	31	ng	ae	ŋ	æ		ngae4	ŋæ31
