k	①溝勾鈎篝③狗枸苟垢詬⑤媾購夠彀構逅訽｛~病｝後｛白丨門~｝						
kʰ	①摳眍③口扣⑤扣｛又音｝寇蔻叩						
x	①齁②侯猴喉篌䗔瘊③候｛白讀丨單用｝吼呴｛牛鳴呼也｝⑤候｛文丨時~｝后後厚佝						
ŋ	①區｛姓｝②牛｛北鄉音丨有疑｝③藕｛北鄉｝偶｛北鄉｝熰｛北鄉丨緩焚也｝⑤慪｛北鄉｝漚｛北鄉｝						
ʔ	①歐甌區｛姓｝③偶毆嘔						
ts	①鄒謅③走⑤奏驟皺縐						
tsʰ	①搊②愁③瞅⑤湊						
s	①艘｛又｝捜餿蒐颼③叟擻⑤瘦瘶｛欬~｝						
tʃ	①周週州洲舟遮｛~身｝沾｛~水｝蜘｛店埠音丨蟬也｝蜩｛店埠音丨蟬也丨有疑｝③扭肘帚⑤咒胄宙晝紂						
tʃʰ	①抽②籌酬躊綢惆稠仇③丑｛地支｝醜⑤臭						
ʃ	①收賒｛又音｝③手首守捨｛~得｝⑤受壽綬狩獸授售						
ʒ	②揉柔蹂③藕熰｛緩焚也｝⑤慪漚毆肉｛舒化｝						
#ʏ							
mᵇ	⑤繆｛文讀｝謬｛文讀｝						
t	①丟蛁｛~蟟丨蟬也｝						
ȵ	①熮｛火濺貌｝②蟟｛蜘~｝劉｛又音｝牛留流梨｛棠~｝瘤瀏榴餾鎏騮③柳扭｛又音｝鈕忸紐⑤謬｛又音｝遛						
tɕ	①鳩㽱勼糾赳揫｛俗字「揪」｝③久酒玖韭灸九⑤舊臼救就舅疚咎究柩廄蹴						
tɕʰ	①秋鞦鳅煪｛熏也｝㞗｛男陰｝邱阄｛「鬮」俗字｝丘鬮｛拈~｝坵蚯②求球泅裘仇｛姓｝捄裘犰囚薺{荸~}③朽{白}						
ɕ	①修羞脩｛通「修」｝饈｛膳也丨「羞」字｝貅休②□｛萬能動詞｝③朽⑤秀嗅繡銹宿｛星~｝						
j	①優憂幽悠②油尤疣郵猶由蚰蝣游遊牛｛姓｝③有黝友酉莠⑤右又宥佑祐侑柚幼鼬釉						
#iɯ							
mᵇ	⑤繆｛西鄉、北鄉、城關丨文讀｝謬｛西鄉、北鄉、城關丨文讀｝						
t	①丟｛西鄉、北鄉、城關｝						
ȵ	①熮｛西鄉、北鄉、城關｝②蟟｛西鄉、北鄉、城關｝梨｛棠~丨西鄉、北鄉、城關｝劉｛西鄉、北鄉、城關｝牛｛西鄉、北鄉、城關｝留｛西鄉、北鄉、城關｝流｛西鄉、北鄉、城關｝瘤｛西鄉、北鄉、城關｝瀏｛西鄉、北鄉、城關｝榴｛西鄉、北鄉、城關｝餾｛西鄉、北鄉、城關｝鎏｛西鄉、北鄉、城關｝騮｛西鄉、北鄉、城關｝③柳｛西鄉、北鄉、城關｝扭｛西鄉、北鄉、城關｝鈕｛西鄉、北鄉、城關｝忸｛西鄉、北鄉、城關｝紐｛西鄉、北鄉、城關｝⑤謬｛西鄉、北鄉、城關｝遛｛西鄉、北鄉、城關｝						
tɕ	①鳩｛西鄉、北鄉、城關｝㽱｛西鄉、北鄉、城關｝糾｛西鄉、北鄉、城關｝赳｛西鄉、北鄉、城關｝揫｛西鄉、北鄉、城關｝鬮｛西鄉、北鄉、城關｝③久｛西鄉、北鄉、城關｝酒｛西鄉、北鄉、城關｝玖｛西鄉、北鄉、城關｝韭｛西鄉、北鄉、城關｝灸｛西鄉、北鄉、城關｝九｛西鄉、北鄉、城關｝⑤舊｛西鄉、北鄉、城關｝臼｛西鄉、北鄉、城關｝救｛西鄉、北鄉、城關｝就｛西鄉、北鄉、城關｝舅｛西鄉、北鄉、城關｝疚｛西鄉、北鄉、城關｝咎｛西鄉、北鄉、城關｝究｛西鄉、北鄉、城關｝柩｛西鄉、北鄉、城關｝廄｛西鄉、北鄉、城關｝蹴｛西鄉、北鄉、城關｝						
tɕʰ	①秋｛西鄉、北鄉、城關｝鞦｛西鄉、北鄉、城關｝鳅｛西鄉、北鄉、城關｝煪｛西鄉、北鄉、城關｝㞗｛西鄉、北鄉、城關｝邱｛西鄉、北鄉、城關｝丘｛西鄉、北鄉、城關｝坵｛西鄉、北鄉、城關｝蚯｛西鄉、北鄉、城關｝②求｛西鄉、北鄉、城關｝球｛西鄉、北鄉、城關｝泅｛西鄉、北鄉、城關｝裘｛西鄉、北鄉、城關｝仇｛西鄉、北鄉、城關｝捄｛西鄉、北鄉、城關｝裘｛西鄉、北鄉、城關｝犰｛西鄉、北鄉、城關｝薺｛荸~丨西鄉、北鄉、城關｝						
ɕ	①修｛西鄉、北鄉、城關｝羞｛西鄉、北鄉、城關｝脩｛西鄉、北鄉、城關｝饈｛西鄉、北鄉、城關｝貅｛西鄉、北鄉、城關｝休｛西鄉、北鄉、城關｝②□｛西鄉、北鄉、城關｝③朽｛西鄉、北鄉、城關｝⑤秀｛西鄉、北鄉、城關｝嗅｛西鄉、北鄉、城關｝繡｛西鄉、北鄉、城關｝銹｛西鄉、北鄉、城關｝宿｛西鄉、北鄉、城關｝						
j	①優｛西鄉、北鄉、城關｝憂｛西鄉、北鄉、城關｝幽｛西鄉、北鄉、城關｝悠｛西鄉、北鄉、城關｝②油｛西鄉、北鄉、城關｝尤｛西鄉、北鄉、城關｝疣｛西鄉、北鄉、城關｝郵｛西鄉、北鄉、城關｝猶｛西鄉、北鄉、城關｝由｛西鄉、北鄉、城關｝蚰｛西鄉、北鄉、城關｝蝣｛西鄉、北鄉、城關｝游｛西鄉、北鄉、城關｝遊｛西鄉、北鄉、城關｝牛｛西鄉、北鄉、城關｝③有｛西鄉、北鄉、城關｝黝｛西鄉、北鄉、城關｝友｛西鄉、北鄉、城關｝酉｛西鄉、北鄉、城關｝莠｛西鄉、北鄉、城關｝⑤右｛西鄉、北鄉、城關｝又｛西鄉、北鄉、城關｝宥｛西鄉、北鄉、城關｝佑｛西鄉、北鄉、城關｝祐｛西鄉、北鄉、城關｝侑｛西鄉、北鄉、城關｝柚｛西鄉、北鄉、城關｝幼｛西鄉、北鄉、城關｝鼬｛西鄉、北鄉、城關｝釉｛西鄉、北鄉、城關｝						
#ɛ̃							
p	①般｛文丨一~丨平凡也｝班斑頒扳③板版坂拌｛棄也｝胖⑤瓣辦畈｛白丨歇~｝範｛防~｝扮						
pʰ	①翻｛白讀｝攀番｛又音｝②番｛一~｝𤖭爿｛「𤖭」俗字｝⑤襻｛~倒丨俗以為絆 非｝盼爿｛又音｝						
mᵇ	①眽｛略視也丨或為麥韻之轉｝②蠻⑤慢漫｛文丨浪~｝嫚蔓謾曼｛人名｝						
f	①翻｛又音｝番｛~茄｝藩幡②凡帆煩樊繁③反返⑤畈范犯泛販梵飯						
t	①單丹擔耽箏｛口語破讀？｝鄲②痰｛不明本調｝③膽撣疸⑤誕擔｛一~｝但蛋淡氮憚彈｛動~｝談｛口~｝蜑						
tʰ	①貪灘癱攤坍｛「㘱」之俗字｝㘱②談彈｛~簧｝譚痰覃壇潭壇罈③袒坦忐｛憳字之俗｝憳｛忐本字｝毯⑤歎炭碳探撢｛探也｝						
l	②藍難｛困~｝南楠攔籣蘭斕喃襤嵐腩婪欄瀾③懶攬懶爁覽纜漤⑤難｛災~｝爛濫						
k	①乾甘柑竿間｛白读｝肝尲｛俗字尷丨~尬｝尷｛尲俗字｝③䇞趕感桿橄衦｛俗字擀｝揀｛白讀｝⑤幹贛淦						
kʰ	①看｛~門｝堪刊龕鹐｛禽鳥啄也丨北鄉｝磡鉛｛白讀｝③砍坎侃檻艦⑤闞瞰看｛~見｝						
x	①憨②寒韓涵函晗閒｛白讀｝銜酣鹹｛白讀｝蝦｛水~丨蛙也｝③罕｛「䍐」俗字｝䍐喊｛東鄉｝⑤翰汗漢寒憾撼旱瀚悍焊熯｛~飯｝陷｛白丨~住｝莧鼾						
ŋ	①安｛北鄉｝鞍｛北鄉｝庵｛北鄉｝鵪｛北鄉丨䳺俗字｝䳺｛北鄉丨~鶉｝③唵｛北鄉音丨食手中細物貌｝□｛舔舐｝⑤暗｛北鄉｝晏｛北鄉｝案｛北鄉｝岸｛北鄉｝按｛北鄉｝黯｛北鄉｝						
ʔ	①鞍鵪｛䳺俗字｝䳺｛~鶉｝						
ts	①簪②㜺｛美也丨字從俗有疑｝⑤讚鏨䟅｛相磓也｝						
tsʰ	①參｛~加｝餐䱗｛~條｝摻②殘慚蠶③慘⑤燦澯						
s	①三②□｛~跑｝③散｛~碎｝傘饊⑤散｛動詞｝						
tʃ	①□｛割也｝□｛言相弄也｝③斬嶃盞⑤綻站蘸栈戰｛主流｝湛暫						
tʃʰ	①攙②嚵潺饞孱③產鏟剷⑤懺						
ʃ	①山刪杉衫珊姍⑤柵｛園~子｝						
ʒ	①安庵②然燃髯③眼｛又｝掩｛又｝唵｛食貌｝苒｛禾也丨韭菜~｝⑤暗晏案岸按黯						
#ɐ̃							
p	①般｛西鄉、中部三鎮｝班｛西鄉、中部三鎮｝斑｛西鄉、中部三鎮｝頒｛西鄉、中部三鎮｝扳｛西鄉、中部三鎮｝③板｛西鄉、中部三鎮｝版｛西鄉、中部三鎮｝拌｛西鄉、中部三鎮音丨棄也｝坂｛西鄉、中部三鎮｝⑤瓣｛西鄉、中部三鎮｝辦｛西鄉、中部三鎮｝範｛西鄉、中部三鎮｝扮｛西鄉、中部三鎮｝						
pʰ	①翻｛西鄉、中部三鎮｝攀｛西鄉、中部三鎮｝②藩｛西鄉、中部三鎮｝⑤襻｛西鄉、中部三鎮｝盼｛西鄉、中部三鎮｝番｛西鄉、中部三鎮音丨一~｝爿｛「𤖭」俗字｝						
mᵇ	①眽｛西鄉、中部三鎮｝②蠻｛西鄉、中部三鎮｝⑤慢｛西鄉、中部三鎮｝漫｛西鄉、中部三鎮｝嫚｛西鄉、中部三鎮｝蔓｛西鄉、中部三鎮｝謾｛西鄉、中部三鎮｝曼｛西鄉、中部三鎮｝						
f	①翻｛西鄉、中部三鎮｝番｛西鄉、中部三鎮｝藩｛西鄉、中部三鎮｝帆｛西鄉、中部三鎮｝幡｛西鄉、中部三鎮｝②凡｛西鄉、中部三鎮｝煩｛西鄉、中部三鎮｝樊｛西鄉、中部三鎮｝繁｛西鄉、中部三鎮｝③反｛西鄉、中部三鎮｝返｛西鄉、中部三鎮｝⑤畈｛西鄉、中部三鎮｝范｛西鄉、中部三鎮｝犯｛西鄉、中部三鎮｝泛｛西鄉、中部三鎮｝販｛西鄉、中部三鎮｝梵｛西鄉、中部三鎮｝飯｛西鄉、中部三鎮｝						
t	①單｛西鄉、中部三鎮｝丹｛西鄉、中部三鎮｝擔｛西鄉、中部三鎮｝耽｛西鄉、中部三鎮｝鄲｛西鄉、中部三鎮｝②痰｛西鄉、中部三鎮｝③膽｛西鄉、中部三鎮｝担｛西鄉、中部三鎮丨笞也｝撣｛西鄉、中部三鎮｝疸｛西鄉、中部三鎮｝⑤誕｛西鄉、中部三鎮｝擔｛西鄉、中部三鎮｝但蛋｛西鄉、中部三鎮｝淡｛西鄉、中部三鎮｝氮｛西鄉、中部三鎮｝憚｛西鄉、中部三鎮｝搭｛西鄉、中部三鎮丨又音丨「tɐʔ」之轉也｝彈｛西鄉、中部三鎮丨動~｝						
tʰ	①貪｛西鄉、中部三鎮｝灘｛西鄉、中部三鎮｝癱｛西鄉、中部三鎮｝攤｛西鄉、中部三鎮｝坍｛西鄉、中部三鎮｝②談｛西鄉、中部三鎮｝彈｛西鄉、中部三鎮音丨~簧｝譚｛西鄉、中部三鎮｝痰｛西鄉、中部三鎮｝覃｛西鄉、中部三鎮｝壇｛西鄉、中部三鎮｝潭｛西鄉、中部三鎮｝壇｛西鄉、中部三鎮｝罈｛西鄉、中部三鎮｝③袒｛西鄉、中部三鎮｝忐｛西鄉、中部三鎮丨憳字之俗｝憳｛西鄉、中部三鎮丨忐本字｝坦｛西鄉、中部三鎮｝毯｛西鄉、中部三鎮｝⑤歎｛西鄉、中部三鎮｝炭｛西鄉、中部三鎮｝碳｛西鄉、中部三鎮｝探｛西鄉、中部三鎮｝撢｛西鄉、中部三鎮丨探也｝						
l	②藍｛西鄉、中部三鎮｝難｛西鄉、中部三鎮音丨困~｝南｛西鄉、中部三鎮｝楠｛西鄉、中部三鎮｝攔｛西鄉、中部三鎮｝籣｛西鄉、中部三鎮｝蘭｛西鄉、中部三鎮｝斕｛西鄉、中部三鎮｝喃｛西鄉、中部三鎮｝襤｛西鄉、中部三鎮｝嵐｛西鄉、中部三鎮｝腩｛西鄉、中部三鎮｝婪｛西鄉、中部三鎮｝欄｛西鄉、中部三鎮｝瀾｛西鄉、中部三鎮｝③懶｛西鄉、中部三鎮｝攬｛西鄉、中部三鎮｝懶｛西鄉、中部三鎮｝爁｛西鄉、中部三鎮｝覽｛西鄉、中部三鎮｝纜｛西鄉、中部三鎮｝漤｛西鄉、中部三鎮｝⑤難｛西鄉、中部三鎮音丨災~｝爛｛西鄉、中部三鎮｝濫｛西鄉、中部三鎮｝						
k	①乾｛西鄉、中部三鎮｝甘｛西鄉、中部三鎮｝柑｛西鄉、中部三鎮｝竿｛西鄉、中部三鎮｝肝｛西鄉、中部三鎮｝間｛西鄉、中部三鎮丨白读｝③趕｛西鄉、中部三鎮｝感｛西鄉、中部三鎮｝桿｛西鄉、中部三鎮｝橄｛西鄉、中部三鎮｝衦｛西鄉、中部三鎮音丨俗字「擀」｝揀｛西鄉、中部三鎮丨白讀｝⑤幹｛西鄉、中部三鎮｝贛｛西鄉、中部三鎮｝淦｛西鄉、中部三鎮｝						
kʰ	①看｛西鄉、中部三鎮音丨~門｝堪｛西鄉、中部三鎮｝刊｛西鄉、中部三鎮｝龕｛西鄉、中部三鎮｝磡｛西鄉、中部三鎮｝鉛｛白讀丨西鄉、中部三鎮｝③砍｛西鄉、中部三鎮｝坎｛西鄉、中部三鎮｝侃｛西鄉、中部三鎮｝檻｛西鄉、中部三鎮｝艦｛西鄉、中部三鎮｝⑤闞｛西鄉、中部三鎮｝瞰｛西鄉、中部三鎮｝看｛西鄉、中部三鎮｝						
x	①憨｛西鄉、中部三鎮｝②寒｛西鄉、中部三鎮｝韓｛西鄉、中部三鎮｝涵｛西鄉、中部三鎮｝函｛西鄉、中部三鎮｝晗｛西鄉、中部三鎮｝含閒｛西鄉、中部三鎮白讀音｝銜｛白讀丨西鄉、中部三鎮｝酣｛西鄉、中部三鎮｝蝦｛西鄉、中部三鎮音丨水~丨蛙也｝③罕｛西鄉、中部三鎮丨䍐俗字｝䍐｛西鄉、中部三鎮｝喊｛西鄉、中部三鎮文讀｝⑤翰｛西鄉、中部三鎮｝汗｛西鄉、中部三鎮｝漢｛西鄉、中部三鎮｝瀚｛西鄉、中部三鎮｝悍｛西鄉、中部三鎮｝焊｛西鄉、中部三鎮｝熯｛西鄉、中部三鎮音丨~飯｝撼						
ʔ	①鞍｛西鄉、中部三鎮｝鵪｛西鄉、中部三鎮丨䳺俗字｝䳺｛西鄉、中部三鎮丨~鶉｝						
ts	①簪②㜺｛西鄉、中部三鎮音丨美也｝③攢｛西鄉、中部三鎮音丨文讀｝⑤讚｛西鄉、中部三鎮｝鏨｛西鄉、中部三鎮｝䟅｛西鄉、中部三鎮音丨相磓也｝						
tsʰ	①參｛西鄉、中部三鎮｝餐｛西鄉、中部三鎮｝䱗｛西鄉、中部三鎮｝摻｛西鄉、中部三鎮｝②殘｛西鄉、中部三鎮｝慚｛西鄉、中部三鎮｝蠶｛西鄉、中部三鎮｝③慘｛西鄉、中部三鎮｝⑤燦｛西鄉、中部三鎮｝澯｛西鄉、中部三鎮｝						
s	①三｛西鄉、中部三鎮｝③散｛西鄉、中部三鎮｝傘｛西鄉、中部三鎮｝饊｛西鄉、中部三鎮｝⑤散｛西鄉、中部三鎮｝						
tʃ	①□｛西鄉、中部三鎮丨割也｝□｛西鄉、中部三鎮丨言相弄也｝③嶃｛西鄉、中部三鎮｝斬｛西鄉、中部三鎮｝盞｛西鄉、中部三鎮｝⑤綻｛西鄉、中部三鎮｝站｛西鄉、中部三鎮｝蘸｛西鄉、中部三鎮｝栈｛西鄉、中部三鎮｝戰｛西鄉、中部三鎮｝湛｛西鄉、中部三鎮｝暫｛西鄉、中部三鎮｝						
tʃʰ	①攙｛西鄉、中部三鎮｝②嚵｛西鄉、中部三鎮｝潺｛西鄉、中部三鎮｝饞｛西鄉、中部三鎮｝孱｛西鄉、中部三鎮｝③產｛西鄉、中部三鎮｝鏟｛西鄉、中部三鎮｝剷｛西鄉、中部三鎮｝⑤懺						
ʃ	①山｛西鄉、中部三鎮｝刪｛西鄉、中部三鎮｝杉｛西鄉、中部三鎮｝衫｛西鄉、中部三鎮｝珊｛西鄉、中部三鎮｝姍｛西鄉、中部三鎮｝⑤｛西鄉、中部三鎮丨姓｝						
ʒ	①安｛西鄉、中部三鎮｝庵｛西鄉、中部三鎮｝②然｛西鄉、中部三鎮｝燃｛西鄉、中部三鎮｝髯｛西鄉、中部三鎮｝③眼｛西鄉、中部三鎮丨又｝掩｛西鄉、中部三鎮丨又｝冉｛西鄉、中部三鎮｝唵｛西鄉、中部三鎮音丨食貌｝苒｛西鄉、中部三鎮｝⑤暗｛西鄉、中部三鎮｝案｛西鄉、中部三鎮｝岸｛西鄉、中部三鎮｝按｛西鄉、中部三鎮｝黯｛西鄉、中部三鎮｝						
#uɛ̃							
k	①關瘝｛「鰥」分化｝鰥⑤慣摜貫｛又音｝						
kʰ	①擐圈｛東鄉北鄉南鄉｝②環｛白讀｝擐踡鬟鬈⑤擐｛又音｝						
x	②還｛~錢｝環寰嬛橫｛又音｝⑤幻宦患豢						
tʃ	⑤賺						
ʃ	①栓閂⑤涮疝汕訕						
	①灣彎②玩｛訛音丨「頑」之俗也｝頑③晚挽綰⑤萬						
#uɐ̃							
k	①關｛西鄉、中部三鎮｝瘝｛西鄉、中部三鎮｝鰥｛西鄉、中部三鎮｝⑤慣｛西鄉、中部三鎮｝摜｛西鄉、中部三鎮｝貫｛西鄉、中部三鎮丨又音｝						
kʰ	①擐｛西鄉、中部三鎮｝圈｛中部三鎮｝②環｛西鄉、中部三鎮音丨白讀｝踡｛西鄉、中部三鎮｝鬈｛西鄉、中部三鎮｝鬟｛西鄉、中部三鎮｝⑤擐｛西鄉、中部三鎮丨又音｝						
x	②還｛西鄉、中部三鎮｝環｛西鄉、中部三鎮｝寰｛西鄉、中部三鎮｝嬛｛西鄉、中部三鎮｝⑤幻｛西鄉、中部三鎮｝宦｛西鄉、中部三鎮｝患｛西鄉、中部三鎮｝豢｛西鄉、中部三鎮｝						
tʃ	⑤賺｛西鄉、中部三鎮｝						
ʃ	①栓｛西鄉、中部三鎮｝閂｛西鄉、中部三鎮｝⑤涮｛西鄉、中部三鎮｝疝｛西鄉、中部三鎮｝汕｛西鄉、中部三鎮｝訕｛西鄉、中部三鎮｝刷｛西鄉、中部三鎮丨入之轉也｝						
	①灣｛西鄉、中部三鎮｝彎｛西鄉、中部三鎮｝②玩｛西鄉、中部三鎮丨頑之俗也｝頑｛西鄉、中部三鎮｝③晚｛西鄉、中部三鎮｝挽｛西鄉、中部三鎮｝綰｛西鄉、中部三鎮｝⑤萬｛西鄉、中部三鎮｝						
#iɛ̃							
ȵ	③兩｛數詞丨~箇｝						
#ʊ̃							
p	①般｛一~大｝搬⑤半伴秚｛攪物和物也丨俗作「拌」｝絆						
pʰ	①潘番｛地名｝②盤蟠磐胖｛心宽体~｝蹣③坢⑤畔叛判拚｛棄也｝胖｛半體牲也｝						
mᵇ	①漫｛~水｝②瞞饅鞔｛~鞋｝③螨某｛白讀｝滿⑤鰻幔蔓謾漫曼鳗						
t	①端③短斷⑤斷｛兩~｝段鍛緞鍛						
tʰ	①湍②疃團摶						
l	②巒鑾圝𢺈｛使聚之｝欒③卵暖⑤亂糯戀懦｛愞之今字丨又｝愞｛~弱丨又｝						
k	①官冠｛衣~｝觀棺倌③管館莞⑤貫灌罐冠｛~軍｝盥串｛今與「穿」混｝觀｛道~｝						
kʰ	①寬髖②含③款						
x	①混｛散雜也丨訛寫為[歡]｝歡獾②橫桓含｛又音｝③缓⑤換浣奐唤焕渙｛又音｝						
ts	①鑚｛動詞｝③纂｛集聚也｝䂎攢｛西鄉丨又音｝□｛花生殼尾｝⑤鑽｛器也｝攢						
tsʰ	①攛｛誘人爲｝②攢｛集聚也｝⑤篡｛文讀｝竄躥｛同「竄」｝						
s	①酸痠｛腰~背痛｝⑤算蒜						
tʃ	①磚顓專③轉｛~身｝⑤饌轉｛~圈｝傳｛~記｝撰篆						
tʃʰ	①穿｛~衣｝川②船傳｛~說｝③喘⑤釧穿｛俗字「串」｝篡						
ʒ	③軟｛一讀｝阮｛北鄉｝						
	①豌莞｛~爾｝蜿剜②完烷纨丸③婉碗皖菀宛腕⑤玩｛古~｝						
#ĩ							
p	①邊編鞭鳊蝙蹁③扁貶匾㗗｛~斷丨鼻韻增生｝⑤變便｛~利｝汴辮辯辨昪						
pʰ	①偏篇翩片｛又音｝②駢⑤遍騙｛諞之訛丨本字「騗」躍馬而上也｝片騗｛躍馬而上也｝						
mᵇ	②棉眠綿③勉免冕娩緬沔⑤麵面						
t	①巔顛癲滇瘨敁｛俗字「掂」｝掂｛「敁」俗字｝③點典碘⑤店電墊殿甸淀奠佃						
tʰ	①天添②甜田填恬③舔腆						
ȵ	①拈②年黏連蓮聯鐮鏈廉戀璉鯰粘帘憐簾漣蠊③蹨｛俗字攆｝碾殮｛又音｝撚輦臉撿瀲鯉｛西鄉北鄉又讀｝斂輾⑤殮練念煉戀｛訛音｝瀲錬						
tɕ	①尖間｛中~｝兼肩奸姦煎箴監搛堅緘艱蒹菅慳｛吝嗇也｝②前｛頭~｝③簡揀瞼剪減趼鹼𥀹｛皮起而彊｝儉茧踐檢餞翦戩展｛~昭｝⑤毽｛文讀｝劍｛劔也｝間｛~諜｝見建鍵薦僭腱｛文讀｝箭澗漸健賤鑒濺諫鐧劔｛俗字劍｝						
tɕʰ	①千簽先｛白讀｝鉛殲箋｛又音｝鹐韆遷阡牽謙芊纖籤杴｛木~丨俗字「鍁」｝鍁｛「杴」俗字｝②錢前潛鉗乾黔虔③遣芡淺⑤譴歉欠倩堑餡｛白讀｝茜						
ɕ	①先｛文讀｝掀纖｛又音｝鮮｛文讀｝暹仙｛文讀｝秈｛文讀丨俗字籼｝鍁｛又音｝②鹹閒嫌賢嫺弦｛文讀｝癇③洗鮮｛文丨~見｝喊｛白讀丨西鄉城關｝險顯冼癬｛文讀｝閃｛~腰｝⑤現縣線射｛又音｝綫限獻陷｛文讀｝腺憲蘚莧｛文讀｝羨｛文讀｝馅｛文讀｝騸｛~雞｝						
j	①醃菴蔫腌｛「醃」俗字｝咽｛~喉｝煙燕｛地名｝胭嫣鄢｛姓｝淹②鹽蜒言顏妍岩｛文讀｝沿研延塋筵閻閆檐巖炎芫｛又音｝③眼掩衍演奄⑤沿｛床~｝厭晏｛姓｝燕｛~子｝堰諺唁彦艶䞁｛相較也｝焰灧驗						
tʃ	①沾詹霑瞻占氈遮｛又音丨古城｝毡旃③展搌輾⑤颤戰｛歷史音｝佔｛本字「占」丨後元明起俗固也據也為佔以別卜卦義也｝						
tʃʰ	②纏｛~繞｝禪｛坐~｝蟬蟾③諂闡⑤纏｛~住｝						
ʃ	①扇｛動詞｝煽羶｛今訛為膻丨羊臭味｝賒｛又音丨古城｝③閃陝睒｛~影｝⑤禪｛~讓｝善單｛姓｝膳扇｛~子｝擅鱔繕贍蟮射｛北鄉｝社｛北鄉｝						
ʒ	②然｛歷史音｝③染冉苒｛北鄉東鄉｝軟						
#ɯ̃							
t	①端｛東鄉白讀｝③短｛東鄉白讀｝斷｛東鄉白讀｝⑤段｛東鄉白讀｝鍛｛東鄉白讀｝緞｛東鄉白讀｝鍛｛東鄉白讀｝						
tʰ	①湍｛東鄉白讀｝②疃｛東鄉白讀｝團｛東鄉白讀｝摶｛東鄉白讀｝						
l	②巒｛東鄉白讀｝鑾｛東鄉白讀｝欒｛東鄉白讀｝𢺈｛東鄉白讀音丨使聚之｝③卵｛東鄉白讀｝暖｛東鄉白讀｝⑤亂｛東鄉白讀｝糯｛東鄉白讀｝						
tʃ	①沾｛東鄉白讀｝詹｛東鄉白讀｝瞻｛東鄉白讀｝遮｛東鄉又讀｝③展｛東鄉白讀｝搌｛東鄉白讀｝⑤颤｛東鄉白讀｝戰｛東鄉白讀｝						
tʃʰ	②纏｛東鄉白讀｝蟾｛東鄉白讀｝						
ʃ	①扇｛東鄉白讀｝煽｛東鄉白讀｝羶｛東鄉白讀｝③閃｛東鄉白讀｝陝｛東鄉白讀｝⑤禪｛東鄉白讀｝善｛東鄉白讀｝單｛東鄉白讀｝膳｛東鄉白讀｝騸｛東鄉白讀｝扇｛東鄉白讀｝擅｛東鄉白讀｝鱔｛東鄉白讀｝贍｛東鄉白讀｝蟮｛東鄉白讀｝						
ʒ	②然｛東鄉白讀｝燃｛東鄉白讀｝③軟｛東鄉白讀｝染｛東鄉白讀｝冉｛東鄉白讀｝苒｛東鄉白讀｝						
#iɯ̃							
j	②元｛闞寶林著載丨鄙未攷｝③阮｛闞寶林著載丨鄙未攷｝						
#ɘ̃							
tʃ	①沾｛西鄉｝詹｛西鄉｝霑｛西鄉｝瞻｛西鄉｝占｛西鄉｝毡｛西鄉｝③展｛西鄉｝搌｛西鄉｝輾｛西鄉｝⑤颤｛西鄉｝戰｛西鄉｝						
tʃʰ	②纏｛西鄉｝禪｛西鄉｝蟬｛西鄉｝蟾｛西鄉｝③諂｛西鄉｝闡｛西鄉｝⑤纏｛西鄉｝						
ʃ	①扇｛西鄉｝煽｛西鄉｝羶｛西鄉｝③閃｛西鄉｝陝｛西鄉｝⑤善｛西鄉｝膳｛西鄉｝扇｛西鄉｝擅｛西鄉｝鱔｛西鄉｝贍｛西鄉｝蟮｛西鄉｝						
k	③染｛西鄉｝冉｛西鄉｝						
#ỹ							
tɕ	①娟捐涓鵑③捲卷⑤絹毽｛白讀｝腱｛白讀｝雋卷｛試~｝眷倦圈｛豬~｝桊䖭飬						
tɕʰ	①圈｛~子｝②全權泉拳顴荃醛踡｛文讀｝痊③犬⑤勸券劵						
ɕ	①先｛白讀｝仙｛白讀｝宣萱軒｛稱末升曰~｝喧鮮｛白讀｝暄秈｛白讀丨俗字「籼」｝②弦｛白讀｝玄懸③癬｛白讀｝選⑤陷｛白讀｝旋羨｛白讀｝炫絢騸｛白讀｝						
j	①冤淵鳶鴛②芫元园塋員沅原圓袁緣援垣爰轅源猿螈媛③阮｛姓丨南鄉東鄉｝遠兖｛地名｝⑤院苑怨愿						
#ɒ̃							
p	①方｛地之所在也｝幫浜梆䋽｛鞋~｝邦③綁｛俗字丨「紡」俗字｝紡｛縛也丨今作「綁」｝榜膀⑤棒磅傍塝｛~田｝蚌泵						
pʰ	①滂胮｛熟~｝乓｛新字｝②螃旁龐傍彷膀｛~胱｝⑤肨｛俗字胖丨非也｝						
mᵇ	①□｛聲大｝②忙盲莽芒｛~種｝茫氓③莽蟒猛｛或为「莽」丨忽也｝						
f	①方芳坊②防妨｛西鄉城關｝房肪③紡妨仿訪⑤放						
t	①當襠③党黨擋⑤檔當｛~鋪｝蕩｛又音｝凼｛俗字丨水窪｝堂｛祠~｝宕趤｛逸行也｝砀						
tʰ	①湯趤②堂唐糖塘螳膛搪傏｛~突｝棠③淌倘儻躺｛「踼」俗字｝踼｛俗字「躺」｝⑤燙趟｛「逿」俗字｝逿｛俗字「趟」｝蕩｛繩索~~｝趤						
l	②郎狼螂廊榔饢嚢瑯琅蛉｛西北鄉：蜻~｝③蕩｛白讀｝朗□{惡~}㝗曩盪｛同蕩｝⑤閬浪㫰｛曝也｝㚂蕩｛打~｝巷｛又｝						
