字目	读音	注释	声母	韵母	声调	(声母)	(声母序)	(韵母序)	(调序)	最后一个同音字?1为是	同音字汇(连字音beta!)	声韵组合	最后一个同音异调?1为是	同音字汇(同音异调!)	同音字汇连声韵
佐	tso53		ts	o	53	ts	13	7	3	0	佐	tso	0	[1]糟{白，鏖o1～：脏}[2]槽[3]左佐	tso[1]糟{白，鏖o1～：脏}[2]槽[3]左佐
阻	tso53		ts	o	53	ts	13	7	3	0	阻	tso	0	[1]糟{白，鏖o1～：脏}[2]槽[3]左佐阻	tso[1]糟{白，鏖o1～：脏}[2]槽[3]左佐阻
棗	tso53		ts	o	53	ts	13	7	3	0	棗	tso	0	[1]糟{白，鏖o1～：脏}[2]槽[3]左佐阻棗	tso[1]糟{白，鏖o1～：脏}[2]槽[3]左佐阻棗
俎	tso53		ts	o	53	ts	13	7	3	1	俎	tso	0	[1]糟{白，鏖o1～：脏}[2]槽[3]左佐阻棗俎	tso[1]糟{白，鏖o1～：脏}[2]槽[3]左佐阻棗俎
狀	tso13	白，～元	ts	o	13	ts	13	7	4	0	狀{白，～元}	tso	0	[1]糟{白，鏖o1～：脏}[2]槽[3]左佐阻棗俎[4]狀{白，～元}	tso[1]糟{白，鏖o1～：脏}[2]槽[3]左佐阻棗俎[4]狀{白，～元}
坐	tso13		ts	o	13	ts	13	7	4	0	坐	tso	0	[1]糟{白，鏖o1～：脏}[2]槽[3]左佐阻棗俎[4]狀{白，～元}坐	tso[1]糟{白，鏖o1～：脏}[2]槽[3]左佐阻棗俎[4]狀{白，～元}坐
助	tso13		ts	o	13	ts	13	7	4	1	助	tso	0	[1]糟{白，鏖o1～：脏}[2]槽[3]左佐阻棗俎[4]狀{白，～元}坐助	tso[1]糟{白，鏖o1～：脏}[2]槽[3]左佐阻棗俎[4]狀{白，～元}坐助
做	tso21		ts	o	21	ts	13	7	5	0	做	tso	0	[1]糟{白，鏖o1～：脏}[2]槽[3]左佐阻棗俎[4]狀{白，～元}坐助[5]做	tso[1]糟{白，鏖o1～：脏}[2]槽[3]左佐阻棗俎[4]狀{白，～元}坐助[5]做
怎	tso21	训	ts	o	21	ts	13	7	5	1	怎{训}	tso	0	[1]糟{白，鏖o1～：脏}[2]槽[3]左佐阻棗俎[4]狀{白，～元}坐助[5]做怎{训}	tso[1]糟{白，鏖o1～：脏}[2]槽[3]左佐阻棗俎[4]狀{白，～元}坐助[5]做怎{训}
座	tso311		ts	o	311	ts	13	7	6	1	座	tso	1	[1]糟{白，鏖o1～：脏}[2]槽[3]左佐阻棗俎[4]狀{白，～元}坐助[5]做怎{训}[6]座	tso[1]糟{白，鏖o1～：脏}[2]槽[3]左佐阻棗俎[4]狀{白，～元}坐助[5]做怎{训}[6]座
初	tsʰo22		tsʰ	o	22	tsʰ	14	7	1	0	初	tsʰo	0	[1]初	tsʰo[1]初
腥	tsʰo22		tsʰ	o	22	tsʰ	14	7	1	0	腥	tsʰo	0	[1]初腥	tsʰo[1]初腥
臊	tsʰo22		tsʰ	o	22	tsʰ	14	7	1	1	臊	tsʰo	0	[1]初腥臊	tsʰo[1]初腥臊
挫	tsʰo44		tsʰ	o	44	tsʰ	14	7	2	0	挫	tsʰo	0	[1]初腥臊[2]挫	tsʰo[1]初腥臊[2]挫
矬	tsʰo44		tsʰ	o	44	tsʰ	14	7	2	0	矬	tsʰo	0	[1]初腥臊[2]挫矬	tsʰo[1]初腥臊[2]挫矬
锄	tsʰo44	文	tsʰ	o	44	tsʰ	14	7	2	0	锄{文}	tsʰo	0	[1]初腥臊[2]挫矬锄{文}	tsʰo[1]初腥臊[2]挫矬锄{文}
鋤	tsʰo44		tsʰ	o	44	tsʰ	14	7	2	1	鋤	tsʰo	0	[1]初腥臊[2]挫矬锄{文}鋤	tsʰo[1]初腥臊[2]挫矬锄{文}鋤
楚	tsʰo53		tsʰ	o	53	tsʰ	14	7	3	0	楚	tsʰo	0	[1]初腥臊[2]挫矬锄{文}鋤[3]楚	tsʰo[1]初腥臊[2]挫矬锄{文}鋤[3]楚
草	tsʰo53		tsʰ	o	53	tsʰ	14	7	3	0	草	tsʰo	0	[1]初腥臊[2]挫矬锄{文}鋤[3]楚草	tsʰo[1]初腥臊[2]挫矬锄{文}鋤[3]楚草
礎	tsʰo53		tsʰ	o	53	tsʰ	14	7	3	1	礎	tsʰo	0	[1]初腥臊[2]挫矬锄{文}鋤[3]楚草礎	tsʰo[1]初腥臊[2]挫矬锄{文}鋤[3]楚草礎
錯	tsʰo21		tsʰ	o	21	tsʰ	14	7	5	0	錯	tsʰo	0	[1]初腥臊[2]挫矬锄{文}鋤[3]楚草礎[5]錯	tsʰo[1]初腥臊[2]挫矬锄{文}鋤[3]楚草礎[5]錯
糙	tsʰo21		tsʰ	o	21	tsʰ	14	7	5	1	糙	tsʰo	0	[1]初腥臊[2]挫矬锄{文}鋤[3]楚草礎[5]錯糙	tsʰo[1]初腥臊[2]挫矬锄{文}鋤[3]楚草礎[5]錯糙
□	tsʰo311	盛放物品	tsʰ	o	311	tsʰ	14	7	6	1	□{盛放物品}	tsʰo	1	[1]初腥臊[2]挫矬锄{文}鋤[3]楚草礎[5]錯糙[6]□{盛放物品}	tsʰo[1]初腥臊[2]挫矬锄{文}鋤[3]楚草礎[5]錯糙[6]□{盛放物品}
搓	so22		s	o	22	s	16	7	1	0	搓	so	0	[1]搓	so[1]搓
娑	so22		s	o	22	s	16	7	1	0	娑	so	0	[1]搓娑	so[1]搓娑
蓑	so22	文	s	o	22	s	16	7	1	0	蓑{文}	so	0	[1]搓娑蓑{文}	so[1]搓娑蓑{文}
唆	so22		s	o	22	s	16	7	1	0	唆	so	0	[1]搓娑蓑{文}唆	so[1]搓娑蓑{文}唆
梭	so22		s	o	22	s	16	7	1	0	梭	so	0	[1]搓娑蓑{文}唆梭	so[1]搓娑蓑{文}唆梭
莎	so22		s	o	22	s	16	7	1	0	莎	so	0	[1]搓娑蓑{文}唆梭莎	so[1]搓娑蓑{文}唆梭莎
蔬	so22		s	o	22	s	16	7	1	0	蔬	so	0	[1]搓娑蓑{文}唆梭莎蔬	so[1]搓娑蓑{文}唆梭莎蔬
疏	so22		s	o	22	s	16	7	1	1	疏	so	0	[1]搓娑蓑{文}唆梭莎蔬疏	so[1]搓娑蓑{文}唆梭莎蔬疏
傻	so44		s	o	44	s	16	7	2	1	傻	so	0	[1]搓娑蓑{文}唆梭莎蔬疏[2]傻	so[1]搓娑蓑{文}唆梭莎蔬疏[2]傻
所	so53		s	o	53	s	16	7	3	0	所	so	0	[1]搓娑蓑{文}唆梭莎蔬疏[2]傻[3]所	so[1]搓娑蓑{文}唆梭莎蔬疏[2]傻[3]所
嫂	so53		s	o	53	s	16	7	3	0	嫂	so	0	[1]搓娑蓑{文}唆梭莎蔬疏[2]傻[3]所嫂	so[1]搓娑蓑{文}唆梭莎蔬疏[2]傻[3]所嫂
鎖	so53		s	o	53	s	16	7	3	0	鎖	so	0	[1]搓娑蓑{文}唆梭莎蔬疏[2]傻[3]所嫂鎖	so[1]搓娑蓑{文}唆梭莎蔬疏[2]傻[3]所嫂鎖
嗩	so53		s	o	53	s	16	7	3	0	嗩	so	0	[1]搓娑蓑{文}唆梭莎蔬疏[2]傻[3]所嫂鎖嗩	so[1]搓娑蓑{文}唆梭莎蔬疏[2]傻[3]所嫂鎖嗩
瑣	so53		s	o	53	s	16	7	3	1	瑣	so	0	[1]搓娑蓑{文}唆梭莎蔬疏[2]傻[3]所嫂鎖嗩瑣	so[1]搓娑蓑{文}唆梭莎蔬疏[2]傻[3]所嫂鎖嗩瑣
素	so21	白	s	o	21	s	16	7	5	1	素{白}	so	1	[1]搓娑蓑{文}唆梭莎蔬疏[2]傻[3]所嫂鎖嗩瑣[5]素{白}	so[1]搓娑蓑{文}唆梭莎蔬疏[2]傻[3]所嫂鎖嗩瑣[5]素{白}
歌	ko22		k	o	22	k	17	7	1	0	歌	ko	0	[1]歌	ko[1]歌
哥	ko22		k	o	22	k	17	7	1	0	哥	ko	0	[1]歌哥	ko[1]歌哥
高	ko22		k	o	22	k	17	7	1	0	高	ko	0	[1]歌哥高	ko[1]歌哥高
篙	ko22		k	o	22	k	17	7	1	0	篙	ko	0	[1]歌哥高篙	ko[1]歌哥高篙
糕	ko22		k	o	22	k	17	7	1	0	糕	ko	0	[1]歌哥高篙糕	ko[1]歌哥高篙糕
膏	ko22		k	o	22	k	17	7	1	0	膏	ko	0	[1]歌哥高篙糕膏	ko[1]歌哥高篙糕膏
竿	ko22	训	k	o	22	k	17	7	1	1	竿{训}	ko	0	[1]歌哥高篙糕膏竿{训}	ko[1]歌哥高篙糕膏竿{训}
哥	ko44	儿语：ko1～	k	o	44	k	17	7	2	0	哥{儿语：ko1～}	ko	0	[1]歌哥高篙糕膏竿{训}[2]哥{儿语：ko1～}	ko[1]歌哥高篙糕膏竿{训}[2]哥{儿语：ko1～}
擱	ko44	扔	k	o	44	k	17	7	2	1	擱{扔}	ko	0	[1]歌哥高篙糕膏竿{训}[2]哥{儿语：ko1～}擱{扔}	ko[1]歌哥高篙糕膏竿{训}[2]哥{儿语：ko1～}擱{扔}
稿	ko53		k	o	53	k	17	7	3	1	稿	ko	0	[1]歌哥高篙糕膏竿{训}[2]哥{儿语：ko1～}擱{扔}[3]稿	ko[1]歌哥高篙糕膏竿{训}[2]哥{儿语：ko1～}擱{扔}[3]稿
划	ko21	～船	k	o	21	k	17	7	5	0	划{～船}	ko	0	[1]歌哥高篙糕膏竿{训}[2]哥{儿语：ko1～}擱{扔}[3]稿[5]划{～船}	ko[1]歌哥高篙糕膏竿{训}[2]哥{儿语：ko1～}擱{扔}[3]稿[5]划{～船}
個	ko21		k	o	21	k	17	7	5	0	個	ko	0	[1]歌哥高篙糕膏竿{训}[2]哥{儿语：ko1～}擱{扔}[3]稿[5]划{～船}個	ko[1]歌哥高篙糕膏竿{训}[2]哥{儿语：ko1～}擱{扔}[3]稿[5]划{～船}個
塊	ko21		k	o	21	k	17	7	5	1	塊	ko	1	[1]歌哥高篙糕膏竿{训}[2]哥{儿语：ko1～}擱{扔}[3]稿[5]划{～船}個塊	ko[1]歌哥高篙糕膏竿{训}[2]哥{儿语：ko1～}擱{扔}[3]稿[5]划{～船}個塊
柯	kʰo22		kʰ	o	22	kʰ	18	7	1	0	柯	kʰo	0	[1]柯	kʰo[1]柯
炣	kʰo22	将饭，菜，肉烩熟	kʰ	o	22	kʰ	18	7	1	0	炣{将饭，菜，肉烩熟}	kʰo	0	[1]柯炣{将饭，菜，肉烩熟}	kʰo[1]柯炣{将饭，菜，肉烩熟}
戈	kʰo22		kʰ	o	22	kʰ	18	7	1	0	戈	kʰo	0	[1]柯炣{将饭，菜，肉烩熟}戈	kʰo[1]柯炣{将饭，菜，肉烩熟}戈
撾	kʰo22	老～，国名	kʰ	o	22	kʰ	18	7	1	0	撾{老～，国名}	kʰo	0	[1]柯炣{将饭，菜，肉烩熟}戈撾{老～，国名}	kʰo[1]柯炣{将饭，菜，肉烩熟}戈撾{老～，国名}
棵	kʰo22		kʰ	o	22	kʰ	18	7	1	0	棵	kʰo	0	[1]柯炣{将饭，菜，肉烩熟}戈撾{老～，国名}棵	kʰo[1]柯炣{将饭，菜，肉烩熟}戈撾{老～，国名}棵
苛	kʰo22		kʰ	o	22	kʰ	18	7	1	1	苛	kʰo	0	[1]柯炣{将饭，菜，肉烩熟}戈撾{老～，国名}棵苛	kʰo[1]柯炣{将饭，菜，肉烩熟}戈撾{老～，国名}棵苛
可	kʰo53		kʰ	o	53	kʰ	18	7	3	0	可	kʰo	0	[1]柯炣{将饭，菜，肉烩熟}戈撾{老～，国名}棵苛[3]可	kʰo[1]柯炣{将饭，菜，肉烩熟}戈撾{老～，国名}棵苛[3]可
洘	kʰo53	浅	kʰ	o	53	kʰ	18	7	3	0	洘{浅}	kʰo	0	[1]柯炣{将饭，菜，肉烩熟}戈撾{老～，国名}棵苛[3]可洘{浅}	kʰo[1]柯炣{将饭，菜，肉烩熟}戈撾{老～，国名}棵苛[3]可洘{浅}
顆	kʰo53		kʰ	o	53	kʰ	18	7	3	0	顆	kʰo	0	[1]柯炣{将饭，菜，肉烩熟}戈撾{老～，国名}棵苛[3]可洘{浅}顆	kʰo[1]柯炣{将饭，菜，肉烩熟}戈撾{老～，国名}棵苛[3]可洘{浅}顆
坷	kʰo53		kʰ	o	53	kʰ	18	7	3	1	坷	kʰo	1	[1]柯炣{将饭，菜，肉烩熟}戈撾{老～，国名}棵苛[3]可洘{浅}顆坷	kʰo[1]柯炣{将饭，菜，肉烩熟}戈撾{老～，国名}棵苛[3]可洘{浅}顆坷
鵝	go44		g	o	44	g	19	7	2	1	鵝	go	0	[2]鵝	go[2]鵝
餓	go311		g	o	311	g	19	7	6	1	餓	go	1	[2]鵝[6]餓	go[2]鵝[6]餓
蛾	ŋo44		ŋ	o	44	ŋ	20	7	2	0	蛾	ŋo	0	[2]蛾	ŋo[2]蛾
俄	ŋo44		ŋ	o	44	ŋ	20	7	2	0	俄	ŋo	0	[2]蛾俄	ŋo[2]蛾俄
娥	ŋo44		ŋ	o	44	ŋ	20	7	2	0	娥	ŋo	0	[2]蛾俄娥	ŋo[2]蛾俄娥
梧	ŋo44		ŋ	o	44	ŋ	20	7	2	0	梧	ŋo	0	[2]蛾俄娥梧	ŋo[2]蛾俄娥梧
愚	ŋo44		ŋ	o	44	ŋ	20	7	2	0	愚	ŋo	0	[2]蛾俄娥梧愚	ŋo[2]蛾俄娥梧愚
虞	ŋo44		ŋ	o	44	ŋ	20	7	2	0	虞	ŋo	0	[2]蛾俄娥梧愚虞	ŋo[2]蛾俄娥梧愚虞
寓	ŋo44		ŋ	o	44	ŋ	20	7	2	1	寓	ŋo	0	[2]蛾俄娥梧愚虞寓	ŋo[2]蛾俄娥梧愚虞寓
我	ŋo53	文	ŋ	o	53	ŋ	20	7	3	1	我{文}	ŋo	0	[2]蛾俄娥梧愚虞寓[3]我{文}	ŋo[2]蛾俄娥梧愚虞寓[3]我{文}
悟	ŋo13		ŋ	o	13	ŋ	20	7	4	0	悟	ŋo	0	[2]蛾俄娥梧愚虞寓[3]我{文}[4]悟	ŋo[2]蛾俄娥梧愚虞寓[3]我{文}[4]悟
遇	ŋo13		ŋ	o	13	ŋ	20	7	4	0	遇	ŋo	0	[2]蛾俄娥梧愚虞寓[3]我{文}[4]悟遇	ŋo[2]蛾俄娥梧愚虞寓[3]我{文}[4]悟遇
寤	ŋo13		ŋ	o	13	ŋ	20	7	4	1	寤	ŋo	0	[2]蛾俄娥梧愚虞寓[3]我{文}[4]悟遇寤	ŋo[2]蛾俄娥梧愚虞寓[3]我{文}[4]悟遇寤
捂	ŋo311		ŋ	o	311	ŋ	20	7	6	1	捂	ŋo	1	[2]蛾俄娥梧愚虞寓[3]我{文}[4]悟遇寤[6]捂	ŋo[2]蛾俄娥梧愚虞寓[3]我{文}[4]悟遇寤[6]捂
蒿	ho22		h	o	22	h	21	7	1	0	蒿	ho	0	[1]蒿	ho[1]蒿
呵	ho22		h	o	22	h	21	7	1	0	呵	ho	0	[1]蒿呵	ho[1]蒿呵
訶	ho22		h	o	22	h	21	7	1	1	訶	ho	0	[1]蒿呵訶	ho[1]蒿呵訶
河	ho44		h	o	44	h	21	7	2	0	河	ho	0	[1]蒿呵訶[2]河	ho[1]蒿呵訶[2]河
何	ho44		h	o	44	h	21	7	2	0	何	ho	0	[1]蒿呵訶[2]河何	ho[1]蒿呵訶[2]河何
豪	ho44		h	o	44	h	21	7	2	1	豪	ho	0	[1]蒿呵訶[2]河何豪	ho[1]蒿呵訶[2]河何豪
好	ho53		h	o	53	h	21	7	3	1	好	ho	0	[1]蒿呵訶[2]河何豪[3]好	ho[1]蒿呵訶[2]河何豪[3]好
荷	ho21	薄～	h	o	21	h	21	7	5	0	荷{薄～}	ho	0	[1]蒿呵訶[2]河何豪[3]好[5]荷{薄～}	ho[1]蒿呵訶[2]河何豪[3]好[5]荷{薄～}
耗	ho21		h	o	21	h	21	7	5	1	耗	ho	0	[1]蒿呵訶[2]河何豪[3]好[5]荷{薄～}耗	ho[1]蒿呵訶[2]河何豪[3]好[5]荷{薄～}耗
佑	ho311		h	o	311	h	21	7	6	0	佑	ho	0	[1]蒿呵訶[2]河何豪[3]好[5]荷{薄～}耗[6]佑	ho[1]蒿呵訶[2]河何豪[3]好[5]荷{薄～}耗[6]佑
賀	ho311		h	o	311	h	21	7	6	0	賀	ho	0	[1]蒿呵訶[2]河何豪[3]好[5]荷{薄～}耗[6]佑賀	ho[1]蒿呵訶[2]河何豪[3]好[5]荷{薄～}耗[6]佑賀
號	ho311		h	o	311	h	21	7	6	1	號	ho	1	[1]蒿呵訶[2]河何豪[3]好[5]荷{薄～}耗[6]佑賀號	ho[1]蒿呵訶[2]河何豪[3]好[5]荷{薄～}耗[6]佑賀號
窩	o22			o	22	〇	22	7	1	0	窩	o	0	[1]窩	o[1]窩
渦	o22			o	22	〇	22	7	1	0	渦	o	0	[1]窩渦	o[1]窩渦
婀	o22			o	22	〇	22	7	1	0	婀	o	0	[1]窩渦婀	o[1]窩渦婀
媧	o22			o	22	〇	22	7	1	0	媧	o	0	[1]窩渦婀媧	o[1]窩渦婀媧
鏖	o22	白，～糟tso1：脏		o	22	〇	22	7	1	1	鏖{白，～糟tso1：脏}	o	0	[1]窩渦婀媧鏖{白，～糟tso1：脏}	o[1]窩渦婀媧鏖{白，～糟tso1：脏}
荷	o44	白		o	44	〇	22	7	2	0	荷{白}	o	0	[1]窩渦婀媧鏖{白，～糟tso1：脏}[2]荷{白}	o[1]窩渦婀媧鏖{白，～糟tso1：脏}[2]荷{白}
□	o44	扔		o	44	〇	22	7	2	1	□{扔}	o	0	[1]窩渦婀媧鏖{白，～糟tso1：脏}[2]荷{白}□{扔}	o[1]窩渦婀媧鏖{白，～糟tso1：脏}[2]荷{白}□{扔}
荷	o13			o	13	〇	22	7	4	0	荷	o	0	[1]窩渦婀媧鏖{白，～糟tso1：脏}[2]荷{白}□{扔}[4]荷	o[1]窩渦婀媧鏖{白，～糟tso1：脏}[2]荷{白}□{扔}[4]荷
臥	o13			o	13	〇	22	7	4	1	臥	o	1	[1]窩渦婀媧鏖{白，～糟tso1：脏}[2]荷{白}□{扔}[4]荷臥	o[1]窩渦婀媧鏖{白，～糟tso1：脏}[2]荷{白}□{扔}[4]荷臥
標	pio22	～旗	p	io	22	p	1	8	1	0	標{～旗}	pio	0	[1]標{～旗}	pio[1]標{～旗}
錶	pio22		p	io	22	p	1	8	1	1	錶	pio	0	[1]標{～旗}錶	pio[1]標{～旗}錶
表	pio53	～哥，～弟	p	io	53	p	1	8	3	1	表{～哥，～弟}	pio	0	[1]標{～旗}錶[3]表{～哥，～弟}	pio[1]標{～旗}錶[3]表{～哥，～弟}
漂	pio21		p	io	21	p	1	8	5	1	漂	pio	1	[1]標{～旗}錶[3]表{～哥，～弟}[5]漂	pio[1]標{～旗}錶[3]表{～哥，～弟}[5]漂
薸	pʰio44		pʰ	io	44	pʰ	2	8	2	0	薸	pʰio	0	[2]薸	pʰio[2]薸
萍	pʰio44	训	pʰ	io	44	pʰ	2	8	2	1	萍{训}	pʰio	0	[2]薸萍{训}	pʰio[2]薸萍{训}
票	pʰio21		pʰ	io	21	pʰ	2	8	5	1	票	pʰio	1	[2]薸萍{训}[5]票	pʰio[2]薸萍{训}[5]票
描	bio44		b	io	44	b	3	8	2	0	描	bio	0	[2]描	bio[2]描
瞄	bio44		b	io	44	b	3	8	2	1	瞄	bio	0	[2]描瞄	bio[2]描瞄
廟	bio311		b	io	311	b	3	8	6	1	廟	bio	1	[2]描瞄[6]廟	bio[2]描瞄[6]廟
潮	tio44		t	io	44	t	9	8	2	1	潮	tio	0	[2]潮	tio[2]潮
□	tio311	颤抖：凝ngang2到青～，冷得全身发抖	t	io	311	t	9	8	6	1	□{颤抖：凝ngang2到青～，冷得全身发抖}	tio	1	[2]潮[6]□{颤抖：凝ngang2到青～，冷得全身发抖}	tio[2]潮[6]□{颤抖：凝ngang2到青～，冷得全身发抖}
挑	tʰio22	～风起涌（形容挑起事端）	tʰ	io	22	tʰ	10	8	1	1	挑{～风起涌（形容挑起事端）}	tʰio	0	[1]挑{～风起涌（形容挑起事端）}	tʰio[1]挑{～风起涌（形容挑起事端）}
糶	tʰio21		tʰ	io	21	tʰ	10	8	5	1	糶	tʰio	1	[1]挑{～风起涌（形容挑起事端）}[5]糶	tʰio[1]挑{～风起涌（形容挑起事端）}[5]糶
撈	lio44		l	io	44	l	11	8	2	1	撈	lio	1	[2]撈	lio[2]撈
量	nio44		n	io	44	n	12	8	2	0	量	nio	0	[2]量	nio[2]量
梁	nio44	桥梁，姓	n	io	44	n	12	8	2	0	梁{桥梁，姓}	nio	0	[2]量梁{桥梁，姓}	nio[2]量梁{桥梁，姓}
糧	nio44		n	io	44	n	12	8	2	0	糧	nio	0	[2]量梁{桥梁，姓}糧	nio[2]量梁{桥梁，姓}糧
娘	nio44	白，月～	n	io	44	n	12	8	2	0	娘{白，月～}	nio	0	[2]量梁{桥梁，姓}糧娘{白，月～}	nio[2]量梁{桥梁，姓}糧娘{白，月～}
孃	nio44		n	io	44	n	12	8	2	1	孃	nio	0	[2]量梁{桥梁，姓}糧娘{白，月～}孃	nio[2]量梁{桥梁，姓}糧娘{白，月～}孃
兩	nio53		n	io	53	n	12	8	3	1	兩	nio	0	[2]量梁{桥梁，姓}糧娘{白，月～}孃[3]兩	nio[2]量梁{桥梁，姓}糧娘{白，月～}孃[3]兩
讓	nio311		n	io	311	n	12	8	6	1	讓	nio	1	[2]量梁{桥梁，姓}糧娘{白，月～}孃[3]兩[6]讓	nio[2]量梁{桥梁，姓}糧娘{白，月～}孃[3]兩[6]讓
蕉	tsio22		ts	io	22	ts	13	8	1	0	蕉	tsio	0	[1]蕉	tsio[1]蕉
椒	tsio22		ts	io	22	ts	13	8	1	0	椒	tsio	0	[1]蕉椒	tsio[1]蕉椒
招	tsio22		ts	io	22	ts	13	8	1	1	招	tsio	0	[1]蕉椒招	tsio[1]蕉椒招
少	tsio53		ts	io	53	ts	13	8	3	1	少	tsio	0	[1]蕉椒招[3]少	tsio[1]蕉椒招[3]少
照	tsio21		ts	io	21	ts	13	8	5	1	照	tsio	1	[1]蕉椒招[3]少[5]照	tsio[1]蕉椒招[3]少[5]照
笑	tsʰio21		tsʰ	io	21	tsʰ	14	8	5	0	笑	tsʰio	0	[5]笑	tsʰio[5]笑
唱	tsʰio21	白，～曲	tsʰ	io	21	tsʰ	14	8	5	1	唱{白，～曲}	tsʰio	0	[5]笑唱{白，～曲}	tsʰio[5]笑唱{白，～曲}
曜	tsʰio311	白，照亮	tsʰ	io	311	tsʰ	14	8	6	1	曜{白，照亮}	tsʰio	1	[5]笑唱{白，～曲}[6]曜{白，照亮}	tsʰio[5]笑唱{白，～曲}[6]曜{白，照亮}
橈	dzio44		dz	io	44	dz	15	8	2	1	橈	dzio	0	[2]橈	dzio[2]橈
尿	dzio311		dz	io	311	dz	15	8	6	1	尿	dzio	1	[2]橈[6]尿	dzio[2]橈[6]尿
相	sio22	白，～信	s	io	22	s	16	8	1	0	相{白，～信}	sio	0	[1]相{白，～信}	sio[1]相{白，～信}
燒	sio22		s	io	22	s	16	8	1	1	燒	sio	0	[1]相{白，～信}燒	sio[1]相{白，～信}燒
小	sio53		s	io	53	s	16	8	3	1	小	sio	1	[1]相{白，～信}燒[3]小	sio[1]相{白，～信}燒[3]小
茄	kio44		k	io	44	k	17	8	2	0	茄	kio	0	[2]茄	kio[2]茄
橋	kio44		k	io	44	k	17	8	2	0	橋	kio	0	[2]茄橋	kio[2]茄橋
伽	kio44	～蓝	k	io	44	k	17	8	2	1	伽{～蓝}	kio	0	[2]茄橋伽{～蓝}	kio[2]茄橋伽{～蓝}
叫	kio21		k	io	21	k	17	8	5	0	叫	kio	0	[2]茄橋伽{～蓝}[5]叫	kio[2]茄橋伽{～蓝}[5]叫
嘂	kio21		k	io	21	k	17	8	5	1	嘂	kio	0	[2]茄橋伽{～蓝}[5]叫嘂	kio[2]茄橋伽{～蓝}[5]叫嘂
轎	kio311		k	io	311	k	17	8	6	1	轎	kio	1	[2]茄橋伽{～蓝}[5]叫嘂[6]轎	kio[2]茄橋伽{～蓝}[5]叫嘂[6]轎
蹻	kʰio311	绊脚	kʰ	io	311	kʰ	18	8	6	0	蹻{绊脚}	kʰio	0	[6]蹻{绊脚}	kʰio[6]蹻{绊脚}
礄	kʰio311		kʰ	io	311	kʰ	18	8	6	1	礄	kʰio	1	[6]蹻{绊脚}礄	kʰio[6]蹻{绊脚}礄
腰	io22			io	22	〇	22	8	1	1	腰	io	0	[1]腰	io[1]腰
姚	io44			io	44	〇	22	8	2	0	姚	io	0	[1]腰[2]姚	io[1]腰[2]姚
搖	io44			io	44	〇	22	8	2	0	搖	io	0	[1]腰[2]姚搖	io[1]腰[2]姚搖
窯	io44			io	44	〇	22	8	2	1	窯	io	0	[1]腰[2]姚搖窯	io[1]腰[2]姚搖窯
舀	io53			io	53	〇	22	8	3	1	舀	io	0	[1]腰[2]姚搖窯[3]舀	io[1]腰[2]姚搖窯[3]舀
鷂	io311	风筝		io	311	〇	22	8	6	1	鷂{风筝}	io	1	[1]腰[2]姚搖窯[3]舀[6]鷂{风筝}	io[1]腰[2]姚搖窯[3]舀[6]鷂{风筝}
□	pfu22	～螺，一种海螺，可当喇叭吹；引申为轻视对方的观点，认为其不切实际	pf	u	22	pf	5	9	1	1	□{～螺，一种海螺，可当喇叭吹；引申为轻视对方的观点，认为其不切实际}	pfu	0	[1]□{～螺，一种海螺，可当喇叭吹；引申为轻视对方的观点，认为其不切实际}	pfu[1]□{～螺，一种海螺，可当喇叭吹；引申为轻视对方的观点，认为其不切实际}
捕	pfu13		pf	u	13	pf	5	9	4	0	捕	pfu	0	[1]□{～螺，一种海螺，可当喇叭吹；引申为轻视对方的观点，认为其不切实际}[4]捕	pfu[1]□{～螺，一种海螺，可当喇叭吹；引申为轻视对方的观点，认为其不切实际}[4]捕
婦	pfu13		pf	u	13	pf	5	9	4	1	婦	pfu	0	[1]□{～螺，一种海螺，可当喇叭吹；引申为轻视对方的观点，认为其不切实际}[4]捕婦	pfu[1]□{～螺，一种海螺，可当喇叭吹；引申为轻视对方的观点，认为其不切实际}[4]捕婦
富	pfu21		pf	u	21	pf	5	9	5	0	富	pfu	0	[1]□{～螺，一种海螺，可当喇叭吹；引申为轻视对方的观点，认为其不切实际}[4]捕婦[5]富	pfu[1]□{～螺，一种海螺，可当喇叭吹；引申为轻视对方的观点，认为其不切实际}[4]捕婦[5]富
佈	pfu21	～置	pf	u	21	pf	5	9	5	0	佈{～置}	pfu	0	[1]□{～螺，一种海螺，可当喇叭吹；引申为轻视对方的观点，认为其不切实际}[4]捕婦[5]富佈{～置}	pfu[1]□{～螺，一种海螺，可当喇叭吹；引申为轻视对方的观点，认为其不切实际}[4]捕婦[5]富佈{～置}
布	pfu21	文，公～	pf	u	21	pf	5	9	5	0	布{文，公～}	pfu	0	[1]□{～螺，一种海螺，可当喇叭吹；引申为轻视对方的观点，认为其不切实际}[4]捕婦[5]富佈{～置}布{文，公～}	pfu[1]□{～螺，一种海螺，可当喇叭吹；引申为轻视对方的观点，认为其不切实际}[4]捕婦[5]富佈{～置}布{文，公～}
怖	pfu21		pf	u	21	pf	5	9	5	1	怖	pfu	1	[1]□{～螺，一种海螺，可当喇叭吹；引申为轻视对方的观点，认为其不切实际}[4]捕婦[5]富佈{～置}布{文，公～}怖	pfu[1]□{～螺，一种海螺，可当喇叭吹；引申为轻视对方的观点，认为其不切实际}[4]捕婦[5]富佈{～置}布{文，公～}怖
