1890會城			IPA		註釋			translit.	San-wúí		Cantone Sound			
							189		(K'ong)	抗	K'ong			
							189		(K'ong)	狂	K'wong		63	This is also pronounced k‘ong as well.
							190		(K'öng)	强	K'öng			
穀	K	uk	k	ʊk			191	guk	(Kuk)	穀	kuk			
曲	K'	uk	kʰ	ʊk			192	kuk	(K'uk)	曲	k′uk			
工	K	ung	k	ʊŋ			193	gung	(Kung)	工	kung			
窮	K'	ung	kʰ	ʊŋ			194	kung	(K'ung)	窮	k′ung			
葛	K	út	k	ut			195	gut	(Kút)	葛	kot			
瓜	Kw	á	kʷ	a			196	gwaa	(Kwá)	瓜	kwá		64	The illiterate class call 瓜 ká, 挂 and 褂 k‘wa are pronounced k‘wá ; the latter sometimes k‘á.
瓜	K	á	k	a	文盲音瓜讀ka									
挂	K'w	á	kʷʰ	a	文盲音挂讀kʷʰa									
褂	K'w	á	kʷʰ	a	文盲音褂讀kʷʰa									
褂	K'	á	kʰ	a	文盲音褂有時讀kʰa									
*	K'w	á	kʷʰ	a										
鬼	Kw	aí	kʷ	ɐi	會城音		198	gwai	(Kwaí)	鬼	kwaí		65	In the S.W. it is pronounced kwúí.
鬼	Kw	úí	kʷ	ui	會西南音									
乖	Kw	áí	kʷ	ai			199	gwaai	(Kwáí)	乖	kwáí			
羣	K'w	an	kʷʰ	ɐn			200	kwan	(K'wan)	羣	k′wan		66	Or kwún by the illiterate. See also Kwún, Note.
羣	K'w	ún	kʷʰ	un	文盲音									
關	Kw	án	kʷ	an			201	gwaan	(Kwán)	關	kwán		67	Or Kan.
關	K	án	k	an	又音									
轟	Kw	áng	kʷ	aŋ			202	gwaang	(Kwáng)	轟	kwan			
括	Kw	at	kʷ	ɐt			203	gwat	(Kwat)	括	k′út		68	Or Kát.
括	K	át	k	at	又音									
刮	Kw	át	kʷ	at			204	gwaat	(Kwát)	刮	kwát			
冂	Kw	ing	kʷ	ɪŋ			205	gwing	(Kwing)	冂	kwing			
𠵯	Kw	it	kʷ	it			206	gwit	(Kwit)	𠵯	kwít			
狂	K'w	ong	kʷʰ	ɔŋ			207	kwong	(K'wong)	狂	k′wong		69	Or K‘wong.
狂	K'	ong	kʰ	ɔŋ	又音									
古	Kw	ú	kʷ	u			208	gwu	(Kwú)	古	kwú			
軲	K'w	ú	kʷʰ	u			209	kwu	(K'wú)	軲	k′wú			
居	Kw	úí	kʷ	ui			210	gwui	(Kwúí)	居	kui			
癐	Kw	úí	kʷ	ui			210	gwui	(Kwúí)	癐	kwúí			
龜	Kw	úí	kʷ	ui			210	gwui	(Kwúí)	龜	kwaí		70	鬼 is pronounced kwúí in the S.W. In the city Kwai. See Kwai, No.197.
區	K'w	úí	kʷʰ	ui			211	kwui	(K'wúí)	區	k′ui			
規	K'w	úí	kʷʰ	ui			211	kwui	(K'wúí)	規	k′waí		71	歸 is kéí San-wúí city and the N.E. and kwúí in the S.W. See also Kwúí.
歸	K	éí	k	ɛi	會城音									
歸	K	éí	k	ɛi	會東北音									
歸	Kw	úí	kʷ	ui	會西南音									
卷	Kw	ún	kʷ	un			212	gwun	(Kwún)	卷	kün			
官	Kw	ún	kʷ	un			212	gwun	(Kwún)	官	kwún		72	捐 and 眷 are kwún in the S.W. and kin in San-wúí city and N.E. Some of the 2nd Class are also pronounced ken by some in the S.W., as 官, and 館; only the well educated in that part of the district pronounce them properly. But 滾 is kwún in the W.S. In the city Kwan about the same as in Cantonese.
捐	K	ín	k	in	會城音									
眷	K	ín	k	in	會城音									
捐	K	ín	k	in	會東北音									
眷	K	ín	k	in	會東北音									
捐	Kw	ún	kʷ	un	會西南音									
眷	Kw	ún	kʷ	un	會西南音									
眷	K	en	k	ɛn	新會西南有些地方讀kɛn，這些地方祇有受過良好教育的人纔能讀對									
官	K	en	k	ɛn	新會西南有些地方讀kɛn，這些地方祇有受過良好教育的人纔能讀對									
館	K	en	k	ɛn	新會西南有些地方讀kɛn，這些地方祇有受過良好教育的人纔能讀對									
滾	Kw	ún	kʷ	un	會西南音									
滾	Kw	an	kʷ	ɐn	會城音，音同廣州									
*	K'w	ún	kʷʰ	un										
骨	Kw	út	kʷ	ut			214	gwut	(Kwút)	骨	kwat			
	L													
罅	L	á	l	a			215	laa	(Lá)	罅	lá			
犂	L	áí	l	ai			216	laai	(Láí)	犂	laí			
拉	L	áí	l	ai			216	laai	(Láí)	拉	láí			
刖	L	ák	l	ak			217	laak	(Lák)	刖	lak			
藍	L	ám	l	am			218	laam	(Lám)	藍	lám			
欄	L	án	l	an			219	laan	(Lán)	欄	lán			
冷	L	áng	l	aŋ			220	laang	(Láng)	冷	láng			
笠	L	áp	l	ap			221	laap	(Láp)	笠	láp			
辢	L	át	l	at			222	laat	(Lát)	辢	lát			
樓	L	áu	l	aʊ		True	223	laau	(Láu)	樓	laú			
橩	L	áu	l	aʊ		True	223	laau	(Láu)	橩	láú			
哩	L	e	l	ɛ		True	224	le	(Le)	哩	le			
梨	L	éí	l	ei		True	225	lei	(Léí)	梨	léí			
林	L	em	l	ɛm		True	226	lem	(Lem)	林	lam			
鄰	L	en	l	ɛn		True	227	len	(Len)	鄰	lan			
*	L	ep	l	ɛp		False	228							
甪	L	et	l	ɛt		True	229	let	(Let)	甪	lat			
力	L	ik	l	ɪk		True	230	lik	(Lik)	力	lik			
廉	L	ím	l	im		True	231	lim	(Lím)	廉	lím			
連	L	ín	l	in		True	232	lin	(Lín)	連	lín		73	See Lün and Lút.
靈	L	ing	l	ɪŋ		True	233	ling	(Ling)	靈	ling			
立	L	íp	l	ip		True	234	lip	(Líp)	立	lap		74	Pronounced lep in the S.W.
擸	L	íp	l	ip		True	234	lip	(Líp)	擸	láp			
獵	L	íp	l	ip		True	234	lip	(Líp)	獵	líp			
立	L	ep	l	ɜp	會西南音	False								
擸	L	ep	l	ɜp	會西南音	False								
獵	L	ep	l	ɜp	會西南音	False								
列	L	ít	l	it		True	235	lit	(Lít)	列	lít		75	See also Lút.
了	L	íú	l	iu		True	236	liu	(Líú)	了	líú			
羅	L	o	l	ɔ		True	237	lo	(Lo)	羅	lo			
路	L	ò	l	o		True	238	lou	(Lò)	路	lò			
𦧲	L	ò	l	o		True	238	lou	(Lò)	𦧲	lö			
來	L	oí	l	ɔi		True	239	loi	(Loí)	來	loí			
樂	L	ok	l	ɔk		True	240	lok	(Lok)	樂	lok			
略	L	ök	l	œk		True	241	loek	(Lök)	略	lök			
*	L	on	l	ɔn		False	242							
凉	L	öng	l	œŋ		True	243	loeng	(Löng)	凉	löng			
捋	L	ot	l	ɔt		True	244	lot	(Lot)	捋	lüt			
雷	L	uí	l	ʊi		True	245	leoi	(Luí)	雷	luí		76	呂 and 淚 are líú in the S.W.
呂	L	uí	l	ʊi	會城音	False								
淚	L	uí	l	ʊi	會城音	False								
呂	L	úí	l	ui	會西南音	False								
淚	L	úí	l	ui	會西南音	False								
*	L	úí	l	ui		False	246							
六	L	uk	l	ʊk		True	247	luk	(Luk)	六	luk			
論	L	ún	l	un		True	248	lun	(Lún)	論	lun			
撚	L	ún	l	un	會城音	True	248	lun	(Lún)	撚	nan		77	This is pronounced nín in the S W., 1ún as well as liin in Kong-mún.
撚	N	ín	n	in	會西南音	False								
撚	L	ún	l	un	江門音	False								
撚	L	ün	l	yn	江門音	False								
聯	L	ün	l	yn		True	249	lyun	(Lün)	聯	lün		78	See note to last. 聯 is also lin in San-wúí city.
聯	L	ín	l	in	又音	False								
龍	L	ung	l	ʊŋ		True	250	lung	(Lung)	龍	lung			
律	L	út	l	ut		True	251	lut	(Lút)	律	lut		79	It is also lit in San-wúí city.
律	L	ít	l	it	又音	False								
	M					True								
唔	M		m			True	252	m	(M)	唔	m			
馬	M	á	m	a		True	253	maa	(Má)	馬	má			
咩	M	á	m	a		True	253	maa	(Má)	咩	me			
米	M	áí	m	ai		True	254	maai	(Máí)	米	maí		80	In Kong-mún is pronounced mí.
米	M	í	m	i	江門音	False								
賣	M	áí	m	ai		True	254	maai	(Máí)	賣	máí			
墨	M	ak	m	ɐk		True	255	mak	(Mak)	墨	mak			
擘	M	ák	m	ak		True	256	maak	(Mák)	擘	mák			
民	M	an	m	ɐn		True	257	man	(Man)	民	man			
萬	M	án	m	an		True	258	maan	(Mán)	萬	mán			
擝	M	áng	m	aŋ		True	259	maang	(Máng)	擝	mang			
盲	M	áng	m	aŋ		True	259	maang	(Máng)	盲	máng			
乜	M	at	m	ɐt		True	260	mat	(Mat)	乜	mat		81	In the S.W. it is pronounced mwút 蜜 is met and 襪 mát.
乜	Mw	út	mʷ	ut	會西南音	False								
蜜	M	et	m	ɛt	會西南音	False								
襪	M	át	m	at	會西南音	False								
蜜	M	at	m	ɐt	會城音	False								
襪	M	at	m	ɐt	會城音	False								
*	M	át	m	at		False	261							
謀	M	áu	m	aʊ		True	262	maau	(Máu)	謀	mát			
茅	M	áu	m	aʊ		True	262	maau	(Máu)	茅	máú		82	貓 is míú.
貓	M	íú	m	iu		False								
㖇	M	éí	m	ei		True	263	mei	(Méí)	㖇	méí			
覓	M	et	m	ɛt		True	264	met	(Met)	覓	mik		83	Also see Mat.
*	M	í	m	i		False	265							
名	M	íang	m	iɐŋ		True	266	miang	(Míang)	名	meng			
棉	M	íu	m	iʊ		True	267	min	(Mín)	棉	min			
明	M	ing	m	ɪŋ		True	268	ming	(Ming)	明	ming			
烕	M	ít	m	it		True	269	mit	(Mít)	烕	mít			
苗	M	íú	m	iu		True	270	miu	(Míú)	苗	míú		84	See also Máu.
摩	M	o	m	ɔ		True	271	mo	(Mo)	摩	mo			
母	M	ò	m	o		True	272	mou	(Mò)	母	mò			
妹	M	oí	m	ɔi		True	273	moi	(Moí)	妹	muí			
漠	M	ok	m	ɔk		True	274	mok	(Mok)	漠	mok			
門	M	on	m	ɔn		True	275	mon	(Mon)	門	mún			
亡	M	ong	m	ɔŋ		True	276	mong	(Mong)	亡	mong			
木	M	uk	m	ʊk		True	277	muk	(Muk)	木	muk			
夢	M	ung	m	ʊŋ		True	278	mung	(Mung)	夢	mung			
沒	M	út	m	ut		True	279	mut	(Mút)	沒	mút			
沒	Mw	at	mʷ	ɐt	會西南音	False								
抹	M	út	m	ut		True	279	mut	(Mút)	抹	mát		85	In the S.W. the first is mwat. There may be a slight difierence in the length of the u in the first and second class of words.
*	Mw	at	mʷ	ɐt		False	280							
*	Mw	út	mʷ	ut		False	281							
	N					True								
拏	N	á	n	a		True	282	naa	(Ná)	拏	ná			
泥	N	áí	n	ai		True	283	naai	(Náí)	泥	naí			
奶	N	áí	n	ai		True	283	naai	(Náí)	奶	náí			
男	N	ám	n	am		True	284	naam	(Nám)	男	nám			
難	N	án	n	an		True	285	naan	(Nán)	難	nán			
能	N	áng	n	aŋ		True	286	naang	(Náng)	能	nang			
*	N	ao	n	ɐɔ		False	287							
納	N	áp	n	ap	會城音	True	288	naap	(Náp)	納	náp		86	In San-wúí city and the N.E. this is also nep.
納	N	áp	n	ap	會東北音	False								
納	N	et	n	ɛt	會城音，又音	False								
納	N	et	n	ɛt	會東北音，又音	False								
錨	N	áu	n	aʊ		True	289	naau	(Náu)	錨	náú			
你	N	éí	n	ei		True	290	nei	(Néí)	你	néí		87	This is nek in the S.W.
你	N	ek	n	ɛk	會西南音	False								
*	N	ek	n	ɛk		False	291							
腍	N	em	n	ɛm		True	292	nem	(Nem)	腍	nen			
𠽒	N	eng	n	ɛŋ		True	293	neng	(Neng)	𠽒	neng		88	Pronounced nöng in the S.W.
𠽒	N	öng	n	œŋ	會西南音	False								
粒	N	ep	n	ɛp		True	294	nep	(Nep)	粒	nep		89	See also Náp.
*	N	eu	n	ɛʊ		False	295							
五	Ng		ŋ			True	296	ng	(Ng)	五	ng			
牙	Ng	á	ŋ	a		True	297	ngaa	(Ngá)	牙	ngá			
*	Ng	aí	ŋ	ɐi		False	298							
蟻	Ng	áí	ŋ	ai		True	299	ngaai	(Ngáí)	蟻	ngaí			
崖	Ng	áí	ŋ	ai		True	299	ngaai	(Ngáí)	崖	ngáí			
阨	Ng	ak	ŋ	ɐk		True	300	ngak	(Ngak)	阨	ngak			
額	Ng	ák	ŋ	ak		True	301	ngaak	(Ngák)	額	ngák			
唅	Ng	ám	ŋ	am		True	302	ngaam	(Ngám)	唅	ngam			
啱	Ng	ám	ŋ	am		True	302	ngaam	(Ngám)	啱	ngám			
硬	Ng	ám	ŋ	am		True	302	ngaam	(Ngám)	硬	ngáng			
銀	Ng	án	ŋ	an		True	303	ngaan	(Ngán)	銀	ngan			
眼	Ng	án	ŋ	an		True	303	ngaan	(Ngán)	眼	ngán			
𡀞	Ng	áp	ŋ	ap		True	304	ngaap	(Ngáp)	𡀞	ngap			
𫫄	Ng	áp	ŋ	ap		True	304	ngaap	(Ngáp)	𫫄	ngáp			
兀	Ng	át	ŋ	at		True	305	ngaat	(Ngát)	兀	ngat			
齧	Ng	át	ŋ	at		True	305	ngaat	(Ngát)	齧	ngát			
牛	Ng	áu	ŋ	aʊ		True	306	ngaau	(Ngáu)	牛	ngaú			
咬	Ng	áu	ŋ	aʊ		True	306	ngaau	(Ngáu)	咬	ngáú			
飲	Ng	em	ŋ	ɛm		True	307	ngem	(Ngem)	飲	yam			
*	Ng	et	ŋ	ɛt		False	308							
𠼮	Ng	í	ŋ	i		True	309	ngi	(Ngí)	𠼮	nge		90	See Ngúí.
𫫃	Ng	íá	ŋ	ia		True	310	ngiaa	(Ngíá)	𫫃	ngí			
元	Ng	ín	ŋ	in	會城音	True	311	ngin	(Ngín)	元	yün		91	In the S.W. it is ngún.
元	Ng	ún	ŋ	un	會西南音	False	311	ngin	(Ngín)	人	yan		92	These two words are ngen in the S.W.
人	Ng	ín	ŋ	in	會城音	False	311	ngin	(Ngín)	仁	yan		92	These two words are ngen in the S.W.
仁	Ng	ín	ŋ	in	會城音	False								
人	Ng	en	ŋ	ɛn	會西南音	False								
仁	Ng	en	ŋ	ɛn	會西南音	False								
*	Ng	ít	ŋ	it		False	312							
鵝	Ng	o	ŋ	ɔ		True	313	ngo	(Ngo)	鵝	ngo		93	我 is ngoi in the S.W., ngok in the city, and ngai in the N.E.
我	Ng	oi	ŋ	ɔɪ	會西南音	False								
我	Ng	ok	ŋ	ɔk	會城音	False								
我	Ng	ai	ŋ	ɐɪ	會東北音	False								
摮	Ng	ò	ŋ	o		True	314	ngou	(Ngò)	摮	ngò			
呆	Ng	oí	ŋ	ɔi		True	315	ngoi	(Ngoí)	呆	ngoí		94	See also Ngo.
樂	Ng	ok	ŋ	ɔk		True	316	ngok	(Ngok)	樂	ngok		95	See also Ngo.
岸	Ng	òn	ŋ	on		True	317	ngoon	(Ngòn)	岸	ngòn			
閏	Ng	òn	ŋ	on		True	317	ngoon	(Ngòn)	閏	yun			
戇	Ng	ong	ŋ	ɔŋ		True	318	ngong	(Ngong)	戇	ngong			
愚	Ng	úí	ŋ	ui		True	319	ngui	(Ngúí)	愚	yü			
魚	Ng	úí	ŋ	ui	會西南音	True	319	ngui	(Ngúí)	魚	yü		96	魚 is ngi in San-wúí city.
魚	Ng	í	ŋ	i	會城音	False								
玉	Ng	uk	ŋ	ʊk		True	320	nguk	(Nguk)	玉	yuk			
*	Ng	ún	ŋ	un		False	321							
月	Ng	út	ŋ	ut		True	322	ngut	(Ngút)	月	yüt			
溺	N	ik	n	ɪk		True	323	nik	(Nik)	溺	nik			
念	N	ím	n	im		True	324	nim	(Ním)	念	ním			
年	N	ín	n	in		True	325	nin	(Nín)	年	nín		97	Sge note to Lún.
擰	N	ing	n	ɪŋ		True	326	ning	(Ning)	擰	ning			
聶	N	íp	n	ip		True	327	nip	(Níp)	聶	níp			
鳥	N	íú	n	iu		True	328	niu	(Níú)	鳥	níú			
嬲	N	íú	n	iu	會城音	True	328	niu	(Níú)	嬲	níú		98	The second class of words is neu in the S.W.
嬲	N	eu	n	ɛʊ	會西南音	False								
糯	N	o	n	ɔ		False	329	no	(No)	糯	no			
奴	N	ò	n	o			330	nou	(Nò)	奴	nò			
怒	N	ò	n	o			330	nou	(Nò)	怒	nò		99	腦 and 惱 are náò.
腦	N	áò	n	aou										
惱	N	áò	n	aou										
暖	N	oan	n	ɔɐn			331	noan	(Noan)	暖	nün			
暖	N	oen	n	ɔɛn	又音		331	noen	(Noen)	暖	nün			
耐	N	oí	n	ɔi			332	noi	(Noí)	耐	noí			
諾	N	ok	n	ɔk			333	nok	(Nok)	諾	nok			
浪	N	ong	n	ɔŋ			334	nong	(Nong)	浪	long			
囊	N	ong	n	ɔŋ			335	nong	(Nong)	囊	nong			
娘	N	öng	n	œŋ			335	noeng	(Nöng)	娘	nöng		100	bee Neng also.
女	N	úí	n	ui			336	nui	(Núí)	女	nuí			
燶	N	ung	n	ʊŋ			337	nung	(Nung)	燶	nung			
	O													
阿		O	ʔ	ɔ			338	o	(O)	阿	o			
澳		Ò	ʔ	o			339	ou	(Ò)	澳	ò			
愛		Oí	ʔ	ɔi			340	oi	(Oí)	愛	oí			
惡		Ok	ʔ	ɔk			341	ok	(Ok)	惡	ok			
安		On	ʔ	ɔn			342	on	(On)	安	on			
	P													
把	P	á	p	a			343	baa	(Pá)	把	pá			
怕	P'	á	pʰ	a			344	paa	(P'á)	怕	p′á			
閉	P	áí	p	ai			345	baai	(Páí)	閉	paí			
拜	P	áí	p	ai			345	baai	(Páí)	拜	páí			
批	P'	áí	pʰ	ai			346	paai	(P'áí)	批	p′aí			
牌	P'	áí	pʰ	ai			346	paai	(P'áí)	牌	p′áí			
北	P	ak	p	ɐk			347	bak	(Pak)	北	pak			
伯	P	ák	p	ak			348	baak	(Pák)	伯	pák			
拍	P'	ák	pʰ	ak			349	paak	(P'ák)	拍	p′ák			
貧	P'	an	pʰ	ɐn	會城音		350	pan	(P'an)	貧	p′an		101	This is pín in Kong-mún.
貧	P	ín	p	in	江門音									
班	P	án	p	an			351	baan	(Pán)	班	pán			
攀	P'	án	pʰ	an			352	paan	(P'án)	攀	p′án			
崩	P	áng	p	aŋ			353	baang	(Páng)	崩	pang			
㖓	P	áng	p	aŋ			353	baang	(Páng)	㖓	páng			
朋	P'	áng	pʰ	aŋ			354	paang	(P'áng)	朋	p′ang			
棚	P'	áng	pʰ	aŋ			354	paang	(P'áng)	棚	p′áng			
八	P	át	p	at			355	baat	(Pát)	八	pat			
包	P	áu	p	aʊ	會城音		356	baau	(Páu)	包	páú		102	Or píú in Kong-mún.
包	P	íú	p	iu	江門音									
炮	P'	áu	pʰ	aʊ			357	paau	(P'áu)	炮	p′áú			
啤	P	e	p	ɛ			358	be	(Pe)	啤	pe			
俾	P	éí	p	ei			359	bei	(Péí)	俾	péí			
皮	P'	éí	pʰ	ei			360	pei	(P'éí)	皮	p′éí			
品	P	en	p	ɛn	會城音		361	ben	(Pen)	品	pan		103	Or píú in Kong-mún.
品	P	ín	p	in	江門音									
*	P'	en	pʰ	ɛn			362							
不	P	et	p	ɛt			363	bet	(Pet)	不	pat			
疋	P'	et	pʰ	ɛt			364	pet	(P'et)	疋	p′at			
偪	p	ik	p	ɪk			365	bik	(pik)	偪	pik			
闢	P'	ik	pʰ	ɪk			366	pik	(P'ik)	闢	p′ik			
編	P	ín	p	in			367	bin	(Pín)	編	pín		104	See P‘an and Pen.
偏	P'	ín	pʰ	in			368	pin	(P'ín)	偏	p′ín			
兵	P	ing	p	ɪŋ			369	bing	(Ping)	兵	ping		105	This is half way between an i and an e, as some people in English pronounce the word king.
平	P'	ing	pʰ	ɪŋ			370	ping	(P'ing)	平	p′ing			
平	P'	íeng	pʰ	iɛŋ			371	pieng	(P'íeng)	平	p′eng			
必	P	ít	p	it			372	bit	(Pít)	必	pít			
撇	P'	ít	pʰ	it			373	pit	(P'ít)	撇	p′ít			
票	P	íú	p	iu			374	biu	(Píú)	票	píú		106	See Pun also.
漂	P'	íú	pʰ	iu			375	piu	(P'íú)	漂	p′íú			
波	P	o	p	ɔ			376	bo	(Po)	波	po			
婆	P'	o	pʰ	ɔ			377	po	(P'o)	婆	p′o			
煲	P	ò	p	o			378	bou	(Pò)	煲	pò			
鋪	P'	ò	pʰ	o			379	pou	(P'ò)	鋪	p′ò			
鉢	P	oat	p	ɔɐt			380	boat	(Poat)	鉢	pút			
潑	P	oat	p	ɔɐt			380	boat	(Poat)	潑	p′út			
*	P	oen	p	ɔɛn			381							
*	P	òn	p	on	又音		381							
杯	P	oí	p	ɔi			382	boi	(Poí)	杯	púí			
賠	P'	oí	pʰ	ɔi			383	poi	(P'oí)	賠	p′úí			
博	P	ok	p	ɔk			384	bok	(Pok)	博	pok			
扑	P'	ok	pʰ	ɔk			385	pok	(P'ok)	扑	p′ok			
㯁	P	òm	p	om			386	boom	(Pòm)	㯁	pòm			
搫	P	òn	p	on			387	boom	(Pòm)	搫	pún			
搫	P	oen	p	ɔɛn	又音		387	boen	(Poen)	搫	pún			
幇	P	ong	p	ɔŋ			388	bong	(Pong)	幇	pong			
旁	P'	ong	pʰ	ɔŋ			389	pong	(P'ong)	旁	p′ong			
卜	P	uk	p	ʊk			390	buk	(Puk)	卜	puk			
仆	P'	uk	pʰ	ʊk			391	puk	(P'uk)	仆	p′uk			
盆	P'	ún	pʰ	un			392	pun	(P'ún)	盆	p′ún			
篷	P'	ung	pʰ	ʊŋ			393	pung	(P'ung)	篷	p′ung			
	S													
西	S	áí	s	ai			394	saai	(Sáí)	西	saí			
嘥	S	áí	s	ai			394	saai	(Sáí)	嘥	sáí			
塞	S	ák	s	ak			395	saak	(Sák)	塞	sak			
三	S	ám	s	am			396	saam	(Sám)	三	sam			
散	S	án	s	an			397	saan	(Sán)	散	sám			
擤	S	ang	s	ɐŋ			398	sang	(Sang)	擤	san		107	僧 is sáng.
擤	S	en	s	ɛn	又音		398	sen	(Sen)	擤	sán			
僧	S	áng	s	aŋ										
*	S	áng	s	aŋ			399							
卅	S	áp	s	ap			400	saap	(Sáp)	卅	sá			
咂	S	áp	s	ap			400	saap	(Sáp)	咂	sap			
霎	S	áp	s	ap			400	saap	(Sáp)	霎	sáp			
撒	S	át	s	at			401	saat	(Sát)	撒	sát			
*	S	éí	s	ei			402							
心	S	em	s	ɛm			403	sem	(Sem)	心	sam			
新	S	en	s	ɛn			404	sen	(Sen)	新	san		108	Also see Sún and Note.
膝	S	ep	s	ɛp			405	sep	(Sep)	膝	sat			
秀	S	eu	s	ɛʊ			406	seu	(Seu)	秀	sau			
沙	Sh	á	ʃ	a			407	shaa	(Shá)	沙	shá			
世	Sh	áí	ʃ	ai			408	shaai	(Sháí)	世	shaí			
哂	Sh	áí	ʃ	ai			408	shaai	(Sháí)	哂	sháí			
𢱢	Sh	ák	ʃ	ak			409	shaak	(Shák)	𢱢	shak			
衫	Sh	ám	ʃ	am			410	shaam	(Shám)	衫	shám			
山	Sh	án	ʃ	an			411	shaan	(Shán)	山	shán			
生	Sh	áng	ʃ	aŋ			412	shaang	(Sháng)	生	shang or sháng			
省	Sh	áng	ʃ	aŋ			412	shaang	(Sháng)	省	sháng			
煠	Sh	áp	ʃ	ap			413	shaap	(Sháp)	煠	shap			
*	Sh	au	ʃ	ɐʊ			414							
哨	Sh	áu	ʃ	aʊ			415	shaau	(Sháu)	哨	sháu			
閃	Sh	em	ʃ	ɛm	聽似ʃɛm或ʃɪm		416	shem	(Shem)	閃	shím		109	This sounds as if it might be shem, or shim.
伸	Sh	en	ʃ	ɛn			417	shen	(Shen)	伸	shan			
扇	Sh	en	ʃ	ɛn			417	shen	(Shen)	扇	shín			
脣	Sh	en	ʃ	ɛn	會城音		417	shen	(Shen)	唇	shun		110	But shím in the S.W.
脣	Sh	ím	ʃ	im	會西南音									
溼	Sh	ep	ʃ	ɛp			418	shep	(Shep)	溼	shap			
舌	Sh	et	ʃ	ɛt			419	shet	(Shet)	舌	shít		111	But in San-wúí city and the N.E. it approximates nearly to the Cantonese.
舌	Sh	ít	ʃ	it	會城和會東北近似廣州音		419	shet	(Shet)	舌	shít			
說	Sh	et	ʃ	ɛt			419	shet	(Shet)	說	shüt		112	Or shít in San-wúí city.
說	Sh	ít	ʃ	it	又音									
尸	Sh	í	ʃ	i			420	shi	(Shí)	尸	shí			
賒	Sh	íá	ʃ	ia			421	shiaa	(Shíá)	賒	she			
聲	Sh	íang	ʃ	iɐŋ	帶有細微動程		422	shiang	(Shíang)	聲	shing		113	There are some little variations in the pronunciations of this word as well.
色	Sh	ik	ʃ	ɪk			423	shik	(Shik)	色	shik			
森	Sh	ím	ʃ	im			424	shim	(Shím)	森	sham		114	參 is chám.
參	Ch	ám	tʃ	am										
身	Sh	ín	ʃ	in			425	shin	(Shín)	身	shan		115	But 神 is pronounced in San-wúí city nearly as in Canton, shan. 船 is shen in the S.W.
神	Sh	an	ʃ	ɐn	接近廣州音									
船	Sh	ín	ʃ	in	會城音		425	shin	(Shín)	船	shün			
船	Sh	en	ʃ	ɛn	會西南音									
升	Sh	ing	ʃ	ɪŋ			426	shing	(Shing)	升	shing			
十	Sh	íp	ʃ	ip			427	ship	(Shíp)	十	shap			
攝	Sh	íp	ʃ	ip			427	ship	(Shíp)	攝	shíp			
失	Sh	ít	ʃ	it			428	shit	(Shít)	失	shat		116	Also see Shet.
收	Sh	íú	ʃ	iu			429	shiu	(Shíú)	收	shau			
燒	Sh	íú	ʃ	iu			429	shiu	(Shíú)	燒	shíú			
疏	Sh	o	ʃ	ɔ			430	sho	(Sho)	疏	sho			
數	Sh	ò	ʃ	o			431	shou	(Shò)	數	shò			
使	Sh	oì	ʃ	ɔi			432	shoi	(Shoì)	使	shaí			
敕	Sh	ok	ʃ	ɔk		疑似欶	433	shok	(Shok)	敕	shok			
汋	Sh	ök	ʃ	œk			434	shoek	(Shök)	汋	shök			
爽	Sh	ong	ʃ	ɔŋ			435	shong	(Shong)	爽	shong			
常	Sh	öng	ʃ	œŋ			436	shoeng	(Shöng)	常	shöng			
書	Sh	ü	ʃ	y			437	shyu	(Shü)	書	shü			
衰	Sh	úí	ʃ	uɪ			438	shui	(Shúí)	衰	shuí			
叔	Sh	uk	ʃ	ʊk			439	shuk	(Shuk)	叔	shuk			
順	Sh	un	ʃ	ʊn			440	sheon	(Shun)	順	shun			
崇	Sh	ung	ʃ	ʊŋ			441	shung	(Shung)	崇	shung			
術	Sh	út	ʃ	ut			442	shut	(Shút)	術	shut		117	In the city sometimes shat.
術	Sh	at	ʃ	ɐt	有時									
息	S	ik	s	ɪk			443	sik	(Sik)	息	sik			
仙	S	ín	s	in			444	sin	(Sín)	仙	sín			
星	S	ing	s	ɪŋ			445	sing	(Sing)	星	sing			
星	S	íang	s	iɐŋ	又音		445	siang	(Síang)	星	seng			
𠓼	S	íp	s	ip			446	sip	(Síp)	𠓼	síp			
洩	S	ít	s	it			447	sit	(Sít)	洩	sít		118	竊 is, however, tsít.
竊	Ts	ít	ts	it										
宵	S	íú	s	iu			448	siu	(Síú)	宵	síú			
鎖	S	o	s	ɔ			449	so	(So)	鎖	so			
鬚	S	ò	s	o			450	sou	(Sò)	鬚	sò			
顋	S	oí	s	ɔi			451	soi	(Soí)	顋	soí			
索	S	ok	s	ɔk			452	sok	(Sok)	索	sok			
削	S	ök	s	œk			453	soek	(Sök)	削	sök			
桑	S	ong	s	ɔŋ			454	song	(Song)	桑	song			
想	S	öng	s	œŋ			455	soeng	(Söng)	想	söng			
歲	S	uí	s	ʊi			456	seoi	(Suí)	歲	suí			
宿	S	uk	s	ʊk			457	suk	(Suk)	宿	suk			
榫	S	ún	s	un			458	sun	(Sún)	榫	sun		119	信 is sen.
信	S	en	s	ɛn										
孫	S	ún	s	un	會城音		458	sun	(Sún)	孫	sün		120	Or sen in the city, and N.E.
孫	S	en	s	ɛn	會城音，又音									
孫	S	en	s	ɛn	會東北音									
鬆	S	ung	s	ʊŋ			459	sung	(Sung)	鬆	sung			
