正體	简体	国际音标（丰利）	声调符号	国际音标带调（丰利）	调值	调类	泰如拼音（丰利）	泰如拼音带调（丰利）	备注
杆	杆	kʊ̃ᵘ̃	˨˩	kʊ̃ᵘ̃˨˩	21	1	gun	gun1	
甘	甘	kʊ̃ᵘ̃	˨˩	kʊ̃ᵘ̃˨˩	21	1	gun	gun1	
冠	冠	kʊ̃ᵘ̃	˨˩	kʊ̃ᵘ̃˨˩	21	1	gun	gun1	鷄～
乾	干	kʊ̃ᵘ̃	˨˩	kʊ̃ᵘ̃˨˩	21	1	gun	gun1	
肝	肝	kʊ̃ᵘ̃	˨˩	kʊ̃ᵘ̃˨˩	21	1	gun	gun1	
竿	竿	kʊ̃ᵘ̃	˨˩	kʊ̃ᵘ̃˨˩	21	1	gun	gun1	
棺	棺	kʊ̃ᵘ̃	˨˩	kʊ̃ᵘ̃˨˩	21	1	gun	gun1	
柑	柑	kʊ̃ᵘ̃	˨˩	kʊ̃ᵘ̃˨˩	21	1	gun	gun1	
泔	泔	kʊ̃ᵘ̃	˨˩	kʊ̃ᵘ̃˨˩	21	1	gun	gun1	
管	管	kʊ̃ᵘ̃	˧˨˨	kʊ̃ᵘ̃˧˨˨	322	3	gun	gun3	白讀
感	感	kʊ̃ᵘ̃	˧˨˨	kʊ̃ᵘ̃˧˨˨	322	3	gun	gun3	
趕	赶	kʊ̃ᵘ̃	˧˨˨	kʊ̃ᵘ̃˧˨˨	322	3	gun	gun3	
敢	敢	kʊ̃ᵘ̃	˧˨˨	kʊ̃ᵘ̃˧˨˨	322	3	gun	gun3	
館	馆	kʊ̃ᵘ̃	˧˨˨	kʊ̃ᵘ̃˧˨˨	322	3	gun	gun3	
桿	杆	kʊ̃ᵘ̃	˧˨˨	kʊ̃ᵘ̃˧˨˨	322	3	gun	gun3	
稈	秆	kʊ̃ᵘ̃	˧˨˨	kʊ̃ᵘ̃˧˨˨	322	3	gun	gun3	
琯	管	kʊ̃ᵘ̃	˧˨˨	kʊ̃ᵘ̃˧˨˨	322	3	gun	gun3	
擀	擀	kʊ̃ᵘ̃	˧˨˨	kʊ̃ᵘ̃˧˨˨	322	3	gun	gun3	
幹	干	kʊ̃ᵘ̃	˦˥	kʊ̃ᵘ̃˦˥	45	5	gun	gun5	
觀	观	kʊ̃ᵘ̃	˦˥	kʊ̃ᵘ̃˦˥	45	5	gun	gun5	
貫	贯	kʊ̃ᵘ̃	˦˥	kʊ̃ᵘ̃˦˥	45	5	gun	gun5	
灌	灌	kʊ̃ᵘ̃	˦˥	kʊ̃ᵘ̃˦˥	45	5	gun	gun5	
冠	冠	kʊ̃ᵘ̃	˦˥	kʊ̃ᵘ̃˦˥	45	5	gun	gun5	
罐	罐	kʊ̃ᵘ̃	˦˥	kʊ̃ᵘ̃˦˥	45	5	gun	gun5	
姑	姑	kʋ	˨˩	kʋ˨˩	21	1	gv	gv1	
孤	孤	kʋ	˨˩	kʋ˨˩	21	1	gv	gv1	
辜	辜	kʋ	˨˩	kʋ˨˩	21	1	gv	gv1	
咕	咕	kʋ	˨˩	kʋ˨˩	21	1	gv	gv1	
菇	菇	kʋ	˨˩	kʋ˨˩	21	1	gv	gv1	
箍	箍	kʋ	˨˩	kʋ˨˩	21	1	gv	gv1	
古	古	kʋ	˧˨˨	kʋ˧˨˨	322	3	gv	gv3	
鼓	鼓	kʋ	˧˨˨	kʋ˧˨˨	322	3	gv	gv3	
股	股	kʋ	˧˨˨	kʋ˧˨˨	322	3	gv	gv3	
估	估	kʋ	˧˨˨	kʋ˧˨˨	322	3	gv	gv3	
賈	贾	kʋ	˧˨˨	kʋ˧˨˨	322	3	gv	gv3	
蠱	蛊	kʋ	˧˨˨	kʋ˧˨˨	322	3	gv	gv3	
固	固	kʋ	˦˥	kʋ˦˥	45	5	gv	gv5	
故	故	kʋ	˦˥	kʋ˦˥	45	5	gv	gv5	
顧	顾	kʋ	˦˥	kʋ˦˥	45	5	gv	gv5	
雇	雇	kʋ	˦˥	kʋ˦˥	45	5	gv	gv5	
哈	哈	xɑ	˨˩	xɑ˨˩	21	1	ha	ha1	
蝦	虾	xɑ	˨˩	xɑ˨˩	21	1	ha	ha1	白讀
霞	霞	xɑ	˨˦	xɑ˨˦	24	2	ha	ha2	白讀
還	还	xɑ	˨˦	xɑ˨˦	24	2	ha	ha2	又音
蝦	蛤	xɑ	˨˦	xɑ˨˦	24	2	ha	ha2	
𤹉	𤹉	xɑ	˧˨˨	xɑ˧˨˨	322	3	ha	ha3	糊塗
下	下	xɑ	˧	xɑ˧	33	6	ha	ha6	白讀
夏	夏	xɑ	˧	xɑ˧	33	6	ha	ha6	白讀
廈	厦	xɑ	˧	xɑ˧	33	6	ha	ha6	白讀
嗨	嗨	xɛ		xɛ	0	0	hae	hae0	
咳	咳	xɛ	˨˩	xɛ˨˩	21	1	hae	hae1	
孩	孩	xɛ	˨˦	xɛ˨˦	24	2	hae	hae2	
鞋	鞋	xɛ	˨˦	xɛ˨˦	24	2	hae	hae2	
諧	谐	xɛ	˨˦	xɛ˨˦	24	2	hae	hae2	白讀
還	还	xɛ	˨˦	xɛ˨˦	24	2	hae	hae2	
𠹛	𠹛	xɛ	˨˦	xɛ˨˦	24	2	hae	hae2	呻吟
海	海	xɛ	˧˨˨	xɛ˧˨˨	322	3	hae	hae3	
蟹	蟹	xɛ	˧˨˨	xɛ˧˨˨	322	3	hae	hae3	
許	许	xɛ	˧˨˨	xɛ˧˨˨	322	3	hae	hae3	哪～
害	害	xɛ	˧	xɛ˧	33	6	hae	hae6	
亥	亥	xɛ	˧	xɛ˧	33	6	hae	hae6	
懈	懈	xɛ	˧	xɛ˧	33	6	hae	hae6	白讀
駭	骇	xɛ	˧	xɛ˧	33	6	hae	hae6	
瞎	瞎	xʲɛʔ	˦˥	xʲɛʔ˦˥	45	7	haeh	haeh7	
俠	侠	xʲɛʔ	˧	xʲɛʔ˧	33	8	haeh	haeh8	白讀
峽	峡	xʲɛʔ	˧	xʲɛʔ˧	33	8	haeh	haeh8	白讀
轄	辖	xʲɛʔ	˧	xʲɛʔ˧	33	8	haeh	haeh8	
狹	狭	xʲɛʔ	˧	xʲɛʔ˧	33	8	haeh	haeh8	
匣	匣	xʲɛʔ	˧	xʲɛʔ˧	33	8	haeh	haeh8	
𢜩	𢜩	xʲɛ̃	˨˩	xʲɛ̃˨˩	21	1	haen	haen1	慢
函	函	xʲɛ̃	˨˦	xʲɛ̃˨˦	24	2	haen	haen2	
閒	闲	xʲɛ̃	˨˦	xʲɛ̃˨˦	24	2	haen	haen2	白讀
咸	咸	xʲɛ̃	˨˦	xʲɛ̃˨˦	24	2	haen	haen2	
銜	衔	xʲɛ̃	˨˦	xʲɛ̃˨˦	24	2	haen	haen2	
鹹	咸	xʲɛ̃	˨˦	xʲɛ̃˨˦	24	2	haen	haen2	
嫻	娴	xʲɛ̃	˨˦	xʲɛ̃˨˦	24	2	haen	haen2	白讀
啣	衔	xʲɛ̃	˨˦	xʲɛ̃˨˦	24	2	haen	haen2	
喊	喊	xʲɛ̃	˧˨˨	xʲɛ̃˧˨˨	322	3	haen	haen3	文讀
喊	喊	xʲɛ̃	˦˥	xʲɛ̃˦˥	45	5	haen	haen5	白讀
漢	汉	xʲɛ̃	˦˥	xʲɛ̃˦˥	45	5	haen	haen5	文讀
翰	翰	xʲɛ̃	˦˥	xʲɛ̃˦˥	45	5	haen	haen5	文讀
限	限	xʲɛ̃	˧	xʲɛ̃˧	33	6	haen	haen6	白讀
陷	陷	xʲɛ̃	˧	xʲɛ̃˧	33	6	haen	haen6	
餡	馅	xʲɛ̃	˧	xʲɛ̃˧	33	6	haen	haen6	
莧	苋	xʲɛ̃	˧	xʲɛ̃˧	33	6	haen	haen6	
麲	𪎉	xʲɛ̃	˧	xʲɛ̃˧	33	6	haen	haen6	麥糏，米糏
蠚	蠚	xaʔ	˦˥	xaʔ˦˥	45	7	hah	hah7	緊靠
壑	壑	xaʔ	˦˥	xaʔ˦˥	45	7	hah	hah7	
學	学	xaʔ	˧	xaʔ˧	33	8	hah	hah8	
鶴	鹤	xaʔ	˧	xaʔ˧	33	8	hah	hah8	
夯	夯	xã	˨˩	xã˨˩	21	1	han	han1	
𩠾	𩠾	xã	˨˩	xã˨˩	21	1	han	han1	喘氣
行	行	xã	˨˦	xã˨˦	24	2	han	han2	
杭	杭	xã	˨˦	xã˨˦	24	2	han	han2	
航	航	xã	˨˦	xã˨˦	24	2	han	han2	
夯	夯	xã	˧˨˨	xã˧˨˨	332	3	han	han3	借字，表示給
炕	炕	xã	˦˥	xã˦˥	45	5	han	han5	
項	项	xã	˧	xã˧	33	6	han	han6	白讀
巷	巷	xã	˧	xã˧	33	6	han	han6	
黑	黑	xəʔ	˦˥	xəʔ˦˥	45	7	heh	heh7	
嚇	吓	xəʔ	˦˥	xəʔ˦˥	45	7	heh	heh7	
嘿	嘿	xəʔ	˦˥	xəʔ˦˥	45	7	heh	heh7	語氣詞
核	核	xəʔ	˧	xəʔ˧	33	8	heh	heh8	
閡	阂	xəʔ	˧	xəʔ˧	33	8	heh	heh8	
齁	齁	xəɪ	˨˩	xəɪ˨˩	21	1	hei	hei1	
侯	侯	xəɪ	˨˦	xəɪ˨˦	24	2	hei	hei2	
喉	喉	xəɪ	˨˦	xəɪ˨˦	24	2	hei	hei2	
猴	猴	xəɪ	˨˦	xəɪ˨˦	24	2	hei	hei2	
吼	吼	xəɪ	˧˨˨	xəɪ˧˨˨	322	3	hei	hei3	
鱟	鲎	xəɪ	˦˥	xəɪ˦˥	45	5	hei	hei5	彩虹
後	后	xəɪ	˧	xəɪ˧	33	6	hei	hei6	
候	候	xəɪ	˧	xəɪ˧	33	6	hei	hei6	
厚	厚	xəɪ	˧	xəɪ˧	33	6	hei	hei6	
后	后	xəɪ	˧	xəɪ˧	33	6	hei	hei6	
哼	哼	xəŋ	˨˩	xəŋ˨˩	21	1	hen	hen1	
亨	亨	xəŋ	˨˩	xəŋ˨˩	21	1	hen	hen1	
衡	衡	xəŋ	˨˦	xəŋ˨˦	24	2	hen	hen2	
恆	恒	xəŋ	˨˦	xəŋ˨˦	24	2	hen	hen2	
痕	痕	xəŋ	˨˦	xəŋ˨˦	24	2	hen	hen2	
很	很	xəŋ	˧˨˨	xəŋ˧˨˨	322	3	hen	hen3	
狠	狠	xəŋ	˧˨˨	xəŋ˧˨˨	322	3	hen	hen3	
垳	垳	xəŋ	˦˥	xəŋ˦˥	45	5	hen	hen5	～場
恨	恨	xəŋ	˧	xəŋ˧	33	6	hen	hen6	
行	行	xəŋ	˧	xəŋ˧	33	6	hen	hen6	
蒿	蒿	xɔ	˨˩	xɔ˨˩	21	1	ho	ho1	
薅	薅	xɔ	˨˩	xɔ˨˩	21	1	ho	ho1	
號	号	xɔ	˨˦	xɔ˨˦	24	2	ho	ho2	
毫	毫	xɔ	˨˦	xɔ˨˦	24	2	ho	ho2	
豪	豪	xɔ	˨˦	xɔ˨˦	24	2	ho	ho2	
蠔	蚝	xɔ	˨˦	xɔ˨˦	24	2	ho	ho2	
嚎	嚎	xɔ	˨˦	xɔ˨˦	24	2	ho	ho2	
好	好	xɔ	˧˨˨	xɔ˧˨˨	322	3	ho	ho3	
耗	耗	xɔ	˦˥	xɔ˦˥	45	5	ho	ho5	
好	好	xɔ	˦˥	xɔ˦˥	45	5	ho	ho5	
孝	孝	xɔ	˦˥	xɔ˦˥	45	5	ho	ho5	白讀
號	号	xɔ	˧	xɔ˧	33	6	ho	ho6	
校	校	xɔ	˧	xɔ˧	33	6	ho	ho6	白讀
浩	浩	xɔ	˧	xɔ˧	33	6	ho	ho6	
昊	昊	xɔ	˧	xɔ˧	33	6	ho	ho6	
㖪	㖪	xɔʔ	˦˥	xɔʔ˦˥	45	7	hoh	hoh7	吵鬧
湱	湱	xɔʔ	˦˥	xɔʔ˦˥	45	7	hoh	hoh7	～動
獲	获	xɔʔ	˧	xɔʔ˧	33	8	hoh	hoh8	
惑	惑	xɔʔ	˧	xɔʔ˧	33	8	hoh	hoh8	
或	或	xɔʔ	˧	xɔʔ˧	33	8	hoh	hoh8	～者
轟	轰	xɔŋ	˨˩	xɔŋ˨˩	21	1	hon	hon1	
烘	烘	xɔŋ	˨˩	xɔŋ˨˩	21	1	hon	hon1	
哄	哄	xɔŋ	˨˩	xɔŋ˨˩	21	1	hon	hon1	
紅	红	xɔŋ	˨˦	xɔŋ˨˦	24	2	hon	hon2	
橫	横	xɔŋ	˨˦	xɔŋ˨˦	24	2	hon	hon2	文讀
洪	洪	xɔŋ	˨˦	xɔŋ˨˦	24	2	hon	hon2	
鴻	鸿	xɔŋ	˨˦	xɔŋ˨˦	24	2	hon	hon2	
宏	宏	xɔŋ	˨˦	xɔŋ˨˦	24	2	hon	hon2	
虹	虹	xɔŋ	˨˦	xɔŋ˨˦	24	2	hon	hon2	
弘	弘	xɔŋ	˨˦	xɔŋ˨˦	24	2	hon	hon2	
哄	哄	xɔŋ	˧˨˨	xɔŋ˧˨˨	322	3	hon	hon3	
擤	擤	xɔŋ	˧˨˨	xɔŋ˧˨˨	322	3	hon	hon3	
烘	烘	xɔŋ	˦˥	xɔŋ˦˥	45	5	hon	hon5	
橫	横	xɔŋ	˧	xɔŋ˧	33	6	hon	hon6	文讀
歡	欢	xʊ	˨˩	xʊ˨˩	21	1	hu	hu1	又音
呵	呵	xʊ	˨˩	xʊ˨˩	21	1	hu	hu1	
吙	吙	xʊ	˨˩	xʊ˨˩	21	1	hu	hu1	借字，表示蒸
和	和	xʊ	˨˦	xʊ˨˦	24	2	hu	hu2	
何	何	xʊ	˨˦	xʊ˨˦	24	2	hu	hu2	
河	河	xʊ	˨˦	xʊ˨˦	24	2	hu	hu2	
荷	荷	xʊ	˨˦	xʊ˨˦	24	2	hu	hu2	
禾	禾	xʊ	˨˦	xʊ˨˦	24	2	hu	hu2	
火	火	xʊ	˧˨˨	xʊ˧˨˨	322	3	hu	hu3	
伙	伙	xʊ	˧˨˨	xʊ˧˨˨	322	3	hu	hu3	
夥	伙	xʊ	˧˨˨	xʊ˧˨˨	322	3	hu	hu3	
貨	货	xʊ	˦˥	xʊ˦˥	45	5	hu	hu5	
和	和	xʊ	˧	xʊ˧	33	6	hu	hu6	
荷	荷	xʊ	˧	xʊ˧	33	6	hu	hu6	
賀	贺	xʊ	˧	xʊ˧	33	6	hu	hu6	
禍	祸	xʊ	˧	xʊ˧	33	6	hu	hu6	
花	花	xuɑ	˨˩	xuɑ˨˩	21	1	hua	hua1	
華	华	xuɑ	˨˦	xuɑ˨˦	24	2	hua	hua2	
划	划	xuɑ	˨˦	xuɑ˨˦	24	2	hua	hua2	
化	化	xuɑ	˦˥	xuɑ˦˥	45	5	hua	hua5	
華	华	xuɑ	˧	xuɑ˧	33	6	hua	hua6	
話	话	xuɑ	˧	xuɑ˧	33	6	hua	hua6	
劃	划	xuɑ	˧	xuɑ˧	33	6	hua	hua6	
畫	画	xuɑ	˧	xuɑ˧	33	6	hua	hua6	
歪	歪	xuɛ	˨˩	xuɛ˨˩	21	1	huae	huae1	～嘴
懷	怀	xuɛ	˨˦	xuɛ˨˦	24	2	huae	huae2	
淮	淮	xuɛ	˨˦	xuɛ˨˦	24	2	huae	huae2	
槐	槐	xuɛ	˨˦	xuɛ˨˦	24	2	huae	huae2	
踝	踝	xuɛ	˨˦	xuɛ˨˦	24	2	huae	huae2	
㩓	㩓	xuɛ	˧˨˨	xuɛ˧˨˨	322	3	huae	huae3	揮甩
壞	坏	xuɛ	˧	xuɛ˧	33	6	huae	huae6	
豁	豁	xʲuɛʔ	˦˥	xʲuɛʔ˦˥	45	7	huaeh	huaeh7	
搳	搳	xʲuɛʔ	˦˥	xʲuɛʔ˦˥	45	7	huaeh	huaeh7	～耳光
滑	滑	xʲuɛʔ	˧	xʲuɛʔ˧	33	8	huaeh	huaeh8	
猾	猾	xʲuɛʔ	˧	xʲuɛʔ˧	33	8	huaeh	huaeh8	
㹕	㹕	xʲuɛ̃	˨˩	xʲuɛ̃˨˩	21	1	huaen	huaen1	硬
還	还	xʲuɛ̃	˨˦	xʲuɛ̃˨˦	24	2	huaen	huaen2	
𫝺	𫝺	xʲuɛ̃	˦˥	xʲuɛ̃˦˥	45	5	huaen	huaen5	甩，晃動
患	患	xʲuɛ̃	˧	xʲuɛ̃˧	33	6	huaen	huaen6	
幻	幻	xʲuɛ̃	˧	xʲuɛ̃˧	33	6	huaen	huaen6	
霍	霍	xuaʔ	˦˥	xuaʔ˦˥	45	7	huah	huah7	文讀
藿	藿	xuaʔ	˦˥	xuaʔ˦˥	45	7	huah	huah7	
攉	攉	xuaʔ	˦˥	xuaʔ˦˥	45	7	huah	huah7	揮起胳膊打
穫	获	xuaʔ	˧	xuaʔ˧	33	8	huah	huah8	
荒	荒	xuã	˨˩	xuã˨˩	21	1	huan	huan1	
慌	慌	xuã	˨˩	xuã˨˩	21	1	huan	huan1	
黃	黄	xuã	˨˦	xuã˨˦	24	2	huan	huan2	
皇	皇	xuã	˨˦	xuã˨˦	24	2	huan	huan2	
煌	煌	xuã	˨˦	xuã˨˦	24	2	huan	huan2	
磺	磺	xuã	˨˦	xuã˨˦	24	2	huan	huan2	
凰	凰	xuã	˨˦	xuã˨˦	24	2	huan	huan2	
蝗	蝗	xuã	˨˦	xuã˨˦	24	2	huan	huan2	
隍	隍	xuã	˨˦	xuã˨˦	24	2	huan	huan2	
潢	潢	xuã	˨˦	xuã˨˦	24	2	huan	huan2	
謊	谎	xuã	˧˨˨	xuã˧˨˨	322	3	huan	huan3	
幌	幌	xuã	˧˨˨	xuã˧˨˨	322	3	huan	huan3	
晃	晃	xuã	˦˥	xuã˦˥	45	5	huan	huan5	
忽	忽	xuəʔ	˦˥	xuəʔ˦˥	45	7	hueh	hueh7	
惚	惚	xuəʔ	˦˥	xuəʔ˦˥	45	7	hueh	hueh7	坏
㧾	㧾	xuəʔ	˦˥	xuəʔ˦˥	45	7	hueh	hueh7	擊打
𣝗	核	xuəʔ	˧	xuəʔ˧	33	8	hueh	hueh8	
揮	挥	xuəɪ	˨˩	xuəɪ˨˩	21	1	huei	huei1	
灰	灰	xuəɪ	˨˩	xuəɪ˨˩	21	1	huei	huei1	
恢	恢	xuəɪ	˨˩	xuəɪ˨˩	21	1	huei	huei1	
輝	辉	xuəɪ	˨˩	xuəɪ˨˩	21	1	huei	huei1	
徽	徽	xuəɪ	˨˩	xuəɪ˨˩	21	1	huei	huei1	
煇	辉	xuəɪ	˨˩	xuəɪ˨˩	21	1	huei	huei1	
回	回	xuəɪ	˨˦	xuəɪ˨˦	24	2	huei	huei2	
迴	回	xuəɪ	˨˦	xuəɪ˨˦	24	2	huei	huei2	
茴	茴	xuəɪ	˨˦	xuəɪ˨˦	24	2	huei	huei2	
蛔	蛔	xuəɪ	˨˦	xuəɪ˨˦	24	2	huei	huei2	
毀	毁	xuəɪ	˧˨˨	xuəɪ˧˨˨	322	3	huei	huei3	
悔	悔	xuəɪ	˧˨˨	xuəɪ˧˨˨	322	3	huei	huei3	
賄	贿	xuəɪ	˦˥	xuəɪ˦˥	45	5	huei	huei5	
諱	讳	xuəɪ	˦˥	xuəɪ˦˥	45	5	huei	huei5	
卉	卉	xuəɪ	˦˥	xuəɪ˦˥	45	5	huei	huei5	
晦	晦	xuəɪ	˦˥	xuəɪ˦˥	45	5	huei	huei5	
誨	诲	xuəɪ	˦˥	xuəɪ˦˥	45	5	huei	huei5	
會	会	xuəɪ	˧	xuəɪ˧	33	6	huei	huei6	
匯	汇	xuəɪ	˧	xuəɪ˧	33	6	huei	huei6	
繪	绘	xuəɪ	˧	xuəɪ˧	33	6	huei	huei6	
惠	惠	xuəɪ	˧	xuəɪ˧	33	6	huei	huei6	
慧	慧	xuəɪ	˧	xuəɪ˧	33	6	huei	huei6	
彙	汇	xuəɪ	˧	xuəɪ˧	33	6	huei	huei6	
燴	烩	xuəɪ	˧	xuəɪ˧	33	6	huei	huei6	
婚	婚	xuəŋ	˨˩	xuəŋ˨˩	21	1	huen	huen1	
昏	昏	xuəŋ	˨˩	xuəŋ˨˩	21	1	huen	huen1	
葷	荤	xuəŋ	˨˩	xuəŋ˨˩	21	1	huen	huen1	
閽	阍	xuəŋ	˨˩	xuəŋ˨˩	21	1	huen	huen1	
惛	惛	xuəŋ	˨˩	xuəŋ˨˩	21	1	huen	huen1	
魂	魂	xuəŋ	˨˦	xuəŋ˨˦	24	2	huen	huen2	
渾	浑	xuəŋ	˨˦	xuəŋ˨˦	24	2	huen	huen2	
餛	馄	xuəŋ	˨˦	xuəŋ˨˦	24	2	huen	huen2	
混	混	xuəŋ	˧˨˨	xuəŋ˧˨˨	322	3	huen	huen3	
混	混	xuəŋ	˦˥	xuəŋ˦˥	45	5	huen	huen5	
混	混	xuəŋ	˧	xuəŋ˧	33	6	huen	huen6	
喝	喝	xʊᵘʔ	˦˥	xʊᵘʔ˦˥	45	7	huh	huh7	
豁	豁	xʊᵘʔ	˦˥	xʊᵘʔ˦˥	45	7	huh	huh7	
活	活	xʊᵘʔ	˧	xʊᵘʔ˧	33	8	huh	huh8	
盒	盒	xʊᵘʔ	˧	xʊᵘʔ˧	33	8	huh	huh8	
褐	褐	xʊᵘʔ	˧	xʊᵘʔ˧	33	8	huh	huh8	
合	合	xʊᵘʔ	˧	xʊᵘʔ˧	33	8	huh	huh8	
歡	欢	xʊ̃ᵘ̃	˨˩	xʊ̃ᵘ̃˨˩	21	1	hun	hun1	
鼾	鼾	xʊ̃ᵘ̃	˨˩	xʊ̃ᵘ̃˨˩	21	1	hun	hun1	
蚶	蚶	xʊ̃ᵘ̃	˨˩	xʊ̃ᵘ̃˨˩	21	1	hun	hun1	
焊	焊	xʊ̃ᵘ̃	˨˩	xʊ̃ᵘ̃˨˩	21	1	hun	hun1	电～
含	含	xʊ̃ᵘ̃	˨˦	xʊ̃ᵘ̃˨˦	24	2	hun	hun2	
寒	寒	xʊ̃ᵘ̃	˨˦	xʊ̃ᵘ̃˨˦	24	2	hun	hun2	
韓	韩	xʊ̃ᵘ̃	˨˦	xʊ̃ᵘ̃˨˦	24	2	hun	hun2	
涵	涵	xʊ̃ᵘ̃	˨˦	xʊ̃ᵘ̃˨˦	24	2	hun	hun2	
緩	缓	xʊ̃ᵘ̃	˧˨˨	xʊ̃ᵘ̃˧˨˨	322	3	hun	hun3	文讀
罕	罕	xʊ̃ᵘ̃	˧˨˨	xʊ̃ᵘ̃˧˨˨	322	3	hun	hun3	
漢	汉	xʊ̃ᵘ̃	˦˥	xʊ̃ᵘ̃˦˥	45	5	hun	hun5	白讀
喚	唤	xʊ̃ᵘ̃	˦˥	xʊ̃ᵘ̃˦˥	45	5	hun	hun5	
翰	翰	xʊ̃ᵘ̃	˦˥	xʊ̃ᵘ̃˦˥	45	5	hun	hun5	白讀
換	换	xʊ̃ᵘ̃	˧	xʊ̃ᵘ̃˧	33	6	hun	hun6	
汗	汗	xʊ̃ᵘ̃	˧	xʊ̃ᵘ̃˧	33	6	hun	hun6	
旱	旱	xʊ̃ᵘ̃	˧	xʊ̃ᵘ̃˧	33	6	hun	hun6	
憾	憾	xʊ̃ᵘ̃	˧	xʊ̃ᵘ̃˧	33	6	hun	hun6	
捍	捍	xʊ̃ᵘ̃	˧	xʊ̃ᵘ̃˧	33	6	hun	hun6	
撼	撼	xʊ̃ᵘ̃	˧	xʊ̃ᵘ̃˧	33	6	hun	hun6	
乎	乎	xʋ	˨˩	xʋ˨˩	21	1	hv	hv1	
呼	呼	xʋ	˨˩	xʋ˨˩	21	1	hv	hv1	
湖	湖	xʋ	˨˦	xʋ˨˦	24	2	hv	hv2	
和	和	xʋ	˨˦	xʋ˨˦	24	2	hv	hv2	摸～：打長牌
胡	胡	xʋ	˨˦	xʋ˨˦	24	2	hv	hv2	
弧	弧	xʋ	˨˦	xʋ˨˦	24	2	hv	hv2	
糊	糊	xʋ	˨˦	xʋ˨˦	24	2	hv	hv2	
鬍	胡	xʋ	˨˦	xʋ˨˦	24	2	hv	hv2	
壺	壶	xʋ	˨˦	xʋ˨˦	24	2	hv	hv2	
葫	葫	xʋ	˨˦	xʋ˨˦	24	2	hv	hv2	
狐	狐	xʋ	˨˦	xʋ˨˦	24	2	hv	hv2	
蝴	蝴	xʋ	˨˦	xʋ˨˦	24	2	hv	hv2	
瑚	瑚	xʋ	˨˦	xʋ˨˦	24	2	hv	hv2	
虎	虎	xʋ	˧˨˨	xʋ˧˨˨	322	3	hv	hv3	
滸	浒	xʋ	˧˨˨	xʋ˧˨˨	322	3	hv	hv3	
唬	唬	xʋ	˧˨˨	xʋ˧˨˨	322	3	hv	hv3	
戽	戽	xʋ	˦˥	xʋ˦˥	45	5	hv	hv5	～風
護	护	xʋ	˧	xʋ˧	33	6	hv	hv6	
互	互	xʋ	˧	xʋ˧	33	6	hv	hv6	
戶	户	xʋ	˧	xʋ˧	33	6	hv	hv6	
糊	糊	xʋ	˧	xʋ˧	33	6	hv	hv6	碎
滬	沪	xʋ	˧	xʋ˧	33	6	hv	hv6	
依	依	jɨᶨ	˨˩	jɨᶨ˨˩	21	1	i	i1	
醫	医	jɨᶨ	˨˩	jɨᶨ˨˩	21	1	i	i1	
衣	衣	jɨᶨ	˨˩	jɨᶨ˨˩	21	1	i	i1	
伊	伊	jɨᶨ	˨˩	jɨᶨ˨˩	21	1	i	i1	
移	移	jɨᶨ	˨˦	jɨᶨ˨˦	24	2	i	i2	
宜	宜	jɨᶨ	˨˦	jɨᶨ˨˦	24	2	i	i2	
爺	爷	jɨᶨ	˨˦	jɨᶨ˨˦	24	2	i	i2	父亲的弟弟
遺	遗	jɨᶨ	˨˦	jɨᶨ˨˦	24	2	i	i2	
儀	仪	jɨᶨ	˨˦	jɨᶨ˨˦	24	2	i	i2	
疑	疑	jɨᶨ	˨˦	jɨᶨ˨˦	24	2	i	i2	
夷	夷	jɨᶨ	˨˦	jɨᶨ˨˦	24	2	i	i2	
蛇	蛇	jɨᶨ	˨˦	jɨᶨ˨˦	24	2	i	i2	
姨	姨	jɨᶨ	˨˦	jɨᶨ˨˦	24	2	i	i2	
咦	咦	jɨᶨ	˨˦	jɨᶨ˨˦	24	2	i	i2	
胰	胰	jɨᶨ	˨˦	jɨᶨ˨˦	24	2	i	i2	
以	以	jɨᶨ	˧˨˨	jɨᶨ˧˨˨	322	3	i	i3	
已	已	jɨᶨ	˧˨˨	jɨᶨ˧˨˨	322	3	i	i3	
椅	椅	jɨᶨ	˧˨˨	jɨᶨ˧˨˨	322	3	i	i3	
倚	倚	jɨᶨ	˧˨˨	jɨᶨ˧˨˨	322	3	i	i3	
蟻	蚁	jɨᶨ	˧˨˨	jɨᶨ˧˨˨	322	3	i	i3	
意	意	jɨᶨ	˦˥	jɨᶨ˦˥	45	5	i	i5	
億	亿	jɨᶨ	˦˥	jɨᶨ˦˥	45	5	i	i5	
憶	忆	jɨᶨ	˦˥	jɨᶨ˦˥	45	5	i	i5	文讀
議	议	jɨᶨ	˧	jɨᶨ˧	33	6	i	i6	
易	易	jɨᶨ	˧	jɨᶨ˧	33	6	i	i6	
藝	艺	jɨᶨ	˧	jɨᶨ˧	33	6	i	i6	
異	异	jɨᶨ	˧	jɨᶨ˧	33	6	i	i6	
毅	毅	jɨᶨ	˧	jɨᶨ˧	33	6	i	i6	
誼	谊	jɨᶨ	˧	jɨᶨ˧	33	6	i	i6	
裔	裔	jɨᶨ	˧	jɨᶨ˧	33	6	i	i6	
義	义	jɨᶨ	˧	jɨᶨ˧	33	6	i	i6	
呀	呀	iɑ	˨˩	iɑ˨˩	21	1	ia	ia1	
椰	椰	iɑ	˨˩	iɑ˨˩	21	1	ia	ia1	
丫	丫	iɑ	˨˩	iɑ˨˩	21	1	ia	ia1	
