聲	呼	等	韻	調	組	攝	單字	原註	新註	聲母	韻母	聲調	次 聲母	次 韻母	次 聲調	IPA 聲母	IPɐ 韻母	IPA 聲調
見	開	一	覃	入	見	咸	閤	邊門		g	ap	3				k	ɐp	3
群	開	三	侵B	入	見	深	及			g	ap	6				k	ɐp	2
見	開	一	覃	入	見	咸	合	一合		g	ap	6				k	ɐp	2
見	開	三	真A	入	見	臻	吉			g	at	1				k	ɐt	5
見	開	三	欣	入	見	臻	吃	口吃		g	at	1				k	ɐt	5
見	開	四	先	入	見	山	桔	桔梗		g	at	1				k	ɐt	5
見	合	三	真A	入	見	臻	橘			g	at	1				k	ɐt	5
見	開	三	尤	平	見	流	鳩			g	au	1				k	ɐu	55
見	開	三	尤	上	見	流	九			g	au	2				k	ɐu	35
見	開	三	尤	上	見	流	韭			g	au	2				k	ɐu	35
見	開	三	尤	上	見	流	玖			g	au	2				k	ɐu	35
見	開	三	尤	上	見	流	久			g	au	2				k	ɐu	35
見	開	一	侯	平	見	流	枸			g	au	2				k	ɐu	35
見	開	一	侯	上	見	流	苟			g	au	2				k	ɐu	35
見	開	一	侯	上	見	流	狗			g	au	2				k	ɐu	35
見	開	三	幽	上	見	流	赳			g	au	2				k	ɐu	35
見	開	一	豪	平	見	效	咎			g	au	3				k	ɐu	33
見	開	三	尤	上	見	流	灸			g	au	3				k	ɐu	33
見	開	三	尤	去	見	流	疚			g	au	3				k	ɐu	33
見	開	三	尤	去	見	流	救			g	au	3				k	ɐu	33
見	開	三	尤	去	見	流	究			g	au	3				k	ɐu	33
溪	開	一	侯	平	見	流	夠			g	au	3				k	ɐu	33
見	開	一	侯	上	見	流	垢			g	au	3				k	ɐu	33
							勾	勾當		g	au	3				k	ɐu	33
群	開	三	尤	去	見	流	舊			g	au	6				k	ɐu	32
見	開	三	支B	平	見	止	奇	奇數		g	ei	1				k	ei	55
見	開	三	脂B	平	見	止	肌			g	ei	1				k	ei	55
見	開	三	脂B	平	見	止	飢			g	ei	1				k	ei	55
見	開	三	之	平	見	止	基			g	ei	1				k	ei	55
見	開	三	之	平	見	止	箕			g	ei	1				k	ei	55
以	開	三	之	平	以	止	姬			g	ei	1				k	ei	55
群	開	三	之	平	見	止	期	期年		g	ei	1				k	ei	55
見	開	三	微	平	見	止	嘰			g	ei	1				k	ei	55
見	開	三	微	平	見	止	饑			g	ei	1				k	ei	55
見	開	三	微	平	見	止	譏			g	ei	1				k	ei	55
見	開	三	微	平	見	止	機			g	ei	1				k	ei	55
見	開	三	微	平	見	止	磯			g	ei	1				k	ei	55
見	開	三	微	平	見	止	幾	幾乎		g	ei	1				k	ei	55
見	開	三	脂B	上	見	止	几			g	ei	2				k	ei	35
並	開	三	脂B	上	幫	止	圮			g	ei	2				k	ei	35
見	開	三	之	上	見	止	己			g	ei	2				k	ei	35
見	開	三	之	上	見	止	紀			g	ei	2				k	ei	35
溪	開	三	之	上	見	止	杞			g	ei	2				k	ei	35
群	開	三	微	平	見	止	幾	幾個		g	ei	2				k	ei	35
見	開	三	支B	去	見	止	寄			g	ei	3				k	ei	33
見	開	三	之	去	見	止	記			g	ei	3				k	ei	33
見	開	三	微	去	見	止	既			g	ei	3				k	ei	33
見	開	三	支B	平	見	止	妓			g	ei	6				k	ei	32
群	開	三	支B	上	見	止	技			g	ei	6				k	ei	32
群	開	三	脂B	去	見	止	暨			g	ei	6				k	ei	32
群	開	三	之	去	見	止	忌			g	ei	6				k	ei	32
見	開	三	庚	平	見	梗	驚		習讀應爲韻母ing對應的白讀音	g	eng	1				k	ɛŋ	55
群	開	三	清A	平	見	梗	頸		習讀應爲韻母ing對應的白讀音	g	eng	2				k	ɛŋ	35
見	開	三	庚	去	見	梗	鏡		習讀應爲韻母ing對應的白讀音	g	eng	3				k	ɛŋ	33
見	開	三	庚	去	見	梗	敬		敬惜	g	eng	3				k	ɛŋ	33
見	開	三	之	平	見	止	居			g	eoi	1				k	øy	55
見	開	三	魚	平	見	遇	車	車馬炮		g	eoi	1				k	øy	55
見	開	三	魚	平	見	遇	据			g	eoi	1				k	øy	55
見	開	三	魚	上	見	遇	莒			g	eoi	2				k	øy	35
見	開	三	魚	上	見	遇	舉			g	eoi	2				k	øy	35
見	開	三	魚	上	見	遇	櫸			g	eoi	2				k	øy	35
見	合	三	虞	上	見	遇	矩			g	eoi	2				k	øy	35
見	開	三	魚	去	見	遇	踞			g	eoi	3				k	øy	33
見	開	三	魚	去	見	遇	據			g	eoi	3				k	øy	33
見	開	三	魚	去	見	遇	鋸			g	eoi	3				k	øy	33
見	合	三	虞	去	見	遇	瞿	瞿然一驚		g	eoi	3				k	øy	33
群	合	三	虞	平	見	遇	句			g	eoi	3				k	øy	33
群	開	三	魚	上	見	遇	巨			g	eoi	6				k	øy	32
群	開	三	魚	上	見	遇	炬			g	eoi	6				k	øy	32
群	開	三	魚	上	見	遇	鉅			g	eoi	6				k	øy	32
群	開	三	魚	去	見	遇	遽			g	eoi	6				k	øy	32
群	合	三	虞	去	見	遇	具			g	eoi	6				k	øy	32
群	合	三	虞	去	見	遇	懼			g	eoi	6				k	øy	32
見	開	四	蕭	去	見	效	激			g	ik	1				k	ɪk	5
見	開	四	青	入	見	梗	擊			g	ik	1				k	ɪk	5
見	開	三	蒸	入	見	曾	棘			g	ik	1				k	ɪk	5
見	開	三	蒸	入	見	曾	亟	亟需	文盲音	g	ik	6				k	ɪk	2
群	開	三	蒸	入	見	曾	極			g	ik	6				k	ɪk	2
見	開	四	添	平	見	咸	兼			g	im	1				k	im	55
來	開	三	鹽A	上	來	咸	撿			g	im	2				k	im	35
見	開	三	鹽B	上	見	咸	檢			g	im	2				k	im	35
見	開	三	鹽B	上	見	咸	瞼			g	im	2				k	im	35
-	-	-	-	-	-	-	劍			g	im	3				k	im	33
群	開	三	鹽B	上	見	咸	儉			g	im	6				k	im	32
見	開	四	先	平	見	山	肩			g	in	1				k	in	55
見	開	四	先	平	見	山	堅			g	in	1				k	in	55
見	開	三	元	去	見	山	建			g	in	3				k	in	33
見	開	四	先	去	見	山	見	看見		g	in	3				k	in	33
群	開	三	元	去	見	山	健			g	in	6				k	in	32
群	開	三	仙B	平	見	山	鍵			g	in	6				k	in	32
群	開	三	仙B	上	見	山	件			g	in	6				k	in	32
-	-	-	-	-	-	-	毽			g	in	6				k	in	32
見	開	三	庚	平	見	梗	京			g	ing	1				k	ɪŋ	55
見	開	三	庚	平	見	梗	驚			g	ing	1				k	ɪŋ	55
見	開	三	庚	平	見	梗	荊			g	ing	1				k	ɪŋ	55
見	開	四	青	平	見	梗	涇			g	ing	1				k	ɪŋ	55
見	開	四	青	平	見	梗	經			g	ing	1				k	ɪŋ	55
見	開	三	蒸	平	見	曾	兢			g	ing	1				k	ɪŋ	55
見	開	三	庚	上	見	梗	境			g	ing	2				k	ɪŋ	35
見	開	三	庚	上	見	梗	警			g	ing	2				k	ɪŋ	35
見	合	三	庚	上	見	梗	憬			g	ing	2				k	ɪŋ	35
見	開	三	庚	上	見	梗	景			g	ing	2				k	ɪŋ	35
見	開	三	庚	去	見	梗	竟			g	ing	2				k	ɪŋ	35
見	開	三	庚	去	見	梗	敬			g	ing	3				k	ɪŋ	33
見	開	三	清A	去	見	梗	勁			g	ing	3				k	ɪŋ	33
見	開	四	青	去	見	梗	逕			g	ing	3				k	ɪŋ	33
見	開	四	青	去	見	梗	徑			g	ing	3				k	ɪŋ	33
匣	開	二	耕	平	影	梗	莖			g	ing	3				k	ɪŋ	33
群	開	三	庚	去	見	梗	競			g	ing	6				k	ɪŋ	32
見	開	三	嚴	入	見	咸	劫			g	ip	3				k	ip	3
見	開	三	真A	入	見	臻	拮			g	it	3				k	it	3
見	開	四	先	入	見	山	結			g	it	3				k	it	3
見	開	四	先	入	見	山	潔			g	it	3				k	it	3
群	開	三	仙B	入	見	山	杰			g	it	6				k	it	2
群	開	三	仙B	入	見	山	傑			g	it	6				k	it	2
見	開	三	宵B	平	見	效	驕			g	iu	1				k	iu	55
見	開	三	宵B	平	見	效	嬌			g	iu	1				k	iu	55
見	開	四	蕭	平	見	效	澆			g	iu	1				k	iu	55
群	開	三	宵B	平	見	效	轎			g	iu	2				k	iu	35
見	開	三	宵B	上	見	效	矯			g	iu	2				k	iu	35
見	開	四	蕭	上	見	效	繳			g	iu	2				k	iu	35
見	開	四	蕭	去	見	效	叫			g	iu	3				k	iu	33
見	開	一	歌	平	見	果	哥			g	o	1				k	ɔ	55
見	開	一	歌	平	見	果	歌			g	o	1				k	ɔ	55
見	合	一	歌	平	見	果	渦	渦河		g	o	1				k	ɔ	55
見	合	一	歌	平	見	果	戈			g	o	1				k	ɔ	55
見	合	一	歌	上	見	果	粿			g	o	2				k	ɔ	35
見	合	一	歌	上	見	果	裹			g	o	2				k	ɔ	35
見	合	一	歌	上	見	果	果			g	o	2				k	ɔ	35
見	開	一	歌	去	見	果	個			g	o	3				k	ɔ	33
見	合	一	歌	平	見	果	過			g	o	3				k	ɔ	33
見	開	一	歌	平	見	果	哥			g	o	4				k	ɔ	21
見	開	三	陽	入	見	宕	腳			g	oek	3				k	œk	3
見	開	三	陽	平	見	宕	疆			g	oeng	1				k	œŋ	55
見	開	三	陽	平	見	宕	薑			g	oeng	1				k	œŋ	55
見	開	三	陽	平	見	宕	韁			g	oeng	1				k	œŋ	55
見	開	三	陽	平	見	宕	僵			g	oeng	1				k	œŋ	55
見	開	三	陽	平	見	宕	姜			g	oeng	1				k	œŋ	55
見	開	一	咍	平	見	蟹	該			g	oi	1				k	ɔi	55
見	開	一	咍	平	見	蟹	賅			g	oi	1				k	ɔi	55
見	開	一	咍	上	見	蟹	改			g	oi	2				k	ɔi	35
見	開	一	泰	去	見	蟹	蓋	杯蓋		g	oi	3				k	ɔi	33
來	開	一	東	入	來	通	角			g	ok	3				k	ɔk	3
見	開	二	江	入	見	江	覺	直覺		g	ok	3				k	ɔk	3
見	開	一	唐	入	見	宕	閣			g	ok	3				k	ɔk	3
見	開	一	唐	入	見	宕	各			g	ok	3				k	ɔk	3
							閤	閤樓		g	ok	3				k	ɔk	3
-	-	-	-	-	-	-	擱			g	ok	3				k	ɔk	3
							咯	咯咯笑		g	ok	3				k	ɔk	3
見	合	一	唐	入	見	宕	郭			g	ok	3				k	ɔk	3
見	開	一	寒	平	見	山	肝			g	on	1				k	ɔn	55
見	開	一	寒	平	見	山	竿			g	on	1				k	ɔn	55
見	開	一	寒	平	見	山	乾	乾燥		g	on	1				k	ɔn	55
見	開	一	寒	平	見	山	干			g	on	1				k	ɔn	55
見	開	一	寒	去	見	山	杆			g	on	1				k	ɔn	55
-	-	-	-	-	-	-	桿			g	on	1				k	ɔn	55
見	開	一	寒	上	見	山	稈			g	on	2				k	ɔn	35
-	-	-	-	-	-	-	趕			g	on	2				k	ɔn	35
見	開	一	寒	去	見	山	幹			g	on	3				k	ɔn	33
見	開	二	江	平	見	江	江			g	ong	1				k	ɔŋ	55
見	開	二	江	平	見	江	肛			g	ong	1				k	ɔŋ	55
見	開	二	江	平	見	江	扛			g	ong	1				k	ɔŋ	55
匣	開	二	江	平	影	江	缸			g	ong	1				k	ɔŋ	55
見	開	一	唐	平	見	宕	剛			g	ong	1				k	ɔŋ	55
見	開	一	唐	平	見	宕	崗			g	ong	1				k	ɔŋ	55
見	開	一	唐	平	見	宕	岡			g	ong	1				k	ɔŋ	55
見	開	一	唐	平	見	宕	綱			g	ong	1				k	ɔŋ	55
見	合	一	唐	平	見	宕	胱			g	ong	1				k	ɔŋ	55
見	合	一	唐	平	見	宕	光			g	ong	1				k	ɔŋ	55
見	開	二	江	上	見	江	講			g	ong	2				k	ɔŋ	35
見	開	二	江	上	見	江	港			g	ong	2				k	ɔŋ	35
見	合	一	唐	上	見	宕	廣			g	ong	2				k	ɔŋ	35
見	合	三	陽	上	見	宕	獷			g	ong	2				k	ɔŋ	35
見	開	二	江	去	見	江	降	降落		g	ong	3				k	ɔŋ	33
見	開	一	唐	平	見	宕	鋼			g	ong	3				k	ɔŋ	33
見	開	一	寒	入	見	山	割			g	ot	3				k	ɔt	3
見	開	一	寒	入	見	山	葛			g	ot	3				k	ɔt	3
見	開	一	豪	平	見	效	膏			g	ou	1				k	ou	55
見	開	一	豪	平	見	效	高			g	ou	1				k	ou	55
見	開	一	豪	平	見	效	羔			g	ou	1				k	ou	55
見	開	一	豪	平	見	效	篙			g	ou	1				k	ou	55
							睪	睪丸		g	ou	1				k	ou	55
-	-	-	-	-	-	-	糕			g	ou	1				k	ou	55
見	合	一	冬	入	見	通	告	忠告		g	ou	1				k	ou	55
-	-	-	-	-	-	-	稿			g	ou	2				k	ou	35
見	開	一	豪	去	見	效	告	報告		g	ou	3				k	ou	33
見	開	一	模	平	見	遇	辜			g	u	1				k	u	55
見	開	一	模	平	見	遇	孤			g	u	1				k	u	55
見	開	一	模	平	見	遇	呱	呱呱墜地		g	u	1				k	u	55
見	開	一	模	平	見	遇	沽			g	u	1				k	u	55
見	開	一	模	平	見	遇	姑			g	u	1				k	u	55
見	開	一	模	上	見	遇	估	估衣		g	u	1				k	u	55
							家	曹大家		g	u	1				k	u	55
-	-	-	-	-	-	-	咕			g	u	1				k	u	55
-	-	-	-	-	-	-	菇			g	u	1				k	u	55
見	開	一	模	上	見	遇	詁			g	u	2				k	u	35
見	開	一	模	上	見	遇	鼓			g	u	2				k	u	35
見	開	一	模	上	見	遇	估	估計		g	u	2				k	u	35
見	開	一	模	上	見	遇	古			g	u	2				k	u	35
見	開	一	模	上	見	遇	股			g	u	2				k	u	35
見	開	一	模	上	見	遇	賈	商賈		g	u	2				k	u	35
匣	開	一	模	上	影	遇	雇			g	u	3				k	u	33
見	開	一	模	去	見	遇	固			g	u	3				k	u	33
見	開	一	模	去	見	遇	鯝			g	u	3				k	u	33
見	開	一	模	去	見	遇	故			g	u	3				k	u	33
見	開	一	模	去	見	遇	顧			g	u	3				k	u	33
見	開	一	模	去	見	遇	錮			g	u	3				k	u	33
-	-	-	-	-	-	-	僱			g	u	3				k	u	33
見	開	一	東	入	見	通	穀			g	uk	1				k	ʊk	5
見	開	一	東	入	見	通	谷	山谷		g	uk	1				k	ʊk	5
見	開	三	東	入	見	通	掬			g	uk	1				k	ʊk	5
見	開	三	東	入	見	通	鞠			g	uk	1				k	ʊk	5
見	開	三	東	入	見	通	菊			g	uk	1				k	ʊk	5
溪	開	三	東	入	見	通	麴			g	uk	1				k	ʊk	5
群	開	三	鍾	入	見	通	局			g	uk	6				k	ʊk	2
見	合	一	寒	平	見	山	棺			g	un	1				k	un	55
見	合	一	寒	平	見	山	觀	參觀		g	un	1				k	un	55
見	合	一	寒	平	見	山	冠	衣冠		g	un	1				k	un	55
見	合	一	寒	平	見	山	官			g	un	1				k	un	55
見	合	一	寒	平	見	山	倌			g	un	1				k	un	55
見	合	一	寒	上	見	山	管			g	un	2				k	un	35
見	合	一	寒	去	見	山	館			g	un	2				k	un	35
見	合	一	寒	去	見	山	觀	道觀		g	un	3				k	un	33
見	合	一	寒	去	見	山	冠	冠軍		g	un	3				k	un	33
見	合	一	寒	平	見	山	貫			g	un	3				k	un	33
見	合	一	寒	去	見	山	鸛			g	un	3				k	un	33
見	合	一	寒	去	見	山	罐			g	un	3				k	un	33
見	合	一	寒	去	見	山	灌			g	un	3				k	un	33
見	開	一	東	平	見	通	功			g	ung	1				k	ʊŋ	55
見	開	一	東	平	見	通	工			g	ung	1				k	ʊŋ	55
見	開	一	東	平	見	通	蚣			g	ung	1				k	ʊŋ	55
見	開	一	東	平	見	通	公			g	ung	1				k	ʊŋ	55
見	開	一	東	平	見	通	攻			g	ung	1				k	ʊŋ	55
見	開	三	東	平	見	通	躬			g	ung	1				k	ʊŋ	55
見	開	三	東	平	見	通	宮			g	ung	1				k	ʊŋ	55
見	開	三	東	平	見	通	弓			g	ung	1				k	ʊŋ	55
				平			紅	女紅		g	ung	1				k	ʊŋ	55
見	開	三	鍾	平	見	通	恭			g	ung	1				k	ʊŋ	55
見	開	三	鍾	平	見	通	供	提供		g	ung	1				k	ʊŋ	55
見	開	三	鍾	去	見	通	供	供奉		g	ung	1				k	ʊŋ	55
見	開	三	鍾	上	見	通	鞏			g	ung	2				k	ʊŋ	35
見	開	三	鍾	上	見	通	拱			g	ung	2				k	ʊŋ	35
-	-	-	-	-	-	-	槓			g	ung	3				k	ʊŋ	33
見	開	一	東	去	見	通	貢			g	ung	3				k	ʊŋ	33
見	開	三	鍾	平	見	通	共			g	ung	6				k	ʊŋ	32
影	合	三	仙A	平	影	山	娟			g	yun	1				k	yn	55
以	合	三	仙A	平	以	山	捐			g	yun	1				k	yn	55
見	合	四	先	平	見	山	涓			g	yun	1				k	yn	55
見	合	四	先	平	見	山	鵑			g	yun	1				k	yn	55
群	合	三	仙B	平	見	山	捲			g	yun	2				k	yn	35
見	合	三	仙B	上	見	山	卷	試卷		g	yun	2				k	yn	35
群	合	三	仙B	平	見	山	蜷			g	yun	2				k	yn	35
見	合	三	仙A	去	見	山	絹			g	yun	3				k	yn	33
見	合	三	仙B	去	見	山	眷			g	yun	3				k	yn	33
群	合	三	元	上	見	山	圈	豬圈		g	yun	6				k	yn	32
群	合	三	仙B	去	見	山	倦			g	yun	6				k	yn	32
-	-	-	-	-	-	-	橛	兩橛		g	yut	6				k	yt	2
							呱	頂呱呱		gw	aa	1				kʷ	a	55
見	合	二	麻	平	見	假	瓜			gw	aa	1				kʷ	a	55
見	合	二	麻	上	見	假	寡			gw	aa	2				kʷ	a	35
見	合	二	佳	去	見	蟹	掛			gw	aa	3				kʷ	a	33
見	合	二	佳	去	見	蟹	卦			gw	aa	3				kʷ	a	33
-	-	-	-	-	-	-	褂			gw	aa	3				kʷ	a	33
見	合	二	皆	平	見	蟹	乖			gw	aai	1				kʷ	ai	55
見	合	二	佳	上	見	蟹	枴			gw	aai	2				kʷ	ai	35
群	開	二	佳	上	見	蟹	拐			gw	aai	2				kʷ	ai	35
見	合	二	皆	去	見	蟹	怪			gw	aai	3				kʷ	ai	33
見	合	二	山	平	見	山	綸	綸巾		gw	aan	1				kʷ	an	55
見	合	二	刪	平	見	山	關			gw	aan	1				kʷ	an	55
-	-	-	-	-	-	-	滾			gw	aan	2				kʷ	an	35
見	合	二	刪	去	見	山	慣			gw	aan	3				kʷ	an	33
見	合	二	刪	入	見	山	刮			gw	aat	3				kʷ	at	3
-	-	-	-	-	-	-	颳			gw	aat	3				kʷ	at	3
見	合	三	脂B	平	見	止	龜			gw	ai	1				kʷ	ɐi	55
見	合	三	微	平	見	止	歸			gw	ai	1				kʷ	ɐi	55
見	合	四	齊	平	見	蟹	圭			gw	ai	1				kʷ	ɐi	55
見	合	四	齊	平	見	蟹	閨			gw	ai	1				kʷ	ɐi	55
見	合	四	齊	平	見	蟹	鮭			gw	ai	1				kʷ	ɐi	55
見	合	一	灰	平	見		傀	傀偉		gw	ai	1				kʷ	ɐi	55
見	合	一	灰	平	見	蟹	瑰	瑰麗		gw	ai	1				kʷ	ɐi	55
見	合	三	支B	上	見	止	詭			gw	ai	2				kʷ	ɐi	35
見	合	三	脂B	上	見	止	軌			gw	ai	2				kʷ	ɐi	35
見	合	三	脂B	上	見	止	晷			gw	ai	2				kʷ	ɐi	35
見	合	三	微	上	見	止	鬼			gw	ai	2				kʷ	ɐi	35
見	合	三	脂A	上	見	止	癸			gw	ai	3				kʷ	ɐi	33
見	合	三	脂A	去	見	止	季			gw	ai	3				kʷ	ɐi	33
群	合	三	脂A	去	見	止	悸			gw	ai	3				kʷ	ɐi	33
見	合	三	微	去	見	止	貴			gw	ai	3				kʷ	ɐi	33
見	合	三	祭B	去	見	蟹	鱖			gw	ai	3				kʷ	ɐi	33
見	合	四	齊	去	見	蟹	桂			gw	ai	3				kʷ	ɐi	33
匣	合	一	灰	平	影	蟹	瑰	玫瑰		gw	ai	3				kʷ	ɐi	33
溪	合	三	支B	上	見	止	跪			gw	ai	6				kʷ	ɐi	32
群	合	三	脂B	去	見	止	餽			gw	ai	6				kʷ	ɐi	32
群	合	三	脂B	去	見	止	櫃			gw	ai	6				kʷ	ɐi	32
群	合	三	脂B	去	見	止	饋			gw	ai	6				kʷ	ɐi	32
群	合	三	脂B	去	見	止	匱			gw	ai	6				kʷ	ɐi	32
見	合	一	登	入	見	曾	國			gw	ak	3				kʷ	ɐk	3
							龜			gw	an	1				kʷ	ɐn	55
見	合	三	真A	平	見	臻	鈞			gw	an	1				kʷ	ɐn	55
見	合	三	真A	平	見	臻	均			gw	an	1				kʷ	ɐn	55
見	合	一	魂	平	見	臻	昆		又音，此音承自江門話	gw	an	1				kʷ	ɐn	55
見	合	三	文	平	見	臻	軍			gw	an	1				kʷ	ɐn	55
見	合	三	文	平	見	臻	君			gw	an	1				kʷ	ɐn	55
匣	合	一	魂	上	影	臻	棍			gw	an	3				kʷ	ɐn	33
群	合	三	文	去	見	臻	郡			gw	an	6				kʷ	ɐn	32
曉	合	二	耕	平	影	梗	轟			gw	ang	1				kʷ	ɐŋ	55
見	合	三	陽	上	見	宕	逛			gw	ang	6				kʷ	ɐŋ	32
見	合	一	魂	入	見	臻	骨			gw	at	1				kʷ	ɐt	5
見	合	一	魂	入	見	臻	滑	滑稽		gw	at	1				kʷ	ɐt	5
群	合	三	文	入	見	臻	掘			gw	at	6				kʷ	ɐt	2
群	合	三	文	入	見	臻	倔			gw	at	6				kʷ	ɐt	2
群	合	三	文	入	見	臻	崛			gw	at	6				kʷ	ɐt	2
匣	合	四	青	上	影	梗	迥			gw	ing	2				kʷ	ɪŋ	35
匣	合	四	青	上	影	梗	炯			gw	ing	2				kʷ	ɪŋ	35
匣	開	二	麻	平	影	假	蝦	蝦仁		h	aa	1				h	a	55
							蝦	蝦蟆		h	aa	1				h	a	55
							蛤	蛤蟆		h	aa	1				h	a	55
疑	開	一	覃	入	見	咸	哈			h	aa	1				h	a	55
匣	開	二	麻	平	影	假	遐			h	aa	4				h	a	21
匣	開	二	麻	平	影	假	瑕			h	aa	4				h	a	21
匣	開	二	麻	平	影	假	霞			h	aa	4				h	a	21
匣	開	二	麻	上	影	假	下	打一下		h	aa	5				h	a	23
匣	開	二	麻	上	影	假	吓	打一吓		h	aa	5				h	a	23
匣	開	二	麻	上	影	假	夏			h	aa	6				h	a	32
匣	開	二	麻	上	影	假	廈			h	aa	6				h	a	32
匣	開	二	麻	去	影	假	下	下面		h	aa	6				h	a	32
匣	開	二	麻	去	影	假	暇			h	aa	6				h	a	32
匣	開	二	佳	平	影	蟹	鞋			h	aai	4				h	ai	21
匣	開	二	皆	平	影	蟹	諧			h	aai	4				h	ai	21
匣	開	二	皆	平	影	蟹	骸			h	aai	4				h	ai	21
匣	開	一	咍	平	影	蟹	孩			h	aai	4				h	ai	21
匣	開	二	佳	上	影	蟹	蟹			h	aai	5				h	ai	23
匣	開	二	佳	去	影	蟹	邂			h	aai	5				h	ai	23
匣	開	二	佳	去	影	蟹	解	解姓		h	aai	6				h	ai	32
見	開	二	佳	去	見	蟹	懈			h	aai	6				h	ai	32
匣	開	二	皆	去	影	蟹	械			h	aai	6				h	ai	32
-	-	-	-	-	-	-	餡			h	aam	2				h	am	35
曉	開	一	談	上	影	咸	喊			h	aam	3				h	am	33
匣	開	二	銜	平	影	咸	銜			h	aam	4				h	am	21
匣	開	二	咸	平	影	咸	鹹			h	aam	4				h	am	21
匣	開	二	咸	平	影	咸	咸			h	aam	4				h	am	21
匣	開	一	覃	平	影	咸	函			h	aam	4				h	am	21
匣	開	一	覃	平	影	咸	涵			h	aam	4				h	am	21
匣	開	二	咸	去	影	咸	陷			h	aam	6				h	am	32
見	開	二	山	平	見	山	閒			h	aan	4				h	an	21
-	-	-	-	-	-	-	嫻			h	aan	4				h	an	21
匣	開	二	山	平	影	山	閑			h	aan	4				h	an	21
匣	開	二	山	上	影	山	限			h	aan	6				h	an	32
溪	開	二	咸	入	見	咸	掐			h	aap	3				h	ap	3
匣	開	二	銜	入	影	咸	匣			h	aap	6				h	ap	2
匣	開	二	咸	入	影	咸	峽			h	aap	6				h	ap	2
匣	開	二	咸	入	影	咸	狹			h	aap	6				h	ap	2
溪	開	二	肴	平	見	效	敲			h	aau	1				h	au	55
曉	開	二	肴	平	影	效	哮			h	aau	1				h	au	55
見	開	二	肴	去	見	效	酵			h	aau	1				h	au	55
-	-	-	-	-	-	-	烤			h	aau	1				h	au	55
-	-	-	-	-	-	-	拷			h	aau	1				h	au	55
溪	開	一	豪	上	見	效	考			h	aau	2				h	au	35
溪	開	二	肴	上	見	效	巧			h	aau	2				h	au	35
曉	開	二	肴	去	影	效	孝			h	aau	3				h	au	33
匣	開	二	肴	去	影	效	校	學校		h	aau	6				h	au	32
匣	開	二	肴	去	影	效	效			h	aau	6				h	au	32
匣	開	四	齊	平	影	蟹	奚			h	ai	4				h	ɐi	21
匣	開	四	齊	平	影	蟹	兮			h	ai	4				h	ɐi	21
匣	開	四	齊	去	影	蟹	繫	聯繫		h	ai	6				h	ɐi	32
見	開	四	齊	去	見	蟹	係			h	ai	6				h	ɐi	32
匣	開	四	齊	去	影	蟹	系			h	ai	6				h	ɐi	32
							可	可汗		h	ak	1				h	ɐk	5
曉	開	二	庚	入	影	梗	赫			h	ak	1				h	ɐk	5
溪	開	一	登	入	見	曾	剋			h	ak	1				h	ɐk	5
溪	開	一	登	入	見	曾	刻			h	ak	1				h	ɐk	5
溪	開	一	登	入	見	曾	克			h	ak	1				h	ɐk	5
曉	開	一	登	入	影	曾	黑			h	ak	1				h	ɐk	5
曉	開	二	麻	去	影	假	嚇			h	ak	3				h	ɐk	3
溪	開	二	庚	入	見	梗	喀			h	ak	3				h	ɐk	3
溪	開	二	庚	入	見	梗	客			h	ak	3				h	ɐk	3
							咯	咯血		h	ak	3				h	ɐk	3
曉	開	一	談	平	影	咸	憨			h	am	1				h	ɐm	55
溪	開	一	覃	平	見	咸	堪			h	am	1				h	ɐm	55
溪	開	一	覃	平	見	咸	龕			h	am	1				h	ɐm	55
溪	開	一	覃	去	見	咸	勘			h	am	1				h	ɐm	55
溪	開	一	覃	上	見	咸	坎			h	am	2				h	ɐm	35
-	-	-	-	-	-	-	砍			h	am	2				h	ɐm	35
溪	開	一	談	去	見	咸	瞰			h	am	3				h	ɐm	33
-	-	-	-	-	-	-	崁			h	am	3				h	ɐm	33
匣	開	一	談	平	影	咸	酣			h	am	4				h	ɐm	21
匣	開	一	覃	平	影	咸	含			h	am	4				h	ɐm	21
溪	開	二	銜	平	見	咸	嵌			h	am	6				h	ɐm	32
溪	開	一	覃	上	見	咸	坎		赤坎，地名	h	am	6				h	ɐm	32
匣	開	一	覃	上	影	咸	撼			h	am	6				h	ɐm	32
匣	開	一	覃	去	影	咸	憾			h	am	6				h	ɐm	32
匣	開	一	痕	平	影	臻	痕			h	an	1				h	ɐn	55
溪	開	一	痕	上	見	臻	墾			h	an	2				h	ɐn	35
溪	開	一	痕	上	見	臻	懇			h	an	2				h	ɐn	35
匣	開	一	痕	上	影	臻	很			h	an	2				h	ɐn	35
-	-	-	-	-	-	-	狠			h	an	2				h	ɐn	35
匣	開	一	痕	去	影	臻	恨			h	an	6				h	ɐn	32
溪	開	二	庚	平	見	梗	坑			h	ang	1				h	ɐŋ	55
曉	開	二	庚	平	影	梗	亨			h	ang	1				h	ɐŋ	55
溪	開	二	耕	平	見	梗	鏗			h	ang	1				h	ɐŋ	55
-	-	-	-	-	-	-	哼	哼歌		h	ang	1				h	ɐŋ	55
溪	開	一	登	上	見	曾	肯			h	ang	2				h	ɐŋ	35
-	-	-	-	-	-	-	啃			h	ang	2				h	ɐŋ	35
匣	開	二	庚	平	影	梗	行	步行		h	ang	4				h	ɐŋ	21
匣	開	二	庚	平	影	梗	行	行路		h	ang	4				h	ɐŋ	21
